Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL
Alma ,Accident,1,Le Quotidien - Groupe Capitales Médias,Sortie de route sur la 169 à Alma | Justice et faits divers | Actualités,2021-05-24,8,https://www.lequotidien.com/actualites/justice-et-faits-divers/sortie-de-route-sur-la-169-a-alma-aed1cf2d645bd679b3264e74d266a3b8
Alma ,Accident,2,La Presse,Quatre blessés dans un accident à Alma,2020-07-26,310,https://www.lapresse.ca/actualites/justice-et-faits-divers/2020-07-26/quatre-blesses-dans-un-accident-a-alma.php
Alma ,Accident,3,Le Quotidien - Groupe Capitales Médias,Grave accident entre un quadriporteur et une voiture à Alma,2020-10-31,213,https://www.lequotidien.com/actualites/grave-accident-entre-un-quadriporteur-et-une-voiture-a-alma-57d24ee6241e495a2ebc70c0e8b61c76
Alma ,Accident,4,Le Quotidien - Groupe Capitales Médias,Accident impliquant un autobus à Alma | Justice et faits divers | Actualités,2020-09-18,256,https://www.lequotidien.com/actualites/justice-et-faits-divers/accident-impliquant-un-autobus-a-alma-e2d47badb77961f6a5f779e46d79b186
Alma ,Cégep,1,L'Étoile du Lac,Les cégeps d'Alma et Saint-Félicien en grève,2021-05-11,21,https://www.letoiledulac.com/actualite/les-cegeps-dalma-et-saint-felicien-en-greve/
Alma ,Cégep,2,ICI.Radio-Canada.ca,Le nouveau programme de pharmacie fait fureur au Collège d'Alma,2021-05-13,19,https://ici.radio-canada.ca/nouvelle/1792605/techniques-pharmacie-college-alma-demandes
Alma ,Cégep,3,Le Quotidien - Groupe Capitales Médias,Grève au Collège d'Alma: des moyens de pression différents,2021-05-20,12,https://www.lequotidien.com/actualites/greve-au-college-dalma-des-moyens-de-pression-differents-9879284e82f9d597e019e6c59b37cb12
Alma ,Cégep,4,ICI.Radio-Canada.ca,Une deuxième année difficile pour le recrutement d'étudiants étrangers,2021-05-18,14,https://ici.radio-canada.ca/nouvelle/1793969/etudiants-etrangers-recrutement-covid-cegeps
Alma ,Police OR Sûreté,1,Journal Le Lac St-Jean,Perquisition en matière de stupéfiants à Alma,2021-05-05,27,https://lelacstjean.com/actualite/perquisition-en-matiere-de-stupefiants-a-alma/
Alma ,Police OR Sûreté,2,ICI.Radio-Canada.ca,La SQ cherche les victimes d'un présumé prédateur sexuel à Alma,2021-05-13,19,https://ici.radio-canada.ca/nouvelle/1792849/agressions-sexuelles-surete-quebec-pornographie-juvenile
Alma ,Police OR Sûreté,3,Le Quotidien - Groupe Capitales Médias,Sortie de route sur la 169 à Alma | Justice et faits divers | Actualités,2021-05-24,8,https://www.lequotidien.com/actualites/justice-et-faits-divers/sortie-de-route-sur-la-169-a-alma-aed1cf2d645bd679b3264e74d266a3b8
Alma ,Police OR Sûreté,4,Le Journal de Québec,La justice reprend son cours après l'incendie du palais de justice de Roberval,2021-05-10,22,https://www.journaldequebec.com/2021/05/10/debut-de-lenquete-a-roberval-1
Alma ,décès OR mort,1,Le Quotidien - Groupe Capitales Médias,Cinq nouveaux cas et près de 200 000 doses administrées au Saguenay-Lac-Saint-Jean,2021-06-01,0,https://www.lequotidien.com/actualites/covid-19/cinq-nouveaux-cas-et-pres-de-200-000-doses-administrees-au-saguenay-lac-saint-jean-2db9e8cbe50c305d89ce3689dd59c097
Alma ,décès OR mort,2,NecrologieCanada,HARVEY Roch 1937 2021,2021-05-15,17,https://necrocanada.com/deces-2021/harvey-roch-1937-2021/
Alma ,décès OR mort,3,Journal Le Lac St-Jean,Faits divers Découverte d'un corps inanimé à Alma,2021-04-17,45,https://lelacstjean.com/faitsdivers/decouverte-dun-corps-inanime-a-alma/
Alma ,décès OR mort,4,Le Quotidien - Groupe Capitales Médias,Un voyage dans l'histoire judiciaire du Saguenay-Lac-Saint-Jean,2021-05-06,26,https://www.lequotidien.com/actualites/justice-et-faits-divers/un-voyage-dans-lhistoire-judiciaire-du-saguenay-lac-saint-jean-1b010e38b5d1185e5f3e031a3ce95e55
Alma ,Incendie,1,Le Journal de Québec,La justice reprend son cours après l'incendie du palais de justice de Roberval,2021-05-10,22,https://www.journaldequebec.com/2021/05/10/debut-de-lenquete-a-roberval-1
Alma ,Incendie,2,Le Quotidien - Groupe Capitales Médias,Incendie du Palais de justice de Roberval: des impacts sur les comparutions,2021-05-09,23,https://www.lequotidien.com/actualites/incendie-du-palais-de-justice-de-roberval-des-impacts-sur-les-comparutions-f87d7e84461fb2a677b1b169386f1ae9
Alma ,Incendie,3,,,2021-05-09,23,https://www.lapresse.ca/actualites/2021-05-09/incendie/le-palais-de-justice-de-roberval-sera-reconstruit-annonce-le-gouvernement.php
Alma ,Incendie,4,,,2021-05-09,23,https://lactualite.com/actualites/incendie-au-palais-de-justice-de-roberval-le-projet-de-modernisation-tient-toujours/
Alma ,Préfêt,1,Ouest-France,Rennes. Peu de commerces seront ouverts ce dimanche,2021-05-22,10,https://www.ouest-france.fr/bretagne/rennes-35000/rennes-peu-de-commerces-seront-ouverts-ce-dimanche-1bb612e8-bb08-11eb-a8ac-d7792e53330a
Alma ,Préfêt,2,Le Quotidien - Groupe Capitales Médias,La MRC du Domaine-du-Roy élira son préfet au suffrage universel,2021-02-11,110,https://www.lequotidien.com/actualites/la-mrc-du-domaine-du-roy-elira-son-prefet-au-suffrage-universel-32483f20380cd6b3dcc9a3f4614f9e25
Alma ,Préfêt,3,actu.fr,Elections départementales. Voici les candidatures pour les cantons de Seine-et-Marne,2021-05-06,26,https://actu.fr/societe/elections-departementales-voici-les-premieres-candidatures-en-seine-et-marne_41618644.html
Alma ,Préfêt,4,Le Quotidien - Groupe Capitales Médias,Un don de 20 000 $ pour la Moisson d'Alma,2020-12-01,182,https://www.lequotidien.com/actualites/un-don-de-20-000--pour-la-moisson-dalma-b7136d6d02a4cb625ceff6d6d96b277c
Alma ,Centre de services scolaire OR commission scolaire,1,Le Quotidien - Groupe Capitales Médias,École Saint-Julien d'Alma: le Centre de services scolaire se fait rassurant,2021-05-07,25,https://www.lequotidien.com/actualites/ecole-saint-julien-dalma-le-centre-de-services-scolaire-se-fait-rassurant-9d48ccd15621d4f0c55448b1d6b5e28d
