Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL
Boischatel ,accident,1,ICI.Radio-Canada.ca,Une vingtaine de constats remis lors d'une opération ciblant les VTT à Québec,2021-05-24,9,https://ici.radio-canada.ca/nouvelle/1795622/vtt-sentiers-interdiction-sensibilisation-quebec-charlesbourg-beauport
Boischatel ,accident,2,Le Journal de Québec,[PHOTOS] Un homme secouru dans la rivière à Boischatel,2020-07-03,334,https://www.journaldequebec.com/2020/07/03/photos-un-homme-secouru-dans-la-riviere-a-boischatel
Boischatel ,accident,3,Zone911,Intervention pour un feu de broussailles à Boischatel,2021-04-11,52,https://zone911.com/incendies/30661-intervention-pour-un-feu-de-broussailles-a-boischatel
Boischatel ,accident,4,ICI.Radio-Canada.ca,Un incendie fait un mort à Boischatel,2020-12-13,171,https://ici.radio-canada.ca/nouvelle/1756723/incendie-mortel-boischatel-resurgences
Boischatel ,accident,5,Le Soleil - Groupe Capitales Médias,Des coups de feu tirés à Boischatel | Justice et faits divers | Actualités,,,https://www.lesoleil.com/actualite/justice-et-faits-divers/des-coups-de-feu-tires-a-boischatel-522624f681113e9c11a1a10415b198ce
Boischatel ,accident,6,TVA Nouvelles,Pas d'élèves costumés dans une école de Boischatel,2020-10-30,215,https://www.tvanouvelles.ca/2020/10/30/pas-deleves-costumes-dans-une-ecole-de-boischatel-1
Boischatel ,accident,7,ICI.Radio-Canada.ca,De la cocaïne et de l'argent saisis à Boischatel,2020-12-01,183,https://ici.radio-canada.ca/nouvelle/1753814/cocaine-saisis-boischatel-alain-madeiros
Boischatel ,accident,8,Le Journal de Montréal,Dure journée pour Labbé et Theetge à Phoenix,2020-11-07,207,https://www.journaldemontreal.com/2020/11/07/dure-journee-pour-labbe-et-theetge-a-phoenix
Boischatel ,accident,9,Le Journal de Montréal,Une course à oublier pour Labbé et Theetge,2020-10-31,214,https://www.journaldemontreal.com/2020/10/31/une-course-a-oublier-pour-labbe-et-theetge
Boischatel ,accident,10,Le Soleil - Groupe Capitales Médias,Accident mortel de motoneige dans Beauport | Justice et faits divers | Actualités,,,https://www.lesoleil.com/actualite/justice-et-faits-divers/accident-mortel-de-motoneige-dans-beauport-c5a15acf8f948360cab51c6512a09c45
