Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie
Montréal ,élection OR campagne,1,ICI.Radio-Canada.ca,"Iran : l'ultraconservateur Raïssi élu au premier tour avec 61,95 % des voix",2021-06-19,0,https://ici.radio-canada.ca/nouvelle/1802919/iran-raissi-election-presidentielle,2021-06-19 15:00:31
Montréal ,élection OR campagne,2,Le Devoir,"En Iran, élection d'un président ultraconservateur en vue vendredi",2021-06-17,2,https://www.ledevoir.com/monde/moyen-orient/611511/en-iran-election-d-un-president-ultraconservateur-en-vue-vendredi,2021-06-19 15:00:31
Montréal ,élection OR campagne,3,FRANCE 24,Présidentielle en Iran: le candidat ultraconservateur Ebrahim Raïssi en tête (résultats partiels),2021-06-19,0,https://www.france24.com/fr/moyen-orient/20210619-l-iran-attend-les-r%C3%A9sultats-d-une-%C3%A9lection-qui-semble-acquise-au-candidat-ultraconservateur,2021-06-19 15:00:32
Montréal ,élection OR campagne,4,Franceinfo,Iran : une élection présidentielle jouée d'avance agace une partie de la population,2021-06-17,2,https://www.francetvinfo.fr/elections/presidentielle/iran-une-election-presidentielle-jouee-d-avance-agace-une-partie-de-la-population_4667811.html,2021-06-19 15:00:32
Montréal ,élection OR campagne,5,TV5MONDE Info,Iran : l'ultraconservateur Ebrahim Raïssy remporte l'élection présidentielle,2021-06-19,0,https://information.tv5monde.com/video/iran-l-ultraconservateur-ebrahim-raissy-remporte-l-election-presidentielle,2021-06-19 15:00:32
Montréal ,élection OR campagne,6,Le Journal de Montréal,Enquête sur la campagne de Sarkozy en France: une figure de la presse à potins écrouée,2021-06-18,1,https://www.journaldemontreal.com/2021/06/18/enquete-sur-la-campagne-de-sarkozy-en-france-une-figure-de-la-presse-a-potins-ecrouee,2021-06-19 15:00:32
Montréal ,élection OR campagne,7,Le Journal de Montréal,Nanette Workman: une belle retraite à la campagne,2021-06-18,1,https://www.journaldemontreal.com/2021/06/18/nanette-workman-une-belle-retraite-a-la-campagne,2021-06-19 15:00:33
Montréal ,élection OR campagne,8,Le Courrier du Sud,Longueuil Citoyen commence la campagne électorale dans le rouge,2021-06-17,2,https://www.lecourrierdusud.ca/longueuil-citoyen-commence-la-campagne-electorale-dasn-le-rouge/,2021-06-19 15:00:33
Montréal ,élection OR campagne,9,Journal Le Manic,Un prix pour une campagne de promotion de Tourisme Côte-Nord,2021-06-19,0,https://www.lemanic.ca/2021/06/19/un-prix-pour-une-campagne-de-promotion-de-tourisme-cote-nord/,2021-06-19 15:00:33
Montréal ,élection OR campagne,10,Radio-Canada.ca,La cheffe du Parti vert dénonce une campagne de dénigrement pour la faire partir,2021-06-17,2,https://ici.radio-canada.ca/nouvelle/1801933/parti-vert-annamie-paul-leadership,2021-06-19 15:00:34
Montréal ,élection OR campagne,11,Le Devoir,Les indices pointant vers des élections cet été,2021-06-19,0,https://www.ledevoir.com/politique/canada/612201/les-indices-pointant-vers-des-elections-cet-ete,2021-06-19 15:00:34
Montréal ,élection OR campagne,12,Le Figaro,Élection au Pérou: le président par intérim critique une lettre d'ex-militaires,2021-06-18,1,https://www.lefigaro.fr/flash-actu/election-au-perou-le-president-par-interim-critique-une-lettre-d-ex-militaires-20210618,2021-06-19 15:00:34
Montréal ,élection OR campagne,13,La Presse,Début de la campagne de vaccination pour les employés et les bénévoles de Tokyo,2021-06-18,1,https://www.lapresse.ca/sports/jeux-olympiques/2021-06-18/debut-de-la-campagne-de-vaccination-pour-les-employes-et-les-benevoles-de-tokyo.php,2021-06-19 15:00:34
Montréal ,élection OR campagne,14,Le Journal de Montréal,"Une élection en pandémie serait «irresponsable», vote la Chambre des communes",2021-05-25,25,https://www.journaldemontreal.com/2021/05/25/une-election-en-pandemie-serait-irresponsable-vote-la-chambre-des-communes,2021-06-19 15:00:35
Montréal ,élection OR campagne,15,L'Hebdo Journal,Campagne de sociofinancement pour la Maison Carignan,2021-06-18,1,https://www.lhebdojournal.com/campagne-de-sociofinancement-pour-la-maison-carignan/,2021-06-19 15:00:35
Montréal ,élection OR campagne,16,La Presse,Nicaragua | Daniel Ortega serre la vis à l'opposition avant l'élection présidentielle,2021-06-12,7,https://www.lapresse.ca/international/amerique-latine/2021-06-12/nicaragua/daniel-ortega-serre-la-vis-a-l-opposition-avant-l-election-presidentielle.php,2021-06-19 15:00:35
Montréal ,élection OR campagne,17,FRANCE 24,"La ""détresse économique"", enjeu majeur de l'élection présidentielle en Iran",2021-06-17,2,https://www.france24.com/fr/asie-pacifique/20210617-la-d%C3%A9tresse-%C3%A9conomique-enjeu-majeur-de-l-%C3%A9lection-pr%C3%A9sidentielle-en-iran,2021-06-19 15:00:35
Montréal ,élection OR campagne,18,Le Journal de Montréal,"Surprise, cette campagne est un succès éclatant",2021-06-15,4,https://www.journaldemontreal.com/2021/06/15/surprise-cette-campagne-est-un-succes-eclatant,2021-06-19 15:00:36
Montréal ,élection OR campagne,19,M105 La vie d'ici,MRC de Rouville : l'élection du nouveau préfet reportée à novembre,2021-06-18,1,https://m105.ca/actualite/mrc-de-rouville-lelection-du-nouveau-prefet-reportee-a-novembre/,2021-06-19 15:00:36
Montréal ,élection OR campagne,20,La Croix,Partie de campagne,2021-06-19,0,https://www.la-croix.com/Debats/Partie-campagne-2021-06-19-1201162045,2021-06-19 15:00:36
Montréal ,élection OR campagne,21,TV5MONDE Info,Présidentielle en Iran : le sentiment d'une élection jouée d'avance,2021-06-18,1,https://information.tv5monde.com/video/presidentielle-en-iran-le-sentiment-d-une-election-jouee-d-avance,2021-06-19 15:00:36
Montréal ,élection OR campagne,22,CNW Telbec,Équipe Canada dévoile sa campagne « La gloire vient de partout »,2021-06-14,5,https://www.newswire.ca/fr/news-releases/equipe-canada-devoile-sa-campagne-la-gloire-vient-de-partout--856421370.html,2021-06-19 15:00:37
Montréal ,élection OR campagne,23,Le Nouvelliste - Groupe Capitales Médias,"«Décroche, ICI»: Tourisme Centre-du-Québec lance sa campagne estivale",2021-06-19,0,https://www.lenouvelliste.ca/actualites/decroche-ici-tourisme-centre-du-quebec-lance-sa-campagne-estivale-4f8149ce8975dc2e2cedb0d847d17219,2021-06-19 15:00:37
Montréal ,élection OR campagne,24,ICI.Radio-Canada.ca,Analyse Élections locales aux États-Unis : un « laboratoire » pour la prochaine présidentielle?,2021-06-19,0,https://ici.radio-canada.ca/nouvelle/1802777/scrutins-villes-etats-unis-lois-electorales-candidats-complots-fraudes,2021-06-19 15:00:37
