Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie
Baie-Comeau ,accident,1,ICI.Radio-Canada.ca,Un petit avion se renverse lors de son atterrissage à Baie-Comeau,2021-06-17,10,https://ici.radio-canada.ca/nouvelle/1802463/accident-incident-avion-cotenord-cessna-urgence,2021-06-27 15:12:33
Baie-Comeau ,accident,2,ICI.Radio-Canada.ca,Une sortie de route fait un mort et un blessé grave sur la route 138 à Chute-aux-Outardes,2021-06-16,11,https://ici.radio-canada.ca/nouvelle/1802188/accident-grave-chute-aux-outardes-route-138,2021-06-27 15:12:34
Baie-Comeau ,accident,3,Journal Le Manic,Une pétition pour déplacer la piste cyclable sur Laflèche,2021-06-03,24,https://www.lemanic.ca/2021/06/03/une-petition-pour-deplacer-la-piste-cyclable-sur-lafleche/,2021-06-27 15:12:34
Baie-Comeau ,accident,4,Journal Le Manic,Heurtée par un VTT : une bambine s'en tire indemne à Pessamit,2021-06-14,13,https://www.lemanic.ca/2021/06/14/heurtee-par-un-vtt-une-bambine-sen-tire-indemne-a-pessamit/,2021-06-27 15:12:34
Baie-Comeau ,accident,5,Journal Le Manic,Actualité Accident et dérapage sur le pont de la rivière Betsiamites,2021-02-03,144,https://www.lemanic.ca/2021/02/03/accident-et-derapage-sur-la-route-138/,2021-06-27 15:12:34
Baie-Comeau ,accident,6,Journal Le Manic,Accident au pont de la rivière des Rapides : deux cyclistes blessés sérieusement,2021-05-15,43,https://www.lemanic.ca/2021/05/15/accident-au-pont-de-la-riviere-rapides-deux-cyclistes-blesses/,2021-06-27 15:12:34
Baie-Comeau ,accident,7,Journal Le Manic,(Mise à jour) Un homme blessé gravement dans un accident de motoneige,2021-01-24,154,https://www.lemanic.ca/2021/01/24/un-homme-blesse-gravement-dans-un-accident-de-motoneige/,2021-06-27 15:12:35
Baie-Comeau ,accident,8,Journal Le Manic,Accident au pont de la rivière des Rapides : la circulation automobile reprend,2021-05-15,43,https://www.lemanic.ca/2021/05/15/accident-au-pont-de-la-riviere-des-rapides-la-circulation-automobile-reprend/,2021-06-27 15:12:35
Baie-Comeau ,accident,9,Journal Le Manic,Actualité Collision impliquant trois véhicules sur le chemin de la Scierie,2020-12-16,193,https://www.lemanic.ca/2020/12/16/collision-impliquant-trois-vehicules-sur-le-chemin-de-la-scierie/,2021-06-27 15:12:35
Baie-Comeau ,accident,10,Le Journal de Québec,La longue ascension de Shawn Element | JDQ,2021-05-31,27,https://www.journaldequebec.com/2021/05/31/la-longue-ascension-de-shawn-element,2021-06-27 15:12:35
Baie-Comeau ,accident,11,Journal Le Manic,Un face-à-face sur la 138 à proximité de Clarke City,2021-05-06,52,https://www.lemanic.ca/2021/05/06/un-face-a-face-sur-la-138-a-proximite-de-clarke-city/,2021-06-27 15:12:35
Baie-Comeau ,accident,12,Journal Le Manic,Motoneigiste gravement blessé : les témoins directs se confient,2021-01-26,152,https://www.lemanic.ca/2021/01/26/motoneigiste-gravement-blesse-les-temoins-directs-se-confient/,2021-06-27 15:12:36
Baie-Comeau ,accident,13,Le Journal de Montréal,Une femme appelle à la prudence après avoir frôlé la mort en quad,2021-05-08,50,https://www.journaldemontreal.com/2021/05/08/une-femme-appelle-a-la-prudence-apres-avoir-frole-la-mort-en-quad,2021-06-27 15:12:36
Baie-Comeau ,accident,14,Ma Côte-Nord,[ 18 mai 2021 ] Un accident en vélo qui fait réfléchir à Sept-Îles Accueil,2021-05-18,40,https://macotenord.com/un-accident-en-velo-qui-fait-reflechir-a-sept-iles/,2021-06-27 15:12:36
Baie-Comeau ,accident,15,Journal Le Manic,Le pont de Pessamit endommagé par l'accident du 2 février,2021-02-09,138,https://www.lemanic.ca/2021/02/09/la-circulation-a-deux-voies-sur-le-pont-de-pessamit-retablie-bientot/,2021-06-27 15:12:36
Baie-Comeau ,accident,16,Le Journal de Montréal,Accident mortel de motocross sur la Côte-Nord,2020-08-15,316,https://www.journaldemontreal.com/2020/08/15/accident-mortel-de-motocross-sur-la-cote-nord,2021-06-27 15:12:36
Baie-Comeau ,accident,17,Le journal de Lévis,Le Regroupement des traversiers annonce une journée de grève à la traverse Québec-Lévis,2021-06-18,9,https://www.journaldelevis.com/1092/Faits_divers.html?id=80918,2021-06-27 15:12:37
Baie-Comeau ,accident,18,ICI.Radio-Canada.ca,Un accident de travail assombrit une célébration de la sécurité chez Résolu,,,https://ici.radio-canada.ca/nouvelle/1650405/accident-travail-celebration-securite-produit-forestier-resolu-baie-comeau,2021-06-27 15:12:37
Baie-Comeau ,accident,19,Journal Le Manic,Accident sur la route 385 : un employé d'Hydro-Québec blessé légèrement,2020-08-20,311,https://www.lemanic.ca/2020/08/20/accident-sur-la-route-385-un-employe-dhydro-quebec-blesse-legerement/,2021-06-27 15:12:37
