Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie
Chibougamau ,accident,1,Le Quotidien - Groupe Capitales Médias,Face-à-face dans le parc de Chibougamau: le conducteur acquitté,2021-02-02,145,https://www.lequotidien.com/actualites/justice-et-faits-divers/face-a-face-dans-le-parc-de-chibougamau-le-conducteur-acquitte-1bd76a8cf0e30e61b8b3ae75f0b62346,2021-06-27 16:03:34
Chibougamau ,accident,2,ICI.Radio-Canada.ca,Un mort dans un accident entre deux camions près de Chibougamau,,,https://ici.radio-canada.ca/nouvelle/1066340/un-mort-dans-un-accident-entre-deux-camions-pres-de-chibougamau,2021-06-27 16:03:34
Chibougamau ,accident,3,Le Journal de Québec,Une course à pied de 1000 km en 10 jours,2021-06-21,6,https://www.journaldequebec.com/2021/06/21/une-course-a-pied-de-1000-km-en-10-jours,2021-06-27 16:03:34
Chibougamau ,accident,4,ICI.Radio-Canada.ca,Un homme de Chambord perd la vie dans un accident sur la route d'Obedjiwan,2020-12-03,206,https://ici.radio-canada.ca/nouvelle/1754174/accident-mortel-parc-chibougamau,2021-06-27 16:03:34
Chibougamau ,accident,5,ICI.Radio-Canada.ca,Accident chez Chantiers Chibougamau : pas de négligence criminelle,,,https://ici.radio-canada.ca/nouvelle/1134035/accident-chantiers-chibougamau-negligence-criminelle,2021-06-27 16:03:34
Chibougamau ,accident,6,Le Quotidien - Groupe Capitales Médias,Un policier et un citoyen grièvement blessés dans un accident sur la 167,,,https://www.lequotidien.com/actualites/justice-et-faits-divers/un-policier-et-un-citoyen-grievement-blesses-dans-un-accident-sur-la-167-abf37b058dbd945176a646f309f7c239,2021-06-27 16:03:35
Chibougamau ,accident,7,TVA Nouvelles,Emporté par sa plus grande passion,,,https://www.tvanouvelles.ca/2018/10/09/emporte-par-sa-plus-grande-passion-1,2021-06-27 16:03:35
Chibougamau ,accident,8,Le Journal de Québec,Chibougamau: trois amis meurent dans un écrasement d'hydravion,,,https://www.journaldequebec.com/2019/07/13/chibougamau-trois-morts-dans-un-ecrasement-davion,2021-06-27 16:03:35
Chibougamau ,accident,9,Le Journal de Québec,Chibougamau: vitesse réduite et surcharge pour expliquer l'écrasement,,,https://www.journaldequebec.com/2020/03/11/chibougamau-vitesse-reduite-et-surcharge-pour-expliquer-lecrasement,2021-06-27 16:03:35
Chibougamau ,accident,10,Le Quotidien - Groupe Capitales Médias,Deux accident mortels au Lac | Justice et faits divers | Actualités,,,https://www.lequotidien.com/actualites/justice-et-faits-divers/deux-accident-mortels-au-lac-c051602493c40e40ec6f0da93064dc9f,2021-06-27 16:03:35
Chibougamau ,accident,11,ICI.Radio-Canada.ca,Chibougamau et Chapais passent en zone rouge,2020-11-20,219,https://ici.radio-canada.ca/nouvelle/1751311/covid-19-pandemie-zone,2021-06-27 16:03:36
Chibougamau ,accident,12,Radio-Canada.ca,Jour de deuil en hommage aux victimes d'accidents de travail,2021-04-29,59,https://ici.radio-canada.ca/nouvelle/1788786/cnesst-commemoration-marche-est-du-quebec,2021-06-27 16:03:36
