Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie
Alma ,élection OR campagne,1,ICI.Radio-Canada.ca,"Un surplus de 5,8 M$ à Alma en 2020",2021-06-07,26,https://ici.radio-canada.ca/nouvelle/1799687/conseil-municipal-rapport-financier,2021-07-03 09:17:25
Alma ,élection OR campagne,2,Le Journal de Québec,Les écoles du Saguenay amorcent leur campagne de vaccination,2021-06-07,26,https://www.journaldequebec.com/2021/06/07/les-ecoles-du-saguenay-amorcent-leur-campagne-de-vaccination,2021-07-03 09:17:25
Alma ,élection OR campagne,3,Le Monde,"Elections régionales 2021 : dans le quartier de l'Alma, à Roubaix, abstention contre éducation",2021-06-27,6,https://www.lemonde.fr/politique/article/2021/06/27/elections-regionales-2021-dans-le-quartier-de-l-alma-a-roubaix-abstention-contre-education_6085916_823448.html,2021-07-03 09:17:25
Alma ,élection OR campagne,4,Grenier aux Nouvelles,Coordonnateur(trice) de campagne numérique | La Web Shop | Grenier aux Emplois,2021-07-01,2,https://www.grenier.qc.ca/emplois/50194/coordonnateurtrice-de-campagne-numerique,2021-07-03 09:17:25
Alma ,élection OR campagne,5,Grenier aux Nouvelles,Coordonnateur de campagne numérique / Follow Me ascendant partie interminable de Risk / signe de feu | La Web Shop | Grenier aux Emplois,2021-07-01,2,https://www.grenier.qc.ca/emplois/50194/coordonnateur-de-campagne-numerique-follow-me-ascendant-partie-interminable-de-risk-signe-de-feu,2021-07-03 09:17:25
Alma ,élection OR campagne,6,Journal Le Lac St-Jean,La vitesse au volant cause de nombreux accidents,2021-06-08,25,https://lelacstjean.com/actualite/reduction/,2021-07-03 09:17:26
Alma ,élection OR campagne,7,Ouest-France,"Au Mexique, les élections riment avec assassinats",2021-06-05,28,https://www.ouest-france.fr/monde/mexique/au-mexique-les-elections-riment-avec-assassinats-097f60a0-c532-11eb-aec1-d3b57750ff4c,2021-07-03 09:17:26
Alma ,élection OR campagne,8,Journal Le Lac St-Jean,Yann Gosselin-Gaudreault reçoit le Mortier d'Or,2021-06-20,13,https://lelacstjean.com/non-classe/yan-gosselin-gaudreault-recoit-le-mortier-dor/,2021-07-03 09:17:26
Alma ,élection OR campagne,9,Le Quotidien - Groupe Capitales Médias,Audrée Villeneuve lance sa campagne dans le district Scott à Alma,2021-04-12,82,https://www.lequotidien.com/actualites/audree-villeneuve-lance-sa-campagne-dans-le-district-scott-a-alma-0ff59057f2cc40041c32fa9da59b8b83,2021-07-03 09:17:26
Alma ,élection OR campagne,10,Le Devoir,​Élections régionales françaises: l'irrémédiable poussée du Rassemblement national dans les Hauts-de-France,2021-06-17,16,https://www.ledevoir.com/monde/europe/611496/elections-regionales-francaises-l-irremediable-poussee-du-rassemblement-national,2021-07-03 09:17:26
Alma ,élection OR campagne,11,France 3 Régions,"Elections départementales 2021 : en Isère, quels enjeux et qui sont les candidats dans votre canton ?",2021-06-16,17,https://france3-regions.francetvinfo.fr/auvergne-rhone-alpes/isere/elections-departementales-2021-en-isere-quels-enjeux-et-qui-sont-les-candidats-dans-votre-canton-2115841.html,2021-07-03 09:17:27
Alma ,élection OR campagne,12,ICI.Radio-Canada.ca,Julie Dufour et sept autres conseillers réclament des investissements de Rio Tinto,2021-06-07,26,https://ici.radio-canada.ca/nouvelle/1799616/rio-tinto-investissements-julie-dufour-elus-saguenay,2021-07-03 09:17:27
