Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie
Baie-Comeau ,élection OR campagne,1,Journal Le Manic,Baie-Comeau permettra le vote par correspondance pour les 70 ans et plus,2021-06-23,10,https://www.lemanic.ca/2021/06/23/baie-comeau-permettra-le-vote-par-correspondance-pour-les-70-ans-et-plus/,2021-07-03 09:23:07
Baie-Comeau ,élection OR campagne,2,Journal Le Manic,"Baie-Comeau, théâtre du premier match de baseball de l'année au Québec",2021-06-10,23,https://www.lemanic.ca/2021/06/10/baie-comeau-theatre-du-premier-match-de-baseball-de-lannee-au-quebec/,2021-07-03 09:23:07
Baie-Comeau ,élection OR campagne,3,ICI.Radio-Canada.ca,Pénurie de main-d'œuvre : le CISSS de la Côte-Nord pourrait devoir fermer des lits cet été,2021-06-17,16,https://ici.radio-canada.ca/nouvelle/1802213/emploi-hopital-sept-iles-baie-comeau-manque-infimiere-medecin-recrutement-embauche,2021-07-03 09:23:07
Baie-Comeau ,élection OR campagne,4,ICI.Radio-Canada.ca,"Migrer de la ville vers la région, une transition pas toujours facile",2021-06-05,28,https://ici.radio-canada.ca/nouvelle/1788083/neo-ruraux-village-integration-region,2021-07-03 09:23:07
Baie-Comeau ,élection OR campagne,5,Le Journal de Montréal,Les maisons des aînés sur la Côte-Nord tardent encore,2021-06-15,18,https://www.journaldemontreal.com/2021/06/15/les-maisons-des-aines-sur-la-cote-nord-tardent-encore-1,2021-07-03 09:23:08
Baie-Comeau ,élection OR campagne,6,Journal Le Manic,Pires routes du Québec : la liaison Matane-Côte-Nord au 2e rang,2021-06-05,28,https://www.lemanic.ca/2021/06/05/pires-routes-du-quebec-la-liaison-matane-cote-nord-au-2e-rang/,2021-07-03 09:23:08
Baie-Comeau ,élection OR campagne,7,Le Journal de Québec,Le Drakkar complète quatre transactions | JDQ,2021-06-23,10,https://www.journaldequebec.com/2021/06/23/hendrix-lapierre-officiellement-avec-le-titan,2021-07-03 09:23:08
Baie-Comeau ,élection OR campagne,8,Journal Le Manic,De la nouveauté à la Randonnée Vélo Santé Alcoa,2021-06-17,16,https://www.lemanic.ca/2021/06/17/de-la-nouveaute-a-la-randonnee-velo-sante-alcoa/,2021-07-03 09:23:08
Baie-Comeau ,élection OR campagne,9,Journal Le Manic,Vincent Roberge-Poitras parle à son modèle grâce à Judo Québec,2021-06-09,24,https://www.lemanic.ca/2021/06/09/vincent-roberge-poitras-parle-a-son-modele-grace-a-judo-quebec/,2021-07-03 09:23:08
Baie-Comeau ,élection OR campagne,10,TVA Sports,LHJMQ Hendrix Lapierre officiellement avec le Titan,2021-06-23,10,https://www.tvasports.ca/2021/06/23/hendrix-lapierre-officiellement-avec-le-titan-1,2021-07-03 09:23:09
Baie-Comeau ,élection OR campagne,11,Ma Côte-Nord,Les syndiqués en vacance sont invités à choisir les destinations Métallos,2021-06-21,12,https://macotenord.com/les-syndiques-en-vacance-sont-invites-a-choisir-les-destinations-metallos/,2021-07-03 09:23:09
Baie-Comeau ,élection OR campagne,12,Le Journal de Québec,Jusqu'à 1 M$ par chambre: des maisons des aînés qui vont coûter une vraie fortune,2021-06-04,29,https://www.journaldequebec.com/2021/06/04/des-maisons-des-aines-qui-vont-couter-une-vraie-fortune,2021-07-03 09:23:09
Baie-Comeau ,élection OR campagne,13,Journal Le Manic,Trois maires confirment leur présence à l'élection de 2021 dans la Manicouagan,2020-11-10,235,https://www.lemanic.ca/2020/11/10/trois-maires-confirment-leur-presence-a-lelection-de-2021-dans-la-manicouagan/,2021-07-03 09:23:09
Baie-Comeau ,élection OR campagne,14,Le Citoyen Rouyn - La Sarre,Repêchage LHJMQ : huit joueurs régionaux choisis,2021-06-26,7,https://www.lecitoyenrouynlasarre.com/article/2021/06/26/repechage-lhjmq-neuf-joueurs-regionaux-choisis,2021-07-03 09:23:09
Baie-Comeau ,élection OR campagne,15,Journal Le Manic,Le maire Étienne Baillargeon briguera les suffrages à Baie-Trinité,2021-03-25,100,https://www.lemanic.ca/2021/03/25/le-maire-etienne-baillargeon-briguera-les-suffrages-a-baie-trinite/,2021-07-03 09:23:09
Baie-Comeau ,élection OR campagne,16,Journal Le Manic,Le maire Montigny crée un comité citoyen contre le déclin démographique,2021-05-12,52,https://www.lemanic.ca/2021/05/12/le-maire-montigny-cree-un-comite-citoyen-pour-contrer-le-declin-demographique/,2021-07-03 09:23:10
Baie-Comeau ,élection OR campagne,17,ICI.Radio-Canada.ca,Rassemblement illégal au lac Malfait à Baie-Comeau,2021-05-03,61,https://ici.radio-canada.ca/nouvelle/1789996/fete-rassemblement-manicouagan-police-amendes,2021-07-03 09:23:10
Baie-Comeau ,élection OR campagne,18,Journal Le Manic,Élections municipales : de l'information pour ceux et celles qui pensent se présenter,2021-04-24,70,https://www.lemanic.ca/2021/04/24/elections-municipales-de-linformation-pour-ceux-et-celles-qui-pensent-se-presenter/,2021-07-03 09:23:10
Baie-Comeau ,élection OR campagne,19,Journal Le Manic,Des avancées pour le projet Baie-Comeau Minéral,2021-05-03,61,https://www.lemanic.ca/2021/05/03/des-avancees-pour-le-projet-baie-comeau-mineral/,2021-07-03 09:23:10
Baie-Comeau ,élection OR campagne,20,Journal Le Manic,COVID-19 : la campagne de vaccination se déroule positivement sur la Côte-Nord,2021-02-26,127,https://www.lemanic.ca/2021/02/26/covid-19-la-campagne-de-vaccination-se-deroule-positivement-sur-la-cote-nord/,2021-07-03 09:23:11
Baie-Comeau ,élection OR campagne,21,Journal Le Manic,Cinoche a son nouveau conseil d'administration,2021-05-27,37,https://www.lemanic.ca/2021/05/27/cinoche-a-son-nouveau-conseil-dadministration/,2021-07-03 09:23:11
Baie-Comeau ,élection OR campagne,22,Journal Le Manic,Un jeune de Baie-Comeau au premier Laboratoire des jeunes journalistes en environnement,2021-06-01,32,https://www.lemanic.ca/2021/06/01/un-jeune-de-baie-comeau-au-premier-laboratoire-des-jeunes-journalistes-en-environnement/,2021-07-03 09:23:12
Baie-Comeau ,élection OR campagne,23,ICI.Radio-Canada.ca,Réserve de biodiversité à Baie-Comeau : désaccord sur le tracé,2021-05-31,33,https://ici.radio-canada.ca/nouvelle/1794515/pointe-saint-gilles-reserve-biodiversite-baiecomeau-desaccord-municipalite,2021-07-03 09:23:12
Baie-Comeau ,élection OR campagne,24,La Presse,Baie-Comeau augmente son offre pour les campeurs itinérants,2021-05-13,51,https://www.lapresse.ca/voyage/quebec-et-canada/2021-05-13/baie-comeau-augmente-son-offre-pour-les-campeurs-itinerants.php,2021-07-03 09:23:12
Baie-Comeau ,élection OR campagne,25,Journal Le Manic,Connaissez-vous bien 2020 dans la Manicouagan?,2020-12-30,185,https://www.lemanic.ca/2020/12/30/connaissez-vous-bien-2020-dans-la-manicouagan/,2021-07-03 09:23:12
Baie-Comeau ,député,1,Journal Le Manic,Bilan de session : le secteur forestier préoccupe le député Ouellet,2021-06-16,17,https://www.lemanic.ca/2021/06/16/bilan-de-session-le-secteur-forestier-preoccupe-le-depute-ouellet/,2021-07-03 09:23:49
Baie-Comeau ,député,2,ICI.Radio-Canada.ca,Industrie forestière : Martin Ouellet veut éviter la perte définitive d'emplois,2021-06-17,16,https://ici.radio-canada.ca/nouvelle/1802265/usine-pate-papier-baie-comeau-martin-ouellet,2021-07-03 09:23:49
Baie-Comeau ,député,3,Mon Matane,"Éphémérides du 24 juin : bénédiction en 1962 du N.-A.-Comeau, premier traversier entre Matane et Baie-Comeau",2021-06-24,9,https://monmatane.com/ephemerides-du-24-juin-benediction-en-1962-du-n-a-comeau-premier-traversier-entre-matane-et-baie-comeau/,2021-07-03 09:23:49
Baie-Comeau ,député,4,Ma Côte-Nord,La fête du Canada transformée pour honorer la mémoire des enfants des pensionnats,2021-07-02,1,https://macotenord.com/la-fete-du-canada-transformee-pour-honorer-la-memoire-des-enfants-des-pensionnats/,2021-07-03 09:23:50
Baie-Comeau ,député,5,Journal Le Manic,Pires routes du Québec : la liaison Matane-Côte-Nord au 2e rang,2021-06-05,28,https://www.lemanic.ca/2021/06/05/pires-routes-du-quebec-la-liaison-matane-cote-nord-au-2e-rang/,2021-07-03 09:23:50
Baie-Comeau ,député,6,Journal Le Manic,Un spectacle de la Saint-Jean signé Chaud Bizzz,2021-06-16,17,https://www.lemanic.ca/2021/06/16/un-spectacle-de-la-saint-jean-signe-chaud-bizzz/,2021-07-03 09:23:50
Baie-Comeau ,député,7,Le Journal de Québec,Nos routes en déroute: bien des bris sur la route... d'un traversier,2021-06-05,28,https://www.journaldequebec.com/2021/06/05/nos-routes-en-deroute-bien-des-bris-sur-la-route-dun-traversier,2021-07-03 09:23:50
Baie-Comeau ,député,8,Mon Matane,Éphémérides du 21 juin : le capitaine Henri Piuze inaugure Place des Rochelais en 2002,2021-06-21,12,https://monmatane.com/ephemerides-du-21-juin-le-capitaine-henri-piuze-inaugure-place-des-rochelais-en-2002/,2021-07-03 09:23:50
Baie-Comeau ,député,9,Le Quotidien - Groupe Capitales Médias,Un duel de gardiens à prévoir en finale de la Coupe Stanley,2021-06-29,4,https://www.lequotidien.com/sports/un-duel-de-gardiens-a-prevoir-en-finale-de-la-coupe-stanley-43b1cdff10920735a3ab57a7e147f188,2021-07-03 09:23:51
Baie-Comeau ,député,10,Le Journal de Québec,Assemblée nationale: des élus arrivent avec leur glacière pour éviter de se déplacer à Québec,2021-04-13,81,https://www.journaldequebec.com/2021/04/13/des-elus-arrivent-avec-leur-glaciere,2021-07-03 09:23:51
Baie-Comeau ,député,11,Journal Le Manic,Le député Ouellet dit non à un éventuel reconfinement de la Côte-Nord,2021-01-05,179,https://www.lemanic.ca/2021/01/05/le-depute-ouellet-dit-non-a-un-eventuel-reconfinement-de-la-cote-nord/,2021-07-03 09:23:51
Baie-Comeau ,député,12,Journal Le Manic,Confinement : la Côte-Nord ne lance pas la serviette,2021-01-07,177,https://www.lemanic.ca/2021/01/07/confinement-la-cote-nord-ne-lance-pas-la-serviette/,2021-07-03 09:23:51
Baie-Comeau ,député,13,Journal Le Manic,Le député Ouellet « agréablement surpris » du retour au vert,2021-06-02,31,https://www.lemanic.ca/2021/06/02/le-depute-ouellet-agreablement-surpris-du-retour-au-vert/,2021-07-03 09:23:51
Baie-Comeau ,député,14,Journal Le Manic,Claude Montigny reçoit la médaille de l'Assemblée nationale,2020-12-17,198,https://www.lemanic.ca/2020/12/17/claude-montigny-recoit-la-medaille-de-lassemblee-nationale/,2021-07-03 09:23:52
Baie-Comeau ,député,15,Journal Le Manic,Pandémie et relance économique interpellent le député Ouellet,2020-09-11,295,https://www.lemanic.ca/2020/09/11/pandemie-et-relance-economique-interpellent-le-depute-ouellet/,2021-07-03 09:23:52
Baie-Comeau ,député,16,Journal Le Manic,Palier d'alerte : le député Ouellet parle plutôt d'un orange foncé ou d'un rouge pâle pour la Côte-Nord,2021-02-03,150,https://www.lemanic.ca/2021/02/03/palier-dalerte-le-depute-ouellet-parle-plutot-dun-orange-fonce-ou-dun-rouge-pale-pour-la-cote-nord/,2021-07-03 09:23:52
Baie-Comeau ,député,17,Journal Le Manic,"F.-A.-Gauthier : le député Martin Ouellet parle d'un ""fiasco sur toute la ligne""",2020-10-29,247,https://www.lemanic.ca/2020/10/29/64257/,2021-07-03 09:23:53
Baie-Comeau ,député,18,La Presse,Baie-Comeau retient son souffle | La Presse,2021-04-28,66,https://www.lapresse.ca/covid-19/2021-04-28/baie-comeau-retient-son-souffle.php,2021-07-03 09:23:53
Baie-Comeau ,député,19,Journal Le Manic,"Retour en zone orange : ""C'est un coup dur, mais il faut faire avec""",2021-04-13,81,https://www.lemanic.ca/2021/04/13/76803/,2021-07-03 09:23:53
Baie-Comeau ,député,20,Journal Le Manic,Menaces et réseaux sociaux : Marilène Gill connaît bien ça,2021-01-26,158,https://www.lemanic.ca/2021/01/26/menaces-et-reseaux-sociaux-marilene-gill-connait-bien-ca/,2021-07-03 09:23:54
Baie-Comeau ,député,21,Le Soleil - Groupe Capitales Médias,Photo d'un député nu: le bloquiste Sébastien Lemire présente ses excuses,2021-04-21,73,https://www.lesoleil.com/actualite/photo-dun-depute-nu-le-bloquiste-sebastien-lemire-presente-ses-excuses-b1e4ef58ae8714cacf1ddcf56c61706b,2021-07-03 09:23:54
Baie-Comeau ,député,22,Le Soleil - Groupe Capitales Médias,Le député Will Amos «nu» lors de la période de questions à Ottawa,2021-04-14,80,https://www.lesoleil.com/actualite/le-depute-will-amos-nu-lors-de-la-periode-de-questions-a-ottawa-fba299fc5f3807b71753a2768f4adde6,2021-07-03 09:23:54
Baie-Comeau ,député,23,Le Soleil - Groupe Capitales Médias,Le député libéral William Amos encore dans l'embarras après avoir été vu uriner,2021-05-28,36,https://www.lesoleil.com/actualite/le-depute-liberal-william-amos-encore-dans-lembarras-apres-avoir-ete-vu-uriner-c5df02dc02073f378963658c0ac8649e,2021-07-03 09:23:54
Baie-Comeau ,député,24,Journal Le Manic,Le Dépannage de l'Anse exprime sa gratitude,2020-12-23,192,https://www.lemanic.ca/2020/12/23/66037/,2021-07-03 09:23:55
Baie-Comeau ,député,25,ICI.Radio-Canada.ca,Réserve de biodiversité à Baie-Comeau : désaccord sur le tracé,2021-05-31,33,https://ici.radio-canada.ca/nouvelle/1794515/pointe-saint-gilles-reserve-biodiversite-baiecomeau-desaccord-municipalite,2021-07-03 09:23:55
Baie-Comeau ,arme à feu,1,Journal Le Manic,L'accès facile aux armes à feu augmente les risques de suicide,2020-09-29,277,https://www.lemanic.ca/2020/09/29/lacces-facile-aux-armes-a-feu-augmente-les-risques-de-suicide/,2021-07-03 09:24:03
Baie-Comeau ,arme à feu,2,ICI.Radio-Canada.ca,La chasse à l'orignal à l'arme à feu ouverte dans le sud de la Côte-Nord,2020-09-26,280,https://ici.radio-canada.ca/nouvelle/1736726/zone-18-baie-comeau-haute-cote-nord-carabine-gibier-manicouagan,2021-07-03 09:24:03
Baie-Comeau ,arme à feu,3,Journal Le Manic,Un ado sauve son ami d'un camp de chasse en feu,2020-10-07,269,https://www.lemanic.ca/2020/10/07/un-ado-sauve-son-ami-dun-camp-de-chasse-en-feu/,2021-07-03 09:24:04
Baie-Comeau ,arme à feu,4,Journal Le Manic,Sept mois de travaux pour refaire le pont de la rivière à La Chasse,2021-04-15,79,https://www.lemanic.ca/2021/04/15/sept-mois-de-travaux-pour-refaire-le-pont-de-la-riviere-a-la-chasse/,2021-07-03 09:24:04
Baie-Comeau ,arme à feu,5,Le Soleil - Groupe Capitales Médias,Une communauté innue crie au profilage racial après une interpellation musclée,2021-02-03,150,https://www.lesoleil.com/actualite/en-region/une-communaute-innue-crie-au-profilage-racial-apres-une-interpellation-musclee-a6f4c02dfa869a68a87440b4e24bc1a9,2021-07-03 09:24:04
Baie-Comeau ,arme à feu,6,ICI.Radio-Canada.ca,Ouverture de la chasse à l'orignal à l'arc et à l'arbalète dans la zone 18,2020-09-07,299,https://ici.radio-canada.ca/nouvelle/1731717/chasse-orignal-arc-arbalete-zone-18-cote-nord-minganie,2021-07-03 09:24:04
Baie-Comeau ,arme à feu,7,La Presse,Fuite d'huile | Le F.-A. Gauthier encore cloué au quai,2021-04-09,85,https://www.lapresse.ca/actualites/2021-04-09/fuite-d-huile/le-f-a-gauthier-encore-cloue-au-quai.php,2021-07-03 09:24:04
Baie-Comeau ,arme à feu,8,Le Soleil - Groupe Capitales Médias,Ottawa lance un appel d'offres pour le rachat des armes d'assaut de type militaire,2020-08-12,325,https://www.lesoleil.com/actualite/ottawa-lance-un-appel-doffres-pour-le-rachat-des-armes-dassaut-de-type-militaire-66df549c82d616829f9f06966c1f3f5b,2021-07-03 09:24:05
Baie-Comeau ,arme à feu,9,ICI.Radio-Canada.ca,Un engouement pour la chasse qui cause joies et maux de tête sur la Côte-Nord,2020-09-19,287,https://ici.radio-canada.ca/nouvelle/1735126/chasse-orignal-sept-iles-covid-19-plein-air-arme-feu,2021-07-03 09:24:05
Baie-Comeau ,arme à feu,10,Le Soleil - Groupe Capitales Médias,Accusé d'avoir braqué son arme sur une ado de 15 ans,2021-04-27,67,https://www.lesoleil.com/actualite/accuse-davoir-braque-son-arme-sur-une-ado-de-15-ans-0c9c693618cc97351de2cf2eea11ff6e,2021-07-03 09:24:05
Baie-Comeau ,arme à feu,11,ICI.Radio-Canada.ca,Des plongeurs arrêtés pour braconnage de homards près de Baie-Comeau,2020-08-13,324,https://ici.radio-canada.ca/nouvelle/1726161/braconniers-homard-plongee-baie-comeau-peche-oceans-cote-nord-illegal,2021-07-03 09:24:05
Baie-Comeau ,arme à feu,12,Le Soleil - Groupe Capitales Médias,Un patient de l'hôpital de Baie-Comeau met le feu à des couvertures,,,https://www.lesoleil.com/actualite/justice-et-faits-divers/un-patient-de-lhopital-de-baie-comeau-met-le-feu-a-des-couvertures-773820f9eb0bcd884f615d87b35a72e1,2021-07-03 09:24:05
Baie-Comeau ,arme à feu,13,Le Soleil - Groupe Capitales Médias,Une fusillade à Indianapolis fait huit morts et plusieurs blessés,2021-04-16,78,https://www.lesoleil.com/actualite/une-fusillade-a-indianapolis-fait-huit-morts-et-plusieurs-blesses-3df37e3617cc76e2a031a634e2470742,2021-07-03 09:24:06
Baie-Comeau ,arme à feu,14,Journal Le Manic,Actualité Ligne Micoua-Saguenay : le déboisement mis sur pause pendant la chasse,2020-09-24,282,https://www.lemanic.ca/2020/09/24/ligne-micoua-saguenay-le-deboisement-mis-sur-pause-pendant-la-chasse/,2021-07-03 09:24:06
Baie-Comeau ,arme à feu,15,Journal Le Manic,Saisie et arrestation à Essipit,2021-02-26,127,https://www.lemanic.ca/2021/02/26/saisie-et-arrestation-a-essipit/,2021-07-03 09:24:06
Baie-Comeau ,arme à feu,16,Journal Le Manic,Menaces et réseaux sociaux : Marilène Gill connaît bien ça,2021-01-26,158,https://www.lemanic.ca/2021/01/26/menaces-et-reseaux-sociaux-marilene-gill-connait-bien-ca/,2021-07-03 09:24:06
Baie-Comeau ,arme à feu,17,Journal Le Manic,Deux décès par arme à feu à Fermont,,,https://www.lemanic.ca/2019/01/04/deux-deces-par-arme-a-feu-a-fermont/,2021-07-03 09:24:07
Baie-Comeau ,arme à feu,18,ICI.Radio-Canada.ca,"Un corps retrouvé aux abords du lac Noir, à Saint-Athanase",2021-05-24,40,https://ici.radio-canada.ca/nouvelle/1795583/corps-retrouve-lac-noir-saint-athanase-michel-morin,2021-07-03 09:24:07
Baie-Comeau ,arme à feu,19,ICI.Radio-Canada.ca,Des policiers dénoncent la présence d'armes de type militaire à Nutashkuan,,,https://ici.radio-canada.ca/nouvelle/1718221/nutashkuan-natashquan-surete-quebec-sq-police-arme-arrestation,2021-07-03 09:24:08
