Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie
Baie-Comeau ,premier ministre,1,CNW Telbec,"Fonds d'initiatives nordiques - 21 projets de la Côte-Nord bénéficient d'un soutien de 1,9 M$",2021-06-30,3,https://www.newswire.ca/fr/news-releases/fonds-d-initiatives-nordiques-21-projets-de-la-cote-nord-beneficient-d-un-soutien-de-1-9-m--857487303.html,2021-07-03 19:07:04
Baie-Comeau ,premier ministre,2,Le Journal de Québec,"«On vous tend la main, M. Legault», dit le président d'Alliance forêt boréale",2021-06-17,16,https://www.journaldequebec.com/2021/06/17/on-vous-tend-la-main-m-legault-dit-le-president-dalliance-foret-boreale,2021-07-03 19:07:04
Baie-Comeau ,premier ministre,3,ICI.Radio-Canada.ca,Industrie forestière : Martin Ouellet veut éviter la perte définitive d'emplois,2021-06-17,16,https://ici.radio-canada.ca/nouvelle/1802265/usine-pate-papier-baie-comeau-martin-ouellet,2021-07-03 19:07:04
Baie-Comeau ,premier ministre,4,Journal Le Manic,"Le Fonds d'initiatives nordiques verse 1,9 M$ dans 21 projets sur la Côte-Nord",2021-07-02,1,https://www.lemanic.ca/2021/07/02/le-fonds-dinitiatives-nordiques-verse-19-m-dans-21-projets-sur-la-cote-nord/,2021-07-03 19:07:05
Baie-Comeau ,premier ministre,5,Journal Le Manic,Baie-Comeau cible à nouveau le pavillon Mance pour la Maison du premier ministre,2021-04-20,74,https://www.lemanic.ca/2021/04/20/baie-comeau-cible-a-nouveau-le-pavillon-mance-pour-la-maison-du-premier-ministre/,2021-07-03 19:07:05
Baie-Comeau ,premier ministre,6,Mon Matane,Éphémérides du 15 juin : René Lévesque président d'honneur du Festival de la crevette en 1979,2021-06-15,18,https://monmatane.com/ephemerides-du-15-juin-rene-levesque-president-dhonneur-du-festival-de-la-crevette-en-1979/,2021-07-03 19:07:05
Baie-Comeau ,premier ministre,7,Le Journal de Québec,Nos routes en déroute: bien des bris sur la route... d'un traversier,2021-06-05,28,https://www.journaldequebec.com/2021/06/05/nos-routes-en-deroute-bien-des-bris-sur-la-route-dun-traversier,2021-07-03 19:07:05
Baie-Comeau ,premier ministre,8,Journal Le Manic,Pâtes et papiers : le plan de sauvetage du premier ministre Legault ravit la Manicouagan,2021-03-12,113,https://www.lemanic.ca/2021/03/12/pates-et-papiers-le-plan-de-sauvetage-du-premier-ministre-legault-ravit-la-manicouagan/,2021-07-03 19:07:05
Baie-Comeau ,premier ministre,9,ICI.Radio-Canada.ca,Fermeture de Produits forestiers Résolu : Legault promet un « énorme plan »,2021-03-12,113,https://ici.radio-canada.ca/nouvelle/1776769/resolu-fermeture-industrie-forestiere-diversification,2021-07-03 19:07:05
Baie-Comeau ,premier ministre,10,Journal Le Manic,Deux appels de Brian Mulroney pour Samuel,2020-12-01,214,https://www.lemanic.ca/2020/12/01/deux-appels-de-brian-mulroney-pour-samuel/,2021-07-03 19:07:05
Baie-Comeau ,premier ministre,11,Journal Le Manic,Confinement : la Côte-Nord ne lance pas la serviette,2021-01-07,177,https://www.lemanic.ca/2021/01/07/confinement-la-cote-nord-ne-lance-pas-la-serviette/,2021-07-03 19:07:06
Baie-Comeau ,premier ministre,12,Journal Le Manic,« On se demande tous ce que ça va prendre pour tomber en zone jaune » - Yves Montigny,2021-03-04,121,https://www.lemanic.ca/2021/03/04/on-se-demande-tous-ce-que-ca-va-prendre-pour-tomber-en-zone-jaune-yves-montigny/,2021-07-03 19:07:06
Baie-Comeau ,premier ministre,13,ICI.Radio-Canada.ca,La Côte-Nord passera au palier d'alerte jaune le lundi 24 mai,2021-05-20,44,https://ici.radio-canada.ca/nouvelle/1794301/palier-alerte-region-cote-nord-pandemie-covid-tourime,2021-07-03 19:07:06
Baie-Comeau ,premier ministre,14,La Presse,Résolu ferme ses usines d'Amos et de Baie-Comeau,2021-04-30,64,https://www.lapresse.ca/affaires/entreprises/2021-04-30/resolu-ferme-ses-usines-d-amos-et-de-baie-comeau.php,2021-07-03 19:07:06
Baie-Comeau ,premier ministre,15,Journal Le Manic,Actualité La Côte-Nord revient en zone jaune,2021-03-17,108,https://www.lemanic.ca/2021/03/17/la-cote-nord-revient-en-zone-jaune/,2021-07-03 19:07:06
Baie-Comeau ,premier ministre,16,Le Journal de Québec,«Petit déconfinement»: le Québec coupé en deux,2021-02-02,151,https://www.journaldequebec.com/2021/02/02/en-direct-covid-19-legault-fait-le-point-sur-lallegement-des-mesures-sanitaires-au-quebec,2021-07-03 19:07:06
Baie-Comeau ,premier ministre,17,ICI.Radio-Canada.ca,Budget 2021 : déception sur la Côte-Nord | Budget du Québec 2021,2021-03-26,99,https://ici.radio-canada.ca/nouvelle/1780354/budget-quebec-2021-deception-elus-cote-nord-chambre-commerce-forets,2021-07-03 19:07:06
Baie-Comeau ,premier ministre,18,Radio-Canada.ca,Troisième lien : le gouvernement accusé « d'utiliser » l'est du Québec | 3e lien,2021-05-26,38,https://ici.radio-canada.ca/nouvelle/1794747/tunnel-quebec-levis-cote-nord-bas-saint-laurentreactions-prudence,2021-07-03 19:07:07
Baie-Comeau ,premier ministre,19,ICI.Radio-Canada.ca,La Côte-Nord en zone jaune dès jeudi,2020-09-29,277,https://ici.radio-canada.ca/nouvelle/1737243/cote-nord-zone-jaune-prealerte-coronavirus,2021-07-03 19:07:07
Baie-Comeau ,premier ministre,20,Journal Le Manic,Le premier ministre François Legault veut interdire tous les vols internationaux non essentiels,2021-01-19,165,https://www.lemanic.ca/2021/01/19/le-premier-ministre-francois-legault-veut-interdire-tous-les-vols-internationaux-non-essentiels/,2021-07-03 19:07:07
Baie-Comeau ,premier ministre,21,ICI.Radio-Canada.ca,Une dernière condition avant de lancer le projet de parc éolien Apuiat,2020-07-17,351,https://ici.radio-canada.ca/nouvelle/1720323/francois-legault-eolien-apuiat-hydro-quebec-sante-urgences,2021-07-03 19:07:07
Baie-Comeau ,premier ministre,22,Journal Le Manic,La Côte-Nord retrouve le palier orange dès mercredi,2021-04-13,81,https://www.lemanic.ca/2021/04/13/la-cote-nord-retrouve-le-palier-orange-des-mercredi/,2021-07-03 19:07:07
Baie-Comeau ,premier ministre,23,Journal Le Manic,François Legault à Baie-Comeau vendredi,2020-07-15,353,https://www.lemanic.ca/2020/07/15/francois-legault-a-baie-comeau-vendredi/,2021-07-03 19:07:07
Baie-Comeau ,premier ministre,24,Journal Le Manic,Relâche : un « gros test » qui inquiète le premier ministre Legault,2021-02-23,130,https://www.lemanic.ca/2021/02/23/relache-un-gros-test-qui-inquiete-le-premier-ministre-legault/,2021-07-03 19:07:07
Baie-Comeau ,premier ministre,25,La Presse,Baie-Comeau retient son souffle | La Presse,2021-04-28,66,https://www.lapresse.ca/covid-19/2021-04-28/baie-comeau-retient-son-souffle.php,2021-07-03 19:07:08
Baie-Comeau ,climat,1,Le Journal de Québec,Réouverture de l'usine d'Arbec de Port-Cartier,2021-06-30,3,https://www.journaldequebec.com/2021/06/30/reouverture-de-lusine-darbec-de-port-cartier-1,2021-07-03 19:07:43
Baie-Comeau ,climat,2,La Terre de chez nous,Serveurs informatiques : une source de chaleur à explorer | La Terre de Chez Nous,2021-06-20,13,https://www.laterre.ca/utiliterre/technique/serveurs-informatiques-une-source-de-chaleur-a-explorer,2021-07-03 19:07:43
Baie-Comeau ,climat,3,Journal Le Manic,Près de 150 personnes marchent pour le climat à Baie-Comeau,,,https://www.lemanic.ca/2019/09/27/les-gens-marchent-pour-le-climat-a-baie-comeau/,2021-07-03 19:07:43
Baie-Comeau ,climat,4,Le Journal de Québec,"«On vous tend la main, M. Legault», dit le président d'Alliance forêt boréale",2021-06-17,16,https://www.journaldequebec.com/2021/06/17/on-vous-tend-la-main-m-legault-dit-le-president-dalliance-foret-boreale,2021-07-03 19:07:43
