Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie
Boischatel ,élection OR campagne,1,Le Soleil - Groupe Capitales Médias,Incendie à Boischatel: un homme de 46 ans perd la vie [VIDÉO],2020-12-13,202,https://www.lesoleil.com/actualite/justice-et-faits-divers/incendie-a-boischatel-un-homme-de-46-ans-perd-la-vie-video-2fc7a76163e282edcb79853d85d9a3dc,2021-07-03 09:34:25
Boischatel ,élection OR campagne,2,Le Journal de Québec,75 000 $ en bourses,2020-12-03,212,https://www.journaldequebec.com/2020/12/03/75000-en-bourses,2021-07-03 09:34:25
Boischatel ,élection OR campagne,3,Le Journal de Québec,"Nos actions, votre soutien, leur réussite | JDQ",2021-04-17,77,https://www.journaldequebec.com/2021/04/17/nos-actions-votre-soutien-leur-reussite,2021-07-03 09:34:25
Boischatel ,élection OR campagne,4,Le Journal de Montréal,Christopher Pouliot: une «patte gauche» à surveiller,2020-12-12,203,https://www.journaldemontreal.com/2020/12/12/christopher-pouliot--une-patte-gauche-a-surveiller,2021-07-03 09:34:25
Boischatel ,élection OR campagne,5,Le Soleil - Groupe Capitales Médias,Un homme survit après une chute dans la rivière Montmorency au cours d'une dispute,,,https://www.lesoleil.com/actualite/justice-et-faits-divers/un-homme-survit-apres-une-chute-dans-la-riviere-montmorency-au-cours-dune-dispute-22a5d8c501eecb57bbe2fac59203f6bc,2021-07-03 09:34:26
Boischatel ,élection OR campagne,6,TVA Nouvelles,Mairie de Québec Régis Labeaume quitte la vie politique,2021-05-05,59,https://www.tvanouvelles.ca/2021/05/05/labeaume-fait-le-point-sur-son-avenir-politique,2021-07-03 09:34:26
Boischatel ,élection OR campagne,7,Québec Hebdo,Sensibilisation à la sécurité routière en milieu scolaire,2021-05-24,40,https://www.quebechebdo.com/local/journal-lappel/255605/sensibilisation-a-la-securite-routiere-en-milieu-scolaire/,2021-07-03 09:34:26
Boischatel ,élection OR campagne,8,Le Soleil - Groupe Capitales Médias,Des coups de feu tirés à Boischatel | Justice et faits divers | Actualités,,,https://www.lesoleil.com/actualite/justice-et-faits-divers/des-coups-de-feu-tires-a-boischatel-522624f681113e9c11a1a10415b198ce,2021-07-03 09:34:26
Boischatel ,élection OR campagne,9,Le Soleil - Groupe Capitales Médias,La retraite pour Donald Theetge en LMS | Sports,2021-05-20,44,https://www.lesoleil.com/sports/la-retraite-pour-donald-theetge-en-lms-ece205e3a7e3253d0574fe223c8b31a6,2021-07-03 09:34:26
Boischatel ,élection OR campagne,10,Le Journal de Québec,"Le tramway d'abord, les banlieues ensuite",2021-02-18,135,https://www.journaldequebec.com/2021/02/18/tramway-dabord-et-banlieues-ensuite,2021-07-03 09:34:27
Boischatel ,élection OR campagne,11,Le Journal de Québec,La « faim » de l'histoire,,,https://www.journaldequebec.com/2019/02/06/la-faim-de-lhistoire,2021-07-03 09:34:27
Boischatel ,élection OR campagne,12,Le Journal de Québec,Le «fuyard en bobettes» plaide coupable | JDQ,,,https://www.journaldequebec.com/2019/10/08/le-fuyard-en-bobettes-plaide-coupable,2021-07-03 09:34:27
Boischatel ,élection OR campagne,13,Le Soleil - Groupe Capitales Médias,Le pont de Québec fermé en soirée pendant trois jours,2020-08-12,325,https://www.lesoleil.com/actualite/la-capitale/le-pont-de-quebec-ferme-en-soiree-pendant-trois-jours-6f8eea4f00882e0addc73bd6523d9167,2021-07-03 09:34:27
Boischatel ,élection OR campagne,14,La Presse,Ski acrobatique | Marion Thénault remporte l'or au Kazakhstan,2021-03-13,112,https://www.lapresse.ca/sports/sports-d-hiver/2021-03-13/ski-acrobatique/marion-thenault-remporte-l-or-au-kazakhstan.php,2021-07-03 09:34:27
Boischatel ,élection OR campagne,15,Le Journal de Québec,Voici 15 cantines de la région de Québec à visiter pour une bonne poutine!,,,https://www.journaldequebec.com/2019/07/01/voici-15-cantines-de-la-region-de-quebec-a-visiter-pour-une-bonne-poutine,2021-07-03 09:34:27
Boischatel ,élection OR campagne,16,Le Soleil - Groupe Capitales Médias,Gélinas et Peley confirmés par les Diamants et les Alouettes,2020-12-09,206,https://www.lesoleil.com/sports/gelinas-et-peley-confirmes-par-les-diamants-et-les-alouettes-118b92164ab093f76b89503e04c33042,2021-07-03 09:34:28
Boischatel ,élection OR campagne,17,Le Soleil - Groupe Capitales Médias,Un corps repêché dans la rivière Montmorency | Justice et faits divers | Actualités,,,https://www.lesoleil.com/actualite/justice-et-faits-divers/un-corps-repeche-dans-la-riviere-montmorency-55807900e27d753907a43431ac846b16,2021-07-03 09:34:28
Boischatel ,élection OR campagne,18,Le Nouvelliste - Groupe Capitales Médias,"Vol de colis, même en Mauricie | Actualités",2020-12-19,196,https://www.lenouvelliste.ca/ma-region/vol-de-colis-meme-en-mauricie-6bf8d377623dd2a50a975f350170670e,2021-07-03 09:34:28
Boischatel ,élection OR campagne,19,Le Journal de Québec,Une course à oublier pour Labbé et Theetge,2020-10-31,245,https://www.journaldequebec.com/2020/10/31/une-course-a-oublier-pour-labbe-et-theetge,2021-07-03 09:34:28
Boischatel ,élection OR campagne,20,Le Devoir,Où vivent les plus riches et les plus pauvres?,,,https://www.ledevoir.com/documents/special/17-10_carte-revenu-median/index.html,2021-07-03 09:34:28
Boischatel ,élection OR campagne,21,Le Journal de Québec,La Parade des jouets en formule safari,2020-11-06,239,https://www.journaldequebec.com/2020/11/06/la-parade-des-jouets-en-formule-safari,2021-07-03 09:34:28
Boischatel ,élection OR campagne,22,Le Soleil - Groupe Capitales Médias,Le feu détruit une résidence à L'Ange-Gardien,,,https://www.lesoleil.com/actualite/justice-et-faits-divers/le-feu-detruit-une-residence-a-lange-gardien-c3d34bb8da309b59cbab1fda7ae9eb0e,2021-07-03 09:34:29
Boischatel ,élection OR campagne,23,Le Soleil - Groupe Capitales Médias,"Blessé en sortant d'une maison hantée, il poursuit le Village québécois d'Antan",,,https://www.lesoleil.com/actualite/justice-et-faits-divers/blesse-en-sortant-dune-maison-hantee-il-poursuit-le-village-quebecois-dantan-bfe9ea741ee7f8dfd3de6e580bbbd55c,2021-07-03 09:34:29
Boischatel ,élection OR campagne,24,LeLézard.com,Soutien aux infrastructures récréatives et sportives - Les gouvernements du Canada et du Québec investissent dans 17 projets récréatifs et sportifs dans la région de la Capitale-Nationale,2021-04-06,88,https://www.lelezard.com/communique-19735244.html,2021-07-03 09:34:29
Boischatel ,élection OR campagne,25,Le Soleil - Groupe Capitales Médias,Importante saisie de stupéfiants à Beauport | Justice et faits divers | Actualités,,,https://www.lesoleil.com/actualite/justice-et-faits-divers/importante-saisie-de-stupefiants-a-beauport-cabb6809434ba0d1aefc9b6ab99a84e0,2021-07-03 09:34:29
Boischatel ,député,1,CNW Telbec,Soutien aux infrastructures récréatives et sportives - Les gouvernements du Canada et du Québec investissent dans 17 projets récréatifs et sportifs dans la région de la Capitale-Nationale,2021-04-06,88,https://www.newswire.ca/fr/news-releases/soutien-aux-infrastructures-recreatives-et-sportives-les-gouvernements-du-canada-et-du-quebec-investissent-dans-17-projets-recreatifs-et-sportifs-dans-la-region-de-la-capitale-nationale-801198205.html,2021-07-03 09:35:06
Boischatel ,député,2,Québec Hebdo,La fibre optique déployée pour 2510 foyers d'ici 2022,2021-05-07,57,https://www.quebechebdo.com/local/journal-lautre-voix/253707/la-fibre-optique-deployee-pour-2510-foyers-dici-2022/,2021-07-03 09:35:07
Boischatel ,député,3,Le Journal de Montréal,Politique Brusque décès de Michel Guimond,,,https://www.journaldemontreal.com/2015/01/19/lex-bloquiste-michel-guimond-est-mort,2021-07-03 09:35:07
Boischatel ,député,4,Le Soleil - Groupe Capitales Médias,COVID-19: plus de 50 cas dans la Capitale-Nationale et 16 en Chaudière-Appalaches,2021-03-12,113,https://www.lesoleil.com/actualite/la-capitale/covid-19-plus-de-50-cas-dans-la-capitale-nationale-et-16-en-chaudiere-appalaches-cef62e1b14c8e4d379770bc12e3aaf3d,2021-07-03 09:35:07
Boischatel ,député,5,ICI.Radio-Canada.ca,"Un Noël historique dans la région de Québec, des évacuations par centaines",2020-12-26,189,https://ici.radio-canada.ca/nouvelle/1759518/inondations-noel-quebec-2020-pluie-records-capitale-nationale,2021-07-03 09:35:07
Boischatel ,député,6,Le Soleil - Groupe Capitales Médias,Boischatel largue le RTC | La Capitale | Actualités,,,https://www.lesoleil.com/actualite/la-capitale/boischatel-largue-le-rtc-2e490a2ae0649c86a878952bf0dce0a8,2021-07-03 09:35:08
Boischatel ,député,7,Le Journal de Québec,Le compas dans l'œil...,2020-08-19,318,https://www.journaldequebec.com/2020/08/19/le-compas-dans-lil,2021-07-03 09:35:08
