Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie
Chambly ,accident,1,Chambly Matin,"Accident mortel impliquant un cycliste à Marieville - Chambly Matin - Journal le Chambly Matin, Montérégie Quotidien",2021-06-09,24,https://www.chamblymatin.com/information/nouvelles/manchettes-locales/ville-de-marieville-faits-divers-accident-mortel-cycliste-surete-du-quebec.html,2021-07-03 08:42:49
Chambly ,accident,2,Le Journal de Chambly,Accident sur le boulevard de Périgny - Le journal de Chambly,2021-03-02,123,https://www.journaldechambly.com/accident-sur-le-boulevard-de-perigny-2/,2021-07-03 08:42:50
Chambly ,accident,3,actu.fr,"[MIS À JOUR] Grave accident à Chambly, une voiture chute de plusieurs mètres",2021-05-13,51,https://actu.fr/hauts-de-france/chambly_60139/chambly-grave-accident-de-la-route-a-cote-du-stade_41829685.html,2021-07-03 08:42:50
Chambly ,accident,4,Chambly Matin,"Un camion semi-remorque fait une sortie de route vendredi à Marieville - Chambly Matin - Journal le Chambly Matin, Montérégie Quotidien",2021-05-03,61,https://www.chamblymatin.com/information/nouvelles/manchettes-locales/ville-de-marieville-accident-service-incendie-de-marieville-faits-divers.html,2021-07-03 08:42:50
Chambly ,accident,5,Ouest-France,Euro 2021. Le malaise cardiaque de Christian Eriksen s’ajoute à une liste beaucoup trop longue,2021-06-12,21,https://www.ouest-france.fr/euro/euro-2021-le-malaise-cardiaque-de-christian-eriksen-s-ajoute-a-une-liste-beaucoup-trop-longue-3b459ada-cba6-11eb-999d-2d92d8ad77b3,2021-07-03 08:42:51
Chambly ,accident,6,actu.fr,Chambly : un accident de la route fait cinq blessés sur la D1001,2021-03-14,111,https://actu.fr/hauts-de-france/chambly_60139/chambly-un-accident-de-la-route-fait-cinq-blesses-sur-la-d1001_40209797.html,2021-07-03 08:42:51
Chambly ,accident,7,Le Journal de Chambly,Les conclusions du coroner - Le journal de Chambly,2021-06-02,31,https://www.journaldechambly.com/les-conclusions-du-coroner/,2021-07-03 08:42:51
Chambly ,accident,8,La Voix de l'est - Groupe Capitales Médias,Accident sur l'A10: plusieurs accusations pour deux jeunes,2021-05-31,33,https://www.lavoixdelest.ca/actualites/accident-sur-la10-plusieurs-accusations-pour-deux-jeunes-8e334534dfb47b338c52e3020785ceda,2021-07-03 08:42:52
Chambly ,accident,9,Le Journal de Chambly,Une collecte pour Mathieu Gendron-De Guire - Le journal de Chambly,2020-12-10,205,https://www.journaldechambly.com/entre-la-vie-et-la-mort/,2021-07-03 08:42:52
Chambly ,accident,10,Le Journal de Chambly,Remercier les accidents - Le journal de Chambly Ce n'est pas,2021-04-03,91,https://www.journaldechambly.com/remercier-les-accidents/,2021-07-03 08:42:53
Chambly ,accident,11,Oise Hebdo,Une personne désincarcérée après un accident entre trois voitures près de Méru,2021-02-16,137,https://www.oisehebdo.fr/2021/02/16/une-personne-desincarceree-apres-un-accident-entre-trois-voitures-pres-de-meru/,2021-07-03 08:42:53
Chambly ,accident,12,Le Journal de Chambly,Un camion en fâcheuse position - Le journal de Chambly,2020-11-25,220,https://www.journaldechambly.com/un-camion-en-facheuse-position/,2021-07-03 08:42:53
Chambly ,accident,13,Chambly Matin,"Accident mortel de motoneige à Rougemont - Chambly Matin - Journal le Chambly Matin, Montérégie Quotidien",2021-01-25,159,https://www.chamblymatin.com/information/nouvelles/manchettes-locales/faits-divers-ville-de-rougemont-accident-de-motoneige-surete-du-quebec-accident-mortel.html,2021-07-03 08:42:54
Chambly ,accident,14,actu.fr,Oise : six blessés dans un accident entre deux voitures près de Méru,2021-04-13,81,https://actu.fr/hauts-de-france/andeville_60012/oise-six-blesses-dans-un-accident-entre-deux-voitures-pres-de-meru_41010846.html,2021-07-03 08:42:54
Chambly ,accident,15,actu.fr,Fresnoy-en-Thelle : une femme meurt dans un accident de la route,2021-01-14,170,https://actu.fr/hauts-de-france/fresnoy-en-thelle_60259/fresnoy-en-thelle-un-mort-dans-un-accident-de-la-route_38732945.html,2021-07-03 08:42:54
Chambly ,accident,16,actu.fr,Belle-Eglise : une personne désincarcérée par les pompiers après un accident de la route,2021-05-04,60,https://actu.fr/hauts-de-france/belle-eglise_60060/belle-eglise-une-personne-desincarceree-par-les-pompiers-apres-un-accident-de-la-route_41564914.html,2021-07-03 08:42:54
Chambly ,accident,17,Courrier Picard,Oise: une passagère de 38 ans décède dans un accident à Anserville,2021-02-13,140,https://www.courrier-picard.fr/id165204/article/2021-02-13/oise-circulation-interrompue-sur-la-d1001-hauteur-de-sainte-genevieve,2021-07-03 08:42:55
Chambly ,accident,18,Le Journal de Chambly,Accident mortel à Carignan - Le journal de Chambly,,,https://www.journaldechambly.com/accident-mortel-a-carignan/,2021-07-03 08:42:55
Chambly ,accident,19,Info Dimanche,Accident spectaculaire à Rivière-du-Loup | infodimanche.com,2021-05-10,54,https://www.infodimanche.com/actualites/faits-divers/425815/accident-spectaculaire-a-riviere-du-loup,2021-07-03 08:42:55
Chambly ,accident,20,Le Journal de Chambly,Plusieurs camions et voitures impliqués dans l'accident de l'A10 - Le journal de Chambly,,,https://www.journaldechambly.com/plusieurs-camions-et-voitures-impliques/,2021-07-03 08:42:55
Chambly ,accident,21,Le Journal de Chambly,Importants accidents sur l'autoroute 10 entre Marieville et Richelieu - Le journal de Chambly,,,https://www.journaldechambly.com/autoroute-10-fermee-entre-marieville-et-richelieu/,2021-07-03 08:42:55
Chambly ,accident,22,Le Courrier picard,"Un carambolage fait un mort sur l’A1 dans l’Oise, la circulation très perturbée",2021-06-02,31,https://www.courrier-picard.fr/id198740/article/2021-06-02/lautoroute-a1-coupee-au-niveau-de-ressons-sur-matz-suite-un-grave-accident,2021-07-03 08:42:56
Chambly ,accident,23,Info Dimanche,Accident de travail à l'usine de Sciage Kamouraska: le travailleur succombe à ses blessures | infodimanche.com,2021-04-02,92,https://www.infodimanche.com/actualites/faits-divers/422141/accident-de-travail-a-lusine-de-sciage-kamouraska-le-travailleur-succombe-a-ses-blessures,2021-07-03 08:42:56
Chambly ,accident,24,Info Dimanche,Accident de travail sur un chantier à Rivière-du-Loup | infodimanche.com,2021-05-11,53,https://www.infodimanche.com/actualites/faits-divers/425977/accident-de-travail-sur-un-chantier-a-riviere-du-loup,2021-07-03 08:42:56
Chambly ,accident,25,EnBeauce.com,Une adolescente fait un accident de motocross à Tring-Jonction,2021-04-14,80,https://www.enbeauce.com/actualites/faits-divers/423213/une-adolescente-fait-un-accident-de-motocross-a-tring-jonction,2021-07-03 08:42:56
Chambly ,décès OR mort,1,Le Journal de Chambly,Le « festival » du poisson mort... - Le journal de Chambly,2021-06-25,8,https://www.journaldechambly.com/carpes-asiatiques-mortes/,2021-07-03 08:43:31
Chambly ,décès OR mort,2,NecrologieCanada,Pierre Paquet 2021,2021-07-02,1,https://necrocanada.com/deces-2021/pierre-paquet-2021/,2021-07-03 08:43:31
Chambly ,décès OR mort,3,NecrologieCanada,HOWARD GeRALD H GERRY 2021,2021-07-02,1,https://necrocanada.com/deces-2021/howard-gerald-h-gerry-2021/,2021-07-03 08:43:32
Chambly ,décès OR mort,4,NecrologieCanada,DAOUST NeE DOUCET FLORENCE 2021,2021-06-30,3,https://necrocanada.com/deces-2021/daoust-nee-doucet-florence-2021/,2021-07-03 08:43:32
Chambly ,décès OR mort,5,NecrologieCanada,LABELLE JACQUES 2021,2021-06-29,4,https://necrocanada.com/deces-2021/labelle-jacques-2021/,2021-07-03 08:43:32
Chambly ,décès OR mort,6,Le Journal de Chambly,« Les sacrifiés de la COVID » - Le journal de Chambly,2021-07-02,1,https://www.journaldechambly.com/les-sacrifies-de-la-covid/,2021-07-03 08:43:32
Chambly ,décès OR mort,7,Le Journal de Montréal,LAMARCHE LANGLAIS Marie-Jeanne,2021-07-03,0,https://www.journaldemontreal.com/2021/07/03/9fe4cf5280/lamarche-langlais--marie-jeanne,2021-07-03 08:43:32
Chambly ,décès OR mort,8,Chambly Matin,"Accident mortel impliquant un cycliste à Marieville - Chambly Matin - Journal le Chambly Matin, Montérégie Quotidien",2021-06-09,24,https://www.chamblymatin.com/information/nouvelles/manchettes-locales/ville-de-marieville-faits-divers-accident-mortel-cycliste-surete-du-quebec.html,2021-07-03 08:43:33
Chambly ,décès OR mort,9,NecrologieCanada,Michel Dube 2021,2021-06-12,21,https://necrocanada.com/deces-2021/michel-dube-2021/,2021-07-03 08:43:33
Chambly ,décès OR mort,10,NecrologieCanada,Albert Bourque 2021,2021-06-15,18,https://necrocanada.com/deces-2021/albert-bourque-2021/,2021-07-03 08:43:33
Chambly ,décès OR mort,11,NecrologieCanada,Danny Smodis 2021,2021-06-24,9,https://necrocanada.com/deces-2021/danny-smodis-2021/,2021-07-03 08:43:33
Chambly ,décès OR mort,12,NecrologieCanada,Paul emile Boutin 2021,2021-06-08,25,https://necrocanada.com/deces-2021/paul-emile-boutin-2021/,2021-07-03 08:43:33
Chambly ,décès OR mort,13,NecrologieCanada,LeTOURNEAU NeE BOURGEOIS MARIE-CLAIRE 2021,2021-06-23,10,https://necrocanada.com/deces-2021/letourneau-nee-bourgeois-marie-claire-2021/,2021-07-03 08:43:33
Chambly ,décès OR mort,14,Le Journal de Chambly,Covid-19 : de 16 à 8 semaines entre les deux doses de vaccin - Le journal de Chambly,2021-06-03,30,https://www.journaldechambly.com/covid-19-de-16-a-8-semaines-entre-les-deux-doses-de-vaccin/,2021-07-03 08:43:34
