Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie
Chambly ,élection OR campagne,1,Le Journal de Chambly,La Bennett sera un sujet de la campagne à Chambly - Le journal de Chambly,2021-06-14,19,https://www.journaldechambly.com/la-bennett-sera-un-sujet-de-la-campagne-a-chambly/,2021-07-03 09:38:08
Chambly ,élection OR campagne,2,Le Journal de Chambly,Claire Samson avec Éric Duhaime - Le journal de Chambly,2021-06-27,6,https://www.journaldechambly.com/claire-samson-avec-eric-duhaime/,2021-07-03 09:38:08
Chambly ,élection OR campagne,3,Le Journal de Chambly,Des « actions proches de nos valeurs » - Le journal de Chambly,2021-06-15,18,https://www.journaldechambly.com/des-actions-proches-de-nos-valeurs/,2021-07-03 09:38:08
Chambly ,élection OR campagne,4,Le Journal de Chambly,La fin d'une ère - Le journal de Chambly,2021-06-23,10,https://www.journaldechambly.com/la-fin-dune-ere/,2021-07-03 09:38:09
Chambly ,élection OR campagne,5,La Gazette du Val d'Oise - L'Echo Régional,Élections départementales 2021. Oise : le Rn en tête à Chambly,2021-06-20,13,https://actu.fr/hauts-de-france/chambly_60139/elections-departementales-2021-oise-le-rn-en-tete-a-chambly_42797805.html,2021-07-03 09:38:09
Chambly ,élection OR campagne,6,Le Journal de Chambly,Lysanne Richard : plonger pour une bonne cause - Le journal de Chambly,2021-06-28,5,https://www.journaldechambly.com/lysanne-richard-plonger-pour-une-bonne-cause/,2021-07-03 09:38:09
Chambly ,élection OR campagne,7,iHeartRadio,CHAMBLY: Fin du plus vieux gym familial Chez Trottier,2021-06-18,15,https://www.iheartradio.ca/boom/boom-1041/nouvelles/chambly-fin-du-plus-vieux-gym-familial-chez-trottier-1.15444746,2021-07-03 09:38:09
Chambly ,élection OR campagne,8,Le Journal de Chambly,Deuxième dose du vaccin AstraZeneca dès mercredi - Le journal de Chambly,2021-06-08,25,https://www.journaldechambly.com/deuxieme-dose-du-vaccin-astrazeneca-des-mercredi/,2021-07-03 09:38:10
Chambly ,élection OR campagne,9,Chambly Matin,"Monsieur Jacques Ladouceur, maire de Richelieu ne se représentera pas à la prochaine élection municipale - Chambly Matin - Journal le Chambly Matin, Montérégie Quotidien",2021-06-05,28,https://www.chamblymatin.com/information/nouvelles/manchettes-locales/ville-de-richelieu-jacques-ladouceur-election-municipale.html,2021-07-03 09:38:10
Chambly ,élection OR campagne,10,Le Journal de Chambly,Covid-19 : de 16 à 8 semaines entre les deux doses de vaccin - Le journal de Chambly,2021-06-03,30,https://www.journaldechambly.com/covid-19-de-16-a-8-semaines-entre-les-deux-doses-de-vaccin/,2021-07-03 09:38:10
Chambly ,élection OR campagne,11,Chambly Matin,"Plus de 77 % des Montérégiens adultes ont reçu une première dose de vaccin - Chambly Matin - Journal le Chambly Matin, Montérégie Quotidien",2021-06-04,29,https://www.chamblymatin.com/information/nouvelles/manchettes-locales/covid-19-vaccination-monteregie-premiere-dose.html,2021-07-03 09:38:10
Chambly ,élection OR campagne,12,Radio-Canada.ca,Le chef du Bloc affûte ses armes dans son bilan de session parlementaire,2021-06-22,11,https://ici.radio-canada.ca/nouvelle/1803675/ottawa-bilan-session-bq-bloc-quebecois-yves-francois-blanchet,2021-07-03 09:38:10
Chambly ,élection OR campagne,13,Coup d'Oeil,Un centre de vaccination très bien rodé à Lacolle,2021-06-28,5,https://www.coupdoeil.info/2021/06/28/un-centre-de-vaccination-tres-bien-rode-a-lacolle/,2021-07-03 09:38:11
Chambly ,élection OR campagne,14,L'observateur de Beauvais,Elections départementales – Oise/ Ilham Alet et Jérôme Furet… en Marche,2021-06-06,27,https://www.lobservateurdebeauvais.fr/2021/06/06/elections-departementales-oise-ilham-alet-et-jerome-furet-en-marche/,2021-07-03 09:38:11
Chambly ,élection OR campagne,15,Le Journal de Chambly,"Résilience Rive-Sud : après la COVID, la santé mentale - Le journal de Chambly",2021-06-10,23,https://www.journaldechambly.com/resilience-rive-sud-apres-la-covid-la-sante-mentale/,2021-07-03 09:38:11
Chambly ,élection OR campagne,16,Le Journal de Chambly,Les premiers balbutiements - Le journal de Chambly,2021-04-07,87,https://www.journaldechambly.com/les-premiers-balbutiements/,2021-07-03 09:38:11
Chambly ,élection OR campagne,17,La Voix du Nord,"Football (présaison): Boulogne affrontera la réserve du RC Lens, à la Libération, en amical",2021-07-02,1,https://www.lavoixdunord.fr/1039354/article/2021-07-02/football-presaison-boulogne-affrontera-le-rc-lens-la-liberation-en-amical,2021-07-03 09:38:12
Chambly ,élection OR campagne,18,EvasionFM,Une journée de prévention seniors est prévue à Chambly,2021-06-22,11,https://www.evasionfm.com/actualite-66945-une-journee-de-prevention-seniors-est-prevue-a-chambly.html,2021-07-03 09:38:12
Chambly ,élection OR campagne,19,Le Journal de Chambly,"COVID-19 : les 18, 39 ans sont toujours attendus - Le journal de Chambly",2021-06-15,18,https://www.journaldechambly.com/covid-19-les-18-39-ans-sont-toujours-attendus/,2021-07-03 09:38:12
Chambly ,élection OR campagne,20,TVA Nouvelles,Maisons à vendre sur la Rive-Sud de Montréal: une hausse de prix fulgurante,2021-06-17,16,https://www.tvanouvelles.ca/2021/05/31/maisons-a-vendre-sur-la-rive-sud-de-montreal-une-hausse-de-prix-fulgurante,2021-07-03 09:38:13
Chambly ,élection OR campagne,21,Le Journal de Chambly,Portrait préliminaire des élections municipales 2021 - Le journal de Chambly,2020-11-04,241,https://www.journaldechambly.com/portrait-preliminaire-des-elections-municipales-2021/,2021-07-03 09:38:13
Chambly ,élection OR campagne,22,Le Journal de Chambly,Se faire vacciner à Chambly - Le journal de Chambly,2021-03-24,101,https://www.journaldechambly.com/se-faire-vacciner-a-chambly/,2021-07-03 09:38:13
Chambly ,élection OR campagne,23,Chambly Matin,"L'implication citoyenne, au cœur de la campagne de sécurité routière de Chambly - Chambly Matin - Journal le Chambly Matin, Montérégie Quotidien",2021-05-18,46,https://www.chamblymatin.com/information/nouvelles/manchettes-locales/ville-de-chambly-campagne-de-securite-routiere.html,2021-07-03 09:38:13
Chambly ,élection OR campagne,24,Le Journal de Chambly,Un réseau qui prend action - Le journal de Chambly,2021-05-11,53,https://www.journaldechambly.com/un-reseau-qui-prend-action/,2021-07-03 09:38:13
Chambly ,élection OR campagne,25,ICI.Radio-Canada.ca,"L'ex-maire de Chambly a enfreint la loi lors des élections de 2017, conclut le DGEQ",2020-12-03,212,https://ici.radio-canada.ca/nouvelle/1754334/constats-infraction-directeur-genereal-elections-dge-denis-lavoie,2021-07-03 09:38:14
Chambly ,député,1,Chambly Matin,"Des investissements de 45 000$ pour soutenir les infrastructures jeunesse dans la circonscription de Chambly - Chambly Matin - Journal le Chambly Matin, Montérégie Quotidien",2021-06-22,11,https://www.chamblymatin.com/information/nouvelles/manchettes-locales/jean-francois-roberge-investissements-infrastructures-jeunesse-circonscription-se-chambly-depute-de-chambly.html,2021-07-03 09:38:49
Chambly ,député,2,Le Journal de Chambly,« Les sacrifiés de la COVID » - Le journal de Chambly,2021-07-02,1,https://www.journaldechambly.com/les-sacrifies-de-la-covid/,2021-07-03 09:38:50
Chambly ,député,3,Le Journal de Chambly,Claire Samson avec Éric Duhaime - Le journal de Chambly,2021-06-27,6,https://www.journaldechambly.com/claire-samson-avec-eric-duhaime/,2021-07-03 09:38:50
Chambly ,député,4,Chambly Matin,"Yves-François Blanchet distribuera à nouveau des trousses de pavoisement à l'occasion de la Fête nationale - Chambly Matin - Journal le Chambly Matin, Montérégie Quotidien",2021-06-14,19,https://www.chamblymatin.com/information/nouvelles/manchettes-locales/bloc-quebecois-depute-de-beloeil-chambly-yves-francois-blanchet-fete-nationale-trousse-de-parvoisement.html,2021-07-03 09:38:50
Chambly ,député,5,Le Journal de Chambly,Une nouvelle technologie couteuse - Le journal de Chambly,2021-07-01,2,https://www.journaldechambly.com/une-nouvelle-technologie-couteuse/,2021-07-03 09:38:50
Chambly ,député,6,Le Journal de Chambly,Quelques festivités de la Saint-Jean dans nos villes - Le journal de Chambly,2021-06-19,14,https://www.journaldechambly.com/quelques-festivites-de-la-saint-jean-dans-nos-villes/,2021-07-03 09:38:51
Chambly ,député,7,Sorel-Tracy Magazine,Sécurité nautique : Les députés du Bloc Québécois ont navigué en toute sécurité!,2021-06-29,4,https://soreltracy.com/2021/juin/29j3.html,2021-07-03 09:38:51
Chambly ,député,8,Sorel-Tracy Magazine,Sécurité nautique : Les députés bloquistes se mettent à l'eau pour le Richelieu !,2021-06-16,17,https://www.soreltracy.com/2021/juin/16j.html,2021-07-03 09:38:51
Chambly ,député,9,Le Journal de Chambly,La Ville s'attaque aux odeurs - Le journal de Chambly,2021-06-28,5,https://www.journaldechambly.com/la-ville-sattaque-aux-odeurs/,2021-07-03 09:38:51
Chambly ,député,10,CNW Telbec,"Opération haute vitesse - Une somme de 31,66 M$ pour donner accès à Internet haute vitesse à plus de 5 460 foyers de la région de la Montérégie d'ici septembre 2022",2021-06-14,19,https://www.newswire.ca/fr/news-releases/operation-haute-vitesse-une-somme-de-31-66-m-pour-donner-acces-a-internet-haute-vitesse-a-plus-de-5-460-foyers-de-la-region-de-la-monteregie-d-ici-septembre-2022-800735656.html,2021-07-03 09:38:51
Chambly ,député,11,Le Journal de Montréal,Un Papineau «comme un grand phare sur les eaux»,2021-06-26,7,https://www.journaldemontreal.com/2021/06/26/un-papineau-comme-un-grand-phare-sur-les-eaux,2021-07-03 09:38:51
Chambly ,député,12,iHeartRadio,Inauguration officielle du pont Gouin,2021-06-21,12,https://www.iheartradio.ca/boom/boom-1041/nouvelles/inauguration-officielle-du-pont-gouin-1.15471467,2021-07-03 09:38:52
Chambly ,député,13,Le Journal de Chambly,Fin de la tutelle à Chambly - Le journal de Chambly,2021-06-09,24,https://www.journaldechambly.com/fin-de-la-tutelle-a-chambly/,2021-07-03 09:38:52
Chambly ,député,14,L'Oeil Régional,Le journal de la Vallée du Richelieu,2021-07-02,1,https://www.oeilregional.com/une-oeuvre-collective-pour-honorer-la-memoire-des-enfants-autochtones/,2021-07-03 09:38:52
Chambly ,député,15,Chambly Matin,"Le député de Beloeil-Chambly se réjouit de l'expansion d'Ambulances Demers - Chambly Matin - Journal le Chambly Matin, Montérégie Quotidien",2021-04-15,79,https://www.chamblymatin.com/information/nouvelles/manchettes-locales/depute-de-beloeil-chambly-ambulances-demers-nouvelle-acquisition-yves-francois-blanchet-chef-du-bloc-quebecois.html,2021-07-03 09:38:52
