Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie
Chandler ,premier ministre,1,Le Devoir,«Elsa» devient le premier ouragan de la saison dans l'Atlantique,2021-07-02,1,https://www.ledevoir.com/societe/environnement/615327/elsa-devient-le-premier-ouragan-de-la-saison-dans-l-atlantique,2021-07-03 19:22:03
Chandler ,premier ministre,2,Le Soleil - Groupe Capitales Médias,Le dossier du quai de Chandler s'active,2021-03-24,101,https://www.lesoleil.com/actualite/en-region/le-dossier-du-quai-de-chandler-sactive-8091173c52b25a00ed0b46943c962274,2021-07-03 19:22:04
Chandler ,premier ministre,3,La Tribune - Groupe Capitales Médias,Cent trains de pales éoliennes pour la Société du chemin de fer de la Gaspésie depuis 2016,2021-06-23,10,https://www.latribune.ca/actualites/le-fil-groupe-capitales-medias/cent-trains-de-pales-eoliennes-pour-la-societe-du-chemin-de-fer-de-la-gaspesie-depuis-2016-dc9805ce113d45dc5397d7e68640d1b6,2021-07-03 19:22:04
Chandler ,premier ministre,4,DansLesCoulisses,Centre Bell : on a demandé au docteur Arruda d'autoriser plus de 18 000 personnes,2021-06-18,15,https://www.danslescoulisses.com/fr/centre-bell-on-a-demande-au-docteur-arruda-dautoriser-plus-de-18-000-personnes/,2021-07-03 19:22:04
Chandler ,premier ministre,5,The Athletic,"Le calepin des séries du Canadien: Gare aux ajustements excessifs, le prix des erreurs en défense, une mince...",2021-06-15,18,https://theathletic.com/2654157/2021/06/15/le-calepin-des-series-du-canadien-gare-aux-ajustements-excessifs-le-prix-des-erreurs-en-defense-une-mince-consolation-au-centre-bell/,2021-07-03 19:22:04
Chandler ,premier ministre,6,CIMT-CHAU,Une nouvelle vie pour le quai de Chandler?,2021-01-18,166,https://cimtchau.ca/nouvelles/une-nouvelle-vie-pour-le-quai-de-chandler/,2021-07-03 19:22:04
Chandler ,premier ministre,7,ICI.Radio-Canada.ca,COVID-19 : fermeture temporaire du laboratoire de Chandler,2021-04-15,79,https://ici.radio-canada.ca/nouvelle/1785209/laboratoire-chandler-fermeture-depistage-covid-10,2021-07-03 19:22:04
Chandler ,premier ministre,8,Le Soleil - Groupe Capitales Médias,Le premier ministre australien hausse le ton contre la «menace» de Facebook,2021-02-19,134,https://www.lesoleil.com/actualite/le-fil-groupe-capitales-medias/le-premier-ministre-australien-hausse-le-ton-contre-la-menace-de-facebook-73a0169cc132df2f9fb4d4706fb00b0c,2021-07-03 19:22:05
Chandler ,premier ministre,9,Le Journal de Québec,Un an de pandémie: François Legault ne voit pas comment il aurait pu faire mieux,2021-02-27,126,https://www.journaldequebec.com/2021/02/27/nous-avons-ete-les-plus-prudents,2021-07-03 19:22:05
Chandler ,premier ministre,10,Le Journal de Québec,La Gaspésie veut contrer la crise du logement,2021-05-07,57,https://www.journaldequebec.com/2021/05/07/la-gaspesie-veut-contrer-la-crise-du-logement,2021-07-03 19:22:05
Chandler ,premier ministre,11,ICI.Radio-Canada.ca,"En cour, le ministre Julien défend son refus d'autoriser le forage au puits Galt no 6",2021-03-02,123,https://ici.radio-canada.ca/nouvelle/1774293/gaspe-energie-galt-forage-tribunal-ministre-jonatan-julien,2021-07-03 19:22:05
Chandler ,premier ministre,12,Le Journal de Québec,"Lutte contre le racisme: la nomination de Bochra Manaï est une «erreur», dit le gouvernement Legault",2021-01-14,170,https://www.journaldequebec.com/2021/01/14/lutte-au-racisme-la-nomination-de-bochra-manai-est-une-erreur-dit-le-gouvernement-legault,2021-07-03 19:22:05
Chandler ,premier ministre,13,Radio-Canada.ca,Assouplissements en vue à la frontière du Nouveau-Brunswick,2021-05-28,36,https://ici.radio-canada.ca/nouvelle/1796650/deconfinement-nouveau-brunswick-plan-avignon-temiscouata-iles-madeleine,2021-07-03 19:22:05
Chandler ,premier ministre,14,Le Soleil - Groupe Capitales Médias,Gaspésie: éclosion à l'hôpital de Chandler et 20 nouveaux cas,2020-10-24,252,https://www.lesoleil.com/actualite/covid-19/gaspesie-eclosion-a-lhopital-de-chandler-et-20-nouveaux-cas-093e1ab608af2159e72306bdac21560f,2021-07-03 19:22:06
Chandler ,premier ministre,15,La Tribune - Groupe Capitales Médias,Camping sauvage: la Gaspésie a fait ses devoirs,2021-04-24,70,https://www.latribune.ca/actualites/le-fil-groupe-capitales-medias/camping-sauvage-la-gaspesie-a-fait-ses-devoirs-08e412c380d502b4b7c9e939e81c670c,2021-07-03 19:22:06
Chandler ,premier ministre,16,Le Soleil - Groupe Capitales Médias,Jonatan Julien devient ministre responsable de la Gaspésie-Îles-de-la-Madeleine,2021-02-24,129,https://www.lesoleil.com/actualite/en-region/jonatan-julien-devient-ministre-responsable-de-la-gaspesie-iles-de-la-madeleine-aecf58dc40721ea52353e51805bfff37,2021-07-03 19:22:06
Chandler ,premier ministre,17,Le Journal de Québec,"Le ciment est pris, on a perdu 472 M$",2020-12-11,204,https://www.journaldequebec.com/2020/12/10/une-entreprise-bresilienne-fera-lacquisition-de-ciment-mcinnis,2021-07-03 19:22:06
Chandler ,premier ministre,18,Le Journal de Québec,Legault et les règles de santé publique: PSPP retire ses propos,2021-02-10,143,https://www.journaldequebec.com/2021/02/10/bulle-familiale-pspp-suggere-que-legault-transgresse-les-regles-de-sante-publique,2021-07-03 19:22:06
Chandler ,premier ministre,19,ICI.Radio-Canada.ca,"La cause de Sylvain Proulx reportée, car il est à l'extérieur du pays",2021-01-11,173,https://ici.radio-canada.ca/nouvelle/1762425/menaces-premier-ministre-legault-internet,2021-07-03 19:22:06
Chandler ,premier ministre,20,Le Journal de Montréal,Jean Perron: enfin la paix en Gaspésie,2020-08-29,308,https://www.journaldemontreal.com/2020/08/29/jean-perron-enfin-la-paix-en-gaspesie,2021-07-03 19:22:07
Chandler ,premier ministre,21,Télérama.fr,"San-Antonio et moi, quand on aime on ne compte plus : notre cadeau pour le centenaire de Frédéric Dard",2021-06-29,4,https://www.telerama.fr/livre/san-antonio-et-moi-quand-on-aime-on-ne-compte-plus-notre-cadeau-pour-le-centenaire-de-frederic-dard-6905379.php,2021-07-03 19:22:07
Chandler ,premier ministre,22,CIMT-CHAU,Début d'une campagne électorale à Chandler? - TVA CIMT CHAU,2021-01-27,157,https://cimtchau.ca/nouvelles/debut-dune-campagne-electorale-a-chandler/,2021-07-03 19:22:07
Chandler ,premier ministre,23,ICI.Radio-Canada.ca,Jean Charest poursuit le gouvernement du Québec,2020-10-09,267,https://ici.radio-canada.ca/nouvelle/1740080/charest-poursuite-machurer-upac-vie-privee,2021-07-03 19:22:07
Chandler ,premier ministre,24,Le Journal de Québec,Pierre Curzi a reçu 2000$ pour incarner le père Noël,2021-02-16,137,https://www.journaldequebec.com/2021/02/16/pierre-curzi-a-recu-2000-pour-incarner-le-pere-noel,2021-07-03 19:22:08
Chandler ,premier ministre,25,ICI.Radio-Canada.ca,Avenir incertain pour les cinémas de la Gaspésie et des Îles,2020-10-22,254,https://ici.radio-canada.ca/nouvelle/1743205/cinema-gaspesie-cap-aux-meules-achalandage-sortie-films-pertes-pandemie,2021-07-03 19:22:08
Chandler ,climat,1,Le Soleil - Groupe Capitales Médias,"L'ouragan Elsa, rétrogradé en tempête tropicale, s'approche d'Haïti",2021-07-03,0,https://www.lesoleil.com/actualite/monde/louragan-elsa-retrograde-en-tempete-tropicale-sapproche-dhaiti-26129a49fdcb597a9bbe9ea0191ead41,2021-07-03 19:22:43
Chandler ,climat,2,La Presse,Candidats aimant climats lourds recherchés | La Presse,2021-07-01,2,https://www.lapresse.ca/actualites/chroniques/2021-07-01/candidats-aimant-climats-lourds-recherches.php,2021-07-03 19:22:43
Chandler ,climat,3,ICI.Radio-Canada.ca,La mairesse de Chandler s'adresse à la Cour supérieure pour obtenir un sursis,2021-01-21,163,https://ici.radio-canada.ca/nouvelle/1764910/louisette-langlois-commission-municpale-suspension-cour-superieure,2021-07-03 19:22:43
Chandler ,climat,4,ICI.Radio-Canada.ca,Le CSS des Chic-Chocs lance une enquête sur le climat de travail,2021-05-26,38,https://ici.radio-canada.ca/nouvelle/1796044/centre-services-scolaires-chic-chocs-enquete-climat-travail-education,2021-07-03 19:22:43
Chandler ,climat,5,ICI.Radio-Canada.ca,L'action des jeunes pour le climat est entendue par la Cour d'appel,2021-02-23,130,https://ici.radio-canada.ca/nouvelle/1772885/action-jeunes-climat-cour-appel-audition,2021-07-03 19:22:43
Chandler ,climat,6,ICI.Radio-Canada.ca,Changements climatiques : des embâcles hivernaux plus nombreux,2020-12-03,212,https://ici.radio-canada.ca/nouvelle/1754158/inondations-debacles-embacles-recherche-universite-laval-environnement,2021-07-03 19:22:43
Chandler ,climat,7,CIMT-CHAU,Climat au Chic-Chocs: la députée de Gaspé rencontrera le ministre de l'Éducation,2021-05-11,53,https://cimtchau.ca/nouvelles/climat-au-chic-chocs-la-deputee-de-gaspe-rencontrera-le-ministre-de-leducation/,2021-07-03 19:22:44
Chandler ,climat,8,Cameroon Magazine,CM - Le feu d'artifice du 4 juillet 2021 de Phoenix annulé - News Chant USA,2021-07-03,0,https://www.cameroonmagazine.com/actualite-internationale/cm-le-feu-dartifice-du-4-juillet-2021-de-phoenix-annul-news-chant-usa/,2021-07-03 19:22:44
Chandler ,climat,9,La Tribune - Groupe Capitales Médias,Des fermes-pilotes pour s'adapter aux changements climatiques,2021-05-25,39,https://www.latribune.ca/actualites/le-fil-groupe-capitales-medias/des-fermes-pilotes-pour-sadapter-aux-changements-climatiques-eaa456854d2b8f67b3f7fc3c2f5b51c5,2021-07-03 19:22:44
