Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie
Fermont ,élection OR campagne,1,Journal Le Manic,Pires routes du Québec : la liaison Matane-Côte-Nord au 2e rang,2021-06-05,28,https://www.lemanic.ca/2021/06/05/pires-routes-du-quebec-la-liaison-matane-cote-nord-au-2e-rang/,2021-07-03 09:18:49
Fermont ,élection OR campagne,2,ICI.Radio-Canada.ca,Début de la vaccination dans les secteurs isolés de la Côte-Nord | Coronavirus,2021-02-11,142,https://ici.radio-canada.ca/nouvelle/1769668/covid-19-vaccin-moderna-minganie-basse-cote-fermont-caniapiscau,2021-07-03 09:18:49
Fermont ,élection OR campagne,3,Le Soleil - Groupe Capitales Médias,"La mine de fer du Lac Bloom, une petite mine d'or",2021-05-27,37,https://www.lesoleil.com/affaires/la-mine-de-fer-du-lac-bloom-une-petite-mine-dor-792bcc0fae5f6e990f4133eefd66dee4,2021-07-03 09:18:49
Fermont ,élection OR campagne,4,ICI.Radio-Canada.ca,Champion Iron veut acquérir le projet minier Kami,2020-11-16,229,https://ici.radio-canada.ca/nouvelle/1750098/mine-acquisition-kami-fer-minerai-champion,2021-07-03 09:18:49
Fermont ,élection OR campagne,5,Journal Le Manic,L'élection fédérale vue de Fermont,,,https://www.lemanic.ca/2019/10/08/lelection-federale-vue-de-fermont/,2021-07-03 09:18:50
Fermont ,élection OR campagne,6,ICI.Radio-Canada.ca,Décès d'un bambin à Fermont : le coroner s'interroge sur la qualité des soins reçus,2021-01-22,162,https://ici.radio-canada.ca/nouvelle/1765086/olivier-degarie-cyr-mort-medecin-cisss-cote-nord-rapport-causes,2021-07-03 09:18:50
Fermont ,élection OR campagne,7,ICI.Radio-Canada.ca,Le gouvernement Legault présente sa version du Plan Nord,2020-12-07,208,https://ici.radio-canada.ca/nouvelle/1755098/gouvernement-legault-plan-nord-version,2021-07-03 09:18:50
Fermont ,élection OR campagne,8,Le Soleil - Groupe Capitales Médias,Mine du lac Bloom: Québec appuie l'accroissement de la capacité à Pointe-Noire,2020-12-11,204,https://www.lesoleil.com/affaires/mine-du-lac-bloom-quebec-appuie-laccroissement-de-la-capacite-a-pointe-noire-2cb009159d921858e5e6420dcbdb86c6,2021-07-03 09:18:50
Fermont ,élection OR campagne,9,ICI.Radio-Canada.ca,60 ans de convois sur le chemin de fer entre Port-Cartier et Fermont,2020-12-23,192,https://ici.radio-canada.ca/nouvelle/1759208/transport-chemin-fer-fermont-mine,2021-07-03 09:18:50
Fermont ,élection OR campagne,10,Le Journal de Québec,Vaccination: des entreprises de la Côte-Nord contribuent à l'opération,2021-04-09,85,https://www.journaldequebec.com/2021/04/09/vaccination-des-entreprises-de-la-cote-nord-contribuent-a-loperation,2021-07-03 09:18:51
Fermont ,élection OR campagne,11,ICI.Radio-Canada.ca,La prise de rendez-vous est ouverte pour la vaccination en région éloignée sur la Côte-Nord | Coronavirus,2021-02-02,151,https://ici.radio-canada.ca/nouvelle/1767741/vaccinantion-minganie-bcn-caniapiscau-bilan-jour-2-fevrier-2021-rendez-vous,2021-07-03 09:18:51
Fermont ,élection OR campagne,12,ICI.Radio-Canada.ca,Des grévistes d'ArcelorMittal mis à l'amende pour non-respect du couvre-feu,2021-05-13,51,https://ici.radio-canada.ca/nouvelle/1792806/greviste-arcellor-mittal-fermont-port-cartier-amende-couvre-feu-greve,2021-07-03 09:18:51
