Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie
Montréal ,premier ministre,1,Le Journal de Montréal,Chaleur et feux de forêt: Trudeau promet le soutien du fédéral en Colombie-Britannique,2021-07-02,1,https://www.journaldemontreal.com/2021/07/02/chaleur-et-feux-de-foret-trudeau-promet-le-soutien-du-federal-en-colombie-britannique-1,2021-07-03 11:13:10
Montréal ,premier ministre,2,Le Journal de Montréal,Le Trudeau nouveau... avec son ancien look,2021-07-02,1,https://www.journaldemontreal.com/2021/07/02/le-trudeau-nouveau-avec-son-ancien-look,2021-07-03 11:13:11
Montréal ,premier ministre,3,Le Journal de Montréal,Justin Trudeau a reçu sa deuxième dose de vaccin contre la COVID-19,2021-07-02,1,https://www.journaldemontreal.com/2021/07/02/justin-trudeau-a-recu-sa-deuxieme-dose-de-vaccin-contre-la-covid-19,2021-07-03 11:13:11
Montréal ,premier ministre,4,Le Journal de Montréal,La fête du Canada assombrie par le scandale des pensionnats pour Autochtones,2021-07-01,2,https://www.journaldemontreal.com/2021/07/01/la-fete-du-canada-assombrie-par-le-scandale-des-pensionnats-pour-autochtones-1,2021-07-03 11:13:11
Montréal ,premier ministre,5,Le Journal de Montréal,Le Canadien fera face à l'élimination,2021-07-03,0,https://www.journaldemontreal.com/2021/07/02/en-direct-canadien-0---lightning-0,2021-07-03 11:13:11
Montréal ,premier ministre,6,Le Journal de Montréal,Crise politique en Suède: le premier ministre Löfven choisit de démissionner,2021-06-28,5,https://www.journaldemontreal.com/2021/06/28/crise-politique-en-suede-le-premier-ministre-lofven-choisit-de-demissionner,2021-07-03 11:13:12
Montréal ,premier ministre,7,La Presse,Ville de Montréal | L'ex-premier ministre Lucien Bouchard nommé citoyen d'honneur,2021-06-24,9,https://www.lapresse.ca/actualites/grand-montreal/2021-06-24/ville-de-montreal/l-ex-premier-ministre-lucien-bouchard-nomme-citoyen-d-honneur.php,2021-07-03 11:13:12
Montréal ,premier ministre,8,Le Journal de Montréal,Évacuation vendredi d'une colonie israélienne en Cisjordanie (gouvernement),2021-07-01,2,https://www.journaldemontreal.com/2021/07/01/evacuation-vendredi-dune-colonie-israelienne-en-cisjordanie-gouvernement,2021-07-03 11:13:12
Montréal ,premier ministre,9,Le Journal de Montréal,Un premier ministre résolument décomplexé | JDM,2021-06-25,8,https://www.journaldemontreal.com/2021/06/25/un-premier-ministre-resolument-decomplexe,2021-07-03 11:13:12
Montréal ,premier ministre,10,Le Journal de Montréal,[EN IMAGES] Toronto: un homme de 31 ans accusé du meurtre d'un policier près de l'hôtel de ville,2021-07-02,1,https://www.journaldemontreal.com/2021/07/02/images-toronto-un-policier-tue-intentionnellement-pres-de-lhotel-de-ville,2021-07-03 11:13:13
Montréal ,premier ministre,11,Le Journal de Montréal,Du porc du Québec avant celui du Danemark,2021-07-03,0,https://www.journaldemontreal.com/2021/07/03/du-porc-du-quebec-avant-celui-du-danemark,2021-07-03 11:13:13
Montréal ,premier ministre,12,La Presse,Justin Trudeau félicite le nouveau premier ministre israélien,2021-06-13,20,https://www.lapresse.ca/actualites/politique/2021-06-13/justin-trudeau-felicite-le-nouveau-premier-ministre-israelien.php,2021-07-03 11:13:13
Montréal ,premier ministre,13,Le Journal de Montréal,Trudeau parie avec Biden sur une victoire du CH,2021-06-29,4,https://www.journaldemontreal.com/2021/06/28/trudeau-parie-avec-biden-sur-une-victoire-du-ch,2021-07-03 11:13:13
Montréal ,premier ministre,14,Le Journal de Montréal,Vaccination: cafouillage au Stade olympique après le passage de François Legault,2021-06-21,12,https://www.journaldemontreal.com/2021/06/21/vaccination--cafouillage-au-stade-olympique-apres-le-passage-de-francois-legault,2021-07-03 11:13:14
Montréal ,premier ministre,15,Le Journal de Montréal,"Naftali Bennett devient premier ministre d'Israël, Netanyahu écarté",2021-06-12,21,https://www.journaldemontreal.com/2021/06/12/israel-vote-au-parlement-sur-le-gouvernement-fin-attendue-de-lere-netanyahu-1,2021-07-03 11:13:14
Montréal ,premier ministre,16,Le Journal de Montréal,La zénitude de notre premier ministre | JDM,2021-06-15,18,https://www.journaldemontreal.com/2021/06/15/la-zenitude-de-notre-premier-ministre,2021-07-03 11:13:14
Montréal ,premier ministre,17,Le Journal de Montréal,Japon: 19 personnes portées disparues après des glissements de terrain,2021-07-03,0,https://www.journaldemontreal.com/2021/07/03/japon-19-personnes-portees-disparues-apres-des-glissements-de-terrain,2021-07-03 11:13:14
Montréal ,premier ministre,18,Premier ministre du Canada,Création de 4 500 logements pour les Canadiens | Premier ministre du Canada,2021-06-30,3,https://pm.gc.ca/fr/nouvelles/communiques/2021/06/30/creation-de-4-500-logements-les-canadiens,2021-07-03 11:13:14
Montréal ,premier ministre,19,Le Journal de Montréal,Une statue de la reine renversée à Winnipeg,2021-07-02,1,https://www.journaldemontreal.com/2021/07/02/une-statue-de-la-reine-renversee-a-winnipeg-1,2021-07-03 11:13:15
Montréal ,premier ministre,20,Le Journal de Montréal,Québec investit 300M$ pour les jeunes | JDM,2021-06-13,20,https://www.journaldemontreal.com/2021/06/13/quebec-investit-300-m-pour-les-jeunes-1,2021-07-03 11:13:15
Montréal ,premier ministre,21,Le Journal de Montréal,CH : Brian Pallister respecte son pari | JDM,2021-06-08,25,https://www.journaldemontreal.com/2021/06/08/ch--brian-pallister-respecte-son-pari,2021-07-03 11:13:15
Montréal ,premier ministre,22,Le Journal de Montréal,Le CH en finale: les politiciens réagissent,2021-06-25,8,https://www.journaldemontreal.com/2021/06/25/le-ch-en-finale-les-politiciens-reagissent,2021-07-03 11:13:15
Montréal ,premier ministre,23,La Presse,Un an sous Christian Dubé | Un ministre face à son « monstre »,2021-06-20,13,https://www.lapresse.ca/actualites/sante/2021-06-20/un-an-sous-christian-dube/un-ministre-face-a-son-monstre.php,2021-07-03 11:13:15
Montréal ,premier ministre,24,TVA Sports,Spectateurs au Centre Bell: François Legault a discuté avec Phillip Danault,2021-06-13,20,https://www.tvasports.ca/2021/06/13/desireux-de-voir-plus-de-gens-au-centre-bell-francois-legault-a-discute-avec-phillip-danault,2021-07-03 11:13:16
Montréal ,premier ministre,25,Le Journal de Montréal,"Un gouvernement entre en fonction en Israël, le premier sans Netanyahou en 12 ans",2021-06-14,19,https://www.journaldemontreal.com/2021/06/14/un-gouvernement-entre-en-fonction-en-israel-le-premier-sans-netanyahu-en-12-ans,2021-07-03 11:13:16
Montréal ,climat,1,Le Journal de Montréal,Climat : cri d'alerte scientifique sur un réchauffement irréversible,2021-06-15,18,https://www.journaldemontreal.com/2021/06/15/climat--cri-dalerte-scientifique-sur-un-rechauffement-irreversible,2021-07-03 11:13:54
Montréal ,climat,2,Le Journal de Montréal,Des changements climatiques bien réels | JDM,2021-06-13,20,https://www.journaldemontreal.com/2021/06/13/des-changements-climatiques-bien-reels,2021-07-03 11:13:54
Montréal ,climat,3,Le Journal de Montréal,Un autre regard sur la crise d'Oka,2021-07-03,0,https://www.journaldemontreal.com/2021/07/03/un-autre-regard--sur-la-crise-doka,2021-07-03 11:13:54
