Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie
Rouyn-Noranda ,premier ministre,1,CNW Telbec,Vidéotron connectera plus de 13 300 foyers à la haute vitesse en Abitibi-Témiscamingue et dans le Nord-du-Québec,2021-06-21,12,https://www.newswire.ca/fr/news-releases/videotron-connectera-plus-de-13-300-foyers-a-la-haute-vitesse-en-abitibi-temiscamingue-et-dans-le-nord-du-quebec-870593988.html,2021-07-03 12:38:11
Rouyn-Noranda ,premier ministre,2,Le Journal de Montréal,Les pires lacs du Québec: «Nos lacs sont orphelins»,2021-07-03,0,https://www.journaldemontreal.com/2021/07/03/les-pires-lacs-du-quebec-nos-lacs-sont-orphelins,2021-07-03 12:38:11
Rouyn-Noranda ,premier ministre,3,La Presse,Aires protégées | Québec n'a pas atteint la cible de 17 %,2021-06-07,26,https://www.lapresse.ca/actualites/environnement/2021-06-07/aires-protegees/quebec-n-a-pas-atteint-la-cible-de-17.php,2021-07-03 12:38:11
Rouyn-Noranda ,premier ministre,4,ICI.Radio-Canada.ca,Une lettre à François Legault pour demander de célébrer leur graduation avec leurs parents,2021-06-01,32,https://ici.radio-canada.ca/nouvelle/1797945/finissants-secondaire-rouyn-noranda-lettre-legault,2021-07-03 12:38:11
Rouyn-Noranda ,premier ministre,5,ICI.Radio-Canada.ca,"Le Nord-du-Québec passe au jaune, l'Abitibi-Témiscamingue demeure orange",2021-03-16,109,https://ici.radio-canada.ca/nouvelle/1777796/nord-quebec-abitibi-temiscamingue-changement-zone,2021-07-03 12:38:11
Rouyn-Noranda ,premier ministre,6,ICI.Radio-Canada.ca,Décès de Pierre Grandmaître : une pluie d'éloges pour l'ex-maire de Rouyn-Noranda,2021-06-02,31,https://ici.radio-canada.ca/nouvelle/1798279/deces-maire-hommages-collegues-politiciens-amis,2021-07-03 12:38:11
Rouyn-Noranda ,premier ministre,7,ICI.Radio-Canada.ca,Hébergement pour le Centre de cancérologie : « le fédéral doit devenir un partenaire »,2021-05-11,53,https://ici.radio-canada.ca/nouvelle/1792269/fondation-hospitaliere-rouyn-noranda,2021-07-03 12:38:12
Rouyn-Noranda ,premier ministre,8,ICI.Radio-Canada.ca,Des consultations en vue de travaux majeurs au palais de justice de Rouyn-Noranda,2021-04-12,82,https://ici.radio-canada.ca/nouvelle/1784251/consultations-travaux-majeurs-palais-justice-rouyn-noranda,2021-07-03 12:38:12
Rouyn-Noranda ,premier ministre,9,iHeartRadio,VACCINATION : Ouverture aux 65 ans et plus en Abitibi-Témiscamingue,2021-03-17,108,https://www.iheartradio.ca/energie/energie-rouyn/nouvelles/vaccination-ouverture-aux-65-ans-et-plus-en-abitibi-temiscamingue-1.14784297,2021-07-03 12:38:12
Rouyn-Noranda ,premier ministre,10,La Presse,La Presse en Abitibi-Témiscamingue | Le village gaulois | La Presse,2020-12-05,210,https://www.lapresse.ca/covid-19/2020-12-05/la-presse-en-abitibi-temiscamingue/le-village-gaulois.php,2021-07-03 12:38:12
Rouyn-Noranda ,premier ministre,11,Radio-Canada.ca,Tramway : le maire de Québec a une nouvelle proposition qu'il est prêt à soumettre,2021-02-25,128,https://ici.radio-canada.ca/nouvelle/1773289/labeaume-tramway-lettre-premier-ministre-negociations,2021-07-03 12:38:12
Rouyn-Noranda ,premier ministre,12,ICI.Radio-Canada.ca,Le financement d'un nouveau centre aquatique à Rouyn-Noranda confirmé,2021-05-11,53,https://ici.radio-canada.ca/nouvelle/1792175/complexe-sportif-piscine-infrastructure,2021-07-03 12:38:13
Rouyn-Noranda ,premier ministre,13,ICI.Radio-Canada.ca,La Ville de Rouyn-Noranda sera responsable du parc régional des Collines Kekeko,2021-04-08,86,https://ici.radio-canada.ca/nouvelle/1783065/ville-rouyn-noranda-gestionnaire-parc-regional-kekeko,2021-07-03 12:38:13
Rouyn-Noranda ,premier ministre,14,LesAffaires.com,"Rouyn-Noranda, future plaque tournante de l'innovation minière?",2021-05-26,38,https://www.lesaffaires.com/dossier/focus-regional-abitibi-temiscamingue/rouyn-noranda-future-plaque-tournante-de-l-innovation-miniere/625234,2021-07-03 12:38:13
Rouyn-Noranda ,premier ministre,15,ICI.Radio-Canada.ca,Manifestation pour l'environnement à Rouyn-Noranda,2020-11-21,224,https://ici.radio-canada.ca/nouvelle/1751434/gnl-quebec-manifestation-opposition-plan-vert-quebec,2021-07-03 12:38:13
Rouyn-Noranda ,premier ministre,16,ICI.Radio-Canada.ca,Nouveau confinement : compréhension et résilience en Abitibi-Témiscamingue,2021-01-06,178,https://ici.radio-canada.ca/nouvelle/1761409/reconfinement-couvre-feu-abitibi-temiscamingue-mesures,2021-07-03 12:38:13
Rouyn-Noranda ,premier ministre,17,ICI.Radio-Canada.ca,NAV Canada : Diane Dallaire dénonce le silence de l'organisme,2021-04-22,72,https://ici.radio-canada.ca/nouvelle/1787189/nav-canada-aeroport-rouyn-noranda,2021-07-03 12:38:13
Rouyn-Noranda ,premier ministre,18,La Presse,Contamination à l'arsenic à Rouyn-Noranda | Québec approuve les propositions de la fonderie Horne,2021-03-26,99,https://www.lapresse.ca/actualites/environnement/2021-03-26/contamination-a-l-arsenic-a-rouyn-noranda/quebec-approuve-les-propositions-de-la-fonderie-horne.php,2021-07-03 12:38:14
Rouyn-Noranda ,premier ministre,19,ICI.Radio-Canada.ca,"Halloween permise : Rouyn-Noranda, Amos et La Sarre ne changeront pas d'idée",2020-10-15,261,https://ici.radio-canada.ca/nouvelle/1741437/halloween-rouyn-noranda-amos-lasarre-annulation,2021-07-03 12:38:14
Rouyn-Noranda ,premier ministre,20,ICI.Radio-Canada.ca,L'Abitibi-Témiscamingue pourrait être épargnée par de nouvelles mesures de Québec | Coronavirus,2020-12-15,200,https://ici.radio-canada.ca/nouvelle/1757225/zone-jaune-15-decembre-covid-19,2021-07-03 12:38:14
Rouyn-Noranda ,premier ministre,21,ICI.Radio-Canada.ca,"Rouyn-Noranda, deuxième meilleure ville au Canada pour étudier, selon un récent classement",2021-05-09,55,https://ici.radio-canada.ca/nouvelle/1791702/uqat-rouyn-noranda-studee-classement,2021-07-03 12:38:14
Rouyn-Noranda ,premier ministre,22,Le Journal de Montréal,Cessez de cacher notre fleurdelisé! | JDM,2021-06-02,31,https://www.journaldemontreal.com/2021/06/02/cessez-de-cacher-notre-fleurdelise,2021-07-03 12:38:15
Rouyn-Noranda ,premier ministre,23,Le Citoyen Val-d'Or - Amos,L'Abitibi-Témiscamingue passera en zone jaune le 10 mai,2021-05-04,60,https://www.lecitoyenvaldoramos.com/article/2021/05/04/l-abitibi-temiscamingue-passera-en-zone-jaune-le-10-mai,2021-07-03 12:38:15
Rouyn-Noranda ,premier ministre,24,Le Devoir,Des milliers de manifestants contre les mesures sanitaires près du Stade olympique,2021-05-01,63,https://www.ledevoir.com/societe/599924/mesures-sanitaires-des-centaines-de-manifestants-contre-les-mesures-sanitaires-convergent-pres-du-stade-olympique,2021-07-03 12:38:15
Rouyn-Noranda ,premier ministre,25,ICI.Radio-Canada.ca,Retrait du chauffage au mazout : 2000 foyers touchés en Abitibi-Témiscamingue,2021-05-24,40,https://ici.radio-canada.ca/nouvelle/1795546/chauffage-mazout-foyer-environnement-abitibi-temiscamingue,2021-07-03 12:38:15
Rouyn-Noranda ,climat,1,Radio-Canada.ca,Un jeu-questionnaire autour du lac Noranda pour la Journée internationale de l'environnement,2021-06-06,27,https://ici.radio-canada.ca/nouvelle/1799142/parcours-journee-internationale-environnement-geco-kiwanis,2021-07-03 12:38:50
Rouyn-Noranda ,climat,2,Greenpeace,La Caisse de dépôt et placement du Québec doit se retirer de tout projet éventuellement lié à GNL/Gazoduq,2021-06-04,29,https://www.greenpeace.org/canada/fr/communique-de-presse/48665/la-caisse-de-depot-et-placement-du-quebec-doit-se-retirer-de-tout-projet-eventuellement-lie-a-gnl-gazoduq/,2021-07-03 12:38:50
Rouyn-Noranda ,climat,3,Québec Hebdo,Protéger l'avenir de nos enfants de la crise climatique,2021-06-20,13,https://www.quebechebdo.com/local/quebec-hebdo-local/258732/proteger-lavenir-de-nos-enfants-de-la-crise-climatique/,2021-07-03 12:38:50
Rouyn-Noranda ,climat,4,LeLézard.com,"Création du Projet de recherche international « Forêts froides », une alliance franco-canadienne",2021-06-09,24,https://www.lelezard.com/communique-19849105.html,2021-07-03 12:38:51
Rouyn-Noranda ,climat,5,ICI.Radio-Canada.ca,Une centaine de personnes manifestent pour l'environnement à Rouyn-Noranda,2021-04-22,72,https://ici.radio-canada.ca/nouvelle/1787225/marche-rouyn-noranda-jour-terre-climat,2021-07-03 12:38:51
Rouyn-Noranda ,climat,6,Le Journal de Québec,Énergie Saguenay: des organismes environnementaux veulent plus de transparence,2021-06-10,23,https://www.journaldequebec.com/2021/06/10/energie-saguenay-des-organismes-environnementaux-veulent-plus-de-transparence,2021-07-03 12:38:51
