Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie
Saint-Tite ,élection OR campagne,1,L'Écho de Maskinongé,Une campagne pour faire connaître et découvrir les producteurs locaux,2021-07-02,1,https://www.lechodemaskinonge.com/actualites/une-campagne-pour-faire-connaitre-et-decouvrir-les-producteurs-locaux/,2021-07-03 12:30:03
Saint-Tite ,élection OR campagne,2,Le Nouvelliste - Groupe Capitales Médias,Vers une pandémie électorale | Opinions,2021-07-03,0,https://www.lenouvelliste.ca/opinions/vers-une-pandemie-electorale-a80875a69f97cd21db593ce73752eff7,2021-07-03 12:30:03
Saint-Tite ,élection OR campagne,3,ICI.Radio-Canada.ca,Festival western de Saint-Tite : la ville compte sur la discipline des visiteurs,2021-06-21,12,https://ici.radio-canada.ca/nouvelle/1803472/festival-mesures-sanitaires-foules-pandemie-deconfinement-mauricie,2021-07-03 12:30:03
Saint-Tite ,élection OR campagne,4,L'Hebdo Journal,Tourisme Mauricie: les centres urbains dans la mire,2021-06-03,30,https://www.lhebdojournal.com/tourisme-mauricie-les-centres-urbains-dans-la-mire/,2021-07-03 12:30:03
Saint-Tite ,élection OR campagne,5,Le Nouvelliste - Groupe Capitales Médias,Deuxième dose de vaccin: plus de 2000 plages sans rendez-vous supplémentaires lundi,2021-06-28,5,https://www.lenouvelliste.ca/actualites/covid-19/deuxieme-dose-de-vaccin-plus-de-2000-plages-sans-rendez-vous-supplementaires-lundi-5905ed9251402e25c2d93d7c2a2e7170,2021-07-03 12:30:04
Saint-Tite ,élection OR campagne,6,Est Républicain,"Haute-Saône | Départementales 2021 : la gauche élargit sa majorité, revivez la soirée electorale",2021-06-27,6,https://www.estrepublicain.fr/politique/2021/06/27/departementales-2021-en-haute-saone-resultats-reactions-analyses-suivez-le-second-tour-de-la-soiree-electorale-avec-nous,2021-07-03 12:30:04
Saint-Tite ,élection OR campagne,7,Ouest-France,Saint-Avé. La P’tite Ferme reprend le service,2021-07-02,1,https://www.ouest-france.fr/bretagne/saint-ave-56890/la-ptite-ferme-reprend-le-service-8924954d-6aec-4f86-9467-a34e3e4baea2,2021-07-03 12:30:04
Saint-Tite ,élection OR campagne,8,Le Peuple Lotbinière,Le Carnet d'Odina – Chronique du 16 juin 2021,2021-06-16,17,https://www.lepeuplelotbiniere.ca/1298/%C3%80_la_une_aujourd_hui.html?id=93449,2021-07-03 12:30:05
Saint-Tite ,élection OR campagne,9,Lien Multimédia,Lendemain de veille présente l'album « Le party est pogné »,2021-06-18,15,http://www.lienmultimedia.com/spip.php?article81970,2021-07-03 12:30:05
Saint-Tite ,élection OR campagne,10,Le Nouvelliste - Groupe Capitales Médias,"Plus de vaccins, de cas et de variants dans la région",2021-03-26,99,https://www.lenouvelliste.ca/actualites/covid-19/plus-de-vaccins-de-cas-et-de-variants-dans-la-region-e876c20d9746cb4bc0c8b9cc0e88305b,2021-07-03 12:30:05
Saint-Tite ,élection OR campagne,11,La Nouvelle Union,Vaccination : d'autres personnalités et experts de la région se joignent à la campagne Comptez sur moi!,2021-04-16,78,https://www.lanouvelle.net/2021/04/16/vaccination-dautres-personnalites-et-experts-de-la-region-se-joignent-a-la-campagne-comptez-sur-moi/,2021-07-03 12:30:05
Saint-Tite ,élection OR campagne,12,ICI.Radio-Canada.ca,Parfum de campagne électorale au Festival western de Saint-Tite,,,https://ici.radio-canada.ca/nouvelle/1290837/campagne-electorale-festival-western-saint-tite-andrew-scheer-jagmeet-singh,2021-07-03 12:30:05
Saint-Tite ,élection OR campagne,13,iHeartRadio,Accélération de la vaccination: du sans rendez-vous s'ajoute en Mauricie,2021-05-21,43,https://www.iheartradio.ca/energie/energie-mauricie/nouvelles/acceleration-de-la-vaccination-du-sans-rendez-vous-s-ajoute-en-mauricie-1.15247226,2021-07-03 12:30:06
Saint-Tite ,élection OR campagne,14,L'Est Eclair,"Un Dimanche à la campagne, c’est reparti. Voilà le programme !",2021-06-12,21,https://www.lest-eclair.fr/id265165/article/2021-06-12/un-dimanche-lacampagne-cest-reparti,2021-07-03 12:30:06
Saint-Tite ,élection OR campagne,15,Le Nouvelliste - Groupe Capitales Médias,"Les festivals en action, malgré l'attente | Actualités",2021-05-01,63,https://www.lenouvelliste.ca/actualites/les-festivals-en-action-malgre-lattente-51926f26968cce36aa6e6544c4ee3703,2021-07-03 12:30:06
Saint-Tite ,élection OR campagne,16,Le Reflet,Saint-Tite s'offre Lendemain de Veille pour son concert hivernal,2021-03-02,123,https://www.lereflet.qc.ca/saint-tite-soffre-lendemain-de-veille-pour-son-concert-hivernal/,2021-07-03 12:30:06
Saint-Tite ,élection OR campagne,17,Le Nouvelliste - Groupe Capitales Médias,Les festivals en 2021: entre optimisme et pessimisme | Actualités,2021-02-06,147,https://www.lenouvelliste.ca/actualites/les-festivals-en-2021-entre-optimisme-et-pessimisme-bb1bafe47da7fee726bd636abd0466c6,2021-07-03 12:30:06
Saint-Tite ,élection OR campagne,18,Le Soleil - Groupe Capitales Médias,Les souvenirs de jeunesse de nos politiciens | Le Mag,2021-06-12,21,https://www.lesoleil.com/le-mag/les-souvenirs-de-jeunesse-de-nos-politiciens-5e8d9212dade9080da729cc80bc0a048,2021-07-03 12:30:06
Saint-Tite ,élection OR campagne,19,Le Nouvelliste - Groupe Capitales Médias,Vaccination: le rythme s'accélère dans la région,2021-03-22,103,https://www.lenouvelliste.ca/actualites/covid-19/vaccination-le-rythme-saccelere-dans-la-region-ef14d972f9a972c3a29ef5c99ea59a0f,2021-07-03 12:30:07
