Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie
Saint-Tite ,premier ministre,1,Le Soleil - Groupe Capitales Médias,Touriste à Québec à l'été 1896 | Actualités,2021-07-03,0,https://www.lesoleil.com/actualite/touriste-a-quebec-a-lete-1896-2a96c55841e87c79f3d75fdf80acd489,2021-07-03 13:06:39
Saint-Tite ,premier ministre,2,L'Hebdo Journal,Tourisme Mauricie: les centres urbains dans la mire,2021-06-03,30,https://www.lhebdojournal.com/tourisme-mauricie-les-centres-urbains-dans-la-mire/,2021-07-03 13:06:40
Saint-Tite ,premier ministre,3,Le journal de Lévis,L'art de la décroissance,2021-07-02,1,https://www.journaldelevis.com/1298/%C3%80_la_une_aujourd_hui.html?id=81017,2021-07-03 13:06:40
Saint-Tite ,premier ministre,4,La Terre de chez nous,La CPTAQ autorise le dézonage d'une terre pour construire l'abattoir d'Exceldor | La Terre de Chez Nous,2021-06-17,16,https://www.laterre.ca/actualites/politique/la-cptaq-autorise-le-dezonage-dune-terre-pour-construire-labattoir-dexceldor,2021-07-03 13:06:40
Saint-Tite ,premier ministre,5,France diplomatie,"Conférence de presse de présentation de la « Villa Albertine » – Intervention de Jean-Yves Le Drian, ministre de l'Europe et des affaires étrangères – Propos liminaire (Paris, 2.07.21)",2021-07-02,1,https://www.diplomatie.gouv.fr/fr/politique-etrangere-de-la-france/actualites-et-evenements/2021/article/conference-de-presse-de-presentation-de-la-villa-albertine-intervention-de-jean,2021-07-03 13:06:41
Saint-Tite ,premier ministre,6,ICI.Radio-Canada.ca,La famille de Chantel Moore compte poursuivre le policier et la Ville d'Edmundston,2021-06-08,25,https://ici.radio-canada.ca/nouvelle/1799840/poursuite-policier-force-edmundston-chantel-moore-mort,2021-07-03 13:06:41
Saint-Tite ,premier ministre,7,Le Parisien,"Covid-19 : en Afrique, le nombre de cas «augmente à un rythme alarmant»",2021-07-01,2,https://www.leparisien.fr/societe/sante/covid-19-entree-en-vigueur-du-pass-sanitaire-europeen-tests-bientot-payants-pour-les-touristes-etrangers-suivez-notre-direct-01-07-2021-C57NSZHVQNHC3EXX5LLEL35Z5I.php,2021-07-03 13:06:41
Saint-Tite ,premier ministre,8,Le Journal de Montréal,Trois-Rivières: les grands événements culturels et sportifs en préparation,2021-05-31,33,https://www.journaldemontreal.com/2021/05/31/trois-rivieres-les-grands-evenements-culturels-et-sportifs-en-preparation,2021-07-03 13:06:41
Saint-Tite ,premier ministre,9,Le Nouvelliste - Groupe Capitales Médias,"Les festivals en action, malgré l'attente | Actualités",2021-05-01,63,https://www.lenouvelliste.ca/actualites/les-festivals-en-action-malgre-lattente-51926f26968cce36aa6e6544c4ee3703,2021-07-03 13:06:41
Saint-Tite ,premier ministre,10,Le Journal de Montréal,[EN DIRECT 6 AVRIL] Tous les développements de la pandémie,2021-04-06,88,https://www.journaldemontreal.com/2021/04/06/en-direct-6-avril-tous-les-developpements-de-la-pandemie,2021-07-03 13:06:42
Saint-Tite ,premier ministre,11,Le Nouvelliste - Groupe Capitales Médias,Éclosion de 21 cas à Paul-Le Jeune et de 31 cas à Val-Mauricie: des enseignants fatigués,2020-10-30,246,https://www.lenouvelliste.ca/actualites/eclosion-de-21-cas-a-paul-le-jeune-et-de-31-cas-a-val-mauricie-des-enseignants-fatigues-333a67458a363e44cb55d06d0e610358,2021-07-03 13:06:42
Saint-Tite ,premier ministre,12,L'Hebdo du Saint-Maurice,La Mauricie en zone orange dès le 8 mars,2021-03-03,122,https://www.lhebdodustmaurice.com/la-mauricie-en-zone-orange-des-le-8-mars/,2021-07-03 13:06:42
Saint-Tite ,premier ministre,13,Le Nouvelliste - Groupe Capitales Médias,Les festivals en 2021: entre optimisme et pessimisme | Actualités,2021-02-06,147,https://www.lenouvelliste.ca/actualites/les-festivals-en-2021-entre-optimisme-et-pessimisme-bb1bafe47da7fee726bd636abd0466c6,2021-07-03 13:06:42
Saint-Tite ,premier ministre,14,Le Nouvelliste - Groupe Capitales Médias,"Plus de vaccins, de cas et de variants dans la région",2021-03-26,99,https://www.lenouvelliste.ca/actualites/covid-19/plus-de-vaccins-de-cas-et-de-variants-dans-la-region-e876c20d9746cb4bc0c8b9cc0e88305b,2021-07-03 13:06:42
