Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie
Sorel-Tracy ,accident,1,Les 2 Rives,Accident avec une grue : un quinquagénaire p...,2021-06-07,26,https://www.les2rives.com/accident-avec-une-grue-un-quinquagenaire-perd-la-vie/,2021-07-03 13:30:12
Sorel-Tracy ,accident,2,Le Journal de Montréal,Accident: décès d'un cycliste octogénaire à Sorel-Tracy,2021-04-06,88,https://www.journaldemontreal.com/2021/04/06/un-cycliste-octogenaire-se-trouve-dans-un-etat-critique-a-sorel-tracy,2021-07-03 13:30:12
Sorel-Tracy ,accident,3,Le Journal de Montréal,Incendie à Sorel-Tracy: un 2e feu en une semaine lui est fatal,2021-04-16,78,https://www.journaldemontreal.com/2021/04/16/incendie-a-sorel-tracy-une-personne-qui-manque-a-lappel-et-deux-blesses-graves,2021-07-03 13:30:12
Sorel-Tracy ,accident,4,Les 2 Rives,Une spectaculaire chasse à l'homme se termine en accident à Sorel-Tracy,2021-04-14,80,https://www.les2rives.com/une-spectaculaire-chasse-a-lhomme-se-termine-en-accident-a-sorel-tracy/,2021-07-03 13:30:12
Sorel-Tracy ,accident,5,La Releve,Transport des matières dangereuses sur la voie ferrée : Boucherville veut être informée à l'avance,2021-06-26,7,https://www.lareleve.qc.ca/2021/06/26/transport-des-matieres-dangereuses-sur-la-voie-ferree-boucherville-veut-etre-informee-a-lavance/,2021-07-03 13:30:12
Sorel-Tracy ,accident,6,Les 2 Rives,Accident de mobylette : l'état de l&amp;rs...,2021-05-14,50,https://www.les2rives.com/accident-de-mobylette-letat-de-ladolescente-de-14-ans-sest-stabilise/,2021-07-03 13:30:13
Sorel-Tracy ,accident,7,Sorel-Tracy Magazine,Accident du 27 janvier sur la route 132 : Le député Jean-Bernard Émond souligne la résilience du jeune William et le travail remarquable des services d'urgence de Sorel-Tracy,2021-02-03,150,https://www.soreltracy.com/2021/fev/3f2.html,2021-07-03 13:30:13
Sorel-Tracy ,accident,8,Les 2 Rives,Collision à Saint-Robert : le jeune piéton happé est dans un état stable,2021-01-27,157,https://www.les2rives.com/collision-a-saint-robert-le-jeune-pieton-happe-est-dans-un-etat-stable/,2021-07-03 13:30:13
Sorel-Tracy ,accident,9,Sorel-Tracy Magazine,Collision sur l'avenue Hôtel-Dieu à Sorel-Tracy,2021-03-14,111,https://www.soreltracy.com/2021/mars/14m.html,2021-07-03 13:30:13
Sorel-Tracy ,accident,10,Les 2 Rives,Il fonce dans quatre autos stationnées et un... - Journal Les 2 Rives,2021-05-04,60,https://www.les2rives.com/il-fonce-dans-quatre-autos-stationnees-et-une-maison-en-etat-debriete-apres-le-couvre-feu/,2021-07-03 13:30:13
