Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie
Trois-Pistoles ,accident,1,TVA Nouvelles,Un piéton heurté mortellement dans le Bas-Saint-Laurent,2021-07-02,1,https://www.tvanouvelles.ca/2021/07/02/un-pieton-heurte-mortellement-dans-le-bas-saint-laurent,2021-07-03 13:43:51
Trois-Pistoles ,accident,2,Info Dimanche,Accident à Notre-Dame-des-Neiges | infodimanche.com,2021-01-08,176,https://www.infodimanche.com/actualites/faits-divers/414822/accident-a-notre-dame-des-neiges,2021-07-03 13:43:51
Trois-Pistoles ,accident,3,Le Journal de Québec,Incendie d'origine accidentelle à Trois-Pistoles,2021-05-19,45,https://www.journaldequebec.com/2021/05/19/incendie-sous-enquete-a-trois-pistoles,2021-07-03 13:43:51
Trois-Pistoles ,accident,4,Info Dimanche,Accident impliquant un autobus et une voiture | infodimanche.com,,,https://www.infodimanche.com/actualites/faits-divers/347342/accident-impliquant-un-autobus-et-une-voiture,2021-07-03 13:43:51
Trois-Pistoles ,accident,5,Info Dimanche,Poursuite policière : trois suspects prennent la fuite à pied à Trois-Pistoles | infodimanche.com,2021-01-06,178,https://www.infodimanche.com/actualites/faits-divers/414544/poursuite-policiere-trois-suspects-prennent-la-fuite-a-pied-a-trois-pistoles,2021-07-03 13:43:51
Trois-Pistoles ,accident,6,Le Journal de Québec,L'Est-du-Québec y goûte,2020-12-06,209,https://www.journaldequebec.com/2020/12/06/tempete-de-neige-intense-dans-lest-du-quebec,2021-07-03 13:43:51
Trois-Pistoles ,accident,7,Info Dimanche,Un accident fait trois morts à Trois-Pistoles | infodimanche.com,,,https://www.infodimanche.com/actualites/faits-divers/276621/un-accident-fait-trois-morts-a-trois-pistoles,2021-07-03 13:43:52
Trois-Pistoles ,accident,8,ICI.Radio-Canada.ca,Accident mortel à Trois-Pistoles : une distraction du conducteur,,,https://ici.radio-canada.ca/nouvelle/761926/accident-mortel-rapport-coroner-distraction-conducteur,2021-07-03 13:43:52
Trois-Pistoles ,accident,9,Le Soleil - Groupe Capitales Médias,Grave accident sur la 132 au Bas-Saint-Laurent,,,https://www.lesoleil.com/actualite/en-region/grave-accident-sur-la-132-au-bas-saint-laurent-c6021fcaeb421d6f8d39536246211aee,2021-07-03 13:43:52
Trois-Pistoles ,accident,10,Info Dimanche,Courte poursuite policière entre Trois-Pistoles et L'Isle-Verte | infodimanche.com,2021-04-20,74,https://www.infodimanche.com/actualites/faits-divers/423758/courte-poursuite-policiere-entre-trois-pistoles-et-lisle-verte,2021-07-03 13:43:52
Trois-Pistoles ,accident,11,La Voix du Sud,Trois-Pistoles en chansons: première étape franchie pour Lorie Côté,2021-05-20,44,https://www.lavoixdusud.com/2021/05/20/trois-pistoles-en-chansons-premiere-etape-franchie-pour-lorie-cote/,2021-07-03 13:43:52
Trois-Pistoles ,accident,12,CIMT-CHAU,Un trentenaire dans un état critique à la suite d'un accident de travail,2021-04-21,73,https://cimtchau.ca/nouvelles/un-sexagenaire-dans-un-etat-critique-a-la-suite-dun-accident-de-travail/,2021-07-03 13:43:53
Trois-Pistoles ,accident,13,CIMT-CHAU,Grave accident de travail à l'usine de Sciage Kamouraska,2021-03-26,99,https://cimtchau.ca/nouvelles/grave-accident-de-travail-a-lusine-de-sciage-kamouraska/,2021-07-03 13:43:53
