Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie
Trois-Rivières ,accident,1,Le Nouvelliste - Groupe Capitales Médias,Un motocycliste perd la vie dans un accident sur le boulevard Thibeau,2021-06-26,7,https://www.lenouvelliste.ca/actualites/justice-et-faits-divers/un-motocycliste-perd-la-vie-dans-un-accident-sur-le-boulevard-thibeau-4666ad1fc62ee4c1065e57f7a6eeebe9,2021-07-03 13:46:36
Trois-Rivières ,accident,2,ICI.Radio-Canada.ca,Accident à l'hippodrome de Trois-Rivières : des blessés et un cheval euthanasié,2021-06-07,26,https://ici.radio-canada.ca/nouvelle/1799411/conducteur-chevaux-equitation-course-blessures-mort-hippodrome,2021-07-03 13:46:36
Trois-Rivières ,accident,3,Le Nouvelliste - Groupe Capitales Médias,Accident mortel sur l'autoroute 55: l'identité de la victime dévoilée,2021-06-12,21,https://www.lenouvelliste.ca/actualites/justice-et-faits-divers/accident-mortel-sur-lautoroute-55-lidentite-de-la-victime-devoilee-b5c9bfa092799691509d5f6999e4ba59,2021-07-03 13:46:36
Trois-Rivières ,accident,4,iHeartRadio,Grave accident à l'Hippodrome de Trois-Rivières,2021-06-07,26,https://www.iheartradio.ca/energie/energie-mauricie/nouvelles/grave-accident-a-l-hippodrome-de-trois-rivieres-1.15371120,2021-07-03 13:46:36
Trois-Rivières ,accident,5,ICI.Radio-Canada.ca,Grave accident de motocyclette à Sainte-Ursule,2021-06-28,5,https://ici.radio-canada.ca/nouvelle/1804918/moto-conducteur-inexperience-mauricie-police-hopital-route-348,2021-07-03 13:46:36
Trois-Rivières ,accident,6,ICI.Radio-Canada.ca,Incursion dans l'univers des courses de chevaux à Trois-Rivières,2021-06-14,19,https://ici.radio-canada.ca/nouvelle/1801209/course-chevaux-hippodrome-trois-rivieres-sport-inconnu,2021-07-03 13:46:37
Trois-Rivières ,accident,7,Info Dimanche,Accident sur l'autoroute 20 à Rivière-du-Loup | infodimanche.com,2021-06-06,27,https://www.infodimanche.com/actualites/faits-divers/428381/accident-sur-lautoroute-20-a-riviere-du-loup,2021-07-03 13:46:37
Trois-Rivières ,accident,8,Le Nouvelliste - Groupe Capitales Médias,À 185 km/h à moto sur la route 155,2021-06-25,8,https://www.lenouvelliste.ca/actualites/justice-et-faits-divers/a-185-km-h-a-moto-sur-la-route-155-1968905a91a4de13dc99a88774f67525,2021-07-03 13:46:37
Trois-Rivières ,accident,9,TVA Nouvelles,Grave accident nautique sur la rivière des Prairies,2021-06-18,15,https://www.tvanouvelles.ca/2021/06/18/grave-accident-nautique-sur-la-riviere-des-prairies,2021-07-03 13:46:37
Trois-Rivières ,accident,10,Le Journal de Montréal,Québec poursuivi pour une chaussée mal entretenue,2021-06-09,24,https://www.journaldemontreal.com/2021/06/09/quebec-poursuivi-pour-une-chaussee-mal-entretenue,2021-07-03 13:46:37
Trois-Rivières ,accident,11,ICI.Radio-Canada.ca,Poursuite contre Québec pour un accident routier avec une pièce d'éolienne,2021-06-11,22,https://ici.radio-canada.ca/nouvelle/1800544/northbridge-poursuite-quebec-transport-camion-eolien-accident-metis,2021-07-03 13:46:37
Trois-Rivières ,accident,12,Le Nouvelliste - Groupe Capitales Médias,Accident mortel sur l'autoroute 55 | Justice et faits divers | Actualités,2021-04-25,69,https://www.lenouvelliste.ca/actualites/justice-et-faits-divers/accident-mortel-sur-lautoroute-55-dc05834b9984ceb187aa610e975363d7,2021-07-03 13:46:38
Trois-Rivières ,accident,13,Le Nouvelliste - Groupe Capitales Médias,Le dernier droit de Jean-Guy Dubois | Actualités,2021-07-03,0,https://www.lenouvelliste.ca/actualites/le-dernier-droit-de-jean-guy-dubois-39ed91ede1cbea2a5d3f08171d5f1b16,2021-07-03 13:46:38
Trois-Rivières ,accident,14,Le Journal de Québec,[EN IMAGES] Lévis: carambolage impliquant des poids lourds sur l'autoroute 20,2021-06-04,29,https://www.journaldequebec.com/2021/06/03/levis-carambolage-impliquant-des-poids-lourds-sur-lautoroute-20,2021-07-03 13:46:38
Trois-Rivières ,accident,15,Le Nouvelliste - Groupe Capitales Médias,Accident à Trois-Rivières: un camionneur transporté à l'hôpital,2020-11-23,222,https://www.lenouvelliste.ca/actualites/justice-et-faits-divers/accident-a-trois-rivieres-un-camionneur-transporte-a-lhopital-7cc8528139df72da73c5a5ff4a9abf5b,2021-07-03 13:46:38
Trois-Rivières ,accident,16,Le Nouvelliste - Groupe Capitales Médias,Accident à Bécancour: deux automobilistes perdent la vie,2021-03-23,102,https://www.lenouvelliste.ca/actualites/justice-et-faits-divers/accident-a-becancour-deux-automobilistes-perdent-la-vie-976706d0c4f903fc20d98f1875773284,2021-07-03 13:46:38
Trois-Rivières ,accident,17,ICI.Radio-Canada.ca,Accident mortel sur l'autoroute 40 à Trois-Rivières,2020-10-14,262,https://ici.radio-canada.ca/nouvelle/1740958/sortie-des-prairies-accident-circulation-voies-fermees-homme-blesse,2021-07-03 13:46:39
Trois-Rivières ,accident,18,Le Nouvelliste - Groupe Capitales Médias,Quatre véhicules impliqués dans un accident sur le pont Marc-Trudel,2021-02-03,150,https://www.lenouvelliste.ca/actualites/justice-et-faits-divers/quatre-vehicules-impliques-dans-un-accident-sur-le-pont-marc-trudel-004afd01f0751c0afde0fa5ab02526e4,2021-07-03 13:46:39
Trois-Rivières ,accident,19,Le Nouvelliste - Groupe Capitales Médias,Une voiture sectionne un poteau électrique sur le boulevard des Forges,2021-05-19,45,https://www.lenouvelliste.ca/actualites/justice-et-faits-divers/une-voiture-sectionne-un-poteau-electrique-sur-le-boulevard-des-forges-f4505e876c942ca6366427706d198191,2021-07-03 13:46:39
