Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Boischatel ,accident,1,Le Soleil - Groupe Capitales Médias,Incendie à Boischatel: un homme de 46 ans perd la vie [VIDÉO],2020-12-13,214,https://www.lesoleil.com/actualite/justice-et-faits-divers/incendie-a-boischatel-un-homme-de-46-ans-perd-la-vie-video-2fc7a76163e282edcb79853d85d9a3dc,2021-07-15 12:57:28,local
Boischatel ,accident,2,ICI.Radio-Canada.ca,Une vingtaine de constats remis lors d'une opération ciblant les VTT à Québec,2021-05-24,52,https://ici.radio-canada.ca/nouvelle/1795622/vtt-sentiers-interdiction-sensibilisation-quebec-charlesbourg-beauport,2021-07-15 12:57:29,local
Boischatel ,accident,3,Le Journal de Québec,[PHOTOS] Un homme secouru dans la rivière à Boischatel,,,https://www.journaldequebec.com/2020/07/03/photos-un-homme-secouru-dans-la-riviere-a-boischatel,2021-07-15 12:57:29,local
Boischatel ,accident,4,Zone911,Intervention pour un feu de broussailles à Boischatel,2021-04-11,95,https://zone911.com/incendies/30661-intervention-pour-un-feu-de-broussailles-a-boischatel,2021-07-15 12:57:29,local
Boischatel ,accident,5,Zone911,DERNIÈRE HEURE: Une résidence de Boischatel est la proie des flammes,2020-10-01,287,https://zone911.com/incendies/29836-derniere-heure-une-residence-de-boischatel-est-la-proie-des-flammes,2021-07-15 12:57:30,local
Boischatel ,accident,6,Zone911,Incendie majeur aux limites de Québec et Boischatel,2020-10-08,280,https://zone911.com/incendies/29871-incendie-majeur-aux-limites-de-quebec-et-boischatel,2021-07-15 12:57:30,local
Boischatel ,accident,7,Zone911,Faits divers en bref : Voici quelques événements qui ont retenu notre attention,2021-05-04,72,https://zone911.com/scenes-policieres/30764-faits-divers-en-bref-voici-quelques-evenements,2021-07-15 12:57:30,local
Boischatel ,accident,8,Le Soleil - Groupe Capitales Médias,Mort de Kobe Bryant: le pilote de l'hélicoptère jugé responsable de l'accident,2021-02-09,156,https://www.lesoleil.com/sports/mort-de-kobe-bryant-le-pilote-de-lhelicoptere-juge-responsable-de-laccident-d338291b986b5b1afc655f702e8a3f46,2021-07-15 12:57:30,local
Boischatel ,accident,9,Zone911,Trafic de drogues: Saisie et arrestation à Boischatel,2020-12-01,226,https://zone911.com/scenes-policieres/30109-trafic-de-drogues-saisie-et-arrestation-a-boischatel,2021-07-15 12:57:31,local
Boischatel ,accident,10,Zone911,Incendie dans une résidence du secteur de Charlesbourg,2021-04-13,93,https://zone911.com/incendies/30671-incendie-dans-une-residence-du-secteur-de-charlesbourg,2021-07-15 12:57:31,local
Boischatel ,accident,11,Le Journal de Montréal,Dure journée pour Labbé et Theetge à Phoenix,2020-11-07,250,https://www.journaldemontreal.com/2020/11/07/dure-journee-pour-labbe-et-theetge-a-phoenix,2021-07-15 12:57:31,local
Boischatel ,accident,12,Le Soleil - Groupe Capitales Médias,Un corps repêché dans la rivière Montmorency | Justice et faits divers | Actualités,,,https://www.lesoleil.com/actualite/justice-et-faits-divers/un-corps-repeche-dans-la-riviere-montmorency-55807900e27d753907a43431ac846b16,2021-07-15 12:57:31,local
Boischatel ,accident,13,Zone911,DERNIÈRE HEURE: Tremblement de terre dans la région de Charlevoix,2020-12-28,199,https://zone911.com/divers/30239-derniere-heure-tremblement-de-terre-dans-la-region-de-charlevoix,2021-07-15 12:57:31,local
Boischatel ,accident,14,La Tribune - Groupe Capitales Médias,Femme portée disparue au parc de la Chute-Montmorency: les recherches se poursuivent,,,https://www.latribune.ca/actualites/justice-et-faits-divers/femme-portee-disparue-au-parc-de-la-chute-montmorency-les-recherches-se-poursuivent-908f2a02c26ac69d3b4bfc9a95cecbb4,2021-07-15 12:57:32,local
Boischatel ,accident,15,ICI.Radio-Canada.ca,Protection de la jeunesse : une famille d'accueil exige des changements,2021-05-03,73,https://ici.radio-canada.ca/nouvelle/1789756/famille-accueil-bout-de-souffle-exhorte-changements-dpj,2021-07-15 12:57:32,local
