Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Québec ,premier ministre,1,Premier ministre du Canada,Québec et Ottawa propulsent la relance du secteur aérospatial québécois,2021-07-15,0,https://pm.gc.ca/fr/nouvelles/communiques/2021/07/15/quebec-et-ottawa-propulsent-la-relance-du-secteur-aerospatial,2021-07-15 18:25:17,national
Québec ,premier ministre,2,"98,5 fm",Industrie aérospatiale | Québec et Ottawa investissent près de 700 M$,2021-07-15,0,https://www.985fm.ca/nouvelles/economie/410462/industrie-aerospatiale-quebec-et-ottawa-investissent-pres-de-700-m,2021-07-15 18:25:17,national
Québec ,premier ministre,3,La Presse,Industrie aérospatiale | Québec et Ottawa investissent 693 millions,2021-07-15,0,https://www.lapresse.ca/affaires/2021-07-15/industrie-aerospatiale/quebec-et-ottawa-investissent-693-millions.php,2021-07-15 18:25:18,national
Québec ,premier ministre,4,LeLézard.com,Reprise économique - Québec et Ottawa propulsent la relance du secteur aérospatial québécois,2021-07-15,0,https://www.lelezard.com/communique-19905759.html,2021-07-15 18:25:18,national
Québec ,premier ministre,5,Le Journal de Québec,Legault propose de rouvrir aux Américains pleinement vaccinés en premier,2021-07-15,0,https://www.journaldequebec.com/2021/07/15/legault-propose-de-rouvrir-aux-americains-en-premier-1,2021-07-15 18:25:18,national
Québec ,premier ministre,6,Le Journal de Québec,Québec lancera une «loto-vaccin» pour redonner du souffle à la campagne,2021-07-15,0,https://www.journaldequebec.com/2021/07/15/vers-une-loto-vaccin-au-quebec,2021-07-15 18:25:19,national
Québec ,premier ministre,7,Le Journal de Québec,Le gouvernement Legault accusé de vouloir faire une nouvelle nomination partisane,2021-07-15,0,https://www.journaldequebec.com/2021/07/15/le-gouvernement-legault-accuse-de-vouloir-faire-une-nouvelle-nomination-partisane,2021-07-15 18:25:19,national
Québec ,premier ministre,8,ICI.Radio-Canada.ca,Une autre annonce d'installation d'Internet haute vitesse au Saguenay-Lac-Saint-Jean,2021-07-14,1,https://ici.radio-canada.ca/nouvelle/1809094/videotron-clients-ottawa-quebec,2021-07-15 18:25:19,national
Québec ,premier ministre,9,Le Devoir,Québec lancera des appels d'offres pour 780 MW d​'énergie renouvelable,2021-07-14,1,https://www.ledevoir.com/economie/618027/energie-renouvelable-quebec-lance-des-appels-d-offres-de-780-megawatts,2021-07-15 18:25:20,national
Québec ,premier ministre,10,Premier ministre du Canada,Soutenir la fabrication liée à l'énergie renouvelable au Québec pour créer des emplois et bâtir un avenir plus propre,2021-07-14,1,https://pm.gc.ca/fr/nouvelles/communiques/2021/07/14/soutenir-la-fabrication-liee-lenergie-renouvelable-au-quebec-creer,2021-07-15 18:25:20,national
Québec ,premier ministre,11,Le Journal de Québec,COVID-19: 75 nouveaux cas et aucun décès supplémentaire au Québec,2021-07-14,1,https://www.journaldequebec.com/2021/07/14/covid-19-75-nouveaux-cas-et-aucun-deces-supplementaire-au-quebec,2021-07-15 18:25:20,national
Québec ,premier ministre,12,Le Journal de Montréal,Des élections fédérales déclenchées d'ici la fin du mois?,2021-07-14,1,https://www.journaldemontreal.com/2021/07/13/des-elections-federales-declenchees-dici-la-fin-du-mois,2021-07-15 18:25:20,national
Québec ,premier ministre,13,Premier ministre du Canada,Itinéraire du premier ministre pour le mercredi 14 juillet 2021,2021-07-14,1,https://pm.gc.ca/fr/nouvelles/itineraires/2021/07/13/itineraire-du-premier-ministre-mercredi-14-juillet-2021,2021-07-15 18:25:20,national
Québec ,premier ministre,14,La Presse,Trudeau réitère qu'il ne veut pas de vaccination obligatoire,2021-07-13,2,https://www.lapresse.ca/covid-19/2021-07-13/trudeau-reitere-qu-il-ne-veut-pas-de-vaccination-obligatoire.php,2021-07-15 18:25:21,national
Québec ,premier ministre,15,ICI.Radio-Canada.ca,Affaires autochtones : le ministre Rickford en a-t-il trop entre les mains?,2021-07-15,0,https://ici.radio-canada.ca/nouvelle/1809084/premieres-nations-richesses-naturelle-developpement-industrie,2021-07-15 18:25:21,national
Québec ,premier ministre,16,Premier ministre du Canada,Déclaration du premier ministre à l'occasion de la Fête nationale du Québec,2021-06-24,21,https://pm.gc.ca/fr/nouvelles/declarations/2021/06/24/declaration-du-premier-ministre-loccasion-de-la-fete-nationale-du,2021-07-15 18:25:21,national
Québec ,premier ministre,17,Radio-Canada.ca,Justin Trudeau en Gaspésie pour des annonces à saveur préélectorale,2021-07-14,1,https://ici.radio-canada.ca/nouvelle/1808887/port-cap-meules-ottawa-iles-travaux-justin-trudeau-gaspesie,2021-07-15 18:25:21,national
Québec ,premier ministre,18,Radio-Canada.ca,Encore des vacances peu profitables pour des commerçants américains,2021-07-15,0,https://ici.radio-canada.ca/nouvelle/1809208/tourisme-conge-estival-fermeture-frontiere-canado-americaine,2021-07-15 18:25:22,national
Québec ,premier ministre,19,Le Journal de Québec,Haïti: un comité chargé des funérailles du président Moïse,2021-07-13,2,https://www.journaldequebec.com/2021/07/13/haiti-un-comite-charge-des-funerailles-du-president-moise-1,2021-07-15 18:25:22,national
Québec ,premier ministre,20,Le Journal de Montréal,Élections fédérales: «on pense qu'il va déclencher bientôt»,2021-07-15,0,https://www.journaldemontreal.com/2021/07/15/elections-federales-on-pense-quil-va-declencher-bientot-1,2021-07-15 18:25:22,national
Québec ,premier ministre,21,Le Journal de Montréal,La longue quête pour un code QR,2021-07-15,0,https://www.journaldemontreal.com/2021/07/15/la-longue-quete-pour-un-code-qr,2021-07-15 18:25:22,national
Québec ,premier ministre,22,Radio-Canada.ca,La Chambre de commerce du Grand Toronto réclame un passeport vaccinal | Coronavirus : Ontario,2021-07-14,1,https://ici.radio-canada.ca/nouvelle/1808880/covid-19-passeport-vaccin-toronto-board-of-trade,2021-07-15 18:25:23,national
Québec ,premier ministre,23,Le Journal de Québec,Apuiat: formation d'un comité de maximisation économique,2021-07-15,0,https://www.journaldequebec.com/2021/07/15/apuiat-formation-dun-comite-de-maximisation-economique,2021-07-15 18:25:23,national
Québec ,premier ministre,24,Le Soleil - Groupe Capitales Médias,Enfin de l'espoir pour le retour du baseball à Québec et Trois-Rivières,2021-07-14,1,https://www.lesoleil.com/sports/enfin-de-lespoir-pour-le-retour-du-baseball-a-quebec-et-trois-rivieres-525616cd1fcfaba0f0b3c6efe5b3ff28,2021-07-15 18:25:23,national
Québec ,premier ministre,25,Radio-Canada.ca,Tout le Québec passera au vert le 28 juin | Coronavirus,2021-06-22,23,https://ici.radio-canada.ca/nouvelle/1803569/covid-quebec-palier-vert-vendredi-25-juin,2021-07-15 18:25:23,national
Québec ,climat,1,Le Devoir,Environnement: le Québec face à un climat bouleversé,2021-06-23,22,https://www.ledevoir.com/societe/environnement/613155/environnement-le-quebec-face-a-un-climat-bouleverse,2021-07-15 18:26:00,national
Québec ,climat,2,Le Journal de Québec,Changements climatiques: impact de 86 G$ par an sur la santé,2021-06-22,23,https://www.journaldequebec.com/2021/06/22/changements-climatiques-impact-de-86g-par-an-sur-la-sante,2021-07-15 18:26:01,national
Québec ,climat,3,Radio-Canada.ca,"Le dôme de chaleur dans l'Ouest, un signal « menaçant » du changement climatique",2021-06-30,15,https://ici.radio-canada.ca/nouvelle/1805576/changement-climatique-dome-chaleur-extreme-cb-ouest,2021-07-15 18:26:01,national
Québec ,climat,4,La Nouvelle Union,La Financière agricole trace son bilan de la mi-saison dans la région,2021-07-14,1,https://www.lanouvelle.net/2021/07/14/la-financiere-agricole-trace-son-bilan-de-la-mi-saison-dans-la-region/,2021-07-15 18:26:01,national
Québec ,climat,5,Le Journal de Québec,Les vendeurs de gratteux,2021-07-14,1,https://www.journaldequebec.com/2021/07/14/les-vendeurs-de-gratteux,2021-07-15 18:26:01,national
Québec ,climat,6,La Presse,Électrochocs climatiques | La Presse,2021-07-03,12,https://www.lapresse.ca/debats/editoriaux/2021-07-03/electrochocs-climatiques.php,2021-07-15 18:26:02,national
