Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Rimouski ,accident,1,ICI.Radio-Canada.ca,Décès de la victime de l'accident de kitesurf à L'Isle-aux-Coudres,2021-07-06,9,https://ici.radio-canada.ca/nouvelle/1806852/deces-victime-kitesurf-isle-aux-coudres,2021-07-15 17:07:42,local
Rimouski ,accident,2,journal le soir,Un piéton de 65 ans de Rimouski victime d'un accident mortel,2021-07-02,13,https://journallesoir.ca/2021/07/02/un-pieton-de-65-ans-de-rimouski-victime-dun-accident-mortel/,2021-07-15 17:07:42,local
Rimouski ,accident,3,iHeartRadio,Plusieurs accidents et un mort sur les routes du Québec samedi,2021-07-11,4,https://www.iheartradio.ca/energie/energie-montreal/nouvelles/plusieurs-accidents-et-un-mort-sur-les-routes-du-quebec-samedi-1.15602131,2021-07-15 17:07:43,local
Rimouski ,accident,4,CIMT-CHAU,MISE À JOUR | Accident mortel de kitesurf à L'Isle-aux-Coudres,2021-07-04,11,https://cimtchau.ca/nouvelles/grave-accident-de-kitesurf-a-lisle-aux-coudres/,2021-07-15 17:07:43,local
Rimouski ,accident,5,TVA Nouvelles,Un piéton heurté mortellement dans le Bas-Saint-Laurent,2021-07-02,13,https://www.tvanouvelles.ca/2021/07/02/un-pieton-heurte-mortellement-dans-le-bas-saint-laurent,2021-07-15 17:07:43,local
Rimouski ,accident,6,Le Soleil - Groupe Capitales Médias,Les défis de l'accès aux soins de santé sur l'Isle-aux-Coudres,2021-07-14,1,https://www.lesoleil.com/actualite/en-region/les-defis-de-lacces-aux-soins-de-sante-sur-lisle-aux-coudres-c7d1dc69b691f51c4713b218cd02bd06,2021-07-15 17:07:43,local
Rimouski ,accident,7,Le Journal de Québec,Un motocycliste blessé gravement dans le Bas-Saint-Laurent,2021-05-30,46,https://www.journaldequebec.com/2021/05/30/un-motocycliste-blesse-gravement-au-bas-saint-laurent,2021-07-15 17:07:43,local
Rimouski ,accident,8,L'Avantage Rimouski,Des citoyens dénoncent l'état « catastrophique » de la route 232,2021-06-29,16,https://www.lavantage.qc.ca/article/2021/06/29/des-citoyens-denoncent-l-etat-%E2%80%89catastrophique%E2%80%89-de-la-route-232,2021-07-15 17:07:44,local
Rimouski ,accident,9,Le Journal de Québec,Bas-Saint-Laurent: face-à-face mortel à Sainte-Luce,2021-05-01,75,https://www.journaldequebec.com/2021/05/01/bas-saint-laurent-face-a-face-mortel-a-sainte-luce,2021-07-15 17:07:44,local
Rimouski ,accident,10,L'Avantage Rimouski,Décès d'une victime d'accident survenu samedi à Rimouski,2020-10-13,275,https://www.lavantage.qc.ca/article/2020/10/13/deces-d-une-victime-d-accident-survenu-samedi-a-rimouski,2021-07-15 17:07:44,local
Rimouski ,accident,11,ICI.Radio-Canada.ca,"Autre accident sur l'A-20 à Rimouski : inacceptable, dit le maire",,,https://ici.radio-canada.ca/nouvelle/1666981/collision-route-autoroute-rimouski-bas-saint-laurent,2021-07-15 17:07:44,local
Rimouski ,accident,12,Le Journal de Québec,Accident mortel à Saint-Narcisse-de-Rimouski,2020-09-12,306,https://www.journaldequebec.com/2020/09/12/accident-mortel-a-saint-narcisse-de-rimouski-1,2021-07-15 17:07:44,local
Rimouski ,accident,13,ICI.Radio-Canada.ca,Collision mortelle entre un véhicule et un train dans la MRC de L'Islet,2020-09-12,306,https://ici.radio-canada.ca/nouvelle/1733270/collision-mortelle-train-sainte-louise,2021-07-15 17:07:45,local
Rimouski ,accident,14,ICI.Radio-Canada.ca,Collision mortelle dans la MRC de L'Islet : le coroner conclut à un accident,2021-04-02,104,https://ici.radio-canada.ca/nouvelle/1781997/rapport-coroner-accident-route-mort-train-canadien-national-chaudiere-appalaches,2021-07-15 17:07:45,local
Rimouski ,accident,15,ICI.Radio-Canada.ca,Les conditions météo encore difficiles par endroits dans l'Est-du-Québec,2021-04-23,83,https://ici.radio-canada.ca/nouvelle/1786923/tempete-tardive-printemps-route-glissante-ecoles-fermees-avril-2021,2021-07-15 17:07:45,local
Rimouski ,accident,16,Le Journal de Québec,L'Est-du-Québec y goûte,2020-12-06,221,https://www.journaldequebec.com/2020/12/06/tempete-de-neige-intense-dans-lest-du-quebec,2021-07-15 17:07:45,local
Rimouski ,accident,17,Le Soleil - Groupe Capitales Médias,Autre grave accident de motoneige en Gaspésie | L'Est du Québec | Actualités,2021-02-15,150,https://www.lesoleil.com/actualite/en-region/autre-grave-accident-de-motoneige-en-gaspesie-c19bf907a57d61ff2c049df7306f29a4,2021-07-15 17:07:46,local
Rimouski ,accident,18,Le Journal de Québec,Violente embardée à Rimouski: un homme dans la quarantaine dans un état critique,2020-11-01,256,https://www.journaldequebec.com/2020/11/01/violente-embardee-a-rimouski-un-homme-dans-la-quarantaine-dans-un-etat-critique,2021-07-15 17:07:46,local
Rimouski ,accident,19,L'Avantage Rimouski,Accident mortel au Bic : l'identité de la victime est dévoilée,,,https://www.lavantage.qc.ca/article/2020/02/20/accident-mortel-au-bic-l-identite-de-la-victime-est-devoilee,2021-07-15 17:07:46,local
Rimouski ,accident,20,ICI.Radio-Canada.ca,Accident à Sciage Kamouraska : décès du travailleur,2021-04-05,101,https://ici.radio-canada.ca/nouvelle/1781996/accident-sciage-kamouraska-mort,2021-07-15 17:07:46,local
Rimouski ,accident,21,Le Journal de Québec,Rimouski: une septuagénaire meurt à la suite d'une collision,2020-10-11,277,https://www.journaldequebec.com/2020/10/11/rimouski-collision-possiblement-a-cause-dun-malaise,2021-07-15 17:07:46,local
Rimouski ,accident,22,Zone911,Grave accident à Rimouski sur la route 232 - Actualités,,,https://zone911.com/accidents/28682-grave-accident-a-rimouski-sur-la-route-232,2021-07-15 17:07:46,local
Rimouski ,accident,23,Le Journal de Québec,Accidents de la route: deux décès dans le Bas-Saint-Laurent,,,https://www.journaldequebec.com/2018/10/01/accidents-de-la-route-deux-deces-dans-le-bas-saint-laurent,2021-07-15 17:07:47,local
Rimouski ,accident,24,Le Journal de Québec,10 campings magnifiques près de Rimouski | JDQ,2021-04-18,88,https://www.journaldequebec.com/2021/04/18/10-campings-magnifiques-pres-de-rimouski,2021-07-15 17:07:47,local
