Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Gatineau,accident,1,Le Journal de Montréal,Gatineau: une mère dans le coma après un accident de trottinette électrique,2021-07-07,10,https://www.journaldemontreal.com/2021/07/07/gatineau-une-mere-dans-le-coma-apres-un-accident-de-trottinette-electrique,2021-07-17 12:14:48,local
Gatineau,accident,2,La Presse,Outaouais | Collision mortelle entre une moto et une voiture,2021-06-27,20,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-06-27/outaouais/collision-mortelle-entre-une-moto-et-une-voiture.php,2021-07-17 12:14:49,local
Gatineau,accident,3,Le Droit - Groupe Capitales Médias,Accident: perte d'électricité et fuite de gaz à Aylmer,2021-06-28,19,https://www.ledroit.com/actualites/justice-et-faits-divers/accident-perte-delectricite-et-fuite-de-gaz-a-aylmer-ad1056f9af481e06ded31f023e7ad6f5,2021-07-17 12:14:49,local
Gatineau,accident,4,Le Droit - Groupe Capitales Médias,Un accident fait deux blessés sur la route 105 à Messines,2021-07-01,16,https://www.ledroit.com/actualites/justice-et-faits-divers/un-accident-fait-deux-blesses-sur-la-route-105-a-messines-7baed36c599d55f7cd3521dabe993944,2021-07-17 12:14:49,local
Gatineau,accident,5,iHeartRadio,OUTAOUAIS: Un meurtre et un accident mortel possiblement liés,2021-07-12,5,https://www.iheartradio.ca/energie/energie-gatineau-ottawa/nouvelles/outaouais-un-meurtre-et-un-accident-mortel-possiblement-lies-1.15606216,2021-07-17 12:14:49,local
Gatineau,accident,6,ICI.Radio-Canada.ca,Collision mortelle près de Notre-Dame-de-la-Paix,2021-06-27,20,https://ici.radio-canada.ca/nouvelle/1804893/accident-route-outaouais-collision-notre-dame-de-la-paix,2021-07-17 12:14:50,local
Gatineau,accident,7,Le Droit - Groupe Capitales Médias,Une voiture engloutie par un trou géant à Gatineau [PHOTOS],2021-07-05,12,https://www.ledroit.com/actualites/justice-et-faits-divers/une-voiture-engloutie-par-un-trou-geant-a-gatineau-photos-f059b67a4f5e417685ecaf028a8deeb3,2021-07-17 12:14:50,local
Gatineau,accident,8,Le Journal de Montréal,Il trouve une ancienne épave d'avion par accident,2021-06-17,30,https://www.journaldemontreal.com/2021/06/17/il-trouve-une-ancienne-epave-davion-par-accident,2021-07-17 12:14:50,local
Gatineau,accident,9,iHeartRadio,Une conductrice à sens inverse cause un accident sur l'autoroute 5,2021-07-13,4,https://www.iheartradio.ca/energie/energie-gatineau-ottawa/nouvelles/une-conductrice-a-sens-inverse-cause-un-accident-sur-l-autoroute-5-1.15614527,2021-07-17 12:14:51,local
Gatineau,accident,10,TVA Nouvelles,Deux parachutistes décédés dans un accident à Gatineau,2021-05-29,49,https://www.tvanouvelles.ca/2021/05/29/grave-accident-impliquant-deux-parachutistes,2021-07-17 12:14:51,local
