Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Sainte-Julie,premier ministre,1,Le Journal de Montréal,Une tournée préélectorale pancanadienne pour Justin Trudeau?,2021-07-05,12,https://www.journaldemontreal.com/2021/07/05/une-tournee-preelectorale-pancanadienne-pour-justin-trudeau-1,2021-07-17 10:47:57,national
Sainte-Julie,premier ministre,2,La Presse,Tragédie ferroviaire de Lac-Mégantic | Commémorations huit ans après,2021-07-06,11,https://www.lapresse.ca/actualites/2021-07-06/tragedie-ferroviaire-de-lac-megantic/commemorations-huit-ans-apres.php,2021-07-17 10:47:58,national
Sainte-Julie,premier ministre,3,Le Devoir,Environnement: le projet de gaz naturel liquéfié Goldboro LNG en sursis,2021-07-06,11,https://www.ledevoir.com/societe/environnement/615885/le-projet-gazier-goldboro-en-sursis,2021-07-17 10:47:58,national
Sainte-Julie,premier ministre,4,Le Journal de Montréal,J'ai trouvé la gouverneure générale de 2026!,2021-07-08,9,https://www.journaldemontreal.com/2021/07/08/jai-trouve-la-gouverneure-generale-de-2026,2021-07-17 10:47:58,national
Sainte-Julie,premier ministre,5,La Presse,Homicides sur la Rive-Sud de Montréal | Des meurtres à Mont-Saint-Hilaire et à Sainte-Julie pourraient être reliés,2021-05-26,52,https://www.lapresse.ca/actualites/2021-05-26/homicides-sur-la-rive-sud-de-montreal/des-meurtres-a-mont-saint-hilaire-et-a-sainte-julie-pourraient-etre-relies.php,2021-07-17 10:47:58,national
Sainte-Julie,premier ministre,6,TVA Nouvelles,Sainte-Julie : La mairesse Suzanne Roy ne sollicitera pas un nouveau mandat,2021-05-04,74,https://www.tvanouvelles.ca/2021/05/04/sainte-julie--la-mairesse-suzanne-roy-ne-sollicitera-pas-un-nouveau-mandat-1,2021-07-17 10:47:58,national
Sainte-Julie,premier ministre,7,La Releve,Baisse des cas et des hospitalisations en Montérégie,2021-04-29,79,https://www.lareleve.qc.ca/2021/04/29/baisse-des-cas-et-des-hospitalisations-en-monteregie/,2021-07-17 10:47:59,national
Sainte-Julie,premier ministre,8,La Releve,La résidence La Rosière à Sainte-Julie passe du code rouge à jaune,2021-01-22,176,https://www.lareleve.qc.ca/2021/01/22/la-residence-la-rosiere-a-sainte-julie-passe-du-code-rouge-a-jaune/,2021-07-17 10:47:59,national
Sainte-Julie,premier ministre,9,La Releve,Un investissement de 11 M$ à Sainte-Julie pour soutenir les exportateurs de produits agroalimentaires d'ici,2021-05-25,53,https://www.lareleve.qc.ca/2021/05/25/un-investissement-de-11-m-a-sainte-julie-pour-soutenir-les-exportateurs-de-produits-agroalimentaires-dici/,2021-07-17 10:47:59,national
Sainte-Julie,premier ministre,10,La Releve,Crise du logement en Montérégie: le ministre Dubé interpellé,2021-05-18,60,https://www.lareleve.qc.ca/2021/05/18/crise-du-logement-en-monteregie-le-ministre-dube-interpelle/,2021-07-17 10:47:59,national
Sainte-Julie,premier ministre,11,La Releve,Les maires de la MRC demandent un prolongement du REM dans l'axe de l'autoroute 30,2021-03-12,127,https://www.lareleve.qc.ca/2021/03/12/les-maires-de-la-mrc-demandent-un-prolongement-du-rem-dans-laxe-de-lautoroute-30/,2021-07-17 10:47:59,national
Sainte-Julie,premier ministre,12,La Releve,Protection de la jeunesse : un groupe d'action interministériel mis sur pied,2021-05-11,67,https://www.lareleve.qc.ca/2021/05/11/protection-de-la-jeunesse-un-groupe-daction-interministeriel-mis-sur-pied/,2021-07-17 10:47:59,national
Sainte-Julie,premier ministre,13,La Releve,Plus de 7 000 pétitionnaires pour protéger le versant de Sainte-Julie du mont Saint-Bruno,2021-04-16,92,https://www.lareleve.qc.ca/2021/04/16/plus-de-7-000-petitionnaires-pour-proteger-le-versant-de-sainte-julie-du-mont-saint-bruno/,2021-07-17 10:48:00,national
Sainte-Julie,premier ministre,14,Le Journal de Montréal,Julie Payette: un autre fiasco signé Justin,2021-01-23,175,https://www.journaldemontreal.com/2021/01/23/julie-payette-un-autre-fiasco-signe-justin,2021-07-17 10:48:00,national
Sainte-Julie,premier ministre,15,La Presse,Sainte-Julie offrira des bureaux de télétravail pour contrer la congestion,2020-08-26,325,https://www.lapresse.ca/affaires/2020-08-26/sainte-julie-offrira-des-bureaux-de-teletravail-pour-contrer-la-congestion.php,2021-07-17 10:48:00,national
Sainte-Julie,premier ministre,16,La Releve,Actualités Prolongement du REM jusqu'à Boucherville : Le premier ministre confirme l'étude de deux tracés,2021-02-18,149,https://www.lareleve.qc.ca/2021/02/18/prolongement-du-rem-jusqua-boucherville-le-premier-ministre-confirme-letude-de-deux-traces/,2021-07-17 10:48:00,national
Sainte-Julie,premier ministre,17,La Presse,Contenu haineux et pédopornographique | Le gouvernement Trudeau tarde à légiférer,2021-06-04,43,https://www.lapresse.ca/actualites/politique/2021-06-04/contenu-haineux-et-pedopornographique/le-gouvernement-trudeau-tarde-a-legiferer.php,2021-07-17 10:48:01,national
Sainte-Julie,premier ministre,18,La Releve,La Montérégie résiste à la 3e vague,2021-03-26,113,https://www.lareleve.qc.ca/2021/03/26/la-monteregie-resiste-a-la-3e-vague/,2021-07-17 10:48:01,national
Sainte-Julie,premier ministre,19,Fm1033.ca,Sainte-Julie lance une étude pour une piste cyclable près de l'autoroute 20,2021-03-17,122,https://www.fm1033.ca/sainte-julie-lance-une-etude-pour-une-piste-cyclable-pres-de-lautoroute-20/,2021-07-17 10:48:01,national
Sainte-Julie,premier ministre,20,La Releve,Une demande de financement à la CMM pour le projet d'acquisition des lots au Domaine des Hauts-Bois,2021-06-10,37,https://www.lareleve.qc.ca/2021/06/10/une-demande-de-financement-a-la-cmm-pour-le-projet-dacquisition-des-lots-au-domaine-des-hauts-bois/,2021-07-17 10:48:01,national
Sainte-Julie,premier ministre,21,La Releve,Prolongement du REM jusqu'à Boucherville : des réactions mitigées,2021-02-27,140,https://www.lareleve.qc.ca/2021/02/27/prolongement-du-rem-jusqua-boucherville-des-reactions-mitigees/,2021-07-17 10:48:01,national
Sainte-Julie,premier ministre,22,La Releve,Actualités La Montérégie est près de la zone orange selon la Direction de la santé publique,2021-03-12,127,https://www.lareleve.qc.ca/2021/03/12/la-monteregie-est-pres-de-la-zone-orange-selon-la-direction-de-la-sante-publique/,2021-07-17 10:48:01,national
Sainte-Julie,premier ministre,23,La Presse,L'État du Québec 2021 | Partager le pouvoir,2020-12-06,223,https://www.lapresse.ca/debats/opinions/2020-12-06/l-etat-du-quebec-2021/partager-le-pouvoir.php,2021-07-17 10:48:02,national
Sainte-Julie,premier ministre,24,Le Soleil - Groupe Capitales Médias,Le maire de Gaspé élu à la tête de l'Union des municipalités du Québec,2021-05-11,67,https://www.lesoleil.com/actualite/en-region/le-maire-de-gaspe-elu-a-la-tete-de-lunion-des-municipalites-du-quebec-884c678bcc8058887a973849258a55ad,2021-07-17 10:48:02,national
Sainte-Julie,premier ministre,25,"98,5 fm",Nouvelle accusation de harcèlement | La ministre Marie-Ève Proulx a remis sa démission à François Legault,2021-05-04,74,https://www.985fm.ca/nouvelles/politique/392467/drainville-80,2021-07-17 10:48:02,national
