Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Terrebonne,accident,1,TVA Nouvelles,Quatre blessés dans une violente collision frontale à Terrebonne,2021-04-07,101,https://www.tvanouvelles.ca/2021/04/07/quatre-blesses-dans-une-violente-collision-frontale-a-terrebonne,2021-07-17 12:30:29,local
Terrebonne,accident,2,La Presse,Une spectaculaire embardée fait deux blessés graves à Terrebonne,2020-08-29,322,https://www.lapresse.ca/actualites/justice-et-faits-divers/2020-08-29/une-spectaculaire-embardee-fait-deux-blesses-graves-a-terrebonne.php,2021-07-17 12:30:29,local
Terrebonne,accident,3,Le Journal de Montréal,Deux blessés dans un face-à-face à Terrebonne,2021-02-19,148,https://www.journaldemontreal.com/2021/02/19/deux-blesses-dans-un-face-a-face-a-terrebonne,2021-07-17 12:30:29,local
Terrebonne,accident,4,Le Journal de Montréal,[IMAGES] Deux blessés graves après une mystérieuse embardée,2020-08-29,322,https://www.journaldemontreal.com/2020/08/29/autoroute-25-deux-blesses-dans-un-spectaculaire-accident,2021-07-17 12:30:29,local
Terrebonne,accident,5,La Presse,Terrebonne | Il aurait laissé mourir sa conjointe sans lui donner les soins nécessaires,2021-04-07,101,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-04-07/terrebonne/il-aurait-laisse-mourir-sa-conjointe-sans-lui-donner-les-soins-necessaires.php,2021-07-17 12:30:30,local
Terrebonne,accident,6,Zone911,Un adolescent gravement blessé lors d'une action de « car surfing »,2021-04-05,103,https://zone911.com/accidents/30632-un-adolescent-gravement-blesse-lors-d-une-action-de-car-surfing,2021-07-17 12:30:30,local
Terrebonne,accident,7,Le Journal de Montréal,Une conductrice tombe dans un nid-de-poule de 10 pieds,2020-08-03,348,https://www.journaldemontreal.com/2020/08/03/une-conductrice-tombe-dans-un-nid-de-poule-de-10-pieds,2021-07-17 12:30:30,local
Terrebonne,accident,8,TVA Nouvelles,Un homme de 25 ans tué dans un accident à Terrebonne,,,https://www.tvanouvelles.ca/2019/12/26/accident-mortel-a-terrebonne,2021-07-17 12:30:30,local
Terrebonne,accident,9,Le Journal de Montréal,Manawan frappée par une autre tragédie | JDM,2021-05-06,72,https://www.journaldemontreal.com/2021/05/05/lanaudiere-deux-corps-decouverts-dans-un-vehicule-submerge,2021-07-17 12:30:31,local
Terrebonne,accident,10,Hebdo Rive Nord,06 mai 2021 Un accident à Charlemagne cause un bouchon monstre,2021-05-06,72,https://www.hebdorivenord.com/article/2021/05/06/un-accident-a-charlemagne-cause-un-bouchon-monstre,2021-07-17 12:30:31,local
Terrebonne,accident,11,TVA Nouvelles,Accident de voiture à Saint-Jacques: un homme succombe à ses blessures,2021-06-13,34,https://www.tvanouvelles.ca/2021/06/13/un-homme-succombe-a-ses-blessures-des-suites-dun-accident-de-voiture,2021-07-17 12:30:32,local
Terrebonne,accident,12,TVA Nouvelles,Un accident de la route fait deux blessés à Terrebonne,,,https://www.tvanouvelles.ca/2018/08/07/un-accident-de-la-route-fait-deux-blesses-a-terrebonne-1,2021-07-17 12:30:32,local
Terrebonne,accident,13,TVA Nouvelles,Terrebonne Une cabane détruite par les policiers,2021-05-06,72,https://www.tvanouvelles.ca/2021/05/06/une-cabane-detruite-par-les-policiers,2021-07-17 12:30:32,local
Terrebonne,accident,14,Hebdo Rive Nord,12 février 2021 Une levée de fonds pour soutenir la famille de Philippe Cusson,2021-02-12,155,https://www.hebdorivenord.com/article/2021/02/12/une-levee-de-fonds-pour-soutenir-la-famille-de-philippe-cusson,2021-07-17 12:30:32,local
Terrebonne,accident,15,TVA Nouvelles,Accident de parachute: l'identité de la seconde victime révélée,2021-06-04,43,https://www.tvanouvelles.ca/2021/06/04/accident-de-parachute-lidentite-de-la-seconde-victime-revelee,2021-07-17 12:30:32,local
Terrebonne,accident,16,Le Journal de Montréal,Accident mortel à Terrebonne: un homme de 37 ans perd la vie,,,https://www.journaldemontreal.com/2014/12/18/accident-mortel-a-terrebonne-un-homme-de-37-ans-perd-la-vie,2021-07-17 12:30:33,local
Terrebonne,accident,17,Le Journal de Québec,Consignes sanitaires: abandonnés par les autorités après avoir frappé un orignal,2020-10-07,283,https://www.journaldequebec.com/2020/10/07/consignes-sanitaires-abandonnes-par-les-autorites-apres-avoir-frappe-un-orignal,2021-07-17 12:30:33,local
Terrebonne,accident,18,L'Action,29 novembre 2020 Accident mortel sur la 131 à Saint-Félix-de-Valois,2020-11-29,230,https://www.laction.com/article/2020/11/29/accident-mortel-sur-la-131-a-saint-felix-de-valois,2021-07-17 12:30:33,local
Terrebonne,accident,19,TVA Nouvelles,Un véhicule avec six occupants frappe un arbre et une maison,2021-06-12,35,https://www.tvanouvelles.ca/2021/06/12/un-vehicule-avec-six-occupants-frappe-un-arbre-et-une-maison,2021-07-17 12:30:33,local
Terrebonne,accident,20,TVA Nouvelles,Un ado tombe du toit d'une école en pleine nuit,2021-03-17,122,https://www.tvanouvelles.ca/2021/03/17/terrebonne-un-ado-tombe-du-toit-dune-ecole-en-pleine-nuit-1,2021-07-17 12:30:34,local
Terrebonne,accident,21,Hebdo Rive Nord,11 février 2021 Une explosion chez General Dynamics,2021-02-11,156,https://www.hebdorivenord.com/article/2021/02/11/une-explosion-chez-general-dynamics,2021-07-17 12:30:34,local
Terrebonne,accident,22,Mon Joliette,Un homme de 69 ans perd la vie dans un accident à Sainte-Mélanie,2021-06-10,37,https://monjoliette.com/un-homme-de-69-ans-perd-la-vie-dans-un-accident-a-sainte-melanie/,2021-07-17 12:30:34,local
Terrebonne,accident,23,Radio-Canada.ca,Conduite dangereuse : l'ancien lanceur Éric Gagné plaide non coupable,2021-05-25,53,https://ici.radio-canada.ca/nouvelle/1795991/eric-gagne-plaide-non-coupable-delit-fuite-drogue-terrebonne-lanceur-baseball,2021-07-17 12:30:34,local
Terrebonne,accident,24,L'Action,Accident mortel à Sainte-Émélie-de-l'Énergie - Joliette,2020-11-17,242,https://www.laction.com/article/2020/11/17/accident-mortel-a-sainte-emelie-de-l-energie,2021-07-17 12:30:34,local
Terrebonne,accident,25,Journal de Montréal,Terrebonne: accident grave sur la route 337 | JDM,,,https://www.journaldemontreal.com/2013/12/10/terrebonne-accident-grave-sur-la-route-337,2021-07-17 12:30:35,local
Terrebonne,décès OR mort,1,TVA Nouvelles,Un mort dans une tornade à Mascouche,2021-06-21,26,https://www.tvanouvelles.ca/2021/06/21/veille-dorages-violents-pour-plusieurs-secteurs-du-quebec-1,2021-07-17 12:31:12,local
Terrebonne,décès OR mort,2,NecrologieCanada,Raymond St-Pierre 2021,2021-06-29,18,https://necrocanada.com/deces-2021/raymond-st-pierre-2021/,2021-07-17 12:31:12,local
Terrebonne,décès OR mort,3,NecrologieCanada,Claude Dufresne 2021,2021-07-15,2,https://necrocanada.com/deces-2021/claude-dufresne-2021/,2021-07-17 12:31:12,local
Terrebonne,décès OR mort,4,NecrologieCanada,Armand Landry 19452021,2021-07-15,2,https://necrocanada.com/deces-2021/armand-landry-19452021/,2021-07-17 12:31:12,local
Terrebonne,décès OR mort,5,Le Journal de Montréal,TOBIN (DESJARDINS),2021-07-14,3,https://www.journaldemontreal.com/2021/07/14/749dd51e93/tobin-desjardins,2021-07-17 12:31:13,local
Terrebonne,décès OR mort,6,NecrologieCanada,PIERRETTE BeLIVEAU 2021,2021-07-12,5,https://necrocanada.com/deces-2021/pierrette-beliveau-2021/,2021-07-17 12:31:13,local
