Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Cookshire-Eaton,"""premier ministre""",1,La Tribune - Groupe Capitales Médias,Suivre les indications de Coaticook pour trouver... Sherbrooke,2020-12-02,233,https://www.latribune.ca/actualites/suivre-les-indications-de-coaticook-pour-trouver-sherbrooke-6764cef8301a6f8646d21609c3137b57,2021-07-23 18:13:25,national
Cookshire-Eaton,"""premier ministre""",2,La Tribune - Groupe Capitales Médias,Autoroute 410: Lennoxville se désengorge et Cookshire-Eaton se rapproche,2020-12-18,217,https://www.latribune.ca/actualites/autoroute-410-lennoxville-se-desengorge-et-cookshire-eaton-se-rapproche-e02fa214b0aaa82deb9c1598dc4414df,2021-07-23 18:13:26,national
Cookshire-Eaton,"""premier ministre""",3,Le Journal de Montréal,[EN DIRECT 13 AVRIL] Tous les développements de la pandémie,2021-04-13,101,https://www.journaldemontreal.com/2021/04/13/en-direct-13-avril-tous-les-developpements-de-la-pandemie,2021-07-23 18:13:26,national
Cookshire-Eaton,"""premier ministre""",4,La Tribune - Groupe Capitales Médias,Yves-François Blanchet entrevoit la possibilité d'une élection fédérale le 16 août,2021-05-14,70,https://www.latribune.ca/actualites/politique/yves-francois-blanchet-entrevoit-la-possibilite-dune-election-federale-le-16-aout-267302174955a6471d3fb7d58112fbe8,2021-07-23 18:13:26,national
Cookshire-Eaton,"""premier ministre""",5,La Tribune - Groupe Capitales Médias,Le chalet de Peter MacLeod à vendre pour 799 000$,2020-12-30,205,https://www.latribune.ca/actualites/le-chalet-de-peter-macleod-a-vendre-pour-799-000-b6d9287ad84c31cc2cc6396ff18c2e18,2021-07-23 18:13:26,national
Cookshire-Eaton,"""premier ministre""",6,La Tribune - Groupe Capitales Médias,Le ministre Alghabra s'engage en faveur de la voie de contournement ferroviaire,2021-03-16,129,https://www.latribune.ca/actualites/politique/le-ministre-alghabra-sengage-en-faveur-de-la-voie-de-contournement-ferroviaire-e84909354c96ca529ea70803409c593a,2021-07-23 18:13:26,national
Cookshire-Eaton,"""premier ministre""",7,La Tribune - Groupe Capitales Médias,Enquête sur Dany Fortin: Justin Trudeau savait depuis «plusieurs semaines»,2021-05-18,66,https://www.latribune.ca/actualites/politique/enquete-sur-dany-fortin-justin-trudeau-savait-depuis-plusieurs-semaines-3f61d1f24fec57c609e2b59b5c6ba98d,2021-07-23 18:13:27,national
Cookshire-Eaton,"""premier ministre""",8,La Tribune - Groupe Capitales Médias,"La cheffe du Parti vert, Annamie Paul survit à une tentative d'éviction",2021-06-16,37,https://www.latribune.ca/actualites/politique/la-cheffe-du-parti-vert-annamie-paul-survit-a-une-tentative-deviction-6dc85ad126907bd2717c4c4f9d7fd5a5,2021-07-23 18:13:27,national
Cookshire-Eaton,"""premier ministre""",9,La Tribune - Groupe Capitales Médias,Le «coach» en gestion de personnel de Marie-Eve Proulx payé par les contribuables,2021-05-06,78,https://www.latribune.ca/actualites/politique/le-coach-en-gestion-de-personnel-de-marie-eve-proulx-paye-par-les-contribuables-54fd7822f03926440683995479a7a1b5,2021-07-23 18:13:27,national
Cookshire-Eaton,"""premier ministre""",10,La Tribune - Groupe Capitales Médias,Manchette du Journal de Montréal: une «erreur de jugement» selon Justin Trudeau,2021-04-23,91,https://www.latribune.ca/actualites/politique/manchette-du-journal-de-montreal-une-erreur-de-jugement-selon-justin-trudeau-6cb28ec2fbc51b062dad9736810bf93e,2021-07-23 18:13:27,national
Cookshire-Eaton,"""premier ministre""",11,La Tribune - Groupe Capitales Médias,Québec solidaire conteste avoir commis une faute | Politique | Actualités,2021-06-07,46,https://www.latribune.ca/actualites/politique/quebec-solidaire-conteste-avoir-commis-une-faute-d75f6ab444b9b5ed15a997546c883335,2021-07-23 18:13:27,national
Cookshire-Eaton,"""premier ministre""",12,La Tribune - Groupe Capitales Médias,Est-ce la fin de l'ère Poutine?,2021-02-14,159,https://www.latribune.ca/actualites/politique/est-ce-la-fin-de-lere-poutine-6e0dfce3cf73cd0f558856e15aa9210e,2021-07-23 18:13:27,national
Cookshire-Eaton,"""premier ministre""",13,La Tribune - Groupe Capitales Médias,Steve Lussier confirme qu'il sollicitera un deuxième mandat,2021-03-19,126,https://www.latribune.ca/actualites/politique/steve-lussier-confirme-quil-sollicitera-un-deuxieme-mandat-e53228b7dab111aae83985059463cad5,2021-07-23 18:13:28,national
Cookshire-Eaton,"""premier ministre""",14,La Tribune - Groupe Capitales Médias,Tourisme : Mélanie Joly invite les citoyens à voyager… localement,2021-04-22,92,https://www.latribune.ca/actualites/politique/tourisme--melanie-joly-invite-les-citoyens-a-voyager-localement-798eedc5ebe4e65e54a905b8c61622d2,2021-07-23 18:13:28,national
Cookshire-Eaton,"""premier ministre""",15,La Tribune - Groupe Capitales Médias,"Investissement de 2,5 M$ chez Les armoires NAC | Actualités",2021-06-11,42,https://www.latribune.ca/actualites/investissement-de-25-m-chez-les-armoires-nac-2e077e56557d25e4c68f34dc1d797127,2021-07-23 18:13:28,national
Cookshire-Eaton,"""premier ministre""",16,La Tribune - Groupe Capitales Médias,«Dégoûté»: le ministre Miller réagit à la vidéo d'une Autochtone qui se fait menotter,2021-04-16,98,https://www.latribune.ca/actualites/le-fil-groupe-capitales-medias/degoute-le-ministre-miller-reagit-a-la-video-dune-autochtone-qui-se-fait-menotter-91c245941aa5c9af1246de0a7ea75e24,2021-07-23 18:13:28,national
Cookshire-Eaton,"""premier ministre""",17,Direction Informatique,Cogeco et Bell amènent la haute vitesse dans trois nouvelles régions,2021-06-03,50,https://www.directioninformatique.com/cogeco-et-bell-amenent-la-haute-vitesse-dans-trois-nouvelles-regions/88714,2021-07-23 18:13:28,national
Cookshire-Eaton,"""premier ministre""",18,La Tribune - Groupe Capitales Médias,Nathalie Bresse candidate pour le Bloc dans Compton-Stanstead,2021-06-20,33,https://www.latribune.ca/actualites/nathalie-bresse-candidate-pour-le-bloc-dans-compton-stanstead-8ecf2686446b7e0c98570ea463d04803,2021-07-23 18:13:29,national
Cookshire-Eaton,"""premier ministre""",19,La Tribune - Groupe Capitales Médias,Une motion adoptée pour accorder la citoyenneté à Raïf Badawi,2021-06-03,50,https://www.latribune.ca/actualites/politique/une-motion-adoptee-pour-accorder-la-citoyennete-a-raif-badawi-c6122a2562a8fc5aefac55b0f51490e4,2021-07-23 18:13:29,national
Cookshire-Eaton,"""premier ministre""",20,La Tribune - Groupe Capitales Médias,Assemblée nationale: six députés ou ministres visés par des plaintes de harcèlement,2021-06-08,45,https://www.latribune.ca/actualites/politique/assemblee-nationale-six-deputes-ou-ministres-vises-par-des-plaintes-de-harcelement-1b9575f7305d5370ed6ae891a9f33d76,2021-07-23 18:13:29,national
