Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Sainte-Anne-des-Monts,"""premier ministre""",1,TVA Sports,Olympiques Jeux olympiques: voici nos 66 athlètes québécois à Tokyo,2021-07-18,5,https://www.tvasports.ca/2021/07/18/jeux-olympiques-voici-nos-66-athletes-quebecois-a-tokyo,2021-07-23 10:35:53,national
Sainte-Anne-des-Monts,"""premier ministre""",2,ICI.Radio-Canada.ca,Un ministre de l'Énergie pour la Gaspésie et les Îles,2021-02-25,148,https://ici.radio-canada.ca/nouvelle/1773042/jonatan-julien-depute-remaniement-ministeriel-caq-quebec-cote-nord-gaspesie,2021-07-23 10:35:53,national
Sainte-Anne-des-Monts,"""premier ministre""",3,ICI.Radio-Canada.ca,"Du jaune et du répit pour la Côte-Nord, la Gaspésie et les Îles | Coronavirus",2021-03-17,128,https://ici.radio-canada.ca/nouvelle/1777814/zones-jaunes-gaspesie-iles-cote-nord-mesures-sanitaires-covid-19,2021-07-23 10:35:54,national
Sainte-Anne-des-Monts,"""premier ministre""",4,La Tribune - Groupe Capitales Médias,"COVID-19: éclosions, fermetures d'écoles et dépistage massif en Haute-Gaspésie",2021-06-11,42,https://www.latribune.ca/actualites/le-fil-groupe-capitales-medias/covid-19-eclosions-fermetures-decoles-et-depistage-massif-en-haute-gaspesie-96a3da575851820999cdc26058e977f2,2021-07-23 10:35:54,national
Sainte-Anne-des-Monts,"""premier ministre""",5,Le Soleil - Groupe Capitales Médias,Camping sauvage: la Gaspésie a fait ses devoirs,2021-04-24,90,https://www.lesoleil.com/actualite/en-region/camping-sauvage-la-gaspesie-a-fait-ses-devoirs-08e412c380d502b4b7c9e939e81c670c,2021-07-23 10:35:54,national
Sainte-Anne-des-Monts,"""premier ministre""",6,Mon Matane,Éphémérides du 22 mai : la fin du luxueux Hôtel Belle Plage à Matane,2021-05-22,62,https://monmatane.com/ephemerides-du-22-mai-la-fin-du-luxueux-hotel-belle-plage-a-matane/,2021-07-23 10:35:54,national
Sainte-Anne-des-Monts,"""premier ministre""",7,Mon Matane,Perquisitions et arrestations en matière de stupéfiants à Sainte-Anne-des-Monts,2021-04-23,91,https://monmatane.com/perquisitions-et-arrestations-en-matiere-de-stupefiants-a-sainte-anne-des-monts/,2021-07-23 10:35:54,national
Sainte-Anne-des-Monts,"""premier ministre""",8,Le Soleil - Groupe Capitales Médias,Revitalisation majeure pour le Mont-Sainte-Anne | Actualités,2021-06-03,50,https://www.lesoleil.com/actualite/revitalisation-majeure-pour-le-mont-sainte-anne-03c4541956428d69448b66474f0b48a1,2021-07-23 10:35:55,national
Sainte-Anne-des-Monts,"""premier ministre""",9,ICI.Radio-Canada.ca,Le Bas-Saint-Laurent en orange; le reste de l'Est-du-Québec passe au jaune,2021-03-16,129,https://ici.radio-canada.ca/nouvelle/1777703/reactions-zone-palier-jaune-orange-bas-saint-laurent-mars-2021,2021-07-23 10:35:55,national
Sainte-Anne-des-Monts,"""premier ministre""",10,ICI.Radio-Canada.ca,La ministre Marie-Eve Proulx derrière le projet éolien de l'Alliance de l'Est,2021-02-26,147,https://ici.radio-canada.ca/nouvelle/1773676/alliance-est-projet-eolien-marie-eve-proulx,2021-07-23 10:35:55,national
Sainte-Anne-des-Monts,"""premier ministre""",11,Le Soleil - Groupe Capitales Médias,Pas de gondole sous le sapin pour l'ouverture du Mont-Sainte-Anne,2020-12-16,219,https://www.lesoleil.com/actualite/pas-de-gondole-sous-le-sapin-pour-louverture-du-mont-sainte-anne-41fffca4bbb8d00c47fc2f3b25a9fad3,2021-07-23 10:35:55,national
Sainte-Anne-des-Monts,"""premier ministre""",12,Le Soleil - Groupe Capitales Médias,Regard sur certaines des visites du prince Philip au Canada au fil des ans [PHOTOS],2021-04-09,105,https://www.lesoleil.com/actualite/regard-sur-certaines-des-visites-du-prince-philip-au-canada-au-fil-des-ans-photos-528f85b467233aebbd3f33eaed5a3e0a,2021-07-23 10:35:56,national
Sainte-Anne-des-Monts,"""premier ministre""",13,ICI.Radio-Canada.ca,Cinq féminicides en un mois au Québec : des moyens réclamés pour lutter contre la violence,2021-03-18,127,https://ici.radio-canada.ca/nouvelle/1775704/journee-internationale-droit-femme-centre-hebergement-violence-conjugale,2021-07-23 10:35:56,national
Sainte-Anne-des-Monts,"""premier ministre""",14,Le Journal de Montréal,[EN DIRECT 1er MARS] Tous les développements de la pandémie,2021-03-01,144,https://www.journaldemontreal.com/2021/03/01/en-direct-1er-mars-tous-les-developpements-de-la-pandemie,2021-07-23 10:35:56,national
Sainte-Anne-des-Monts,"""premier ministre""",15,Le Soleil - Groupe Capitales Médias,Déplacements interdits vers les zones jaunes: «Incompréhension totale» en Gaspésie,2021-04-06,108,https://www.lesoleil.com/actualite/en-region/deplacements-interdits-vers-les-zones-jaunes-incomprehension-totale-en-gaspesie-250ae1286736cf36d80e84bd84d7c194,2021-07-23 10:35:57,national
Sainte-Anne-des-Monts,"""premier ministre""",16,L’Avantage gaspésien,Le grand plan de déconfinement du gouvernement Legault est enfin annoncé,2021-05-18,66,https://www.lavantagegaspesien.com/article/2021/05/18/le-grand-plan-de-deconfinement-du-gouvernement-legault-est-enfin-annonce,2021-07-23 10:35:57,national
Sainte-Anne-des-Monts,"""premier ministre""",17,Le Soleil - Groupe Capitales Médias,Le maire de Gaspé élu à la tête de l'Union des municipalités du Québec,2021-05-11,73,https://www.lesoleil.com/actualite/en-region/le-maire-de-gaspe-elu-a-la-tete-de-lunion-des-municipalites-du-quebec-884c678bcc8058887a973849258a55ad,2021-07-23 10:35:57,national
Sainte-Anne-des-Monts,"""premier ministre""",18,L’Avantage gaspésien,25 mai 2021 Une partie du Bas-Saint-Laurent en zone orange dès lundi,2021-05-25,59,https://www.lavantagegaspesien.com/article/2021/05/25/une-partie-du-bas-saint-laurent-en-zone-orange-des-lundi,2021-07-23 10:35:57,national
Sainte-Anne-des-Monts,"""premier ministre""",19,L’Avantage gaspésien,Assouplissements importants dès aujourd'hui en Gaspésie et au Bas-Saint-Laurent,2021-06-07,46,https://www.lavantagegaspesien.com/article/2021/06/07/assouplissements-importants-des-aujourd-hui-en-gaspesie-et-au-bas-saint-laurent,2021-07-23 10:35:57,national
Sainte-Anne-des-Monts,"""premier ministre""",20,L’Avantage gaspésien,Indexation des frais de déplacement pour les patients des régions,2021-04-29,85,https://www.lavantagegaspesien.com/article/2021/04/29/indexation-des-frais-de-deplacement-pour-les-patients-des-regions,2021-07-23 10:35:57,national
Sainte-Anne-des-Monts,"""premier ministre""",21,Le Droit - Groupe Capitales Médias,Un premier candidat aux blocs de départ à Val-des-Monts,2021-05-20,64,https://www.ledroit.com/actualites/un-premier-candidat-aux-blocs-de-depart-a-val-des-monts-adf43931969b8e0bcb22a5fe43f4e63b,2021-07-23 10:35:58,national
Sainte-Anne-des-Monts,"""premier ministre""",22,Le Soleil - Groupe Capitales Médias,Zone verte: la Gaspésie-Îles-de-la-Madeleine oubliée?,2021-06-02,51,https://www.lesoleil.com/actualite/en-region/zone-verte-la-gaspesie-iles-de-la-madeleine-oubliee-f74e88ddd08601429bf5b29449e64780,2021-07-23 10:35:58,national
Sainte-Anne-des-Monts,"""premier ministre""",23,Le Soleil - Groupe Capitales Médias,"65 ans après sa pendaison, Wilbert Coffin vit dans la mémoire des Gaspésiens [PHOTOS]",2021-02-09,164,https://www.lesoleil.com/actualite/en-region/65-ans-apres-sa-pendaison-wilbert-coffin-vit-dans-la-memoire-des-gaspesiens-photos-46aadc4f1157a3654d11a3441cfdf650,2021-07-23 10:35:58,national
Sainte-Anne-des-Monts,"""premier ministre""",24,Le Nouvelliste - Groupe Capitales Médias,Deuxième perquisition chez un complotiste de Val-des-Monts,2021-05-07,77,https://www.lenouvelliste.ca/actualites/le-fil-groupe-capitales-medias/deuxieme-perquisition-chez-un-complotiste-de-val-des-monts-892e4b2f3baa161fd94ef0adabb9bd82,2021-07-23 10:35:58,national
Sainte-Anne-des-Monts,"""premier ministre""",25,L’Avantage gaspésien,"Une enveloppe de 9,8 M$ pour les aéroports de Matane et Sainte-Anne-des-Monts",,,https://www.lavantagegaspesien.com/article/2018/12/17/une-enveloppe-de-9-8-m-pour-les-aeroports-de-matane-et-sainte-anne-des-monts,2021-07-23 10:35:58,national
