Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Stoneham,"""premier ministre""",1,Le Soleil - Groupe Capitales Médias,Projet contesté de centre récréotouristique à Stoneham | Actualités,2021-01-24,180,https://www.lesoleil.com/actualite/projet-conteste-de-centre-recreotouristique-a-stoneham-8e87a2f221b8d87c899d9e4e8cc78445,2021-07-23 14:04:36,national
Stoneham,"""premier ministre""",2,Radio-Canada.ca,"François Legault dénonce un tramway à 3,1 milliards « au centre-ville »",2021-02-04,169,https://ici.radio-canada.ca/nouvelle/1768374/tramway-quebec-francois-legault-centre-ville-banlieue,2021-07-23 14:04:36,national
Stoneham,"""premier ministre""",3,TVA Nouvelles,"Tramway à Québec: «Nous nous sommes entendus», annonce Labeaume",2021-03-17,128,https://www.tvanouvelles.ca/2021/03/17/tramway-de-quebec-rencontre-cruciale-entre-regis-labeaume-et-francois-legault,2021-07-23 14:04:36,national
Stoneham,"""premier ministre""",4,Le Journal de Québec,Tramway: la couronne nord de Québec applaudit les changements,2021-03-20,125,https://www.journaldequebec.com/2021/03/20/la-couronne-nord-de-quebec-applaudit-les-changements,2021-07-23 14:04:36,national
Stoneham,"""premier ministre""",5,Le Journal de Québec,"Monsieur Legault, faites-vous vacciner | JDQ",2021-01-27,177,https://www.journaldequebec.com/2021/01/27/monsieur-legault-faites-vous-vacciner,2021-07-23 14:04:36,national
Stoneham,"""premier ministre""",6,ICI.Radio-Canada.ca,Agnès Maltais dénonce le sort réservé au tramway par la CAQ,2021-02-24,149,https://ici.radio-canada.ca/nouvelle/1772936/agnes-maltais-tramway-regis-labeaume-coalition-avenir-quebec,2021-07-23 14:04:37,national
Stoneham,"""premier ministre""",7,Le Droit - Groupe Capitales Médias,Coupable d'avoir «lancé des couteaux» en direction du premier ministre Legault,2021-05-04,80,https://www.ledroit.com/actualites/le-fil-groupe-capitales-medias/coupable-davoir-lance-des-couteaux-en-direction-du-premier-ministre-legault-0f00230c2d025e9d9edf353271abbe76,2021-07-23 14:04:37,national
Stoneham,"""premier ministre""",8,ICI.Radio-Canada.ca,François Legault a « des scénarios » pour resserrer les mesures à Québec et en Beauce | Coronavirus,2021-03-31,114,https://ici.radio-canada.ca/nouvelle/1781118/premier-ministre-covid19-mesures-sanitaires-zone-rouge,2021-07-23 14:04:37,national
Stoneham,"""premier ministre""",9,ICI.Radio-Canada.ca,Tramway : sauver le tronçon de Cap-Rouge,2021-03-09,136,https://ici.radio-canada.ca/nouvelle/1775865/tramway-conseil-quartier-cap-rouge-genevieve-guilbault-jean-yves-duclos,2021-07-23 14:04:37,national
Stoneham,"""premier ministre""",10,La Presse,Tornade à Mascouche | « Tout le monde est sous le choc »,2021-06-21,32,https://www.lapresse.ca/actualites/2021-06-21/tornade-a-mascouche/tout-le-monde-est-sous-le-choc.php,2021-07-23 14:04:37,national
Stoneham,"""premier ministre""",11,ICI.Radio-Canada.ca,Gilles Lehouillier invité pour une annonce « historique » sur le 3e lien lundi,2021-05-13,71,https://ici.radio-canada.ca/nouvelle/1792845/3e-lien-tunnel-quebec-levis-labeaume-lehouillier-caq-legault-zanetti,2021-07-23 14:04:38,national
Stoneham,"""premier ministre""",12,Le Journal de Montréal,[EN DIRECT 7 MARS] Tous les développements de la pandémie,2021-03-07,138,https://www.journaldemontreal.com/2021/03/07/en-direct-7-mars-tous-les-developpements-de-la-pandemie,2021-07-23 14:04:38,national
Stoneham,"""premier ministre""",13,Le Journal de Québec,Au moins 44 millions de doses reçues d'ici la fin juin,2021-04-09,105,https://www.journaldequebec.com/2021/04/09/en-direct-justin-trudeau-fait-le-point-sur-la-pandemie-de-covid-19,2021-07-23 14:04:38,national
Stoneham,"""premier ministre""",14,ICI.Radio-Canada.ca,Nouveau bras de fer à l'Assemblée nationale concernant le 3e lien | 3e lien,2021-06-01,52,https://ici.radio-canada.ca/nouvelle/1797724/anglade-caire-caq-plq-contradictions-3e-lien-quebec-levis,2021-07-23 14:04:39,national
Stoneham,"""premier ministre""",15,ICI.Radio-Canada.ca,François Legault prolonge les mesures d'urgence dans la grande région de Québec,2021-04-20,94,https://ici.radio-canada.ca/nouvelle/1786391/bilan-covid-19-quebec-levis-chaudiere-appalaches-capitale-nationale-20-avril,2021-07-23 14:04:39,national
Stoneham,"""premier ministre""",16,Le Journal de Québec,Reconfinement du Québec: l'artillerie lourde pour sauver les hôpitaux,2020-12-16,219,https://www.journaldequebec.com/2020/12/15/en-directreconfinement-francois-legault-annonce-de-nouvelles-mesures,2021-07-23 14:04:39,national
Stoneham,"""premier ministre""",17,ICI.Radio-Canada.ca,Tramway : tir groupé de l'opposition sur le leadership de Geneviève Guilbault,2021-03-19,126,https://ici.radio-canada.ca/nouvelle/1778494/tramway-tir-groupe-opposition-leadership-genevieve-guilbault,2021-07-23 14:04:39,national
