Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Trois-Pistoles,élection OR campagne,1,ICI.Radio-Canada.ca,Une nouvelle coalition des travailleurs canadiens veut une réforme de l'assurance-emploi,2021-06-30,23,https://ici.radio-canada.ca/nouvelle/1805696/coalition-travailleur-canadien-bas-saint-laurent-gaspesie-cote-nord-assurance-emploi,2021-07-23 13:32:09,mixte
Trois-Pistoles,élection OR campagne,2,ICI.Radio-Canada.ca,Toronto fera respecter les règlements liés aux feux d'artifice tout le week-end,2021-07-02,21,https://ici.radio-canada.ca/nouvelle/1805953/feux-artifice-toronto-humber-bay,2021-07-23 13:32:09,mixte
Trois-Pistoles,élection OR campagne,3,L'Horizon,Projet de 23 M$ pour 200 logements au Manoir Héritage,2021-07-02,21,https://www.journalhorizon.com/projet-de-23-m-pour-200-logements-au-manoir-heritage/,2021-07-23 13:32:10,mixte
Trois-Pistoles,élection OR campagne,4,Info Dimanche,Élections à Trois-Pistoles : Philippe Guilbert présente son équipe | infodimanche.com,2021-02-23,150,https://www.infodimanche.com/actualites/actualite/418712/elections-a-trois-pistoles-philippe-guilbert-presente-son-equipe,2021-07-23 13:32:10,mixte
Trois-Pistoles,élection OR campagne,5,Info Dimanche,Élections à Trois-Pistoles : une deuxième équipe dans la course | infodimanche.com,2021-05-11,73,https://www.infodimanche.com/actualites/actualite/425823/elections-a-trois-pistoles-une-deuxieme-equipe-dans-la-course,2021-07-23 13:32:10,mixte
Trois-Pistoles,élection OR campagne,6,CIMT-CHAU,Repêchage LHJMQ : Plusieurs joueurs de nos régions à surveiller,2021-06-25,28,https://cimtchau.ca/nouvelles/repechage-lhjmq-plusieurs-joueurs-de-nos-regions-a-surveiller/,2021-07-23 13:32:10,mixte
Trois-Pistoles,élection OR campagne,7,ICI.Radio-Canada.ca,48 nouveaux logements sociaux bientôt construits à Rivière-du-Loup et à Trois-Pistoles,2021-05-20,64,https://ici.radio-canada.ca/nouvelle/1794855/hlm-loyer-modique-logements-sociaux-riviere-loup,2021-07-23 13:32:10,mixte
Trois-Pistoles,élection OR campagne,8,ICI.Radio-Canada.ca,"Le « train » de la vaccination est lancé, affirme le CISSS du Bas-Saint-Laurent | Coronavirus",2021-03-18,127,https://ici.radio-canada.ca/nouvelle/1778167/coronavirus-vaccins-rimouski-amqui-campagne-sante-eglise-pie-x,2021-07-23 13:32:11,mixte
Trois-Pistoles,élection OR campagne,9,Le Journal de Québec,Trois-Pistoles: tous les employés de la voirie en isolement,2021-04-22,92,https://www.journaldequebec.com/2021/04/22/trois-pistoles--tous-les-employes-de-la-voirie-en-isolement,2021-07-23 13:32:11,mixte
Trois-Pistoles,élection OR campagne,10,ICI.Radio-Canada.ca,COVID-19 : 3 décès au Manoir Héritage de Trois-Pistoles,2021-05-25,59,https://ici.radio-canada.ca/nouvelle/1795993/covid-19-3-deces-au-manoir-heritage-de-trois-pistoles,2021-07-23 13:32:11,mixte
