Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Victoriaville,élection OR campagne,1,La Nouvelle Union,"L'herbe à poux : ""Gagnez à l'arracher!""",2021-07-07,16,https://www.lanouvelle.net/2021/07/07/lherbe-a-poux-gagnez-a-larracher/,2021-07-23 13:44:43,mixte
Victoriaville,élection OR campagne,2,La Nouvelle Union,Santé mentale : une expo réalisée par et pour des jeunes,2021-07-12,11,https://www.lanouvelle.net/2021/07/12/sante-mentale-une-expo-realisee-par-et-pour-des-jeunes/,2021-07-23 13:44:43,mixte
Victoriaville,élection OR campagne,3,La Nouvelle Union,Antoine Tardif quitte ses fonctions au bureau d'Alain Rayes,2021-07-12,11,https://www.lanouvelle.net/2021/07/12/antoine-tardif-quitte-ses-fonctions-au-bureau-dalain-rayes/,2021-07-23 13:44:44,mixte
Victoriaville,élection OR campagne,4,La Nouvelle Union,Retour de Francis Michel au stade Rémi-Deshaies,2021-07-16,7,https://www.lanouvelle.net/2021/07/16/retour-de-francis-michel-au-stade-remi-deshaies/,2021-07-23 13:44:44,mixte
Victoriaville,élection OR campagne,5,La Nouvelle Union,Le conseiller municipal Marc Morin sollicitera un autre mandat,2021-07-13,10,https://www.lanouvelle.net/2021/07/13/le-conseiller-municipal-marc-morin-sollicitera-un-autre-mandat/,2021-07-23 13:44:44,mixte
Victoriaville,élection OR campagne,6,Mon Victo,Victoriaville veut sensibiliser la population à faire attention aux piétons,2021-07-09,14,https://monvicto.com/victoriaville-veut-sensibiliser-la-population-a-faire-attention-aux-pietons/,2021-07-23 13:44:44,mixte
Victoriaville,élection OR campagne,7,La Nouvelle Union,Les champions reprennent l'action,2021-06-25,28,https://www.lanouvelle.net/2021/06/25/les-champions-reprennent-laction/,2021-07-23 13:44:44,mixte
Victoriaville,élection OR campagne,8,La Nouvelle Union,Chiens en liberté : un résident intimidé et menacé au Parc Terre-des-Jeunes,2021-07-23,0,https://www.lanouvelle.net/2021/07/23/chiens-en-liberte-un-resident-intimide-et-menace-au-parc-terre-des-jeunes/,2021-07-23 13:44:45,mixte
Victoriaville,élection OR campagne,9,La Presse,Canadien de Montréal | Le directeur général adjoint Trevor Timmins trouve des aspects positifs à la pandémie,2021-07-22,1,https://www.lapresse.ca/sports/hockey/2021-07-22/canadien-de-montreal/le-directeur-general-adjoint-trevor-timmins-trouve-des-aspects-positifs-a-la-pandemie.php,2021-07-23 13:44:45,mixte
Victoriaville,élection OR campagne,10,La Nouvelle Union,Le privilège de gagner avec l'équipe de son patelin,2021-06-28,25,https://www.lanouvelle.net/2021/06/28/le-privilege-de-gagner-avec-lequipe-de-son-patelin/,2021-07-23 13:44:45,mixte
Victoriaville,élection OR campagne,11,La Nouvelle Union,Le Cactus bouge,2021-07-09,14,https://www.lanouvelle.net/2021/07/09/le-cactus-bouge-3/,2021-07-23 13:44:46,mixte
Victoriaville,élection OR campagne,12,La Nouvelle Union,L'heure de la retraite a sonné pour le chirurgien Claude Baril,2021-06-30,23,https://www.lanouvelle.net/2021/06/30/lheure-de-la-retraite-a-sonne-pour-le-chirurgien-claude-baril/,2021-07-23 13:44:46,mixte
Victoriaville,élection OR campagne,13,La Nouvelle Union,Le chef du Bloc québécois rencontre les élus du comté,2021-07-12,11,https://www.lanouvelle.net/2021/07/12/le-chef-du-bloc-quebecois-rencontre-les-elus-du-comte/,2021-07-23 13:44:46,mixte
Victoriaville,élection OR campagne,14,La Nouvelle Union,Mario Durocher demeure avec le Titan,2021-07-05,18,https://www.lanouvelle.net/2021/07/05/mario-durocher-demeure-avec-le-titan/,2021-07-23 13:44:46,mixte
Victoriaville,élection OR campagne,15,Le Journal de Montréal,Repêchage d'expansion: quels Québécois pourraient cibler le Kraken?,2021-07-19,4,https://www.journaldemontreal.com/2021/07/19/quels-quebecois-pourraient-cibler-le-kraken,2021-07-23 13:44:46,mixte
Victoriaville,élection OR campagne,16,La Nouvelle Union,Un ancien des Tigres avec le Rocket,2021-06-28,25,https://www.lanouvelle.net/2021/06/28/un-ancien-des-tigres-avec-le-rocket-2/,2021-07-23 13:44:47,mixte
Victoriaville,élection OR campagne,17,Le Journal de Montréal,Armada: prolongation de trois ans pour Bruce Richardson,2021-07-05,18,https://www.journaldemontreal.com/2021/07/05/armada-prolongation-de-trois-ans-pour-bruce-richardson,2021-07-23 13:44:47,mixte
Victoriaville,élection OR campagne,18,La Nouvelle Union,Mairie de Victoriaville : Antoine Tardif présente son directeur de campagne,2021-05-13,71,https://www.lanouvelle.net/2021/05/13/mairie-de-victoriaville-antoine-tardif-presente-son-directeur-de-campagne/,2021-07-23 13:44:47,mixte
Victoriaville,élection OR campagne,19,Le Citoyen Val-d'Or - Amos,De jeunes loups arrivent derrière le banc des Foreurs,2021-07-21,2,https://www.lecitoyenvaldoramos.com/article/2021/07/21/de-jeunes-loups-arrivent-derriere-le-banc-des-foreurs,2021-07-23 13:44:47,mixte
Victoriaville,élection OR campagne,20,La Nouvelle Union,Victoriaville : la clinique de vaccination déménage,2021-04-03,111,https://www.lanouvelle.net/2021/04/03/victoriaville-la-clinique-de-vaccination-demenage/,2021-07-23 13:44:47,mixte
Victoriaville,élection OR campagne,21,Le Journal de Montréal,«Star Académie»: des villes mobilisées pour leurs candidats,2021-04-29,85,https://www.journaldemontreal.com/2021/04/29/star-academie--des-villes-mobilisees-pour-leurs-candidats-1,2021-07-23 13:44:48,mixte
Victoriaville,élection OR campagne,22,Réseau d'Information Municipale,Victoriaville - La Ville lance une campagne et un « département » sur le mieux-vivre ensemble,2021-06-22,31,https://rimq.qc.ca/article/municipal/categorie/technologie/71/906391/la-ville-lance-une-campagne-et-un-departement-sur-le-mieux-vivre-ensemble.html,2021-07-23 13:44:48,mixte
Victoriaville,élection OR campagne,23,La Nouvelle Union,La campagne de vaccination prend de l'ampleur,2021-04-12,102,https://www.lanouvelle.net/2021/04/12/la-campagne-de-vaccination-prend-de-lampleur/,2021-07-23 13:44:48,mixte
Victoriaville,élection OR campagne,24,La Nouvelle Union,Antoine Tardif lorgne la mairie de Victo,2020-12-02,233,https://www.lanouvelle.net/2020/12/02/antoine-tardif-lorgne-la-mairie-de-victo/,2021-07-23 13:44:48,mixte
Victoriaville,élection OR campagne,25,La Nouvelle Union,Le petit Logan a besoin d'un coup de main,2021-04-26,88,https://www.lanouvelle.net/2021/04/26/le-petit-logan-a-besoin-dun-coup-de-main/,2021-07-23 13:44:48,mixte
Victoriaville,député,1,La Nouvelle Union,Infrastructures municipales : une bonification de près de 13 M $ dans Drummond-Bois-Francs,2021-07-14,9,https://www.lanouvelle.net/2021/07/14/infrastructures-municipales-une-bonification-de-pres-de-13-m-dans-drummond-bois-francs/,2021-07-23 13:45:26,mixte
Victoriaville,député,2,La Nouvelle Union,Un Rendez-vous gourmand à ne pas manquer,2021-07-05,18,https://www.lanouvelle.net/2021/07/05/un-rendez-vous-gourmand-a-ne-pas-manquer/,2021-07-23 13:45:26,mixte
