Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Chibougamau,élection OR campagne,1,LeLézard.com,TomaGold débute son programme de forage de 10 000 mètres sur Obalski,2021-07-06,22,https://www.lelezard.com/communique-19888089.html,2021-07-28 17:29:48,mixte
Chibougamau,élection OR campagne,2,iHeartRadio,Le chef du Bloc québécois en tournée en Abitibi-Témiscamingue,2021-07-19,9,https://www.iheartradio.ca/energie/energie-rouyn/nouvelles/le-chef-du-bloc-quebecois-en-tournee-en-abitibi-temiscamingue-1.15665309,2021-07-28 17:29:48,mixte
Chibougamau,élection OR campagne,3,TVA Nouvelles,Les développements sur le coronavirus du 10 juillet,2021-07-10,18,https://www.tvanouvelles.ca/2021/07/10/en-direct--les-derniers-developpements-sur-le-coronavirus,2021-07-28 17:29:48,mixte
Chibougamau,élection OR campagne,4,Le Devoir,Sur la route de la baie James: ce pays du Nord,2021-07-10,18,https://www.ledevoir.com/societe/environnement/617217/un-sillon-en-pays-du-nord,2021-07-28 17:29:48,mixte
Chibougamau,élection OR campagne,5,La Sentinelle et le Jamésien,Politique Plus d'élues municipales à l'automne?,2021-03-08,142,https://www.lasentinelle.ca/plus-delues-municipales-a-lautomne/,2021-07-28 17:29:48,mixte
Chibougamau,élection OR campagne,6,La Sentinelle et le Jamésien,Manon Cyr réélue à la vice-présidence du caucus,2021-03-25,125,https://www.lasentinelle.ca/manon-cyr-reelue-a-la-vice-presidence-du-caucus/,2021-07-28 17:29:49,mixte
Chibougamau,élection OR campagne,7,L'Étoile du Lac,Plusieurs perquisitions de stupéfiants à Saint-Félicien et Chibougamau,2021-04-02,117,https://www.letoiledulac.com/faitsdivers/plusieurs-perquisitions-de-stupefiants-a-saint-felicien-et-chibougamau/,2021-07-28 17:29:49,mixte
Chibougamau,élection OR campagne,8,Le Quotidien - Groupe Capitales Médias,Face-à-face dans le parc de Chibougamau: le conducteur acquitté,2021-02-02,176,https://www.lequotidien.com/actualites/justice-et-faits-divers/face-a-face-dans-le-parc-de-chibougamau-le-conducteur-acquitte-1bd76a8cf0e30e61b8b3ae75f0b62346,2021-07-28 17:29:49,mixte
Chibougamau,élection OR campagne,9,ICI.Radio-Canada.ca,Les personnes de 40 ans et plus pourront être vaccinées dans le Nord-du-Québec | Coronavirus,2021-01-20,189,https://ici.radio-canada.ca/nouvelle/1764327/vaccination-nord-quebec-abitibi-temiscamingue,2021-07-28 17:29:49,mixte
Chibougamau,élection OR campagne,10,ICI.Radio-Canada.ca,Constructions en bois boudées au Québec : un problème de culture et d'éducation?,2021-01-29,180,https://ici.radio-canada.ca/nouvelle/1766962/construction-bois-defis-chantiers-chibougamau,2021-07-28 17:29:49,mixte
Chibougamau,élection OR campagne,11,ICI.Radio-Canada.ca,COVID-19 : des éclosions chez des personnes non vaccinées dans le Nord-du-Québec,2021-05-21,68,https://ici.radio-canada.ca/nouvelle/1795209/vaccination-nord-quebec-eclosions,2021-07-28 17:29:49,mixte
Chibougamau,élection OR campagne,12,La Sentinelle et le Jamésien,Pakesso Mukash sollicite le poste de grand chef des Cris,2021-06-16,42,https://www.lasentinelle.ca/pakesso-mukash-sollicite-le-poste-de-grand-chef-des-cris/,2021-07-28 17:29:50,mixte
Chibougamau,élection OR campagne,13,ICI.Radio-Canada.ca,Une nouvelle campagne pour encourager l'utilisation des bacs bruns,2021-04-22,97,https://ici.radio-canada.ca/nouvelle/1786885/bacs-bruns-matieres-organiques-collecte-compost,2021-07-28 17:29:50,mixte
Chibougamau,élection OR campagne,14,ICI.Radio-Canada.ca,Mission tournesol : un roman et une campagne de financement,2021-06-01,57,https://ici.radio-canada.ca/nouvelle/1797866/mission-tournesol-roman-campagne-financement,2021-07-28 17:29:50,mixte
Chibougamau,élection OR campagne,15,Le Quotidien - Groupe Capitales Médias,"Contrat de 2,7 M$ pour Construction Bon-Air au Palais de justice de Roberval",2021-02-25,153,https://www.lequotidien.com/affaires/contrat-de-27-m-pour-construction-bon-air-au-palais-de-justice-de-roberval-1a531ea07dba9fb2d924cca7f0fc7262,2021-07-28 17:29:50,mixte
Chibougamau,élection OR campagne,16,ICI.Radio-Canada.ca,"Pas un nouveau régime forestier, mais de bonnes intentions, selon Chantiers Chibougamau | Industries Saguenay-Lac-Saint-Jean",2020-11-06,264,https://ici.radio-canada.ca/nouvelle/1747716/bois-pierre-dufour-quebec,2021-07-28 17:29:50,mixte
Chibougamau,élection OR campagne,17,Radio-Canada.ca,"La foresterie, une industrie qui « imprime des dollars »",2021-04-15,104,https://ici.radio-canada.ca/nouvelle/1785000/industrie-forestiere-produits-prix-demande-pandemie,2021-07-28 17:29:51,mixte
Chibougamau,élection OR campagne,18,ICI.Radio-Canada.ca,Nicolas Martel se lance dans la course à la mairie d'Alma,2020-09-17,314,https://ici.radio-canada.ca/nouvelle/1734152/desbiens-alma-elections-municipales-candidature-maire,2021-07-28 17:29:51,mixte
Chibougamau,élection OR campagne,19,Le Quotidien - Groupe Capitales Médias,Groupe Imperium fait l'acquisition de Formule JRE,2021-03-04,146,https://www.lequotidien.com/affaires/groupe-imperium-fait-lacquisition-de-formule-jre-711cad637af093ac985baee2106ebec9,2021-07-28 17:29:51,mixte
Chibougamau,élection OR campagne,20,La Presse,"Le suicide de la Dre Dion est un signal d'alarme, selon son mari",2021-01-13,196,https://www.lapresse.ca/covid-19/2021-01-13/le-suicide-de-la-dre-dion-est-un-signal-d-alarme-selon-son-mari.php,2021-07-28 17:29:51,mixte
Chibougamau,élection OR campagne,21,ICI.Radio-Canada.ca,"Non à un droit de veto aux Autochtones, dit Legault",2021-01-21,188,https://ici.radio-canada.ca/espaces-autochtones/1726681/droit-veto-autochtones-legault-onu-billy-diamond,2021-07-28 17:29:52,mixte
Chibougamau,élection OR campagne,22,Journal Nouvelles Hebdo,Les boutiques de plein air mieux préparées,2021-04-30,89,https://www.nouvelleshebdo.com/actualite/les-boutiques-de-plein-air-mieux-preparees/,2021-07-28 17:29:52,mixte
Chibougamau,élection OR campagne,23,La Sentinelle et le Jamésien,Vaccination en Eeyou Istchee : c'est parti,2021-01-11,198,https://www.lasentinelle.ca/vaccination-en-eeyou-istchee-cest-parti/,2021-07-28 17:29:52,mixte
Chibougamau,élection OR campagne,24,Le Citoyen Val-d'Or - Amos,29 juillet 2020 Un mastodonte minier à Chibougamau,,,https://www.lecitoyenvaldoramos.com/article/2020/07/29/un-mastodonte-minier-a-chibougamau,2021-07-28 17:29:52,mixte
Chibougamau,élection OR campagne,25,Journal Nouvelles Hebdo,Importante croissance chez Multiservices Albanel,2021-02-17,161,https://www.nouvelleshebdo.com/economie/importante-croissance-chez-multiservices-albanel/,2021-07-28 17:29:52,mixte
Chibougamau,député,1,La Presse,Le Québec de la laïcité: la vie de député au nord du Nord,,,https://www.lapresse.ca/actualites/regional/2019-05-22/le-quebec-de-la-laicite-la-vie-de-depute-au-nord-du-nord,2021-07-28 17:30:27,mixte
Chibougamau,député,2,Le Devoir,"Denis Lamothe, le député qui aimait la route",,,https://www.ledevoir.com/politique/quebec/540148/le-depute-qui-aimait-la-route,2021-07-28 17:30:28,mixte
Chibougamau,député,3,ICI.Radio-Canada.ca,Des services juridiques en anichinabé et en cri à Chibougamau,2021-06-24,34,https://ici.radio-canada.ca/espaces-autochtones/1804078/assistance-juridique-chibougamau-fanny-wylde-priscilla-bosum,2021-07-28 17:30:28,mixte
