Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
La Malbaie,accident,1,Le Journal de Québec,Un homme grièvement blessé dans un accident de voiture à La Malbaie,2021-05-29,60,https://www.journaldequebec.com/2021/05/28/un-homme-gravement-blesse-dans-un-accident-de-voiture-a-la-malbaie-1,2021-07-28 12:35:09,local
La Malbaie,accident,2,CIMT-CHAU,Accident entre une voiture et un chevreuil à La Malbaie,2021-04-06,113,https://cimtchau.ca/nouvelles/accident-entre-une-voiture-et-un-chevreuil-a-la-malbaie/,2021-07-28 12:35:09,local
La Malbaie,accident,3,CIMT-CHAU,Embardée sur le Boulevard Malcolm-Fraser à La Malbaie,2021-03-26,124,https://cimtchau.ca/nouvelles/embardee-sur-le-boulevard-malcolm-fraser-a-la-malbaie/,2021-07-28 12:35:09,local
La Malbaie,accident,4,Radio-Canada.ca,Accident de la route : Manawan pleure deux de ses membres,2021-05-06,83,https://ici.radio-canada.ca/espaces-autochtones/1790979/accident-chemin-manawan-atikamekw-paul-emile-ottawa,2021-07-28 12:35:09,local
La Malbaie,accident,5,La Presse,Série d'accidents sur les routes du Québec,2020-09-27,304,https://www.lapresse.ca/actualites/justice-et-faits-divers/2020-09-27/serie-d-accidents-sur-les-routes-du-quebec.php,2021-07-28 12:35:10,local
La Malbaie,accident,6,Le Soleil - Groupe Capitales Médias,Arrestation pour meurtre dans Charlevoix: 9e féminicide au Québec,2021-04-13,106,https://www.lesoleil.com/actualite/justice-et-faits-divers/arrestation-pour-meurtre-dans-charlevoix-9e-feminicide-au-quebec-0925b3a6d9e29736e35f823131b3a8b3,2021-07-28 12:35:10,local
La Malbaie,accident,7,ICI.Radio-Canada.ca,Nos archives : le terrible et spectaculaire accident de Notre-Dame-du-Mont-Carmel,2020-12-29,211,https://ici.radio-canada.ca/nouvelle/1755977/accident-avion-tour-notre-dame-mont-carmel-pilote-mort-westower-archives,2021-07-28 12:35:10,local
La Malbaie,accident,8,radio-canada.ca,Un kayakiste meurt après avoir chaviré dans le fleuve Saint-Laurent,,,https://ici.radio-canada.ca/nouvelle/1187183/kayak-accident-mer-fleuve-cap-a-laigle-malbaie,2021-07-28 12:35:10,local
La Malbaie,accident,9,Zone911,INFO EN BREF : Deux véhicules en feu et 4 motos impliquées dans un accident,2020-09-26,305,https://zone911.com/accidents/29811-info-en-bref-deux-vehicules-en-feu-et-4-motos-impliquees-dans-un-accident,2021-07-28 12:35:10,local
La Malbaie,accident,10,ICI.Radio-Canada.ca,Éclosion à l'hôpital de La Malbaie : les chirurgies non urgentes délestées | Coronavirus,2020-10-21,280,https://ici.radio-canada.ca/nouvelle/1742701/hopital-la-malbaie-coronavirus-eclosion-ciusss-capitale-nationale,2021-07-28 12:35:10,local
La Malbaie,accident,11,ICI.Radio-Canada.ca,Féminicide dans Charlevoix : l'accusé de retour en cour le 7 juillet,2021-05-05,84,https://ici.radio-canada.ca/nouvelle/1790573/9e-feminicide-charlevoix-levasseur-preuve-tribunal,2021-07-28 12:35:11,local
La Malbaie,accident,12,Journal Le Manic,Motoneigiste gravement blessé : les témoins directs se confient,2021-01-26,183,https://www.lemanic.ca/2021/01/26/motoneigiste-gravement-blesse-les-temoins-directs-se-confient/,2021-07-28 12:35:11,local
La Malbaie,accident,13,ICI.Radio-Canada.ca,Une écurie réduite en cendres à La Malbaie,2021-04-25,94,https://ici.radio-canada.ca/nouvelle/1787714/incendie-ecurie-la-malbaie,2021-07-28 12:35:11,local
La Malbaie,accident,14,Le Journal de Québec,Charlevoix: funeste début de semaine de relâche | JDQ,,,https://www.journaldequebec.com/2020/03/01/grave-accident-de-ski-au-mont-grand-fonds-dans-charlevoix,2021-07-28 12:35:11,local
