Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Montmagny,élection OR campagne,1,L'Éclaireur Progrès,La Vaccibus démarre sa campagne de vaccination,2021-06-30,28,https://www.leclaireurprogres.ca/la-vaccibus-demarre-sa-campagne-de-vaccination/,2021-07-28 09:35:17,mixte
Montmagny,élection OR campagne,2,Le Peuple Lotbinière,Guy Laroche victime d'un grave accident à Montmagny,2021-07-06,22,https://www.lepeuplelotbiniere.ca/1092/Faits_divers.html?id=93507,2021-07-28 09:35:17,mixte
Montmagny,élection OR campagne,3,Le Journal de Montréal,Samuel Blais et Pavel Buchnevich changent de décor,2021-07-23,5,https://www.journaldemontreal.com/2021/07/23/samuel-blais-et-pavel-buchnevich-changent-de-decor,2021-07-28 09:35:17,mixte
Montmagny,élection OR campagne,4,Le journal de Lévis,La Course de boîte à savon de Lévis sera de retour,2021-07-28,0,https://www.journaldelevis.com/1073/Communaut%C3%A9_.html?id=81205,2021-07-28 09:35:17,mixte
Montmagny,élection OR campagne,5,Le Peuple Lotbinière,Guy Lafleur se présentera à la mairie de Saint-Antoine-de-Tilly,2021-07-20,8,https://www.lepeuplelotbiniere.ca/1298/%C3%80_la_une_aujourd_hui.html?id=93554,2021-07-28 09:35:18,mixte
Montmagny,élection OR campagne,6,Le journal de Lévis,Quatre hockeyeurs lévisiens protégés par l'Everest,2021-07-07,21,https://www.journaldelevis.com/1066/Sports_et_loisirs.html?id=81041,2021-07-28 09:35:18,mixte
Montmagny,élection OR campagne,7,Le Soleil - Groupe Capitales Médias,Le repêchage de la LNH | Sports,2021-07-24,4,https://www.lesoleil.com/sports/le-repechage-de-la-lnh-d7a4603b4aa8a483cc90e0ececfcc9b3,2021-07-28 09:35:18,mixte
Montmagny,élection OR campagne,8,Le Journal de Montréal,La gang à Brisebois,2021-07-11,17,https://www.journaldemontreal.com/2021/07/11/la-gang-a-brisebois,2021-07-28 09:35:19,mixte
Montmagny,élection OR campagne,9,Le Peuple Lotbinière,COVID-19 : les jours se suivent et se ressemblent en Chaudière-Appalaches,2021-06-29,29,https://lepeuplelotbiniere.ca/1410/COVID-19.html?id=93493,2021-07-28 09:35:19,mixte
Montmagny,élection OR campagne,10,La Presse,En réaction à l'éditorial de Vincent Brousseau-Pouliot | C-10 : ces dix députés québécois qui n'ont pas défendu notre culture à Ottawa,2021-07-10,18,https://www.lapresse.ca/debats/opinions/2021-07-10/en-reaction-a-l-editorial-de-vincent-brousseau-pouliot/c-10-ces-dix-deputes-quebecois-qui-n-ont-pas-defendu-notre-culture-a-ottawa.php,2021-07-28 09:35:19,mixte
Montmagny,élection OR campagne,11,L'Éclaireur Progrès,Début de la campagne de vaccination en Chaudière-Appalaches,2021-02-25,153,https://www.leclaireurprogres.ca/debut-de-la-campagne-de-vaccination-en-chaudiere-appalaches/,2021-07-28 09:35:19,mixte
Montmagny,élection OR campagne,12,Le Peuple Lotbinière,Le conseil des maires en bref,2021-07-15,13,https://www.lepeuplelotbiniere.ca/1066/Sports_et_loisirs.html?id=93541,2021-07-28 09:35:19,mixte
Montmagny,élection OR campagne,13,ICI.Radio-Canada.ca,Montmagny en deuil de son maire,2021-01-02,207,https://ici.radio-canada.ca/nouvelle/1760454/montmagny-deces-maire-remy-langevin-chaudiere-appalaches,2021-07-28 09:35:19,mixte
Montmagny,élection OR campagne,14,ICI.Radio-Canada.ca,Accident de travail mortel près d'un silo à grains à Montmagny,2020-11-07,263,https://ici.radio-canada.ca/nouvelle/1747728/montmagny-silo-grains-accident-travail,2021-07-28 09:35:20,mixte
Montmagny,élection OR campagne,15,L'Éclaireur Progrès,COVID-19 : 34 nouveaux cas en Chaudière-Appalaches,2021-06-04,54,https://www.leclaireurprogres.ca/covid-19-34-nouveaux-cas-en-chaudiere-appalaches/,2021-07-28 09:35:20,mixte
Montmagny,élection OR campagne,16,Radio-Canada.ca,Troisième vague : les hôpitaux de Chaudière-Appalaches près du point de bascule,2021-04-11,108,https://ici.radio-canada.ca/nouvelle/1783855/troisieme-vague-hopitaux-chaudiere-appalaches-point-de-bascule,2021-07-28 09:35:20,mixte
Montmagny,élection OR campagne,17,Beauce-Média,Les détails de la campagne de vaccination à venir en Chaudière-Appalaches,2021-02-24,154,https://www.beaucemedia.ca/2021/02/24/les-details-de-la-campagne-de-vaccination-a-venir-en-chaudiere-appalaches/,2021-07-28 09:35:20,mixte
Montmagny,élection OR campagne,18,Radio-Canada.ca,Tempête : des rafales de plus 100 km/h au large de Montmagny,2021-02-03,175,https://ici.radio-canada.ca/nouvelle/1768005/tempete-ecoles-fermeture-chaudiere-appalaches,2021-07-28 09:35:21,mixte
Montmagny,élection OR campagne,19,La Voix du Sud,Daniel Paré en renfort pour la campagne de vaccination,2020-12-08,232,https://www.lavoixdusud.com/2020/12/08/daniel-pare-en-renfort-pour-la-campagne-de-vaccination/,2021-07-28 09:35:21,mixte
Montmagny,élection OR campagne,20,Radio-Canada.ca,Des aînés retenus dans leur résidence contre leur gré,2021-06-13,45,https://ici.radio-canada.ca/nouvelle/1800622/policiers-sq-residence-aine-prive-mesures-sanitaires-depart-aines-covid-19,2021-07-28 09:35:21,mixte
Montmagny,élection OR campagne,21,L'Éclaireur Progrès,COVID-19 : deuxième jour avec moins de 30 nouveaux cas en Chaudière-Appalaches,2021-05-23,66,https://www.leclaireurprogres.ca/covid-19-deuxieme-jour-avec-moins-de-30-nouveaux-cas-en-chaudiere-appalaches/,2021-07-28 09:35:21,mixte
Montmagny,élection OR campagne,22,Le Journal de Québec,AstraZeneca: déjà du sans rendez-vous pour les 2e doses à Québec et Lévis,2021-05-27,62,https://www.journaldequebec.com/2021/05/27/astrazeneca-deja-du-sans-rendez-vous-pour-les-2e-doses-a-quebec-et-levis,2021-07-28 09:35:21,mixte
Montmagny,élection OR campagne,23,Le Journal de Québec,COVID-19: Québec annonce des assouplissements dans plusieurs régions,2021-05-04,85,https://www.journaldequebec.com/2021/05/04/en-direct-covid-19-au-quebec-francois-legault-fait-le-point,2021-07-28 09:35:22,mixte
Montmagny,élection OR campagne,24,Le Soleil - Groupe Capitales Médias,Davantage de sans rendez-vous pour le devancement des deuxièmes doses,2021-06-09,49,https://www.lesoleil.com/actualite/la-capitale/davantage-de-sans-rendez-vous-pour-le-devancement-des-deuxiemes-doses-96a7893c3f3369b45a949eeabaed57ad,2021-07-28 09:35:22,mixte
Montmagny,élection OR campagne,25,Le Journal de Québec,Campagne de vaccination: «L'homme de confiance dont vous avez besoin»,2020-12-14,226,https://www.journaldequebec.com/2020/12/14/lhomme-de-confiance-dont-vous-avez-besoin,2021-07-28 09:35:22,mixte
Montmagny,député,1,Info Dimanche,Bernard Généreux dresse le bilan de la session parlementaire | infodimanche.com,2021-06-28,30,https://www.infodimanche.com/actualites/actualite/430389/bernard-genereux-dresse-le-bilan-de-la-session-parlementaire,2021-07-28 09:36:01,mixte
Montmagny,député,2,La Presse,En réaction à l'éditorial de Vincent Brousseau-Pouliot | C-10 : ces dix députés québécois qui n'ont pas défendu notre culture à Ottawa,2021-07-10,18,https://www.lapresse.ca/debats/opinions/2021-07-10/en-reaction-a-l-editorial-de-vincent-brousseau-pouliot/c-10-ces-dix-deputes-quebecois-qui-n-ont-pas-defendu-notre-culture-a-ottawa.php,2021-07-28 09:36:01,mixte
Montmagny,député,3,Le Placoteux,"Fin de session, avec rumeur d'élections en septembre",2021-07-01,27,https://leplacoteux.com/fin-de-session-avec-rumeur-delections-en-septembre/,2021-07-28 09:36:01,mixte
Montmagny,député,4,CIMT-CHAU,Transfert des entreprises agricoles et familiales : Justin Trudeau refuse l'entrée en vigueur immédiate de la Loi C-208,2021-07-12,16,https://cimtchau.ca/nouvelles/transfert-des-entreprises-agricoles-et-familiales-justin-trudeau-refuse-lentree-en-vigueur-immediate-de-la-loi-c-208/,2021-07-28 09:36:01,mixte
