Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Blainville,"""premier ministre""",1,NHL.com,Rocket : Houle est bien équipé pour le défi,2021-07-20,14,https://www.nhl.com/fr/news/jean-francois-houle-nomme-entraineur-du-rocket-de-laval-club-ecole-des-canadiens/c-325701716,2021-08-03 17:56:54,national
Blainville,"""premier ministre""",2,TVA Sports,Olympiques Jeux olympiques: voici nos 66 athlètes québécois à Tokyo,2021-07-18,16,https://www.tvasports.ca/2021/07/18/jeux-olympiques-voici-nos-66-athletes-quebecois-a-tokyo,2021-08-03 17:56:54,national
Blainville,"""premier ministre""",3,Radio-Canada.ca,"Les régions du Québec passeront en zone orange, à l'exception du Grand Montréal | Coronavirus",2021-03-04,152,http://ici.radio-canada.ca/amp/1774732/changements-paliers-alerte-rouge-cmm,2021-08-03 17:56:54,national
Blainville,"""premier ministre""",4,ICI.Radio-Canada.ca,COVID-19 : Legault relève le niveau d'alerte partout sur le territoire québécois | Coronavirus,2020-10-01,306,https://ici.radio-canada.ca/nouvelle/1737033/covid-19-nouveaux-cas-quebec-lundi-alerte-rouge-montreal-quebec,2021-08-03 17:56:54,national
Blainville,"""premier ministre""",5,Nord Info et Voix des Mille-Iles,Lucie Lecours nommée ministre déléguée à l'Économie,2021-03-04,152,https://www.nordinfo.com/actualites/lucie-lecours-nommee-ministre-deleguee-a-leconomie/,2021-08-03 17:56:55,national
Blainville,"""premier ministre""",6,La Presse,Un homme accusé de menaces contre François Legault et Justin Trudeau,2020-11-11,265,https://www.lapresse.ca/actualites/justice-et-faits-divers/2020-11-11/un-homme-accuse-de-menaces-contre-francois-legault-et-justin-trudeau.php,2021-08-03 17:56:55,national
Blainville,"""premier ministre""",7,La Presse,Couvre-feu à 21 h 30 en zone rouge,2021-03-16,140,https://www.lapresse.ca/covid-19/2021-03-16/couvre-feu-a-21-h-30-en-zone-rouge.php,2021-08-03 17:56:55,national
Blainville,"""premier ministre""",8,Nord Info et Voix des Mille-Iles,Le député Girard est nommé ministre de l'Économie et de l'Innovation,2021-06-08,56,https://www.nordinfo.com/actualites/le-depute-girard-est-nomme-ministre-de-leconomie-et-de-linnovation/,2021-08-03 17:56:55,national
Blainville,"""premier ministre""",9,La Presse,Montréal et Laval | Le couvre-feu ramené à 20 h,2021-04-08,117,https://www.lapresse.ca/covid-19/2021-04-08/montreal-et-laval/le-couvre-feu-ramene-a-20-h.php,2021-08-03 17:56:55,national
Blainville,"""premier ministre""",10,Le Journal de Montréal,Des sacrifices maintenant pour un beau Noël plus tard,2020-11-17,259,https://www.journaldemontreal.com/2020/11/17/en-direct-covid-19-le-premier-ministre-francois-legault-fait-le-point,2021-08-03 17:56:56,national
Blainville,"""premier ministre""",11,La Nouvelle Union,Québec accorde près de 12 M $ à Emblème Canneberge,2021-06-15,49,https://www.lanouvelle.net/2021/06/15/quebec-accorde-pres-de-12-m-a-embleme-canneberge/,2021-08-03 17:56:56,national
Blainville,"""premier ministre""",12,Journal Le Nord,Actualités Les Laurentides en zone orange dès le 31 mai,2021-05-25,70,https://www.journallenord.com/les-laurentides-en-zone-orange-des-le-28-mai/,2021-08-03 17:56:56,national
Blainville,"""premier ministre""",13,ICI.Radio-Canada.ca,Alerte orange : Québec resserre les mesures sanitaires dans trois régions | Coronavirus,2020-09-21,316,https://ici.radio-canada.ca/nouvelle/1735175/coronavirus-pandemie-infections-bilan-contagion-deces,2021-08-03 17:56:56,national
Blainville,"""premier ministre""",14,Le Journal de Québec,Zones rouges: le masque en classe pour les élèves du secondaire,2020-10-05,302,https://www.journaldequebec.com/2020/10/05/le-masque-obligatoire-a-lexterieur-des-ecoles-en-zone-rouge-1,2021-08-03 17:56:56,national
Blainville,"""premier ministre""",15,Nord Info et Voix des Mille-Iles,Simon Marcil demande au gouvernement de compenser les erreurs du passé,2021-07-01,33,https://www.nordinfo.com/actualites/simon-marcil-demande-au-gouvernement-de-compenser-les-erreurs-du-passe/,2021-08-03 17:56:57,national
Blainville,"""premier ministre""",16,Radio-Canada.ca,Les proches de personnes handicapées à domicile se sentent abandonnés par Québec | Coronavirus,2021-03-18,138,http://ici.radio-canada.ca/amp/1777960/quebec-vaccination-covid-19-handicape-autiste-deficience-ressource-supervisee,2021-08-03 17:56:57,national
Blainville,"""premier ministre""",17,Le Journal de Montréal,[EN DIRECT 21 FÉVRIER] Tous les développements de la pandémie,2021-02-21,163,https://www.journaldemontreal.com/2021/02/21/en-direct-21-fevrier-tous-les-developpements-de-la-pandemie,2021-08-03 17:56:57,national
Blainville,"""premier ministre""",18,La Presse,Est-ce que ça vaut la peine de continuer ?,2021-04-20,105,https://www.lapresse.ca/sports/hockey/2021-04-20/est-ce-que-ca-vaut-la-peine-de-continuer.php,2021-08-03 17:56:58,national
Blainville,"""premier ministre""",19,Droit-Inc.com,Il met François Legault en demeure,2021-01-20,195,https://www.droit-inc.com/article28049-Il-met-Francois-Legault-en-demeure,2021-08-03 17:56:58,national
Blainville,"""premier ministre""",20,Nord Info et Voix des Mille-Iles,COVID-19 : baisse continue des cas actifs,2021-05-17,78,https://www.nordinfo.com/actualites/covid-19-baisse-continue-des-cas-actifs/,2021-08-03 17:56:58,national
Blainville,"""premier ministre""",21,Journal Accès,Saint-Sauveur crie « Au secours » | Lettre ouverte,2021-04-20,105,https://www.journalacces.ca/deboisement-sauvage-saint-sauveur-crie-au-secours/,2021-08-03 17:56:58,national
Blainville,"""premier ministre""",22,Le Journal de Montréal,Quand Richard Legendre a dû sauver l'Impact,2020-11-10,266,https://www.journaldemontreal.com/2020/11/10/quand-richard-legendre-a-du-sauver-limpact-1,2021-08-03 17:56:59,national
Blainville,"""premier ministre""",23,ICI.Radio-Canada.ca,Finis les soupers au restaurant à Saint-Sauveur et à Mont-Tremblant | Coronavirus,2020-12-12,234,https://ici.radio-canada.ca/nouvelle/1756385/laurentides-zone-rouge-covid-19,2021-08-03 17:56:59,national
Blainville,"""premier ministre""",24,Droit-Inc.com,Sélection des juges à Ottawa : matière à scandale,2020-10-20,287,https://www.droit-inc.com/article27571-Selection-des-juges-a-Ottawa-matiere-a-scandale,2021-08-03 17:56:59,national
Blainville,"""premier ministre""",25,La Nouvelle Union,"COVID-19 : assouplissement progressif des mesures pour tous, à partir du 28 mai",2021-05-18,77,https://www.lanouvelle.net/2021/05/18/covid-19-assouplissement-progressif-des-mesures-pour-tous-a-partir-du-28-mai/,2021-08-03 17:56:59,national
Blainville,climat,1,Nord Info et Voix des Mille-Iles,Une Blainvilloise cadette-cadre au Centre d'entraînement virtuel des cadets,2021-08-03,0,https://www.nordinfo.com/actualites/une-blainvilloise-cadette-cadre-au-centre-dentrainement-virtuel-des-cadets/,2021-08-03 17:57:34,national
Blainville,climat,2,Magazine MCI,Les matériaux avancés au service d'une relance innovante et collaborative,2021-08-02,1,https://magazinemci.com/2021/08/02/les-materiaux-avances-au-service-dune-relance-innovante-et-collaborative/,2021-08-03 17:57:34,national
Blainville,climat,3,Le Devoir,"Le dépotoir de Saint-Nicéphore sera agrandi, au grand dam de la municipalité",2021-07-08,26,https://www.ledevoir.com/societe/environnement/616437/en-depotoir-agrandit-a-drummondville-au-grand-dam-de-la-municipalite,2021-08-03 17:57:34,national
Blainville,climat,4,Ouest-France éditions locales,"Caen. Sur les bords de l’Orne, près de 500 marcheurs pour le climat ce dimanche",2021-05-09,86,https://amp.ouest-france.fr/normandie/caen-14000/caen-sur-les-bords-de-l-orne-plus-de-200-marcheurs-pour-le-climat-ce-dimanche-34ea3f48-b0b6-11eb-bd90-d6f259c33f22,2021-08-03 17:57:35,national
Blainville,climat,5,actu.fr,"VIDÉO. Moins bruyant, plus écolo : Évreux teste le camion poubelle électrique",2021-07-20,14,https://actu.fr/normandie/evreux_27229/video-moins-bruyant-plus-ecolo-evreux-teste-le-camion-poubelle-electrique_43564283.html/amp,2021-08-03 17:57:35,national
Blainville,climat,6,L'Éveil et La Concorde,Lettre ouverte des députés du Bloc québécois des Laurentides à Mères au Front - Journal L'Éveil de Saint-Eustache,2021-06-10,54,https://www.leveil.com/societe/lettres-ouvertes/lettre-ouverte-des-deputes-du-bloc-quebecois-des-laurentides-a-meres-au-front,2021-08-03 17:57:35,national
Blainville,climat,7,Journal Le Lac St-Jean,Actualités Investissement de 4 M$ : un radar météo sur le mont Apica,2021-05-23,72,https://lelacstjean.com/actualite/investissement-de-4-m-un-radar-meteo-sur-le-mont-apica/,2021-08-03 17:57:35,national
Blainville,climat,8,Normandie Actu,Changement climatique : 122 000 habitants bientôt sous l'eau en Normandie ?,2020-12-11,235,https://actu.fr/societe/changement-climatique-122-000-habitants-bientot-sous-l-eau-en-normandie_37987506.html/amp,2021-08-03 17:57:36,national
Blainville,climat,9,La Presse,Aluminium | SBB : le savoir de Blainville exporté dans 57 pays,2021-03-23,133,https://www.lapresse.ca/affaires/portfolio/2021-03-23/aluminium/sbb-le-savoir-de-blainville-exporte-dans-57-pays.php,2021-08-03 17:57:36,national
Blainville,climat,10,Le Journal de Québec,Météo à Québec: des radars plus puissants pour des prévisions plus précises et plus rapides,,,https://www.journaldequebec.com/2020/02/28/meteo-a-quebec-des-radars-plus-puissants-pour-des-previsions-plus-precises-et-plus-rapides,2021-08-03 17:57:36,national
Blainville,climat,11,Nord Info et Voix des Mille-Iles,Thérèse-De Blainville: Normand Beaudet sera candidat du Parti vert du Canada,,,https://www.nordinfo.com/actualites/therese-de-blainville-normand-beaudet-sera-candidat-du-parti-vert-du-canada/,2021-08-03 17:57:36,national
