Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Châteauguay,"""premier ministre""",1,La Presse,Châteauguay | Des membres de Kahnawake s'opposent à un projet résidentiel,2021-07-08,26,https://www.lapresse.ca/actualites/2021-07-08/chateauguay/des-membres-de-kahnawake-s-opposent-a-un-projet-residentiel.php,2021-08-03 18:08:30,national
Châteauguay,"""premier ministre""",2,VINGT 55 Média web,Opération haute vitesse Canada-Québec – Les gouvernements du Canada et du Québec ajoutent 94 M$ pour brancher 18 200 foyers supplémentaires à Internet haute vitesse d'ici septembre 2022,2021-07-21,13,https://vingt55.ca/operation-haute-vitesse-canada-quebec-les-gouvernements-du-canada-et-du-quebec-ajoutent-94-m-pour-brancher-18-200-foyers-supplementaires-a-internet-haute-vitesse-dici-septembre-2022/,2021-08-03 18:08:30,national
Châteauguay,"""premier ministre""",3,La Releve,Actualités Prolongement du REM jusqu'à Boucherville : Le premier ministre confirme l'étude de deux tracés,2021-02-18,166,https://www.lareleve.qc.ca/2021/02/18/prolongement-du-rem-jusqua-boucherville-le-premier-ministre-confirme-letude-de-deux-traces/,2021-08-03 18:08:31,national
Châteauguay,"""premier ministre""",4,Le Soleil de Châteauguay,Le premier ministre recule sur le port du masque à l'extérieur,2021-04-14,111,https://www.cybersoleil.com/le-premier-ministre-recule-sur-le-port-du-masque-a-lexterieur/,2021-08-03 18:08:31,national
Châteauguay,"""premier ministre""",5,ICI.Radio-Canada.ca,L'ex-ministre Geoffrey Kelley négociera pour Québec auprès de Kahnawake,2021-06-05,59,https://ici.radio-canada.ca/espaces-autochtones/1799078/geoffrey-kelley-negociateur-kahnawake-quebec-politique,2021-08-03 18:08:31,national
Châteauguay,"""premier ministre""",6,Le Soleil de Châteauguay,Un premier décès d'une thrombose après avoir reçu le vaccin AstraZeneca,2021-04-27,98,https://www.cybersoleil.com/un-premier-deces-dune-thrombose-apres-avoir-recu-le-vaccin-astrazeneca/,2021-08-03 18:08:31,national
Châteauguay,"""premier ministre""",7,Le Soleil de Châteauguay,La région passera en zone orange dès le 31 mai,2021-05-31,64,https://www.cybersoleil.com/le-plan-de-deconfinement-peut-senclencher/,2021-08-03 18:08:31,national
Châteauguay,"""premier ministre""",8,"98,5 fm",Le REM entre Châteauguay et Boucherville | «On dirait que le REM est la huitième merveille du monde!»,2021-02-22,162,https://www.985fm.ca/nouvelles/economie/373589/le-rem-entre-chateauguay-et-boucherville-on-dirait-que-le-rem-est-la-huitieme-merveille-du-monde,2021-08-03 18:08:32,national
Châteauguay,"""premier ministre""",9,ICI.Radio-Canada.ca,Analyse Nervosité au sein du caucus de la CAQ,2020-11-11,265,https://ici.radio-canada.ca/nouvelle/1748663/circonscriptions-danger-caq-francois-legault-coalition-avenir-quebec,2021-08-03 18:08:32,national
Châteauguay,"""premier ministre""",10,Le Soleil de Châteauguay,La Montérégie pourrait bientôt passer en zone orange,2021-05-11,84,https://www.cybersoleil.com/la-monteregie-pourrait-bientot-passer-en-zone-orange/,2021-08-03 18:08:32,national
Châteauguay,"""premier ministre""",11,Le Soleil de Châteauguay,VIDÉOS – Locataires et organismes manifestent à La Prairie,2021-05-11,84,https://www.cybersoleil.com/videos-locataires-et-organismes-manifestent-a-la-prairie/,2021-08-03 18:08:32,national
Châteauguay,"""premier ministre""",12,Le Reflet,Pensionnats autochtones : Châteauguay appuie les Premières Nations,2021-06-17,47,https://www.lereflet.qc.ca/pensionnats-autochtones-chateauguay-appuie-premieres-nations/,2021-08-03 18:08:32,national
Châteauguay,"""premier ministre""",13,Le Soleil de Châteauguay,Le couvre-feu repoussé à 21 h 30,2021-03-16,140,https://www.cybersoleil.com/le-couvre-feu-repousse-a-21-h-30/,2021-08-03 18:08:33,national
Châteauguay,"""premier ministre""",14,Le Quotidien - Groupe Capitales Médias,Covid-19 : Le Premier ministre luxembourgeois testé positif | Actualités,2021-06-27,37,https://www.lequotidien.com/actualites/covid-19--le-premier-ministre-luxembourgeois-teste-positif-13f7529767347f1b2284e3e0f71d5bcd,2021-08-03 18:08:33,national
Châteauguay,"""premier ministre""",15,Radio-Canada.ca,Analyse – Le REM est une drogue dure,2021-02-22,162,http://ici.radio-canada.ca/amp/1772432/reseau-transport-en-commun-rem,2021-08-03 18:08:33,national
Châteauguay,"""premier ministre""",16,Le Soleil de Châteauguay,De nouvelles mesures préventives s'imposent,2021-04-06,119,https://www.cybersoleil.com/de-nouvelles-mesures-preventives-simposent/,2021-08-03 18:08:33,national
Châteauguay,"""premier ministre""",17,Le Soleil de Châteauguay,Le couvre-feu sera levé à compter du 28 mai,2021-05-18,77,https://www.cybersoleil.com/le-couvre-feu-sera-leve-a-compter-du-28-mai/,2021-08-03 18:08:33,national
Châteauguay,"""premier ministre""",18,Le Soleil de Châteauguay,Le statu quo demeure en Montérégie... pour l'instant,2021-04-08,117,https://www.cybersoleil.com/le-statu-quo-demeure-en-monteregie-pour-linstant/,2021-08-03 18:08:33,national
Châteauguay,"""premier ministre""",19,Le Soleil de Châteauguay,Le couvre-feu demeure à 21 h 30 dans la région,2021-04-09,116,https://www.cybersoleil.com/le-couvre-feu-demeure-a-21-h-30-dans-la-region/,2021-08-03 18:08:34,national
Châteauguay,"""premier ministre""",20,Coup d'Oeil,Députée de Châteauguay-Lacolle: Brenda Shanahan satisfaite du budget fédéral - Coup d'œil,2021-05-24,71,https://www.coupdoeil.info/2021/05/24/deputee-de-chateauguay-lacolle-brenda-shanahan-satisfaite-du-budget-federal/,2021-08-03 18:08:34,national
Châteauguay,"""premier ministre""",21,Le Journal de Québec,"COVID-19: Québec et Montréal passeront en zone rouge, Legault fera le point à 17h30",2020-09-28,309,https://www.journaldequebec.com/2020/09/28/quebec-et-montreal-passeront-au-rouge,2021-08-03 18:08:34,national
Châteauguay,"""premier ministre""",22,INFOSuroit.com,Visite virtuelle de Justin Trudeau à L'Élan des jeunes de Châteauguay,2021-01-29,186,https://www.infosuroit.com/visite-virtuelle-justin-trudeau-a-l-elan-des-jeunes-de-chateauguay/,2021-08-03 18:08:35,national
Châteauguay,"""premier ministre""",23,Le Soleil de Châteauguay,Arrêtons de nous plaindre au sujet de la pandémie,2021-06-16,48,https://www.cybersoleil.com/arretons-de-nous-plaindre-au-sujet-de-la-pandemie/,2021-08-03 18:08:35,national
Châteauguay,"""premier ministre""",24,La Releve,Prolongement du REM jusqu'à Boucherville : des réactions mitigées,2021-02-27,157,https://www.lareleve.qc.ca/2021/02/27/prolongement-du-rem-jusqua-boucherville-des-reactions-mitigees/,2021-08-03 18:08:35,national
Châteauguay,"""premier ministre""",25,Radio-Canada.ca,De nouvelles opérations reportées dans les hôpitaux du Québec | Coronavirus,2021-01-11,204,https://ici.radio-canada.ca/nouvelle/1762250/soins-intensifs-debordement-covid-quebec-hopitaux-delestage-opatrny,2021-08-03 18:08:35,national
Châteauguay,climat,1,Le Soleil de Châteauguay,Une forêt en héritage,2021-07-21,13,https://www.cybersoleil.com/une-foret-en-heritage/,2021-08-03 18:09:10,national
Châteauguay,climat,2,CNW Telbec,Bilan de mi-saison 2021 en assurance récolte : région de la Montérégie,2021-07-14,20,https://www.newswire.ca/fr/news-releases/bilan-de-mi-saison-2021-en-assurance-recolte-region-de-la-monteregie-840675167.html,2021-08-03 18:09:10,national
Châteauguay,climat,3,Le Soleil de Châteauguay,Bientôt plus de 50 000 tonnes de matières organiques détournées des sites d'enfouissement,2021-07-13,21,https://www.cybersoleil.com/Bientot-plus-de-50000-tonnes-de-matieres-organiques-detournes-des-sites-denfouissement/,2021-08-03 18:09:10,national
Châteauguay,climat,4,Le Soleil de Châteauguay,Québec sévit contre un site d'entreposage illégal à Franklin,2021-07-10,24,https://www.cybersoleil.com/Quebec-sevit-contre-un-site-dentreposage-illegal-a-Franklin/,2021-08-03 18:09:11,national
Châteauguay,climat,5,Le Soleil de Châteauguay,Le climat entre Mercier et ses pompiers «s'adoucit»,2020-10-23,284,https://www.cybersoleil.com/le-climat-entre-mercier-et-ses-pompiers-sadoucit/,2021-08-03 18:09:11,national
Châteauguay,climat,6,INFOSuroit.com,Corridor vert : Brenda Shanahan fait ses demandes au ministre de l'Environnement,2021-07-10,24,https://www.infosuroit.com/corridor-vert-brenda-shanahan-fait-ses-demandes-au-ministre-de-lenvironnement/,2021-08-03 18:09:11,national
Châteauguay,climat,7,La Presse,Corridor vert Châteauguay-Léry | L'équivalent de 100 à 160 terrains de football de forêt toujours menacée,2021-03-01,155,https://www.lapresse.ca/actualites/2021-03-01/corridor-vert-chateauguay-lery/l-equivalent-de-100-a-160-terrains-de-football-de-foret-toujours-menacee.php,2021-08-03 18:09:11,national
Châteauguay,climat,8,Le Journal de Montréal,Accident à Châteauguay: un motocycliste succombe à ses blessures,2021-04-02,123,https://www.journaldemontreal.com/2021/04/02/accident-a-chateauguay-un-motocycliste-succombe-a-ses-blessures,2021-08-03 18:09:11,national
Châteauguay,climat,9,Le Journal de Montréal,On réclame 4 ans de prison pour le voyeur de Châteauguay,2021-06-03,61,https://www.journaldemontreal.com/2021/06/03/on-reclame-4-ans-de-prison-pour-le-voyeur-de-chateauguay,2021-08-03 18:09:12,national
