Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Gatineau,élection OR campagne,1,ICI.Radio-Canada.ca,Tramway Aylmer-Ottawa : le maire de Gatineau optimiste pour une annonce prochaine,2021-07-28,6,https://ici.radio-canada.ca/nouvelle/1812397/maxime-pedneaud-jobin-bilan-tramway-aylmer-ottawa,2021-08-03 13:19:41,mixte
Gatineau,élection OR campagne,2,ICI.Radio-Canada.ca,"Restez loin de la machinerie dans les parcs, demandent les cols bleus de Gatineau",2021-07-23,11,https://ici.radio-canada.ca/nouvelle/1811413/sensibilisation-campagne-equipement-entretien-parcs-camps-enfants,2021-08-03 13:19:41,mixte
Gatineau,élection OR campagne,3,ICI.Radio-Canada.ca,Écart de vaccination chez les jeunes adultes de l'Outaouais et de l'est ontarien,2021-07-09,25,https://ici.radio-canada.ca/nouvelle/1808010/vaccination-covid-jeunes-outaouais-est-ontarien-retard-vaccibus-gatineau,2021-08-03 13:19:41,mixte
Gatineau,élection OR campagne,4,Le Droit - Groupe Capitales Médias,Katerine Martineau : l'insouciante adolescence | Arts,2021-08-02,1,https://www.ledroit.com/arts/katerine-martineau--linsouciante-adolescence-eed28d297f7f9fd00c0fd9602e8db3c9,2021-08-03 13:19:42,mixte
Gatineau,élection OR campagne,5,ICI.Radio-Canada.ca,"COVID-19 : 8 nouveaux cas à Ottawa, 6 en Outaouais et un dans l'est ontarien | Coronavirus",2021-07-28,6,https://ici.radio-canada.ca/nouvelle/1812506/bilan-covid-ottawa-outaouais-est-ontarien-bseo-28-juillet-2021,2021-08-03 13:19:42,mixte
Gatineau,élection OR campagne,6,Le Droit - Groupe Capitales Médias,Myriam Gilbert représentera Action Gatineau dans Pointe-Gatineau | Gatineau | Actualités,2021-07-07,27,https://www.ledroit.com/actualites/gatineau/myriam-gilbert-representera-action-gatineau-dans-pointe-gatineau-9d17d481e5b4cfe6d56845183a9dc080,2021-08-03 13:19:42,mixte
Gatineau,élection OR campagne,7,iHeartRadio,Accident de VTT: une campagne de sociofinancement pour aider la famille de la victime,2021-07-28,6,https://www.iheartradio.ca/energie/energie-gatineau-ottawa/nouvelles/accident-de-vtt-une-campagne-de-sociofinancement-pour-aider-la-famille-de-la-victime-1.15717497,2021-08-03 13:19:42,mixte
Gatineau,élection OR campagne,8,Le Droit - Groupe Capitales Médias,Action Gatineau présente sa candidate dans Aylmer | Gatineau | Actualités,2021-07-14,20,https://www.ledroit.com/actualites/gatineau/action-gatineau-presente-sa-candidate-dans-aylmer-17063337fedf9dc63565a7760a315521,2021-08-03 13:19:42,mixte
Gatineau,élection OR campagne,9,Le Droit - Groupe Capitales Médias,Manifestation antivaccins à Ottawa | Actualités,2021-07-24,10,https://www.ledroit.com/actualites/manifestation-antivaccins-a-ottawa-b6d67526c1f0cf600a4a925d469d181f,2021-08-03 13:19:43,mixte
Gatineau,élection OR campagne,10,iHeartRadio,Moderna: des milliers de doses en danger en Ontario,2021-07-30,4,https://www.iheartradio.ca/energie/energie-gatineau-ottawa/nouvelles/moderna-des-milliers-de-doses-en-danger-en-ontario-1.15763160,2021-08-03 13:19:43,mixte
