Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Havre-Saint-Pierre,accident,1,Journal Le Manic,(Mise à jour) Chute-aux-Outardes : une collision fait un mort,2021-07-18,16,https://www.lemanic.ca/2021/07/18/collision-a-chute-aux-outardes-un-homme-lutte-pour-sa-vie/,2021-08-03 12:21:47,local
Havre-Saint-Pierre,accident,2,Ma Côte-Nord,L'accident d'avion de février 2018 à Havre-Saint-Pierre fait réfléchir,,,https://macotenord.com/laccident-davion-de-fevrier-2018-a-havre-saint-pierre-fait-reflechir/,2021-08-03 12:21:47,local
Havre-Saint-Pierre,accident,3,Le Journal de Québec,Sauvetage de motoneigistes,2021-03-05,151,https://www.journaldequebec.com/2021/03/05/sauvetage-de-motoneigistes-sur-la-cote-nord,2021-08-03 12:21:48,local
Havre-Saint-Pierre,accident,4,Le Journal de Québec,Dédommagement de 430 000$ pour un jeune et sa famille,,,https://www.journaldequebec.com/2020/03/02/dedommagement-de-430000-pour-un-jeune-et-sa-famille,2021-08-03 12:21:48,local
Havre-Saint-Pierre,accident,5,InfoNormandie.com,Eure : face-à-face mortel entre un semi-remorque et une voiture à Saint-Pierre-du-Vauvray,2021-03-15,141,https://www.infonormandie.com/Eure-face-a-face-mortel-entre-un-semi-remorque-et-une-voiture-a-Saint-Pierre-du-Vauvray_a30419.html,2021-08-03 12:21:48,local
Havre-Saint-Pierre,accident,6,Le Journal de Québec,Un motocycliste perd la vie sur la Côte-Nord,,,https://www.journaldequebec.com/2020/08/06/une-motocycliste-gravement-blessee-sur-la-cote-nord,2021-08-03 12:21:49,local
Havre-Saint-Pierre,accident,7,ICI.Radio-Canada.ca,Le réseau de Telus sur la Côte-Nord est rétabli,2021-01-07,208,https://ici.radio-canada.ca/nouvelle/1761582/panne-internet-cellulaire-reseau-telus-telecommunication-cote-nord-sept-iles,2021-08-03 12:21:49,local
Havre-Saint-Pierre,accident,8,Ouest-France éditions locales,Vendée. Deux blessés dans un accident de moto près de La Châtaigneraie,2021-03-13,143,https://www.ouest-france.fr/pays-de-la-loire/saint-pierre-du-chemin-85120/vendee-deux-blesses-dans-un-accident-de-moto-pres-de-la-chataigneraie-7185788,2021-08-03 12:21:49,local
Havre-Saint-Pierre,accident,9,InfoNormandie.com,"Seine-Maritime : un motard tué dans un accident de la route à Rogerville, près du Havre",2021-07-02,32,https://www.infonormandie.com/Seine-Maritime-un-motard-tue-dans-un-accident-de-la-route-a-Rogerville-pres-du-Havre_a31471.html,2021-08-03 12:21:50,local
Havre-Saint-Pierre,accident,10,La Voix de l'est - Groupe Capitales Médias,Un jeune homme succombe à ses blessures après un accident de motocross en Estrie,2021-06-20,44,https://www.lavoixdelest.ca/actualites/un-jeune-homme-succombe-a-ses-blessures-apres-un-accident-de-motocross-en-estrie-c874c9a11301b1fb92fd650e1901581b,2021-08-03 12:21:50,local
Havre-Saint-Pierre,accident,11,Ma Côte-Nord,Attention à la glace sur les trottoirs à Sept-Îles ce lundi matin,2020-11-09,267,https://macotenord.com/attention-a-la-glace-sur-les-trottoirs-a-sept-iles-ce-lundi-matin/,2021-08-03 12:21:50,local
Havre-Saint-Pierre,accident,12,Ouest-France,"Près de Nantes. Accident avec une Tesla : le conducteur avait 2,93 g d’alcool dans le sang",2021-04-20,105,https://www.ouest-france.fr/pays-de-la-loire/nantes-44000/pres-de-nantes-accident-avec-une-tesla-le-conducteur-avait-2-93-g-d-alcool-dans-le-sang-793eb1ee-a1eb-11eb-9cfa-87482dbf206e,2021-08-03 12:21:50,local
Havre-Saint-Pierre,accident,13,TVA Nouvelles,Un avion dépasse la fin de la piste à Havre-Saint-Pierre,,,https://www.tvanouvelles.ca/2018/02/26/un-avion-depasse-la-piste-a-havre-saint-pierre,2021-08-03 12:21:50,local
Havre-Saint-Pierre,accident,14,InfoNormandie.com,"Le Havre : dans un état grave après un accident de moto, un homme de 30 ans transféré au CHU de Rouen",2021-05-20,75,https://www.infonormandie.com/Le-Havre-dans-un-etat-grave-apres-un-accident-de-moto-un-homme-de-30-ans-transfere-au-CHU-de-Rouen_a31095.html,2021-08-03 12:21:50,local
Havre-Saint-Pierre,accident,15,Ouest-France éditions locales,Normandie. Un blessé grave dans un accident de la route près de Dieppe,2021-06-22,42,https://www.ouest-france.fr/normandie/normandie-un-blesse-grave-dans-un-accident-de-la-route-pres-de-dieppe-c6551b30-d37d-11eb-8863-a35b84ea1d2a,2021-08-03 12:21:51,local
Havre-Saint-Pierre,accident,16,Le Courrier Cauchois,Près de Tancarville. Un camion qui perd son chargement provoque un accident sur l'A131,2021-06-02,62,https://www.lecourriercauchois.fr/actualite-283273-pres-de-tancarville-un-camion-qui-perd-son-chargement-provoque-un-accident-sur-l-a131,2021-08-03 12:21:51,local
Havre-Saint-Pierre,accident,17,Ouest-France,Près de Saint-Lô. Deux cyclistes renversés par une voiture,2021-05-10,85,https://www.ouest-france.fr/normandie/saint-pierre-de-semilly-50810/pres-de-saint-lo-deux-cyclistes-renverses-par-une-voiture-0b9b0ea0-b170-11eb-ab0b-3db1744bd25b,2021-08-03 12:21:51,local
Havre-Saint-Pierre,accident,18,Ouest-France,"Normandie. Ce que l'on sait de l'accident qui a fait trois morts, dimanche, près de Bayeux",2021-06-21,43,https://www.ouest-france.fr/normandie/normandie-ce-que-l-on-sait-de-l-accident-qui-a-fait-trois-morts-dimanche-pres-de-bayeux-f60b6b00-d269-11eb-8758-469341d1a13a,2021-08-03 12:21:52,local
Havre-Saint-Pierre,accident,19,Le Courrier Cauchois,Près de Bolbec. Un choc entre deux poids lourds sur l'A29 fait un blessé,2021-06-02,62,https://www.lecourriercauchois.fr/actualite-283270-pres-de-bolbec-un-choc-entre-deux-poids-lourds-sur-l-a29-fait-un-blesse,2021-08-03 12:21:52,local
Havre-Saint-Pierre,accident,20,Paris-Normandie,"Près du Tréport, une femme de 18 ans meurt dans un accident de moto",2021-05-08,87,https://www.paris-normandie.fr/id190704/article/2021-05-08/pres-du-treport-une-femme-de-18-ans-meurt-dans-un-accident-de-moto,2021-08-03 12:21:52,local
Havre-Saint-Pierre,accident,21,Le Quotidien - Groupe Capitales Médias,François Legault rencontre la direction de Rio Tinto,2021-03-22,134,https://www.lequotidien.com/affaires/francois-legault-rencontre-la-direction-de-rio-tinto-941ed01c8ef52a2388dc964849a1b7e6,2021-08-03 12:21:52,local
Havre-Saint-Pierre,accident,22,La Voix de l'est - Groupe Capitales Médias,Accident à l'Hippodrome: un cheval euthanasié et deux conducteurs blessés [VIDÉO + ARTICLE AUDIO],2021-06-08,56,https://www.lavoixdelest.ca/actualites/le-fil-groupe-capitales-medias/accident-a-lhippodrome-un-cheval-euthanasie-et-deux-conducteurs-blesses-video--article-audio-ed5a890b3b3e56feddde9090a364ef2e,2021-08-03 12:21:53,local
Havre-Saint-Pierre,accident,23,InfoNormandie.com,"Seine-Maritime : un motard grièvement blessé dans un accident de la route à Saint-Maurice d'Etelan, près de Lillebonne",2021-04-24,101,https://www.infonormandie.com/Seine-Maritime-un-motard-grievement-blesse-dans-un-accident-de-la-route-a-Saint-Maurice-d-Etelan-pres-de-Lillebonne_a30862.html,2021-08-03 12:21:53,local
Havre-Saint-Pierre,accident,24,La Voix de l'est - Groupe Capitales Médias,La première policière du Service de police de Granby sur son départ,2020-10-30,277,https://www.lavoixdelest.ca/actualites/la-premiere-policiere-du-service-de-police-de-granby-sur-son-depart-d8296f746dee8e878a81474ba3ca70c5,2021-08-03 12:21:53,local
Havre-Saint-Pierre,accident,25,Paris-Normandie,"L’IMAGE. Trois blessés dont un grave, dans un accident près du pont Guillaume-le-Conquérant à Rouen",2021-04-12,113,https://www.paris-normandie.fr/id182350/article/2021-04-12/limage-un-accident-lundi-12-avril-la-circulation-perturbee-sur-le-pont-guillaume,2021-08-03 12:21:53,local
Havre-Saint-Pierre,décès OR mort,1,NecrologieCanada,BOUDREAU Reina 2021,2021-07-22,12,https://necrocanada.com/deces-2021/boudreau-reina-2021/,2021-08-03 12:22:31,local
Havre-Saint-Pierre,décès OR mort,2,NecrologieCanada,LEBRUN Patrice 14 août 2021,2021-08-01,2,https://necrocanada.com/deces-2021/lebrun-patrice-14-aout-2021/,2021-08-03 12:22:32,local
Havre-Saint-Pierre,décès OR mort,3,Journal Le Manic,(Mise à jour) Chute-aux-Outardes : une collision fait un mort,2021-07-18,16,https://www.lemanic.ca/2021/07/18/collision-a-chute-aux-outardes-un-homme-lutte-pour-sa-vie/,2021-08-03 12:22:32,local
Havre-Saint-Pierre,décès OR mort,4,NecrologieCanada,DOYLE Gertrude Lebrun 2021,2021-07-31,3,https://necrocanada.com/deces-2021/doyle-gertrude-lebrun-2021/,2021-08-03 12:22:32,local
Havre-Saint-Pierre,décès OR mort,5,NecrologieCanada,TREMBLAY Fernand 26 juillet 2021,2021-07-31,3,https://necrocanada.com/deces-2021/tremblay-fernand-26-juillet-2021/,2021-08-03 12:22:32,local
Havre-Saint-Pierre,décès OR mort,6,NecrologieCanada,FOURNIER Suzanne Parisee 2021,2021-07-19,15,https://necrocanada.com/deces-2021/fournier-suzanne-parisee-2021/,2021-08-03 12:22:32,local
Havre-Saint-Pierre,décès OR mort,7,Journal Le Manic,Intercar : rallier La Baie à Baie-Comeau avec un détour par Québec,2021-07-28,6,https://www.lemanic.ca/2021/07/28/intercar-rallier-la-baie-a-baie-comeau-avec-un-detour-par-quebec/,2021-08-03 12:22:33,local
Havre-Saint-Pierre,décès OR mort,8,NecrologieCanada,BOUDREAU Adrienne Arsenault 22 juillet 2021,2021-07-19,15,https://necrocanada.com/deces-2021/boudreau-adrienne-arsenault-22-juillet-2021/,2021-08-03 12:22:33,local
Havre-Saint-Pierre,décès OR mort,9,NecrologieCanada,TANGUAY Isabelle 31 juillet 2021,2021-07-26,8,https://necrocanada.com/deces-2021/tanguay-isabelle-31-juillet-2021/,2021-08-03 12:22:33,local
Havre-Saint-Pierre,décès OR mort,10,NecrologieCanada,PAGe Robert Ti-Num 26 juillet 2021,2021-07-20,14,https://necrocanada.com/deces-2021/page-robert-ti-num-26-juillet-2021/,2021-08-03 12:22:33,local
Havre-Saint-Pierre,décès OR mort,11,NecrologieCanada,Mme Monique DE LAUNIeRE Décédée le 31 juillet 2021 à l’âge de 81 ans,2021-08-02,1,https://necrocanada.com/deces-2021/mme-monique-de-launiere-decedee-le-31-juillet-2021a-lage-de-81-ans/,2021-08-03 12:22:33,local
Havre-Saint-Pierre,décès OR mort,12,Journal Le Manic,"Portée disparue, Marjolaine Fournier a été retrouvée sans vie",2020-11-28,248,https://www.lemanic.ca/2020/11/28/portee-disparue-marjolaine-fournier-a-ete-retrouvee-sans-vie/,2021-08-03 12:22:33,local
Havre-Saint-Pierre,décès OR mort,13,NecrologieCanada,Marie-Marthe Beaudoin nee Dubuc 2021,2021-07-28,6,https://necrocanada.com/deces-2021/marie-marthe-beaudoin-nee-dubuc-2021/,2021-08-03 12:22:34,local
Havre-Saint-Pierre,décès OR mort,14,ICI.Radio-Canada.ca,Arrestation à Uashat en lien avec l'opération policière à l'hôpital de Havre-Saint-Pierre,2020-09-28,309,https://ici.radio-canada.ca/nouvelle/1737082/hopital-havre-saint-pierre-police-minganie-operation-securite-menace,2021-08-03 12:22:34,local
Havre-Saint-Pierre,décès OR mort,15,NecrologieCanada,Thibeault Germain 25 novembre 2020,2021-07-12,22,https://necrocanada.com/deces-2021/thibeault-germain-25-novembre-2020/,2021-08-03 12:22:34,local
Havre-Saint-Pierre,décès OR mort,16,NecrologieCanada,Jean-Claude VIGNEAULT 1946-,2021-07-13,21,https://necrocanada.com/deces-2021/jean-claude-vigneault-1946/,2021-08-03 12:22:34,local
Havre-Saint-Pierre,décès OR mort,17,Le Journal de Québec,Il n'y a plus que 600 caribous forestiers sur la Côte-Nord,2021-03-29,127,https://www.journaldequebec.com/2021/03/29/il-ny-a-plus-que-600caribous-forestiers-sur-la-cote-nord,2021-08-03 12:22:35,local
Havre-Saint-Pierre,décès OR mort,18,Journal Le Manic,Secondaire en spectacle : deux étudiants d'Havre-Saint-Pierre en finale provinciale,2021-05-01,94,https://www.lemanic.ca/2021/05/01/secondaire-en-spectacle-deux-etudiants-dhavre-saint-pierre-en-finale-provinciale/,2021-08-03 12:22:35,local
Havre-Saint-Pierre,décès OR mort,19,Le Journal de Québec,Camping: les municipalités de la Côte-Nord se préparent pour les touristes,2021-05-10,85,https://www.journaldequebec.com/2021/05/10/camping-les-municipalites-de-la-cote-nord-se-preparent-pour-les-touristes,2021-08-03 12:22:35,local
Havre-Saint-Pierre,décès OR mort,20,NecrologieCanada,BOUDREAU Allen 19 juin 2021,2021-06-15,49,https://necrocanada.com/deces-2021/boudreau-allen-19-juin-2021/,2021-08-03 12:22:35,local
Havre-Saint-Pierre,décès OR mort,21,Le Journal de Québec,Sauvetage de motoneigistes,2021-03-05,151,https://www.journaldequebec.com/2021/03/05/sauvetage-de-motoneigistes-sur-la-cote-nord,2021-08-03 12:22:35,local
Havre-Saint-Pierre,décès OR mort,22,NecrologieCanada,DOYLE Carl 3 octobre 2020,2020-09-05,332,https://necrocanada.com/deces-2020/doyle-carl-3-octobre-2020/,2021-08-03 12:22:36,local
Havre-Saint-Pierre,décès OR mort,23,Le Journal de Montréal,Les maisons des aînés sur la Côte-Nord tardent encore,2021-06-15,49,https://www.journaldemontreal.com/2021/06/15/les-maisons-des-aines-sur-la-cote-nord-tardent-encore-1,2021-08-03 12:22:36,local
Havre-Saint-Pierre,décès OR mort,24,Le Journal de Québec,Production de scandium à Sorel-Tracy: des réactions mitigées sur la Côte-Nord,2021-01-18,197,https://www.journaldequebec.com/2021/01/18/production-de-scandium-a-sorel-tracy--des-reactions-mitigees-sur-la-cote-nord,2021-08-03 12:22:36,local
Havre-Saint-Pierre,décès OR mort,25,NecrologieCanada,JOMPHE Jocelyne 1949 2021,2021-05-07,88,https://necrocanada.com/deces-2021/jomphe-jocelyne-1949-2021/,2021-08-03 12:22:36,local
Havre-Saint-Pierre,incendie,1,Le Nouvelliste - Groupe Capitales Médias,Incendie dans des logements du Centre le Havre,2021-01-23,192,https://www.lenouvelliste.ca/actualites/justice-et-faits-divers/incendie-dans-des-logements-du-centre-le-havre-09e1657a8b39896734269e86d14309e5,2021-08-03 12:22:44,local
Havre-Saint-Pierre,incendie,2,ICI.Radio-Canada.ca,Cinq feux de forêt en même temps sur la Côte-Nord,,,https://ici.radio-canada.ca/nouvelle/1722431/incendie-feu-foret-minganie-sopfeu-juillet-2020,2021-08-03 12:22:44,local
Havre-Saint-Pierre,incendie,3,La Croix,Dans la tête de l'incendiaire de la cathédrale de Nantes Que s'est-il passé,2021-07-18,16,https://www.la-croix.com/France/tete-lincendiaire-cathedrale-Nantes-2021-07-15-1201166437,2021-08-03 12:22:48,local
