Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Kuujjuaq,accident,1,La Presse,Deux morts et un blessé après une attaque à Kuujjuaq,2021-02-05,179,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-02-05/deux-morts-et-un-blesse-apres-une-attaque-a-kuujjuaq.php,2021-08-03 12:29:31,local
Kuujjuaq,accident,2,ICI.Radio-Canada.ca,Les dessous du meurtre de Chloé Labrie à Kuujjuaq,2020-11-19,257,https://ici.radio-canada.ca/nouvelle/1750739/randy-koneak-meurtre-premedite-proces,2021-08-03 12:29:31,local
Kuujjuaq,accident,3,ICI.Radio-Canada.ca,Une maison d'hébergement pour femmes déplore le décès prévisible d'une femme inuk,2021-02-26,158,https://ici.radio-canada.ca/espaces-autochtones/1773312/violence-conjugale-kuujjuaq-elisapee-angma,2021-08-03 12:29:31,local
Kuujjuaq,accident,4,Le Journal de Montréal,Coupable du meurtre d'une travailleuse de la santé,2020-12-04,242,https://www.journaldemontreal.com/2020/12/04/meurtre-dune-infirmiere-a-kuujjuaq--le-jeune-homme-reconnu-coupable,2021-08-03 12:29:31,local
Kuujjuaq,accident,5,La Presse,Double féminicide à Sainte-Sophie | La Presse,2021-03-02,154,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-03-02/double-feminicide-a-sainte-sophie.php,2021-08-03 12:29:32,local
Kuujjuaq,accident,6,Le Journal de Montréal,Appareil surchargé avant de s'envoler: une décision inexplicable,,,https://www.journaldemontreal.com/2019/08/03/une-decision-inexplicable,2021-08-03 12:29:32,local
Kuujjuaq,accident,7,ICI.Radio-Canada.ca,Archives Il y a 20 ans disparaissaient Marie-Soleil Tougas et Jean-Claude Lauzon,,,https://ici.radio-canada.ca/nouvelle/1049330/deces-mort-marie-soleil-tougas-jean-claude-lauzon-archives,2021-08-03 12:29:32,local
Kuujjuaq,accident,8,Le Devoir,Inuite sans abri happée mortellement: d'autres accidents semblables ont eu lieu,,,https://www.ledevoir.com/societe/583298/montreal-unie-inuite-sans-abri-happee-mortellement,2021-08-03 12:29:32,local
Kuujjuaq,accident,9,LaPresse.ca,La DPJ de Kuujjuaq incendiée: une ado arrêtée,,,https://www.lapresse.ca/actualites/justice-et-faits-divers/actualites-judiciaires/201809/19/01-5197179-la-dpj-de-kuujjuaq-incendiee-une-ado-arretee.php,2021-08-03 12:29:32,local
Kuujjuaq,accident,10,La Tribune - Groupe Capitales Médias,Meurtre de Chloé Labrie à Kuujjuaq: un homme a été arrêté,,,https://www.latribune.ca/actualites/justice-et-faits-divers/meurtre-de-chloe-labrie-a-kuujjuaq-un-homme-a-ete-arrete-13af553ec9045b22c0cfaf125fad531b,2021-08-03 12:29:33,local
