Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Kuujjuaq,élection OR campagne,1,Le Devoir,L'Inuite Mary Simon devient la 30e gouverneure générale du Canada,2021-07-07,27,https://www.ledevoir.com/politique/canada/616107/annonce-trudeau,2021-08-03 13:27:40,mixte
Kuujjuaq,élection OR campagne,2,La Presse,Vaccination au Québec | Le Nunavik en queue de peloton,2021-05-29,66,https://www.lapresse.ca/covid-19/2021-05-29/vaccination-au-quebec/le-nunavik-en-queue-de-peloton.php,2021-08-03 13:27:40,mixte
Kuujjuaq,élection OR campagne,3,Le Journal de Québec,Coupable du meurtre d'une travailleuse de la santé,2020-12-04,242,https://www.journaldequebec.com/2020/12/04/meurtre-dune-infirmiere-a-kuujjuaq--le-jeune-homme-reconnu-coupable,2021-08-03 13:27:40,mixte
Kuujjuaq,élection OR campagne,4,ICI.Radio-Canada.ca,« On est vraiment déconnecté des élections » | Élections Québec 2018,,,https://ici.radio-canada.ca/nouvelle/1126064/ungava-nord-quebec-campagne-nunavik,2021-08-03 13:27:40,mixte
Kuujjuaq,élection OR campagne,5,Le Soleil - Groupe Capitales Médias,Travail social au Nunavik: «J'avais le goût d'aller toucher en haut»,2021-05-15,80,https://www.lesoleil.com/le-mag/travail-social-au-nunavik-javais-le-gout-daller-toucher-en-haut-64ec0d4b9d45ba230da47b59321c4940,2021-08-03 13:27:41,mixte
Kuujjuaq,élection OR campagne,6,La Presse,Traversées : trois femmes et un territoire | La Presse,2020-12-14,232,https://www.lapresse.ca/cinema/entrevues/2020-12-14/traversees-trois-femmes-et-un-territoire.php,2021-08-03 13:27:41,mixte
Kuujjuaq,élection OR campagne,7,LaPresse.ca,Une femme évincée de son logement trouvée morte à Kuujjuaq,,,https://www.lapresse.ca/actualites/201811/19/01-5204843-une-femme-evincee-de-son-logement-trouvee-morte-a-kuujjuaq.php,2021-08-03 13:27:41,mixte
Kuujjuaq,élection OR campagne,8,LaPresse.ca,"-45°C, «c'est bien normal» à Kuujjuaq",,,https://www.lapresse.ca/actualites/201501/07/01-4833117--45c-cest-bien-normal-a-kuujjuaq.php,2021-08-03 13:27:41,mixte
Kuujjuaq,élection OR campagne,9,Le Devoir,En campagne au nord du 49e parallèle,,,https://www.ledevoir.com/societe/404268/ungava-en-campagne-au-nord-du-49e-parallele,2021-08-03 13:27:41,mixte
Kuujjuaq,élection OR campagne,10,La Presse,Arts visuels | Les changements climatiques en six œuvres,2021-03-14,142,https://www.lapresse.ca/arts/arts-visuels/2021-03-14/arts-visuels/les-changements-climatiques-en-six-oeuvres.php,2021-08-03 13:27:42,mixte
Kuujjuaq,élection OR campagne,11,La Voix de l'est - Groupe Capitales Médias,Agression sur la piste cyclable : un témoin recherché,2021-03-12,144,https://www.lavoixdelest.ca/actualites/agression-sur-la-piste-cyclable--un-temoin-recherche-130369a6b27d5c2f260f6182752bc81c,2021-08-03 13:27:42,mixte
Kuujjuaq,élection OR campagne,12,Le Soleil - Groupe Capitales Médias,"Relation avec les Autochtones: «C'est pas bien parti pantoute», selon Manon Massé",,,https://www.lesoleil.com/actualite/politique/relation-avec-les-autochtones-cest-pas-bien-parti-pantoute-selon-manon-masse-23eb92d916c455e5168c98a12318f227,2021-08-03 13:27:42,mixte
Kuujjuaq,élection OR campagne,13,ICI.Radio-Canada.ca,"Le défunt programme de Joé Juneau au Nunavik « mérite de continuer », selon une étude",2021-01-21,194,https://ici.radio-canada.ca/espaces-autochtones/1077291/joe-juneau-hockey-nunavik-defunt-programme-etude-vante,2021-08-03 13:27:42,mixte
Kuujjuaq,élection OR campagne,14,TVA Nouvelles,Violence conjugale 7e victime en 7 semaines... et 14 orphelins,2021-03-24,132,https://www.tvanouvelles.ca/2021/03/24/7e-victime-en-7-semaines-et-14-orphelins,2021-08-03 13:27:43,mixte
Kuujjuaq,élection OR campagne,15,LaPresse.ca,Épidémie de tuberculose dans le Grand Nord,,,https://www.lapresse.ca/actualites/sante/201207/11/01-4542574-epidemie-de-tuberculose-dans-le-grand-nord.php,2021-08-03 13:27:43,mixte
Kuujjuaq,élection OR campagne,16,ICI.Radio-Canada.ca,Parcourir le Canada à vélo pour sensibiliser la population au suicide chez les Inuit,2021-01-21,194,https://ici.radio-canada.ca/espaces-autochtones/1185505/inuk-inuit-problematique-deces-communautes-nord,2021-08-03 13:27:43,mixte
Kuujjuaq,élection OR campagne,17,La Presse,Suicides: le Nord s'enfonce dans la crise,,,https://www.lapresse.ca/actualites/national/2019-07-31/suicides-le-nord-s-enfonce-dans-la-crise,2021-08-03 13:27:43,mixte
Kuujjuaq,élection OR campagne,18,Le Quotidien - Groupe Capitales Médias,Un homme de 20 ans de Kuujuuaq est accusé du meurtre de la victoriavilloise Chloé Labrie,,,https://www.lequotidien.com/actualites/justice-et-faits-divers/un-homme-de-20-ans-de-kuujuuaq-est-accuse-du-meurtre-de-la-victoriavilloise-chloe-labrie-95704207f0f2148fb281089518f874ed,2021-08-03 13:27:43,mixte
Kuujjuaq,élection OR campagne,19,Le Soleil - Groupe Capitales Médias,La passion hivernale contagieuse de Brigitte Boisjoli [VIDÉO],2021-02-27,157,https://www.lesoleil.com/le-mag/plein-air/la-passion-hivernale-contagieuse-de-brigitte-boisjoli-video-5ceef01ebc726b0ea80fcae142ccbe44,2021-08-03 13:27:44,mixte
Kuujjuaq,élection OR campagne,20,Grenier aux Nouvelles,"Directeur(trice), communications et marketing | Opération Nez Rouge | Grenier aux Emplois",2021-07-03,31,https://www.grenier.qc.ca/emplois/50175/directeurtrice-communications-et-marketing,2021-08-03 13:27:44,mixte
Kuujjuaq,élection OR campagne,21,La Presse,Le Québec de la laïcité: la vie de député au nord du Nord,,,https://www.lapresse.ca/actualites/regional/2019-05-22/le-quebec-de-la-laicite-la-vie-de-depute-au-nord-du-nord,2021-08-03 13:27:44,mixte
Kuujjuaq,élection OR campagne,22,Grenier aux Nouvelles,Agent(e) de communication | Ville de Laval | Grenier aux Emplois,2021-05-26,69,https://www.grenier.qc.ca/emplois/49496/agente-de-communication,2021-08-03 13:27:44,mixte
Kuujjuaq,élection OR campagne,23,Grenier aux Nouvelles,"Coordonnateur(trice), communication et administration | Fondation Collège André-Grasset | Grenier aux Emplois",2021-05-28,67,https://www.grenier.qc.ca/emplois/49549/coordonnateurtrice-communication-et-administration,2021-08-03 13:27:44,mixte
Kuujjuaq,élection OR campagne,24,ICI.Radio-Canada.ca,Départ de l'expédition Jeunes Karibus demain : près de 100 km en ski de fond dans la toundra,,,https://ici.radio-canada.ca/nouvelle/775665/jeunes-karibus-nunavik-ski-de-fond,2021-08-03 13:27:45,mixte
Kuujjuaq,élection OR campagne,25,Le Nouvelliste - Groupe Capitales Médias,"COVID-19 : dès lundi midi, voyages intérieurs interdits aux Canadiens malades",,,https://www.lenouvelliste.ca/actualites/covid-19/covid-19--des-lundi-midi-voyages-interieurs-interdits-aux-canadiens-malades-40c5f1b4b1d664d1c93b3a137735e338,2021-08-03 13:27:45,mixte
Kuujjuaq,député,1,Le Devoir,L'Inuite Mary Simon devient la 30e gouverneure générale du Canada,2021-07-07,27,https://www.ledevoir.com/politique/canada/616107/annonce-trudeau,2021-08-03 13:28:23,mixte
Kuujjuaq,député,2,La Presse,Le Québec de la laïcité: la vie de député au nord du Nord,,,https://www.lapresse.ca/actualites/regional/2019-05-22/le-quebec-de-la-laicite-la-vie-de-depute-au-nord-du-nord,2021-08-03 13:28:24,mixte
Kuujjuaq,député,3,Le Devoir,"Denis Lamothe, le député qui aimait la route",,,https://www.ledevoir.com/politique/quebec/540148/le-depute-qui-aimait-la-route,2021-08-03 13:28:24,mixte
Kuujjuaq,député,4,LaPresse.ca,"-45°C, «c'est bien normal» à Kuujjuaq",,,https://www.lapresse.ca/actualites/201501/07/01-4833117--45c-cest-bien-normal-a-kuujjuaq.php,2021-08-03 13:28:24,mixte
Kuujjuaq,député,5,Le Journal de Québec,Le gouvernement continue d'imposer le brûlage à ciel ouvert dans le nord du Québec,,,https://www.journaldequebec.com/2019/10/24/le-gouvernement-continue-dimposer-le-brulage-a-ciel-ouvert-dans-le-nord-du-quebec-1,2021-08-03 13:28:24,mixte
Kuujjuaq,député,6,ICI.Radio-Canada.ca,« On est vraiment déconnecté des élections » | Élections Québec 2018,,,https://ici.radio-canada.ca/nouvelle/1126064/ungava-nord-quebec-campagne-nunavik,2021-08-03 13:28:24,mixte
Kuujjuaq,député,7,ICI.Radio-Canada.ca,Début des travaux pour le nouveau centre de désintoxication inuit à Kuujjuaq au Nunavik,2021-01-21,194,https://ici.radio-canada.ca/espaces-autochtones/1259134/travaux-centre-dependance-nunavik,2021-08-03 13:28:25,mixte
Kuujjuaq,député,8,Radio-Canada.ca,Enseignement supérieur : des Autochtones racontent les embûches,2021-02-17,167,https://ici.radio-canada.ca/espaces-autochtones/1771232/universites-colleges-inuits-metis-isolement,2021-08-03 13:28:25,mixte
Kuujjuaq,député,9,La Voix de l'est - Groupe Capitales Médias,Agression sur la piste cyclable : un témoin recherché,2021-03-12,144,https://www.lavoixdelest.ca/actualites/agression-sur-la-piste-cyclable--un-temoin-recherche-130369a6b27d5c2f260f6182752bc81c,2021-08-03 13:28:25,mixte
Kuujjuaq,député,10,Le Soleil - Groupe Capitales Médias,"Relation avec les Autochtones: «C'est pas bien parti pantoute», selon Manon Massé",,,https://www.lesoleil.com/actualite/politique/relation-avec-les-autochtones-cest-pas-bien-parti-pantoute-selon-manon-masse-23eb92d916c455e5168c98a12318f227,2021-08-03 13:28:25,mixte
Kuujjuaq,député,11,Le Quotidien - Groupe Capitales Médias,Contrat de 20 M$ à Kuujjuaq pour une entreprise de Saint-Félicien,,,https://www.lequotidien.com/actualites/contrat-de-20-m-a-kuujjuaq-pour-une-entreprise-de-saint-felicien-e373267796669cdc296b277b58019238,2021-08-03 13:28:25,mixte
Kuujjuaq,député,12,LeLézard.com,Énergies Tarquti : L'Entreprise 100 % Inuit en action pour la transition du Nunavik vers des énergies propres,2021-04-01,124,https://www.lelezard.com/communique-19729730.html,2021-08-03 13:28:26,mixte
Kuujjuaq,député,13,ICI.Radio-Canada.ca,Stanley Vollant : De Compostelle à Kuujjuaq,,,https://ici.radio-canada.ca/nouvelle/1022184/stanley-vollant-film-compostelle-kuujjuaq-marche-documentaire-medecin-autochtone,2021-08-03 13:28:26,mixte
Kuujjuaq,député,14,Le Devoir,En campagne au nord du 49e parallèle,,,https://www.ledevoir.com/societe/404268/ungava-en-campagne-au-nord-du-49e-parallele,2021-08-03 13:28:26,mixte
Kuujjuaq,député,15,ICI.Radio-Canada.ca,Québec s'intéresse à la violence faite aux femmes autochtones,2021-01-21,194,https://ici.radio-canada.ca/espaces-autochtones/1101483/commission-relations-citoyens-violence-femmes-autochtones,2021-08-03 13:28:26,mixte
Kuujjuaq,député,16,ICI.Radio-Canada.ca,De nouvelles responsabilités pour la leader inuk Mary Simon,,,https://ici.radio-canada.ca/espaces-autochtones/1094575/autochtones-inuit-mary-simon-comite-recommandations-aires-marines-protegees,2021-08-03 13:28:27,mixte
Kuujjuaq,député,17,ICI.Radio-Canada.ca,Relations avec les Autochtones : Hydro-Québec garde le cap,2021-01-21,194,https://ici.radio-canada.ca/espaces-autochtones/1722585/hydro-quebec-julie-boucher-relations-autochtones-litige-consultation,2021-08-03 13:28:27,mixte
Kuujjuaq,député,18,CNW Telbec,"Aide financière à l'Administration régionale Kativik - Québec investit plus de 6,5 M$ pour soutenir deux projets de formation au Nunavik",,,https://www.newswire.ca/fr/news-releases/aide-financiere-a-ladministration-regionale-kativik----quebec-investit-plus-de-65-m-pour-soutenir-deux-projets-de-formation-au-nunavik-691278701.html,2021-08-03 13:28:27,mixte
Kuujjuaq,député,19,La Nouvelle Union,Rétrospective faits divers : juin marqué par un horrible drame,,,https://www.lanouvelle.net/2018/12/27/retrospective-faits-divers-juin-marque-par-un-horrible-drame/,2021-08-03 13:28:27,mixte
Kuujjuaq,député,20,Droit-Inc.com,Élections 2018 : 25 avocats dans la bataille électorale!,,,https://www.droit-inc.com/article23284-Elections-2018-25-avocats-dans-la-bataille-electorale,2021-08-03 13:28:28,mixte
Kuujjuaq,député,21,ICI.Radio-Canada.ca,Intervention policière mortelle au Nunavik : une mort évitable dit le coroner,2021-01-21,194,https://ici.radio-canada.ca/espaces-autochtones/1716047/intervention-policiere-mortelle-nunavik-mort-evitable-selon-coroner,2021-08-03 13:28:28,mixte
Kuujjuaq,député,22,LaPresse.ca,Épidémie de tuberculose dans le Grand Nord,,,https://www.lapresse.ca/actualites/sante/201207/11/01-4542574-epidemie-de-tuberculose-dans-le-grand-nord.php,2021-08-03 13:28:28,mixte
