Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
L'Islet,accident,1,La Presse,Deux travailleurs blessés dans un accident à L'Islet,2021-07-07,27,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-07-07/deux-travailleurs-blesses-dans-un-accident-a-l-islet.php,2021-08-03 12:32:54,local
L'Islet,accident,2,Le Journal de Québec,Chaudière-Appalaches: un mineur décédé dans un accident de motocross,2021-07-17,17,https://www.journaldequebec.com/2021/07/17/chaudiere-appalaches-un-conducteur-de-motocross-blesse-gravement,2021-08-03 12:32:54,local
L'Islet,accident,3,CIMT-CHAU,Grave accident de travail sur l'autoroute 20 à l'Islet,2021-07-09,25,https://cimtchau.ca/nouvelles/grave-accident-de-travail-sur-lautoroute-20-a-lislet/,2021-08-03 12:32:55,local
L'Islet,accident,4,ICI.Radio-Canada.ca,Collision mortelle dans la MRC de L'Islet : le coroner conclut à un accident,2021-04-02,123,https://ici.radio-canada.ca/nouvelle/1781997/rapport-coroner-accident-route-mort-train-canadien-national-chaudiere-appalaches,2021-08-03 12:32:55,local
L'Islet,accident,5,Le Journal de Québec,Chaudière-Appalaches: accident mortel à Saint-Jean-Port-Joli,2021-06-26,38,https://www.journaldequebec.com/2021/06/25/chaudiere-appalaches-accident-mortel-a-saint-jean-port-joli,2021-08-03 12:32:55,local
L'Islet,accident,6,Le Journal de Québec,Accident de travail: un sexagénaire décède à Saint-Adalbert,2021-02-08,176,https://www.journaldequebec.com/2021/02/08/accident-de-travail-un-sexagenaire-lutte-pour-sa-vie-a-saint-adalbert,2021-08-03 12:32:55,local
L'Islet,accident,7,Le Journal de Québec,Collision sur une voie ferrée: un automobiliste tué par un train dans L'Islet,2020-09-13,324,https://www.journaldequebec.com/2020/09/12/collision-mortelle-sur-une-voie-ferree-un-automobiliste-tue-par-un-train-dans-lislet,2021-08-03 12:32:55,local
L'Islet,accident,8,Le Journal de Québec,Facultés affaiblies: trois ans de prison pour avoir causé la mort de son ami,2020-10-21,286,https://www.journaldequebec.com/2020/10/21/accident-mortel-dans-la-mrc-de-lislet-le-conducteur-ecope-de-trois-ans-de-penitencier,2021-08-03 12:32:56,local
L'Islet,accident,9,Le Journal de Québec,Accident mortel dans la MRC de L'Islet: pas de rancœur pour celui qui aurait tué leur fils,,,https://www.journaldequebec.com/2020/02/05/accident-mortel-dans-la-mrc-de-lislet-le-chauffard-arrete,2021-08-03 12:32:56,local
L'Islet,accident,10,Le Soleil - Groupe Capitales Médias,Deux blessés dans une embardée à Sainte-Perpétue,2020-10-04,303,https://www.lesoleil.com/actualite/justice-et-faits-divers/deux-blesses-dans-une-embardee-a-sainte-perpetue-279c46386d4ffa565234d0b74feeeb48,2021-08-03 12:32:56,local
L'Islet,accident,11,La Voix du Sud,Un motoneigiste secouru à Saint-Magloire,2021-03-20,136,https://www.lavoixdusud.com/2021/03/20/un-motoneigiste-secouru-a-saint-magloire/,2021-08-03 12:32:57,local
L'Islet,accident,12,Le Peuple Lotbinière,La semaine policière en bref,2021-05-27,68,https://www.lepeuplelotbiniere.ca/1092/Faits_divers.html?id=83383,2021-08-03 12:32:57,local
L'Islet,accident,13,Le Nouvelliste - Groupe Capitales Médias,Accident mortel à Sainte-Perpétue: un homme de 75 ans perd la vie,2020-10-30,277,https://www.lenouvelliste.ca/actualites/justice-et-faits-divers/accident-mortel-a-sainte-perpetue-un-homme-de-75-ans-perd-la-vie-6742de8566c924c8cc0f5f7f0c32dbb9,2021-08-03 12:32:57,local
L'Islet,accident,14,Zone911,DERNIÈRE HEURE: Mesures spéciales d'urgence dans plusieurs MRC de la région de la Chaudière-Appalaches,2021-04-04,121,https://zone911.com/divers/30628-derniere-heure-mesures-speciales-d-urgence-dans-plusieurs-mrc-de-la-region-de-la-chaudiere-appalaches,2021-08-03 12:32:57,local
L'Islet,accident,15,Le Journal de Québec,Quatre blessés dans une collision en Chaudière-Appalaches,2020-10-03,304,https://www.journaldequebec.com/2020/10/03/quatre-blesses-dans-une-collision-en-chaudiere-appalaches,2021-08-03 12:32:57,local
L'Islet,accident,16,Le Soleil - Groupe Capitales Médias,Un homme de 19 ans perd la vie dans une sortie de route à L'Islet,,,https://www.lesoleil.com/actualite/justice-et-faits-divers/un-homme-de-19-ans-perd-la-vie-dans-une-sortie-de-route-a-lislet-4b4c80257f648cb325a380fdc476e9a0,2021-08-03 12:32:58,local
L'Islet,accident,17,CIMT-CHAU,Collision avec un chevreuil : Le député Bernard Généreux s'en sort indemne,2021-05-31,64,https://cimtchau.ca/nouvelles/collision-avec-une-chevrette-le-depute-bernard-genereux-sen-sort-indemne/,2021-08-03 12:32:58,local
L'Islet,accident,18,Zone911,"COVID-19 - Zones rouges pour les MRC de L'Islet, de Montmagny et des Etchemins",2020-10-30,277,https://zone911.com/divers/29958-covid-19-zones-rouges-pour-les-mrc-de-l-islet-de-montmagny-et-des-etchemins,2021-08-03 12:32:58,local
