Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Lac-Etchemin,"""premier ministre""",1,Beauce-Média,Main d'œuvre étrangère: des entreprises de la Beauce lancent un cri du cœur,2021-07-27,7,https://www.beaucemedia.ca/2021/07/27/main-doeuvre-etrangere-des-entreprises-de-la-beauce-lancent-un-cri-du-coeur/,2021-08-03 14:25:48,national
Lac-Etchemin,"""premier ministre""",2,La Voix du Sud,Retour en classe pour les élèves du secondaire en Beauce-Etchemin,2021-05-11,84,https://www.lavoixdusud.com/2021/05/11/retour-en-classe-pour-les-eleves-du-secondaire-en-beauce-etchemin/,2021-08-03 14:25:49,national
Lac-Etchemin,"""premier ministre""",3,La Voix du Sud,Bellechasse-Etchemins en zone orange lundi,2021-05-25,70,https://www.lavoixdusud.com/2021/05/25/bellechasse-etchemins-en-zone-orange-lundi/,2021-08-03 14:25:49,national
Lac-Etchemin,"""premier ministre""",4,Le Devoir,Quoi surveiller le 17 mai 2021?,2021-05-17,78,https://www.ledevoir.com/societe/602003/pour-votre-info-quoi-surveiller-aujourd-hui,2021-08-03 14:25:50,national
Lac-Etchemin,"""premier ministre""",5,Le Soleil - Groupe Capitales Médias,COVID-19: Québec de retour au rouge «normal» [VIDÉO],2021-05-04,91,https://www.lesoleil.com/actualite/covid-19/covid-19-quebec-de-retour-au-rouge-normal-video-a074015b2e2ad417cb4b7f6a4a9bfde0,2021-08-03 14:25:50,national
Lac-Etchemin,"""premier ministre""",6,La Voix du Sud,COVID-19 : Chaudière-Appalaches devient « rouge pâle »,2021-03-31,125,https://www.lavoixdusud.com/2021/03/31/covid-19-chaudiere-appalaches-devient-rouge-pale/,2021-08-03 14:25:50,national
Lac-Etchemin,"""premier ministre""",7,La Voix du Sud,"Actualités Chaudière-Appalaches passera en zone jaune, sauf…",2021-06-08,56,https://www.lavoixdusud.com/2021/06/08/chaudiere-appalaches-passera-en-zone-jaune-sauf/,2021-08-03 14:25:50,national
Lac-Etchemin,"""premier ministre""",8,La Voix du Sud,"Mesures spéciales: une semaine de plus en Beauce, Bellechasse et Etchemins",2021-04-08,117,https://www.lavoixdusud.com/2021/04/08/mesures-speciales-une-semaine-de-plus-en-beauce-bellechasse-et-etchemins/,2021-08-03 14:25:50,national
Lac-Etchemin,"""premier ministre""",9,La Voix du Sud,François Legault annonce une timide réouverture,2021-02-02,182,https://www.lavoixdusud.com/2021/02/02/francois-legault-annonce-une-timide-reouverture/,2021-08-03 14:25:51,national
Lac-Etchemin,"""premier ministre""",10,La Voix du Sud,COVID-19: rien de nouveau pour Chaudière-Appalaches,2021-04-06,119,https://www.lavoixdusud.com/2021/04/06/covid-19-rien-de-nouveau-pour-chaudiere-appalaches/,2021-08-03 14:25:51,national
Lac-Etchemin,"""premier ministre""",11,La Voix du Sud,Port du masque à l'extérieur: Legault précise le décret,2021-04-14,111,https://www.lavoixdusud.com/2021/04/14/port-du-masque-a-lexterieur-legault-precise-le-decret/,2021-08-03 14:25:52,national
Lac-Etchemin,"""premier ministre""",12,La Voix du Sud,Les écoles demeurent fermées dans Bellechasse-Etchemins et la Beauce,2021-04-27,98,https://www.lavoixdusud.com/2021/04/27/les-ecoles-demeurent-fermees-dans-bellechasse-etchemins-et-la-beauce/,2021-08-03 14:25:52,national
Lac-Etchemin,"""premier ministre""",13,ICI.Radio-Canada.ca,Chaudière-Appalaches : fin des mesures d'urgence lundi et déconfinement le 28 mai,2021-05-20,75,https://ici.radio-canada.ca/nouvelle/1794527/deconfinement-beauce-covid-19-mesures-urgence,2021-08-03 14:25:52,national
Lac-Etchemin,"""premier ministre""",14,Radio-Canada.ca,Pas de répit durant la relâche pour les employés de l'État,2021-02-22,162,https://ici.radio-canada.ca/nouvelle/1772352/incoherence-gouvernement-relache-conges-souplesse-francois-legault,2021-08-03 14:25:52,national
Lac-Etchemin,"""premier ministre""",15,La Voix du Sud,"Levée des mesures, sauf pour trois MRC",2021-05-04,91,https://www.lavoixdusud.com/2021/05/04/levee-des-mesures-sauf-pour-trois-mrc/,2021-08-03 14:25:52,national
Lac-Etchemin,"""premier ministre""",16,La Voix du Sud,Chaudière-Appalaches basculera en zone orange dès lundi,2021-03-03,153,https://www.lavoixdusud.com/2021/03/03/chaudiere-appalaches-basculera-en-zone-orange-des-lundi/,2021-08-03 14:25:53,national
Lac-Etchemin,"""premier ministre""",17,ICI.Radio-Canada.ca,"Les MRC des Etchemins, de L'Islet et de Montmagny évitent le palier rouge",2020-09-30,307,https://ici.radio-canada.ca/nouvelle/1737787/mrc-zone-orange-rouge-etchemins-lislet-montmagny,2021-08-03 14:25:53,national
Lac-Etchemin,"""premier ministre""",18,La Voix du Sud,Éclosion terminée au CHSLD de Saint-Raphaël,2021-02-11,173,https://www.lavoixdusud.com/2021/02/11/eclosion-terminee-au-chsld-de-saint-raphael/,2021-08-03 14:25:53,national
Lac-Etchemin,"""premier ministre""",19,La Voix du Sud,"Baisse des cas en Beauce, Bellechasse et Les Etchemins",2021-05-01,94,https://www.lavoixdusud.com/2021/05/01/baisse-des-cas-en-beauce-bellechasse-et-les-etchemins/,2021-08-03 14:25:53,national
Lac-Etchemin,"""premier ministre""",20,Radio-Canada.ca,Réouverture des écoles secondaires et des commerces non essentiels à Québec,2021-05-04,91,https://ici.radio-canada.ca/nouvelle/1790276/covid-19-capitale-nationale-chaudiere-appalaches-couvre-feu-mesures-sanitaires,2021-08-03 14:25:53,national
Lac-Etchemin,"""premier ministre""",21,ICI.Radio-Canada.ca,Nouveau bras de fer à l'Assemblée nationale concernant le 3e lien | 3e lien,2021-06-01,63,https://ici.radio-canada.ca/nouvelle/1797724/anglade-caire-caq-plq-contradictions-3e-lien-quebec-levis,2021-08-03 14:25:54,national
Lac-Etchemin,"""premier ministre""",22,L'Éclaireur Progrès,Enfin le palier orange pour Beauce-Sartigan et Robert-Cliche,2021-06-01,63,https://www.leclaireurprogres.ca/enfin-le-palier-orange-pour-beauce-sartigan-robert-cliche-et-les-etchemins/,2021-08-03 14:25:54,national
Lac-Etchemin,"""premier ministre""",23,ICI.Radio-Canada.ca,François Legault a « des scénarios » pour resserrer les mesures à Québec et en Beauce | Coronavirus,2021-03-31,125,https://ici.radio-canada.ca/nouvelle/1781118/premier-ministre-covid19-mesures-sanitaires-zone-rouge,2021-08-03 14:25:54,national
Lac-Etchemin,"""premier ministre""",24,ICI.Radio-Canada.ca,"Les écoles primaires rouvriront à Québec et Lévis, mais pas en Beauce",2021-04-28,97,https://ici.radio-canada.ca/nouvelle/1788396/ecole-quebec-levis-covid-reouverture-pandemie-capitale-nationale-chaudiere-appalaches,2021-08-03 14:25:54,national
Lac-Etchemin,"""premier ministre""",25,La Voix du Sud,Un tunnel de 7 MM$ entre Québec et Lévis d'ici 2032,2021-05-17,78,https://www.lavoixdusud.com/2021/05/17/un-tunnel-de-7-mm-entre-quebec-et-levis-dici-2032/,2021-08-03 14:25:54,national
Lac-Etchemin,climat,1,EnBeauce.com,Les cadets de Chaudière-Appalaches se surpassent,2021-07-16,18,https://www.enbeauce.com/actualites/societe/431819/les-cadets-de-chaudiere-appalaches-se-surpassent,2021-08-03 14:26:32,national
Lac-Etchemin,climat,2,La Voix du Sud,Saint-Michel: climat toujours tendu autour du presbytère,2021-02-14,170,https://www.lavoixdusud.com/2021/02/14/saint-michel-climat-toujours-tendu-autour-du-presbytere/,2021-08-03 14:26:32,national
Lac-Etchemin,climat,3,ICI.Radio-Canada.ca,Climat de travail « toxique » dénoncé à la Ville de Baie-Saint-Paul,2021-03-04,152,https://ici.radio-canada.ca/nouvelle/1774468/climat-travail-travaux-publics-ville-baie-saint-paul,2021-08-03 14:26:32,national
Lac-Etchemin,climat,4,La Voix du Sud,Marie-Ève Proulx démissionne,2021-05-04,91,https://www.lavoixdusud.com/2021/05/04/marie-eve-proulx-demissionne/,2021-08-03 14:26:32,national
Lac-Etchemin,climat,5,ICI.Radio-Canada.ca,La douceur des Fêtes inégalée de 1895,2020-12-24,222,https://ici.radio-canada.ca/nouvelle/1758724/noel-chaleur-douceur-temperature-1895-meteo-vert,2021-08-03 14:26:33,national
Lac-Etchemin,climat,6,ICI.Radio-Canada.ca,Tempête : les fermetures de routes se multiplient dans Chaudière-Appalaches,2021-02-02,182,https://ici.radio-canada.ca/nouvelle/1767722/tempete-vents-neige-quebec-beauce-montmagny,2021-08-03 14:26:33,national
Lac-Etchemin,climat,7,Le Soleil - Groupe Capitales Médias,"Cinq ans de turbulences à la Fondation du CHU de Québec, d'ex-employés dénoncent le climat de travail",2021-01-20,195,https://www.lesoleil.com/actualite/cinq-ans-de-turbulences-a-la-fondation-du-chu-de-quebec-dex-employes-denoncent-le-climat-de-travail-423447fa39052d5a9b3f5335f06dc941,2021-08-03 14:26:33,national
Lac-Etchemin,climat,8,ICI.Radio-Canada.ca,"Épisode de gel record, chaleur et temps très sec en mai à Québec",2021-06-02,62,https://ici.radio-canada.ca/nouvelle/1797941/bilan-meteo-mai-quebec-sec,2021-08-03 14:26:33,national
Lac-Etchemin,climat,9,ICI.Radio-Canada.ca,"Nettoyage, toilettes et éclairage pour améliorer la cohabitation près de Lauberivière",2021-05-27,68,https://ici.radio-canada.ca/nouvelle/1796306/itinerance-lauberiviere-quebec-solutions-labeaume,2021-08-03 14:26:33,national
Lac-Etchemin,climat,10,La Voix du Sud,CSSBE: Fermeture de toutes les écoles du 6 au 9 avril,2021-04-01,124,https://www.lavoixdusud.com/2021/04/01/cssbe-fermeture-de-toutes-les-ecoles-du-6-au-9-avril/,2021-08-03 14:26:33,national
Lac-Etchemin,climat,11,La Voix du Sud,Saint-Michel: une pétition dénonce des propos du maire,2021-02-18,166,https://www.lavoixdusud.com/2021/02/18/saint-michel-une-petition-denonce-des-propos-du-maire/,2021-08-03 14:26:34,national
Lac-Etchemin,climat,12,La Presse,Inondation en Beauce et rivières sous surveillance au Québec,,,https://www.lapresse.ca/actualites/regional/2019-04-14/inondation-en-beauce-et-rivieres-sous-surveillance-au-quebec,2021-08-03 14:26:34,national
Lac-Etchemin,climat,13,Le Quotidien - Groupe Capitales Médias,"Martine Ouellet crée un nouveau parti écologiste et souverainiste, «Climat Québec» [VIDÉO]",2021-05-14,81,https://www.lequotidien.com/actualites/politique/martine-ouellet-cree-un-nouveau-parti-ecologiste-et-souverainiste-climat-quebec-video-0d29587694f64183712587204456555d,2021-08-03 14:26:34,national
Lac-Etchemin,climat,14,ICI.Radio-Canada.ca,Les incendies de forêt émettent plus de composés cancérigènes que l'industrie,2020-12-15,231,https://ici.radio-canada.ca/nouvelle/1757134/incendie-forets-emission-air-cancerchimique-pollution,2021-08-03 14:26:34,national
Lac-Etchemin,climat,15,La Voix du Sud,Importants travaux routiers à Saint-Nérée,2021-05-28,67,https://www.lavoixdusud.com/2021/05/28/importants-travaux-routiers-a-saint-neree/,2021-08-03 14:26:35,national
Lac-Etchemin,climat,16,ICI.Radio-Canada.ca,Un mois de juin chaud et arrosé à Québec,2021-07-02,32,https://ici.radio-canada.ca/nouvelle/1806262/bilan-meteo-juin-quebec-precipitations-temperature,2021-08-03 14:26:35,national
Lac-Etchemin,climat,17,La Voix du Sud,Fermeture hâtive des écoles au CSS Côte-du-Sud,2021-02-02,182,https://www.lavoixdusud.com/2021/02/02/fermeture-hative-des-ecoles-au-css-cote-du-sud/,2021-08-03 14:26:35,national
Lac-Etchemin,climat,18,La Voix du Sud,Arénas de la région : bulles familiales et patinage libre au programme,2020-11-20,256,https://www.lavoixdusud.com/2020/11/20/arenas-de-la-region-bulles-familiales-et-patinage-libre-a-lhonneur/,2021-08-03 14:26:35,national
Lac-Etchemin,climat,19,La Voix du Sud,Météomédia prévoit un hiver hyperactif et propice aux redoux,2020-12-07,239,https://www.lavoixdusud.com/2020/12/07/meteomedia-prevoit-un-hiver-hyperactif-et-propice-aux-redoux/,2021-08-03 14:26:35,national
Lac-Etchemin,climat,20,Le Journal de Québec,Feu vert du gouvernement à une ligne d'Hydro-Québec vers le Maine,2021-04-14,111,https://www.journaldequebec.com/2021/04/14/feu-vert-du-gouvernement-a-une-ligne-dhydro-quebec-vers-le-maine,2021-08-03 14:26:36,national
