Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Laval,accident,1,Courrier Laval,Faits divers Accident majeur à cinq véhicules sur l'A-440 près de l'A-15,2021-07-15,19,https://courrierlaval.com/accident-majeur-a-cinq-vehicules-sur-la-440-pres-de-la-15/,2021-08-03 19:21:53,local
Laval,accident,2,France Bleu,"Deux véhicules impliqués dans un accident de la route à Athée, trois blessés",2021-07-31,3,https://www.francebleu.fr/infos/faits-divers-justice/deux-vehicules-impliques-dans-un-accident-de-la-route-a-athee-trois-blesses-1627748128,2021-08-03 19:21:54,local
Laval,accident,3,Courrier Laval,Violent accident entre une moto et un conducteur filmé dans Vimont,2021-07-19,15,https://courrierlaval.com/violent-accident-entre-une-moto-et-un-conducteur-dans-vimont/,2021-08-03 19:21:54,local
Laval,accident,4,France Bleu,"Deux accidents de la route spectaculaires en Mayenne, un blessé grave",2021-07-16,18,https://www.francebleu.fr/infos/faits-divers-justice/deux-accidents-de-la-route-spectaculaires-en-mayenne-un-blesse-grave-1626457358,2021-08-03 19:21:54,local
Laval,accident,5,actu.fr,Accident sur la RN 162 entre Laval et Château-Gontier : cinq blessés légers,2021-07-07,27,https://actu.fr/pays-de-la-loire/entrammes_53094/accident-sur-la-rn-162-entre-laval-et-chateau-gontier-cinq-blesses-legers_43284853.html,2021-08-03 19:21:54,local
Laval,accident,6,Ouest-France éditions locales,Mayenne. Une femme de 34 ans décède après un choc frontal avec un camion à Saint-Berthevin,2021-07-08,26,https://amp.ouest-france.fr/pays-de-la-loire/saint-berthevin-53940/saint-berthevin-une-femme-de-34-ans-decede-apres-un-choc-frontal-avec-un-camion-4157ae30-dfc0-11eb-9cb0-6e5656ec3200,2021-08-03 19:21:55,local
Laval,accident,7,Courrier Laval,Faits divers Attention aux ados en scooter!,2021-07-12,22,https://courrierlaval.com/attention-aux-ados-en-scooter/,2021-08-03 19:21:55,local
Laval,accident,8,Ouest-France,Orne. Accident mortel sur l’A88 : le conducteur d’un poids lourd mayennais est décédé,2021-08-02,1,https://amp.ouest-france.fr/normandie/moulins-sur-orne-61200/moulins-sur-orne-accident-mortel-sur-l-a88-le-conducteur-d-un-poids-lourd-est-decede-582d756c-f35d-11eb-8c62-f69d472af1e0,2021-08-03 19:21:55,local
Laval,accident,9,TVA Nouvelles,Accident nautique: sa conjointe l'a vu sombrer dans le fleuve,2021-07-11,23,https://www.tvanouvelles.ca/2021/07/11/accident-nautique-sa-conjointe-la-vu-sombrer-dans-le-fleuve,2021-08-03 19:21:56,local
Laval,accident,10,TVA Nouvelles,Homme disparu près des rapides de Lachine: les recherches reprennent dimanche,2021-07-11,23,https://www.tvanouvelles.ca/2021/07/11/homme-chavire-pres-des-rapides-de-lachine-les-recherches-reprennent-dimanche,2021-08-03 19:21:56,local
Laval,accident,11,Ouest-France,Près de Vitré. Deux véhicules impliqués dans un accident,2021-07-06,28,https://www.ouest-france.fr/bretagne/saint-mherve-35500/pres-de-vitre-deux-vehicules-impliques-dans-un-accident-87f1461a-de87-11eb-9bd1-ace01374a160,2021-08-03 19:21:56,local
Laval,accident,12,Transport Routier,Mémoire de maîtrise sur la santé mentale des camionneurs et le stress post traumatique,2021-07-26,8,https://www.transportroutier.ca/nouvelles/etude-sur-la-sante-mentale-des-camionneurs-et-le-stress-post-traumatique-a-la-suite-dun-accident-grave/,2021-08-03 19:21:57,local
Laval,accident,13,Le Progrès,Métropole de Lyon | Info trafic: temps de parcours triplé sur l'A7 en direction du sud,2021-07-31,3,https://www.leprogres.fr/transport/2021/07/31/info-trafic-vos-conditions-de-circulation-ce-samedi-31-juillet-dans-l-agglomeration-lyonnaise,2021-08-03 19:21:57,local
Laval,accident,14,France 3 Régions,"Haute-Vienne : une femme et un enfant de 9 ans tués dans un accident sur la RN 145, le père et un bébé hospita",2021-07-07,27,https://france3-regions.francetvinfo.fr/nouvelle-aquitaine/haute-vienne/haute-vienne-une-famille-impliquee-dans-un-accident-mortel-sur-la-rn145-2171200.amp,2021-08-03 19:21:57,local
Laval,accident,15,Courrier Laval,Hausse marquée des noyades prévient Urgences-santé,2021-07-06,28,https://courrierlaval.com/hausse-marquee-des-noyades-previent-urgences-sante/,2021-08-03 19:21:58,local
Laval,accident,16,Courrier Laval,Accident grave et incendie boulevard Industriel,2021-06-21,43,https://courrierlaval.com/accident-grave-et-incendie-boulevard-industriel/,2021-08-03 19:21:58,local
Laval,accident,17,Franceinfo,"Accident mortel en gare de Massy : un drame, et de nombreuses questions",2021-07-26,8,https://www.francetvinfo.fr/economie/transports/sncf/accident-mortel-en-gare-de-massy-un-drame-et-de-nombreuses-questions_4717047.html,2021-08-03 19:21:58,local
Laval,accident,18,Courrier Laval,Rage au volant et accident spectaculaire sur l'A-13,2021-03-26,130,https://courrierlaval.com/rage-au-volant-et-accident-spectaculaire-sur-la-13/,2021-08-03 19:21:58,local
Laval,accident,19,Courrier Laval,Accident mortel impliquant quatre véhicules dans Saint-Vincent-de-Paul,2021-02-12,172,https://courrierlaval.com/accident-mortel-impliquant-quatre-vehicules-dans-saint-vincent-de-paul/,2021-08-03 19:21:58,local
Laval,accident,20,France Bleu,Trois blessés et d'importants ralentissements à Laval après un accident de la route,2021-01-22,193,https://www.francebleu.fr/infos/faits-divers-justice/trois-blesses-et-d-importants-ralentissement-a-laval-apres-un-accident-de-la-route-1611336255,2021-08-03 19:21:59,local
Laval,accident,21,Courrier Laval,Plusieurs blessés dans une collision sur l'A-440,2021-06-18,46,https://courrierlaval.com/plusieurs-blesses-dans-une-collision-sur-la-440/,2021-08-03 19:21:59,local
Laval,accident,22,Courrier Laval,L'accident nautique sur la rivière des Prairies s'avère mortel,2021-06-21,43,https://courrierlaval.com/laccident-nautique-sur-la-riviere-des-prairies-savere-mortel/,2021-08-03 19:21:59,local
Laval,accident,23,Courrier Laval,Passagère blessée dans un accident en sortant de l'A-440,2021-06-25,39,https://courrierlaval.com/blesse-dans-un-accident-en-sortant-de-la-440/,2021-08-03 19:21:59,local
Laval,accident,24,Ouest-France,Laval. Quatre blessés dont un grave dans un accident près de l’Espace Mayenne,2020-10-26,281,https://amp.ouest-france.fr/pays-de-la-loire/laval-53000/laval-ralentissements-autour-de-l-espace-mayenne-apres-un-accident-de-la-route-7030103,2021-08-03 19:22:00,local
Laval,accident,25,Courrier Laval,Un ouvrier s'enflamme sur un chantier de Laval,2021-02-18,166,https://courrierlaval.com/un-ouvrier-senflamme-sur-un-chantier-de-laval/,2021-08-03 19:22:00,local
Laval,décès OR mort,1,Courrier Laval,Mort suspecte d'un enfant de quatre ans à Laval-des-Rapides,2021-07-11,23,https://courrierlaval.com/mort-suspecte-dun-enfant-de-quatre-ans-a-laval-des-rapides/,2021-08-03 19:22:39,local
Laval,décès OR mort,2,Le Journal de Montréal,La chaleur a coûté la vie à des dizaines de Québécois,2021-07-10,24,https://www.journaldemontreal.com/2021/07/10/la-chaleur-a-coute-la-vie-a-des-dizaines-de-quebecois,2021-08-03 19:22:39,local
Laval,décès OR mort,3,Courrier Laval,Faits divers Accident majeur à cinq véhicules sur l'A-440 près de l'A-15,2021-07-15,19,https://courrierlaval.com/accident-majeur-a-cinq-vehicules-sur-la-440-pres-de-la-15/,2021-08-03 19:22:39,local
Laval,décès OR mort,4,La Presse,Bel-Habitat | Une faillite aux « apparences douteuses »,2021-07-11,23,https://www.lapresse.ca/actualites/2021-07-11/bel-habitat/une-faillite-aux-apparences-douteuses.php,2021-08-03 19:22:39,local
Laval,décès OR mort,5,iHeartRadio,COVID-19 : Tout ce qu'il faut savoir ce mardi 3 août,2021-08-03,0,https://www.iheartradio.ca/energie/energie-montreal/nouvelles/covid-19-tout-ce-qu-il-faut-savoir-ce-mardi-3-aout-1.15767841,2021-08-03 19:22:40,local
Laval,décès OR mort,6,La Presse,Noyades | Explosion d'appels au 9-1-1 en juin,2021-07-06,28,https://www.lapresse.ca/actualites/2021-07-06/noyades/explosion-d-appels-au-9-1-1-en-juin.php,2021-08-03 19:22:40,local
Laval,décès OR mort,7,TVA Nouvelles,Homme disparu près des rapides de Lachine: les recherches reprennent dimanche,2021-07-11,23,https://www.tvanouvelles.ca/2021/07/11/homme-chavire-pres-des-rapides-de-lachine-les-recherches-reprennent-dimanche,2021-08-03 19:22:40,local
Laval,décès OR mort,8,France Bleu,"VIDÉO - Plus de 700 personnes à une rave party à Vaiges, près de Laval",2021-08-01,2,https://www.francebleu.fr/infos/faits-divers-justice/rave-party-vaiges-mayenne-1627812601,2021-08-03 19:22:40,local
Laval,décès OR mort,9,Courrier Laval,Violent accident entre une moto et un conducteur filmé dans Vimont,2021-07-19,15,https://courrierlaval.com/violent-accident-entre-une-moto-et-un-conducteur-dans-vimont/,2021-08-03 19:22:40,local
Laval,décès OR mort,10,La Presse,Bilan de la COVID-19 au Québec | 103 nouveaux cas et aucun décès,2021-07-21,13,https://www.lapresse.ca/covid-19/2021-07-21/bilan-de-la-covid-19-au-quebec/103-nouveaux-cas-et-aucun-deces.php,2021-08-03 19:22:41,local
Laval,décès OR mort,11,La Presse,Vague de reconnaissance | La Presse,2021-08-02,1,https://www.lapresse.ca/actualites/chroniques/2021-08-02/vague-de-reconnaissance.php,2021-08-03 19:22:41,local
Laval,décès OR mort,12,Courrier Laval,Les pompiers seront premiers répondants en 2022,2021-07-23,11,https://courrierlaval.com/les-pompiers-seront-premiers-repondants-en-2022/,2021-08-03 19:22:41,local
Laval,décès OR mort,13,NecrologieCanada,Louis Hache 19242020,2021-07-27,7,https://necrocanada.com/deces-2021/louis-hache-19242020/,2021-08-03 19:22:41,local
Laval,décès OR mort,14,TVA Nouvelles,Décès d'un quinquagénaire à Laval: pas d'accusations contre les policiers impliqués lors de l'intervention,2021-05-30,65,https://www.tvanouvelles.ca/2021/05/30/deces-dun-quinquagenaire-a-laval-pas-daccusations-contre-les-policiers-impliques-lors-de-lintervention-1,2021-08-03 19:22:41,local
Laval,décès OR mort,15,Le Journal de Montréal,Mère accusée de négligence pour le décès de sa fille à Laval,2021-01-15,200,https://www.journaldemontreal.com/2021/01/15/mort-atroce-a-laval-la-mere-de-la-fillette-de-7-ans-arretee-1,2021-08-03 19:22:42,local
Laval,décès OR mort,16,Le Devoir,Un quartier ébranlé par la «mort suspecte» d'une fillette à Laval,2021-01-05,210,https://www.ledevoir.com/societe/592675/mort-d-une-fillette-a-laval-le-quartier-sous-le-choc,2021-08-03 19:22:42,local
Laval,décès OR mort,17,L'Obs,"Après trois jours de fête, les teufeurs de la rave party en Isère quittent les lieux",2021-08-03,0,https://www.nouvelobs.com/societe/20210803.OBS47180/apres-trois-jours-de-fete-les-teufeurs-de-la-rave-party-en-isere-quittent-les-lieux.html,2021-08-03 19:22:42,local
Laval,décès OR mort,18,La Presse,Le BEI enquêtera sur la femme retrouvée morte à Laval,2021-02-21,163,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-02-21/le-bei-enquetera-sur-la-femme-retrouvee-morte-a-laval.php,2021-08-03 19:22:42,local
