Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Maniwaki,"""premier ministre""",1,ICI.Radio-Canada.ca,L'importance de renommer la promenade Sir-John-A.-Macdonald pour Albert Dumont,2021-06-09,55,https://ici.radio-canada.ca/nouvelle/1800058/albert-dumont-petition-changement-nom-promenade-importance,2021-08-03 10:01:48,national
Maniwaki,"""premier ministre""",2,ICI.Radio-Canada.ca,Québec annonce de nouvelles restrictions en zone rouge qui toucheront l'Outaouais,2021-04-07,118,https://ici.radio-canada.ca/nouvelle/1782759/mesures-covid-restrictions-zone-rouge-outaouais,2021-08-03 10:01:48,national
Maniwaki,"""premier ministre""",3,Le Droit - Groupe Capitales Médias,Crise à la SOPFEU de Maniwaki: une intervention de Québec demandée,2021-06-12,52,https://www.ledroit.com/actualites/crise-a-la-sopfeu-de-maniwaki-une-intervention-de-quebec-demandee-03ccaee37fd0109a2105ac57c5af0d9e,2021-08-03 10:01:49,national
Maniwaki,"""premier ministre""",4,ICI.Radio-Canada.ca,La Ville d'Ottawa envisage de renommer l'avenue Langevin pour honorer un chef autochtone,2021-01-26,189,https://ici.radio-canada.ca/nouvelle/1765607/reconciliation-peuples-autochtones-ottawa-langevin-william-commanda-changement-nom,2021-08-03 10:01:49,national
Maniwaki,"""premier ministre""",5,Radio-Canada.ca,Violence conjugale : l'histoire de la tasse à café de Maniwaki,2021-04-16,109,https://ici.radio-canada.ca/espaces-autochtones/1783090/violence-conjugale-halte-femme-auberge-draveur-maniwaki-autochtones,2021-08-03 10:01:49,national
Maniwaki,"""premier ministre""",6,ICI.Radio-Canada.ca,Plan de déconfinement du Québec : enthousiasme et soulagement en Outaouais,2021-05-18,77,https://ici.radio-canada.ca/nouvelle/1794245/deconfinement-quebec-reactions-outaouais-covid,2021-08-03 10:01:49,national
Maniwaki,"""premier ministre""",7,ICI.Radio-Canada.ca,Les mesures d'urgence encore prolongées en Outaouais | Coronavirus,2021-04-20,105,https://ici.radio-canada.ca/nouvelle/1786440/confinement-zone-rouge-outaouais-mesures-urgence-covid-legault,2021-08-03 10:01:50,national
Maniwaki,"""premier ministre""",8,Le Droit - Groupe Capitales Médias,La mairesse de Maniwaki atteinte de la COVID-19 | COVID-19 | Actualités,2020-11-05,271,https://www.ledroit.com/actualites/covid-19/la-mairesse-de-maniwaki-atteinte-de-la-covid-19-4a1b9fe4254a28bcb5fcbe2b33146621,2021-08-03 10:01:50,national
Maniwaki,"""premier ministre""",9,Le Droit - Groupe Capitales Médias,Aide-toi et le ciel t'aidera | Patrick Duquette | Chroniques,2021-03-31,125,https://www.ledroit.com/chroniques/patrick-duquette/aide-toi-et-le-ciel-taidera-7e153b9f2c5b9a801585ac1c7db4a6ba,2021-08-03 10:01:50,national
Maniwaki,"""premier ministre""",10,ICI.Radio-Canada.ca,Des partisans réunis près du Centre Bell pour le premier match en Floride,2021-06-29,35,https://ici.radio-canada.ca/nouvelle/1805207/lightning-canadien-policiers-spectateurs-spvm-centre-bell,2021-08-03 10:01:50,national
Maniwaki,"""premier ministre""",11,Le Soleil - Groupe Capitales Médias,Une démission de ministre d'un... «commun accord»,2021-05-04,91,https://www.lesoleil.com/chroniques/une-demission-de-ministre-dun-commun-accord-b2edd5e503ff2036ec5ec66dbcd9d81b,2021-08-03 10:01:50,national
Maniwaki,"""premier ministre""",12,Le Droit - Groupe Capitales Médias,COVID-19: La MRC de la Vallée-de-la-Gatineau demande un assouplissement pour les commerçants,2021-02-01,183,https://www.ledroit.com/actualites/covid-19/covid-19-la-mrc-de-la-vallee-de-la-gatineau-demande-un-assouplissement-pour-les-commercants-9bdb193e663657f33e977976ad56b716,2021-08-03 10:01:50,national
Maniwaki,"""premier ministre""",13,Radio-Canada.ca,Technique d'étranglement : Legault réclame « que ça ne se fasse plus »,2021-06-18,46,https://ici.radio-canada.ca/nouvelle/1802705/spvm-montreal-video-genou-reaction-legault-plante-coderre-enquete,2021-08-03 10:01:51,national
Maniwaki,"""premier ministre""",14,Radio-Canada.ca,L'ambassadrice Isabelle Hudon revient au pays pour diriger la BDC,2021-04-30,95,https://ici.radio-canada.ca/nouvelle/1789073/isabelle-hudon-ambassade-france-presidente-bdc,2021-08-03 10:01:51,national
