Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Mont-Joli,élection OR campagne,1,Mon Matane,Éphémérides du 28 juillet : Benoît Bouffard qui deviendra un grand Matanais voit le jour en 1935,2021-07-28,6,https://monmatane.com/ephemerides-du-28-juillet-benoit-bouffard-qui-deviendra-un-grand-matanais-voit-le-jour-en-1935/,2021-08-03 09:30:14,mixte
Mont-Joli,élection OR campagne,2,L'Avantage Rimouski,Club Lions de Mont-Joli,2021-06-04,60,https://www.lavantage.qc.ca/article/2021/06/04/club-lions-de-mont-joli,2021-08-03 09:30:14,mixte
Mont-Joli,élection OR campagne,3,ICI.Radio-Canada.ca,D'une épidémie à la pandémie : les leçons du sanatorium de Mont-Joli,2021-02-24,160,https://ici.radio-canada.ca/recit-numerique/1719/sanatorium-mont-joli-epidemie-tuberculose-coronavirus-lecons-temoignage-histoire,2021-08-03 09:30:14,mixte
Mont-Joli,élection OR campagne,4,L'Avantage Rimouski,L'aéroport de Mont-Joli reçoit 11 M$ du gouvernement du Canada,2021-05-12,83,https://www.lavantage.qc.ca/article/2021/05/12/l-aeroport-de-mont-joli-recoit-11-m-du-gouvernement-du-canada,2021-08-03 09:30:15,mixte
Mont-Joli,élection OR campagne,5,ICI.Radio-Canada.ca,Vaccins : la famille d'abord dans une résidence pour personnes âgées de Mont-Joli,2021-04-20,105,https://ici.radio-canada.ca/nouvelle/1785416/vaccination-covid-19-favoritisme-famille-mont-joli-rpa-villa-marionniers,2021-08-03 09:30:15,mixte
Mont-Joli,élection OR campagne,6,L'Avantage Rimouski,08 mai 2021 Une Maison Gilles-Carle à Mont-Joli,2021-05-08,87,https://www.lavantage.qc.ca/article/2021/05/08/une-maison-gilles-carle-a-mont-joli,2021-08-03 09:30:15,mixte
Mont-Joli,élection OR campagne,7,L'Avantage Rimouski,"Faute d'effectifs, l'urgence de l'hôpital de Mont-Joli fermera plus tôt les fins de semaine",2021-06-25,39,https://www.lavantage.qc.ca/article/2021/06/25/faute-d-effectifs-l-urgence-de-l-hopital-de-mont-joli-fermera-plus-tot-les-fins-de-semaine,2021-08-03 09:30:15,mixte
Mont-Joli,élection OR campagne,8,L'Avantage Rimouski,Mont-Joli recherche des artistes pour ses « Mercredis quartiers »,2021-05-27,68,https://www.lavantage.qc.ca/article/2021/05/27/mont-joli-recherche-des-artistes-pour-ses-mercredis-quartiers,2021-08-03 09:30:15,mixte
Mont-Joli,élection OR campagne,9,L'Avantage Rimouski,"Service des loisirs, de la culture et de la vie communautaire de Mont-Joli",2021-06-28,36,https://www.lavantage.qc.ca/article/2021/06/28/service-des-loisirs-de-la-culture-et-de-la-vie-communautaire-de-mont-joli,2021-08-03 09:30:16,mixte
Mont-Joli,élection OR campagne,10,L'Avantage Rimouski,Mont-Joli a maintenant sa politique environnementale,2021-04-22,103,https://www.lavantage.qc.ca/article/2021/04/22/mont-joli-a-maintenant-sa-politique-environnementale,2021-08-03 09:30:16,mixte
