Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Mont-Laurier,accident,1,La Presse,Accident à Mont-Laurier | Un homme se blesse après avoir refusé de s'arrêter à un barrage policier,2021-07-18,16,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-07-18/accident-a-mont-laurier/un-homme-se-blesse-apres-avoir-refuse-de-s-arreter-a-un-barrage-policier.php,2021-08-03 08:31:53,local
Mont-Laurier,accident,2,La Presse,Accident de VTT dans la réserve faunique La Vérendrye | La conductrice de 14 ans dans un état critique,2021-07-07,27,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-07-07/accident-de-vtt-dans-la-reserve-faunique-la-verendrye/la-conductrice-de-14-ans-dans-un-etat-critique.php,2021-08-03 08:31:53,local
Mont-Laurier,accident,3,ICI.Radio-Canada.ca,Mort de Michaël Bédard : pas d'accusations contre le policier impliqué dans l'accident,2021-07-22,12,https://ici.radio-canada.ca/nouvelle/1810992/accident-mortel-route-dpcp-amos-route-117,2021-08-03 08:31:54,local
Mont-Laurier,accident,4,TVA Nouvelles,La mort tant redoutée survient sur une route dangereuse,2021-07-12,22,https://www.tvanouvelles.ca/2021/07/12/la-mort-tant-redoutee-survient-sur-une-route-dangereuse-1,2021-08-03 08:31:54,local
Mont-Laurier,accident,5,TVA Nouvelles,Collision mortelle causée par une voiture de la SQ sur la 117,2020-10-13,294,https://www.tvanouvelles.ca/2020/10/13/collision-frontale-pour-une-voiture-de-la-sq-sur-la-117,2021-08-03 08:31:54,local
Mont-Laurier,accident,6,La Presse,Laurentides | Un accident de VTT fait un blessé grave,2021-06-26,38,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-06-26/laurentides/un-accident-de-vtt-fait-un-blesse-grave.php,2021-08-03 08:31:54,local
Mont-Laurier,accident,7,La Presse,Incendie majeur à Mont-Laurier | La Presse,2021-05-14,81,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-05-14/incendie-majeur-a-mont-laurier.php,2021-08-03 08:31:54,local
Mont-Laurier,accident,8,L’actualité,Mont-Laurier: signalements d'un conducteur téméraire avant une sortie de route,2020-11-08,268,https://lactualite.com/actualites/mont-laurier-signalements-dun-conducteur-temeraire-avant-une-sortie-de-route/,2021-08-03 08:31:55,local
Mont-Laurier,accident,9,La Presse,Mont-Laurier | Un homme porté disparu depuis mercredi,2021-05-07,88,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-05-07/mont-laurier/un-homme-porte-disparu-depuis-mercredi.php,2021-08-03 08:31:55,local
Mont-Laurier,accident,10,La Presse,"Mort de Jerry Trempe | « C'est magique, ce qu'il faisait »",2021-05-31,64,https://www.lapresse.ca/sports/hockey/2021-05-31/mort-de-jerry-trempe/c-est-magique-ce-qu-il-faisait.php,2021-08-03 08:31:55,local
