Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Ormstown,élection OR campagne,1,INFOSuroit.com,Des sites de vaccination à venir à Vaudreuil-Dorion et Ormstown,2021-02-25,159,https://www.infosuroit.com/des-sites-de-vaccination-a-venir-a-vaudreuil-dorion-et-ormstown/,2021-08-03 09:41:48,mixte
Ormstown,élection OR campagne,2,Le Journal Saint-François,L'EXPO Ormstown de retour à l'automne,2021-06-15,49,https://www.journalsaint-francois.ca/expo-ormstown-2021-de-retour-automne/,2021-08-03 09:41:48,mixte
Ormstown,élection OR campagne,3,Le Journal Saint-François,La nouvelle clinique médicale de Ormstown prête à recevoir des patients,2021-01-29,186,https://www.journalsaint-francois.ca/la-nouvelle-clinique-medicale-de-ormstown-prete-a-recevoir-des-patients/,2021-08-03 09:41:48,mixte
Ormstown,élection OR campagne,4,Le Journal Saint-François,La future bibliothèque d'Ormstown pourrait coûter près de 2 millions $,2020-09-30,307,https://www.journalsaint-francois.ca/la-future-bibliotheque-dormstown-pourrait-couter-pres-de-2-millions/,2021-08-03 09:41:48,mixte
Ormstown,élection OR campagne,5,Le Journal Saint-François,COVID-19: clinique de dépistage mobile à Ormstown,2020-10-10,297,https://www.journalsaint-francois.ca/covid-19-clinique-de-depistage-mobile-a-ormstown/,2021-08-03 09:41:48,mixte
Ormstown,élection OR campagne,6,Le Journal Saint-François,Un trou d'un coup à Ormstown,2021-06-02,62,https://www.journalsaint-francois.ca/Un-trou-dun-coup-a-Ormstown/,2021-08-03 09:41:49,mixte
Ormstown,élection OR campagne,7,Le Journal Saint-François,La fin d'une époque : le Centre médical d'Ormstown ferme définitivement,2021-04-12,113,https://www.journalsaint-francois.ca/la-fin-dune-epoque-le-centre-medical-dormstown-ferme-definitivement/,2021-08-03 09:41:49,mixte
Ormstown,élection OR campagne,8,Le Journal de Montréal,Ormstown: il tue sa femme et retourne l'arme contre lui,,,https://www.journaldemontreal.com/2020/06/12/deux-septuagenaires-trouves-sans-vie-a-ormstown-1,2021-08-03 09:41:49,mixte
Ormstown,élection OR campagne,9,Le Journal Saint-François,Capté à 153 km/h sur la route 138 à Ormstown,2021-07-08,26,https://www.journalsaint-francois.ca/Capte-a-153-km-h-sur-la-route-138-a-Ormstown/,2021-08-03 09:41:49,mixte
Ormstown,élection OR campagne,10,VIVA média,Pour savoir où seront les cliniques de vaccination | VIVA MÉDIA,2021-02-26,158,https://www.viva-media.ca/la-voix-regionale-vaudreuil-soulanges/actualite-vs/regionale-vs/ou-seront-les-cliniques-de-vaccination/,2021-08-03 09:41:50,mixte
