Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Saint-Henri,élection OR campagne,1,Le Quotidien - Groupe Capitales Médias,Le vote par correspondance divise à Saint-Henri-de-Taillon,2021-07-25,9,https://www.lequotidien.com/actualites/le-vote-par-correspondance-divise-a-saint-henri-de-taillon-85a957550fd35469c566a5f57142a536,2021-08-03 09:29:57,mixte
Saint-Henri,élection OR campagne,2,Le journal de Lévis,Dans l'œil de Michel - Chronique du 28 juillet 2021,2021-07-28,6,https://www.journaldelevis.com/1298/%C3%80_la_une_aujourd_hui.html?id=81207,2021-08-03 09:29:57,mixte
Saint-Henri,élection OR campagne,3,La Nouvelle Union,Harold Poisson sollicitera un nouveau mandat à Saint-Rosaire,2021-07-30,4,https://www.lanouvelle.net/2021/07/30/harold-poisson-sollicitera-un-nouveau-mandat-a-saint-rosaire/,2021-08-03 09:29:58,mixte
Saint-Henri,élection OR campagne,4,Journal Le Lac St-Jean,André Paradis accuse Donald Pilote de faire une campagne négative,2021-04-29,96,https://lelacstjean.com/actualite/andre-paradis-accuse-donald-pilote-de-faire-une-campagne-negative/,2021-08-03 09:29:58,mixte
Saint-Henri,élection OR campagne,5,Ouest-France éditions locales,Cap sur Saint-Brevin-les-Pins et Frossay,2021-08-02,1,https://www.ouest-france.fr/economie/tourisme/guide-ete/cap-sur-saint-brevin-les-pins-et-frossay-3994c206-eeec-11eb-8fb3-44cfaeb2c880,2021-08-03 09:29:58,mixte
Saint-Henri,élection OR campagne,6,Le Peuple Lotbinière,Le conseil des maires en bref,2021-07-15,19,https://www.lepeuplelotbiniere.ca/1066/Sports_et_loisirs.html?id=93541,2021-08-03 09:29:59,mixte
Saint-Henri,élection OR campagne,7,Journal Le Lac St-Jean,André Paradis met fin à sa carrière politique,2021-05-05,90,https://lelacstjean.com/actualite/andre-paradis-met-fin-a-sa-carriere-politique/,2021-08-03 09:29:59,mixte
Saint-Henri,élection OR campagne,8,Journal Le Lac St-Jean,Saint-Henri-de-Taillon : Donald Pilote sera candidat à la mairie,2020-10-16,291,https://lelacstjean.com/actualite/saint-henri-de-taillon-donald-pilote-sera-candidat-a-la-mairie/,2021-08-03 09:30:00,mixte
Saint-Henri,élection OR campagne,9,Ouest-France,Mayenne – Quand la Mayenne était une véritable mine d'or,2021-08-01,2,https://www.ouest-france.fr/pays-de-la-loire/le-genest-saint-isle-53940/quand-la-mayenne-etait-une-veritable-mine-d-or-6dccee9c-dff4-11eb-b44c-63c2df644ddd,2021-08-03 09:30:00,mixte
Saint-Henri,élection OR campagne,10,Journal Métro,Un lieu de vaccination temporaire dans Saint-Henri,2021-04-19,106,https://journalmetro.com/local/sud-ouest/2632991/un-lieu-de-vaccination-temporaire-dans-saint-henri/,2021-08-03 09:30:00,mixte
