Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Vaudreuil-Dorion,élection OR campagne,1,VIVA média,Le Parti de l'action de Vaudreuil-Dorion présente ses candidats | VIVA MÉDIA,2021-07-27,7,https://www.viva-media.ca/la-voix-regionale-vaudreuil-soulanges/actualite-vs/politique-vs/municipale-vs/le-parti-de-laction-de-vaudreuil-dorion-presente-ses-candidats/,2021-08-03 13:40:53,mixte
Vaudreuil-Dorion,élection OR campagne,2,INFOSuroit.com,Guy Pilon dévoile les candidats du Parti action Vaudreuil-Dorion,2021-07-14,20,https://www.infosuroit.com/guy-pilon-devoile-les-candidats-du-parti-action-vaudreuil-dorion/,2021-08-03 13:40:53,mixte
Vaudreuil-Dorion,élection OR campagne,3,Le Droit - Groupe Capitales Médias,Katerine Martineau : l'insouciante adolescence | Arts,2021-08-02,1,https://www.ledroit.com/arts/katerine-martineau--linsouciante-adolescence-eed28d297f7f9fd00c0fd9602e8db3c9,2021-08-03 13:40:53,mixte
Vaudreuil-Dorion,élection OR campagne,4,INFOSuroit.com,Vaudreuil-Dorion lance la campagne Ma bibliothèque,2021-02-18,166,https://www.infosuroit.com/vaudreuil-dorion-lance-la-campagne-ma-bibliotheque/,2021-08-03 13:40:54,mixte
Vaudreuil-Dorion,élection OR campagne,5,INFOSuroit.com,Des sites de vaccination à venir à Vaudreuil-Dorion et Ormstown,2021-02-25,159,https://www.infosuroit.com/des-sites-de-vaccination-a-venir-a-vaudreuil-dorion-et-ormstown/,2021-08-03 13:40:54,mixte
Vaudreuil-Dorion,élection OR campagne,6,Le Journal Saint-François,Une campagne de vaccination mobile et innovante dans Vaudreuil-Soulanges,2021-05-06,89,https://www.journalsaint-francois.ca/une-campagne-de-vaccination-mobile-et-innovante-dans-vaudreuil-soulanges/,2021-08-03 13:40:54,mixte
Vaudreuil-Dorion,élection OR campagne,7,La Presse,Pont de l'Île-aux-Tourtes | Une artère bloquée,2021-05-20,75,https://www.lapresse.ca/actualites/grand-montreal/2021-05-20/pont-de-l-ile-aux-tourtes/une-artere-bloquee.php,2021-08-03 13:40:54,mixte
Vaudreuil-Dorion,élection OR campagne,8,La Presse,Fermeture du pont de l'Île-aux-Tourtes | Des résidants envahis par la congestion à Vaudreuil,2021-05-22,73,https://www.lapresse.ca/actualites/grand-montreal/2021-05-22/fermeture-du-pont-de-l-ile-aux-tourtes/des-residants-envahis-par-la-congestion-a-vaudreuil.php,2021-08-03 13:40:55,mixte
Vaudreuil-Dorion,élection OR campagne,9,Radio-Canada.ca,Début des travaux sur le terrain du nouvel hôpital de Vaudreuil-Soulanges,2021-06-15,49,https://ici.radio-canada.ca/nouvelle/1801457/debut-travaux-site-nouvel-hopital-vaudreuil-soulanges,2021-08-03 13:40:55,mixte
Vaudreuil-Dorion,élection OR campagne,10,Le Devoir,Quoi surveiller le 25 mai 2021?,2021-05-25,70,https://www.ledevoir.com/societe/604196/pour-votre-info-quoi-surveiller-aujourd-hui,2021-08-03 13:40:55,mixte
