Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Vaudreuil-Dorion,"""premier ministre""",1,Le Devoir,Quoi surveiller ce 31 juillet et ce 1 août?,2021-07-31,3,https://www.ledevoir.com/societe/621906/pour-votre-info-quoi-surveiller-cette-fin-de-semaine,2021-08-03 14:23:49,national
Vaudreuil-Dorion,"""premier ministre""",2,La Presse,"Témoignage | Aujourd'hui, M. Legault, c'est moi qui ai besoin d'aide",2021-04-16,109,https://www.lapresse.ca/debats/opinions/2021-04-16/temoignage/aujourd-hui-m-legault-c-est-moi-qui-ai-besoin-d-aide.php,2021-08-03 14:23:49,national
Vaudreuil-Dorion,"""premier ministre""",3,Le Soleil - Groupe Capitales Médias,"Pour les bals, «on fait un spécial»! [VIDÉO]",2021-06-08,56,https://www.lesoleil.com/actualite/covid-19/pour-les-bals-on-fait-un-special-video-73ae0257d0983eaf2d58cc5fa0d89e1f,2021-08-03 14:23:50,national
Vaudreuil-Dorion,"""premier ministre""",4,VIVA média,La CMM en zone rouge: le maire de Vaudreuil-Dorion furieux et la députée de Vaudreuil se questionne | VIVA MÉDIA,2020-09-28,309,https://www.viva-media.ca/la-voix-regionale-vaudreuil-soulanges/actualite-vs/regionale-vs/la-cmm-en-zone-rouge-le-maire-de-vaudreuil-dorion-furieux-et-la-deputee-de-vaudreuil-se-questionne/,2021-08-03 14:23:50,national
Vaudreuil-Dorion,"""premier ministre""",5,VIVA média,Voie de contournement de l'autoroute 20 secteur Vaudreuil-Dorion : Marie-Claude Nichols demande au gouvernement d'agir | VIVA MÉDIA,2020-12-01,245,https://www.viva-media.ca/la-voix-regionale-vaudreuil-soulanges/actualite-vs/voie-de-contournement-de-lautoroute-20-secteur-vaudreuil-dorion-marie-claude-nichols-demande-au-gouvernement-dagir/,2021-08-03 14:23:50,national
Vaudreuil-Dorion,"""premier ministre""",6,Métro Montréal,Le couvre-feu de retour à 20h à Montréal et à Laval,2021-04-08,117,https://journalmetro.com/actualites/national/2629958/legault-couvre-feu-de-retour-a-20h-a-montreal/,2021-08-03 14:23:51,national
Vaudreuil-Dorion,"""premier ministre""",7,VIVA média,"Tournée des élus : Marie-Claude Nichols, députée de Vaudreuil | VIVA MÉDIA",2020-11-11,265,https://www.viva-media.ca/la-voix-regionale-vaudreuil-soulanges/actualite-vs/politique-vs/provinciale-vs/tournee-des-elus-marie-claude-nichols-deputee-de-vaudreuil/,2021-08-03 14:23:51,national
Vaudreuil-Dorion,"""premier ministre""",8,Droit-Inc.com,Mahmud Jamal nommé juge à la Cour suprême du Canada,2021-06-17,47,https://www.droit-inc.com/article28897-Mahmud-Jamal-nomme-juge-a-la-Cour-supreme-du-Canada,2021-08-03 14:23:51,national
Vaudreuil-Dorion,"""premier ministre""",9,Droit-Inc.com,Il met François Legault en demeure,2021-01-20,195,https://www.droit-inc.com/article28049-Il-met-Francois-Legault-en-demeure,2021-08-03 14:23:51,national
Vaudreuil-Dorion,"""premier ministre""",10,Le Journal Saint-François,COVID-19: nombre de cas actifs par ville,2021-05-12,83,https://www.journalsaint-francois.ca/covid-19-nombre-de-cas-actifs-par-ville-13/,2021-08-03 14:23:52,national
Vaudreuil-Dorion,"""premier ministre""",11,Droit-Inc.com,Sélection des juges à Ottawa : matière à scandale,2020-10-20,287,https://www.droit-inc.com/article27571-Selection-des-juges-a-Ottawa-matiere-a-scandale,2021-08-03 14:23:52,national
Vaudreuil-Dorion,"""premier ministre""",12,Droit-Inc.com,Jean Charest poursuit le gouvernement du Québec,2020-10-09,298,https://www.droit-inc.com/article27520-Jean-Charest-poursuit-le-gouvernement-du-Quebec,2021-08-03 14:23:52,national
Vaudreuil-Dorion,"""premier ministre""",13,Droit-Inc.com,Le ministre de la Justice salue le départ de la juge Abella,2021-07-02,32,https://www.droit-inc.com/article28966-Le-ministre-de-la-Justice-salue-le-depart-de-la-juge-Abella,2021-08-03 14:23:52,national
Vaudreuil-Dorion,"""premier ministre""",14,Droit-Inc.com,"Les mesures sanitaires sont illégales, clame un avocat",2021-02-03,181,https://www.droit-inc.com/article28132-Les-mesures-sanitaires-sont-illegales-clame-un-avocat,2021-08-03 14:23:52,national
Vaudreuil-Dorion,"""premier ministre""",15,Droit-Inc.com,Le projet de loi 84 doit être retiré,2021-02-03,181,https://www.droit-inc.com/article28128-Le-projet-de-loi-84-doit-etre-retire,2021-08-03 14:23:53,national
Vaudreuil-Dorion,"""premier ministre""",16,Droit-Inc.com,Vos cabinets au boulot,2021-06-29,35,https://www.droit-inc.com/article28953-Vos-cabinets-au-boulot,2021-08-03 14:23:53,national
Vaudreuil-Dorion,"""premier ministre""",17,Droit-Inc.com,L'ancien juge John Gomery n'est plus,2021-05-19,76,https://www.droit-inc.com/article28719-L-ancien-juge-John-Gomery-n-est-plus,2021-08-03 14:23:53,national
Vaudreuil-Dorion,"""premier ministre""",18,La Presse,Décryptage | La voisine trumpiste du Québec | La Presse - La Presse,2021-05-10,85,https://www.lapresse.ca/international/etats-unis/2021-05-10/decryptage/la-voisine-trumpiste-du-quebec.php,2021-08-03 14:23:53,national
Vaudreuil-Dorion,"""premier ministre""",19,"98,5 fm",Vaccination | «Dès lundi les gens pourront changer la date de leur rendez-vous afin d'obtenir la seconde dose plus rapidement»,2021-06-04,60,https://www.985fm.ca/nouvelles/sante/401987/covid-19-des-lundi-les-gens-pourront-changer-la-date-de-leur-rendez-vous-afin-d-obtenir-la-seconde-dose-plus-rapidement,2021-08-03 14:23:53,national
Vaudreuil-Dorion,"""premier ministre""",20,Droit-Inc.com,À la défense du juge Blanchard,2021-04-28,97,https://www.droit-inc.com/article28598-A-la-defense-du-juge-Blanchard,2021-08-03 14:23:54,national
Vaudreuil-Dorion,"""premier ministre""",21,Le Journal de Montréal,Au coeur de la zone rouge du Québec,,,https://www.journaldemontreal.com/2020/05/05/au-coeur-de-la-zone-rouge-du-quebec,2021-08-03 14:23:54,national
Vaudreuil-Dorion,"""premier ministre""",22,Droit-Inc.com,Un avocat nommé secrétaire général adjoint aux affaires parlementaires,2021-02-03,181,https://www.droit-inc.com/article28126-Un-avocat-nomme-secretaire-general-adjoint-aux-affaires-parlementaires,2021-08-03 14:23:54,national
Vaudreuil-Dorion,"""premier ministre""",23,Droit-Inc.com,Un grand du Québec nous quitte,2020-11-26,250,https://www.droit-inc.com/article27781-Un-grand-du-Quebec-nous-quitte,2021-08-03 14:23:54,national
Vaudreuil-Dorion,"""premier ministre""",24,Droit-Inc.com,Loi 21 : une suite en Cour suprême?,2021-05-25,70,https://www.droit-inc.com/article28753-Loi-21-une-suite-en-Cour-supreme,2021-08-03 14:23:54,national
Vaudreuil-Dorion,"""premier ministre""",25,Le Journal de Montréal,Ceux qui ont eu la COVID-19 près de chez vous,,,https://www.journaldemontreal.com/2020/06/10/ceux-qui-ont-eu-la-covid-19-pres-de-chez-vous,2021-08-03 14:23:54,national
Vaudreuil-Dorion,climat,1,INFOSuroit.com,490 000 $ pour l'actualisation de la cartographie des zones inondables,2021-05-20,75,https://www.infosuroit.com/pres-de-500-000-dollars-actualisation-de-la-cartographie-des-zones-inondables/,2021-08-03 14:24:31,national
Vaudreuil-Dorion,climat,2,LesAffaires.com,Vague d'agrandissements dans la région de Vaudreuil-Soulanges,2021-06-16,48,https://www.lesaffaires.com/dossier/focus-regional-monteregie/vague-d-agrandissements-dans-la-region-de-vaudreuil-soulanges/625666,2021-08-03 14:24:32,national
Vaudreuil-Dorion,climat,3,Le Journal Saint-François,Manifestation pour la justice sociale et le climat le 19 mars,2021-03-19,137,https://www.journalsaint-francois.ca/manifestation-pour-la-justice-sociale-et-le-climat-le-19-mars/,2021-08-03 14:24:32,national
Vaudreuil-Dorion,climat,4,TVA Nouvelles,Brossard Une agriculture réinventée qui porte fruit,2021-01-03,212,https://www.tvanouvelles.ca/2021/01/03/une-agriculture-reinventee-qui-porte-fruit,2021-08-03 14:24:32,national
Vaudreuil-Dorion,climat,5,Le Journal de Montréal,Le pont de l'Île-aux-Tourtes fermé d'urgence,2021-05-20,75,https://www.journaldemontreal.com/2021/05/20/le-pont-de-lile-aux-tourtes-ferme-durgence-1,2021-08-03 14:24:32,national
Vaudreuil-Dorion,climat,6,Le Courrier du Sud,Il y a 8 ans l'autoroute 30 entre Châteauguay et Vaudreuil-Dorion ouvrait,2020-12-18,228,https://www.lecourrierdusud.ca/il-y-a-8-ans-lautoroute-30-entre-chateauguay-et-vaudreuil-dorion-ouvrait/,2021-08-03 14:24:32,national
Vaudreuil-Dorion,climat,7,INFOSuroit.com,Services et activités pendant la période des fêtes à Vaudreuil-Dorion,2020-12-22,224,https://www.infosuroit.com/services-et-activites-pendant-la-periode-des-fetes-a-vaudreuil-dorion/,2021-08-03 14:24:33,national
Vaudreuil-Dorion,climat,8,LesAffaires.com,Une industrie qui se réinvente | LesAffaires.com,2021-04-14,111,https://www.lesaffaires.com/dossier/agri-agro-2021/une-industrie-qui-se-reinvente/624198,2021-08-03 14:24:33,national
Vaudreuil-Dorion,climat,9,VIVA média,Entrave sur le pont de l'Île-aux-Tourtes cette fin de semaine | VIVA MÉDIA,2021-02-12,172,https://www.viva-media.ca/la-voix-regionale-vaudreuil-soulanges/actualite-vs/faits-divers-vs/info-routiere-vs/entrave-sur-le-pont-de-lile-aux-tourtes-cette-fin-de-semaine/,2021-08-03 14:24:33,national
Vaudreuil-Dorion,climat,10,Le Devoir,"Société Une ferme sans pluie, ni soleil",2020-08-12,356,https://www.ledevoir.com/societe/583987/une-ferme-sans-pluie-ni-soleil,2021-08-03 14:24:33,national
Vaudreuil-Dorion,climat,11,VIVA média,Dossier de la coupe à blanc à Sainte-Marthe : les cas d'intimidation se multiplient | VIVA MÉDIA,2021-05-15,80,https://www.viva-media.ca/la-voix-regionale-vaudreuil-soulanges/actualite-vs/dossier-de-la-coupe-a-blanc-a-sainte-marthe-les-cas-dintimidation-se-multiplient/,2021-08-03 14:24:34,national
Vaudreuil-Dorion,climat,12,La Presse,Zones inondables | Des maires appellent Québec à revoir son projet de loi,2020-10-24,283,https://www.lapresse.ca/actualites/2020-10-24/zones-inondables/des-maires-appellent-quebec-a-revoir-son-projet-de-loi.php,2021-08-03 14:24:34,national
Vaudreuil-Dorion,climat,13,INFOSuroit.com,Séance du BAPE en vue de la reconstruction du pont de l'Île-aux-Tourtes,2021-04-07,118,https://www.infosuroit.com/seance-du-bape-en-vue-de-la-reconstruction-du-pont-de-ile-aux-tourtes/,2021-08-03 14:24:34,national
Vaudreuil-Dorion,climat,14,INFOSuroit.com,Arrêt des travaux sur le pont d'étagement du chemin des Chenaux pour l'hiver,2020-12-18,228,https://www.infosuroit.com/arret-des-travaux-sur-pont-du-chemin-des-chenaux-pour-l-hiver/,2021-08-03 14:24:34,national
Vaudreuil-Dorion,climat,15,Droit-Inc.com,Les procureurs réclament la nomination urgente du nouveau DPCP,2021-03-23,133,https://www.droit-inc.com/article28403-Les-procureurs-reclament-la-nomination-urgente-du-nouveau-DPCP,2021-08-03 14:24:35,national
Vaudreuil-Dorion,climat,16,VIVA média,Vaudreuil-Dorion se classe en tant que 7e meilleure ville au Canada pour élever des enfants | VIVA MÉDIA,,,https://www.viva-media.ca/la-voix-regionale-vaudreuil-soulanges/actualite-vs/regionale-vs/vaudreuil-dorion-se-classe-en-tant-que-7e-meilleure-ville-au-canada-pour-elever-des-enfants/,2021-08-03 14:24:35,national
Vaudreuil-Dorion,climat,17,Droit-Inc.com,"Climat toxique, harcèlement et violence verbale à Rideau Hall",,,https://www.droit-inc.com/article27082-Climat-toxique-harcelement-et-violence-verbale-a-Rideau-Hall,2021-08-03 14:24:35,national
Vaudreuil-Dorion,climat,18,LeLézard.com,Invitation aux médias pour un breffage technique du BAPE concernant le projet de reconstruction du pont de l'Île-aux-Tourtes entre Vaudreuil-Dorion et Senneville,2021-04-06,119,https://www.lelezard.com/communique-19734471.html,2021-08-03 14:24:35,national
Vaudreuil-Dorion,climat,19,Le Courrier du Sud,Liste des travaux d'entretien sur l'autoroute 30 dans les prochains jours,2021-05-12,83,https://www.lecourrierdusud.ca/liste-des-travaux-dentretien-sur-lautoroute-30-dans-les-prochains-jours/,2021-08-03 14:24:35,national
Vaudreuil-Dorion,climat,20,Le Soleil - Groupe Capitales Médias,Exode vers la banlieue à cause de la COVID ? Trois bémols,2021-02-14,170,https://www.lesoleil.com/actualite/science/exode-vers-la-banlieue-a-cause-de-la-covid-trois-bemols-24b327fd9260fdd582d1e9990298222f,2021-08-03 14:24:36,national
Vaudreuil-Dorion,climat,21,ICI.Radio-Canada.ca,Changement de site pour l'Hôpital de Vaudreuil-Soulanges,,,https://ici.radio-canada.ca/nouvelle/1142055/changement-de-site-pour-lhopital-de-vaudreuil-soulanges,2021-08-03 14:24:36,national
Vaudreuil-Dorion,climat,22,La Presse,Décryptage | La voisine trumpiste du Québec | La Presse - La Presse,2021-05-10,85,https://www.lapresse.ca/international/etats-unis/2021-05-10/decryptage/la-voisine-trumpiste-du-quebec.php,2021-08-03 14:24:36,national
Vaudreuil-Dorion,climat,23,Le Journal de Montréal,"Ministère des Transports: deux poids deux mesures, selon Sylvain Gaudreault",2021-05-27,68,https://www.journaldemontreal.com/2021/05/27/ministere-des-transports-deux-poids-deux-mesures-selon-sylvain-gaudreault,2021-08-03 14:24:36,national
Vaudreuil-Dorion,climat,24,Le Courrier du Sud,Les bals de finissants permis sous certaines conditions,2021-06-08,56,https://www.lecourrierdusud.ca/Les-bals-de-finissants-permis-sous-certaines-conditions/,2021-08-03 14:24:36,national
Vaudreuil-Dorion,climat,25,Le Courrier du Sud,Fermeture de nuit du boul. Taschereau près du pont Jacques-Cartier,2020-08-18,350,https://www.lecourrierdusud.ca/fermeture-de-nuit-du-boul-taschereau-pres-du-pont-jacques-cartier/,2021-08-03 14:24:37,national
Vaudreuil-Dorion,immigration,1,Droit-Inc.com,Du droit fiscal au droit de l'immigration,2021-02-12,172,https://www.droit-inc.com/article28185-Du-droit-fiscal-au-droit-de-l-immigration,2021-08-03 14:24:47,national
Vaudreuil-Dorion,immigration,2,Droit-Inc.com,Le pionnier en immigation est décédé,2021-05-18,77,https://www.droit-inc.com/article28717-Le-pionnier-en-immigation-est-decede,2021-08-03 14:24:47,national
Vaudreuil-Dorion,immigration,3,Droit-Inc.com,Conseillers en immigration VS avocats en immigration,2020-12-07,239,https://www.droit-inc.com/article27842-Conseillers-en-immigration-VS-avocats-en-immigration,2021-08-03 14:24:47,national
Vaudreuil-Dorion,immigration,4,Journal Métro,Marc-André Pilon et la culture bouillonante,2021-06-30,34,https://journalmetro.com/local/vaudreuil-soulanges/2663018/marc-andre-pilon-et-la-culture-bouillonante/,2021-08-03 14:24:48,national
Vaudreuil-Dorion,immigration,5,Droit-Inc.com,Victoire pour la top avocate en immigration!,2020-11-19,257,https://www.droit-inc.com/article27746-Victoire-pour-la-top-avocate-en-immigration,2021-08-03 14:24:48,national
Vaudreuil-Dorion,immigration,6,Droit-Inc.com,Ces étrangers que le Canada expulse pour criminalité,2020-12-08,238,https://www.droit-inc.com/article27847-Ces-etrangers-que-le-Canada-expulse-pour-criminalite,2021-08-03 14:24:48,national
Vaudreuil-Dorion,immigration,7,Le Journal de Montréal,Pont de l'Île-aux-Tourtes: la circulation reprendra lundi... en partie,2021-05-25,70,https://www.journaldemontreal.com/2021/05/25/pont-de-lile-aux-tourtes-la-circulation-reprendra-lundi-en-partie,2021-08-03 14:24:48,national
Vaudreuil-Dorion,immigration,8,Journal Métro,Activités thématiques diversifiées à Vaudreuil-Soulanges pour l'Halloween,2020-10-26,281,https://journalmetro.com/local/vaudreuil-soulanges/2548757/programmation-activite-thematique-halloween-vaudreuil-soulanges/,2021-08-03 14:24:49,national
