Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Windsor,"""premier ministre""",1,Radio-Canada.ca,Le Canada célèbre officiellement pour la première fois le Jour de l'émancipation,2021-08-01,2,http://ici.radio-canada.ca/amp/1813441/jour-emancipation-canada-abolition-esclavage-canada-celebrations,2021-08-03 14:30:44,national
Windsor,"""premier ministre""",2,Le Journal de Montréal,Élections fédérales: «on pense qu'il va déclencher bientôt»,2021-07-15,19,https://www.journaldemontreal.com/2021/07/15/elections-federales-on-pense-quil-va-declencher-bientot-1,2021-08-03 14:30:44,national
Windsor,"""premier ministre""",3,Le Rempart,Les Congolais de Windsor-Essex présentent l'histoire de leur pays natal,2021-07-16,18,https://lerempart.ca/les-congolais-de-windsor-essex-presentent-lhistoire-de-leur-pays-natal/,2021-08-03 14:30:44,national
Windsor,"""premier ministre""",4,Le Devoir,Confusion autour de l'exemption de la quarantaine pour les voyageurs,2021-07-12,22,https://www.ledevoir.com/societe/617442/coronavirus-confusion-autour-de-l-exemption-de-la-quarantaine-pour-les-voyageurs,2021-08-03 14:30:44,national
Windsor,"""premier ministre""",5,Radio-Canada.ca,La frontière terrestre américaine fermée au moins jusqu'au 21 août | Coronavirus,2021-07-21,13,http://ici.radio-canada.ca/amp/1810693/frontiere-terrestre-etats-unis-fermeture-21-aout,2021-08-03 14:30:45,national
Windsor,"""premier ministre""",6,ONFR+,Nomination de Mary Simon : le commissaire aux langues officielles forcé d'enquêter,2021-07-19,15,https://onfr.tfo.org/nomination-de-mary-simon-le-commissaire-aux-langues-officielles-force-denqueter/,2021-08-03 14:30:45,national
Windsor,"""premier ministre""",7,Le Rempart,La rivière Detroit fête 20 années de désignation comme rivière du patrimoine canadien,2021-07-22,12,https://lerempart.ca/la-riviere-detroit-fete-20-annees-de-designation-comme-riviere-du-patrimoine-canadien/,2021-08-03 14:30:46,national
Windsor,"""premier ministre""",8,Europe 1,"À Brégançon, ""Emmanuel Macron ne prend pas vraiment de vacances""",2021-07-29,5,https://www.europe1.fr/politique/a-bregancon-emmanuel-macron-ne-prend-pas-vraiment-de-vacances-4060086,2021-08-03 14:30:46,national
Windsor,"""premier ministre""",9,NHL.com,"Kidney, Kapanen et trois Québécois pour les Canadiens Montréal s'est tourné vers la LHJMQ lors",2021-07-24,10,https://www.nhl.com/fr/news/kidney-kapanen-et-trois-quebecois-pour-les-canadiens/c-325790286,2021-08-03 14:30:46,national
Windsor,"""premier ministre""",10,Radio-Canada.ca,« Un été à une dose » : Trudeau fait miroiter le retour à une certaine normalité | Coronavirus,2021-05-11,84,https://ici.radio-canada.ca/amp/1792153/covid-19-justin-trudeau-vaccins,2021-08-03 14:30:46,national
