Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Boischatel,"""premier ministre""",1,Québec Hebdo,La fibre optique déployée pour 2510 foyers d'ici 2022,2021-05-07,90,https://www.quebechebdo.com/local/journal-lautre-voix/253707/la-fibre-optique-deployee-pour-2510-foyers-dici-2022/,2021-08-05 17:57:01,national
Boischatel,"""premier ministre""",2,Québec Hebdo,"Tramway, tunnel et voies réservées quadrilleront la région - Québec Hebdo",2021-05-17,80,https://www.quebechebdo.com/local/quebec-hebdo-local/254731/tramway-tunnel-et-voies-reservees-quadrilleront-la-region/,2021-08-05 17:57:02,national
Boischatel,"""premier ministre""",3,Le Journal de Québec,75 000 $ en bourses,2020-12-03,245,https://www.journaldequebec.com/2020/12/03/75000-en-bourses,2021-08-05 17:57:02,national
Boischatel,"""premier ministre""",4,Direction Informatique,Xplornet amènera la haute vitesse dans la Côte-de-Beaupré d'ici 2022,2021-05-11,86,https://www.directioninformatique.com/xplornet-amenera-la-haute-vitesse-dans-la-cote-de-beaupre-dici-2022/88631,2021-08-05 17:57:02,national
Boischatel,"""premier ministre""",5,Zone911,Un couvre-feu au Québec et mise en place de nouvelles consignes sanitaires,2021-01-06,211,https://zone911.com/divers/30270-un-couvre-feu-au-quebec-et-mise-en-place-de-nouvelles-consignes-sanitaires,2021-08-05 17:57:02,national
Boischatel,"""premier ministre""",6,Le Journal de Québec,Perquisition à L'Ancienne-Lorette: une remise en liberté qui dérange certains voisins,2021-02-09,177,https://www.journaldequebec.com/2021/02/09/une-remise-en-liberte-qui-derange-certains-voisins,2021-08-05 17:57:02,national
Boischatel,"""premier ministre""",7,Le Journal de Québec,Vous souvenez-vous de Teen Club?,2021-03-20,138,https://www.journaldequebec.com/2021/03/20/vous-souvenez-vous-de-teen-club,2021-08-05 17:57:02,national
Boischatel,"""premier ministre""",8,Zone911,DERNIÈRE HEURE - Covid-19 : Trois régions passent au ROUGE - voici les nouvelles mesures pour ces zones,2020-09-28,311,https://zone911.com/securite/29818-derniere-heure-covid-19-trois-regions-passent-au-rouge-voici-les-nouvelles-mesures-pour-ces-zones,2021-08-05 17:57:03,national
Boischatel,"""premier ministre""",9,Le Soleil - Groupe Capitales Médias,Le tramway et le chevalier noir | Mylène Moisan | Chroniques,2020-09-01,338,https://www.lesoleil.com/chroniques/mylene-moisan/le-tramway-et-le-chevalier-noir-55ce6d616f02e11a7143bc0aa97d2220,2021-08-05 17:57:03,national
Boischatel,"""premier ministre""",10,Zone911,Covid-19 : Mesures en vigueur pour la période des fêtes,2020-11-19,259,https://zone911.com/divers/30052-covid-19-mesures-en-vigueur-pour-la-periode-des-fetes,2021-08-05 17:57:03,national
Boischatel,"""premier ministre""",11,TVA Nouvelles,EN DIRECT | Les derniers développements sur la COVID-19,2020-10-30,279,https://www.tvanouvelles.ca/2020/10/30/en-direct-les-derniers-developpements-sur-la-covid-19,2021-08-05 17:57:03,national
Boischatel,"""premier ministre""",12,Le Journal de Québec,Finaliste aux Mercuriades,2020-09-26,313,https://www.journaldequebec.com/2020/09/26/finaliste-aux-mercuriades,2021-08-05 17:57:03,national
Boischatel,"""premier ministre""",13,Le Soleil - Groupe Capitales Médias,Geneviève Guilbault: allier pouvoir et prudence | Politique | Actualités,,,https://www.lesoleil.com/actualite/politique/genevieve-guilbault-allier-pouvoir-et-prudence-a03485cd35a02a3000ef71c35328653e,2021-08-05 17:57:04,national
Boischatel,"""premier ministre""",14,Le Journal de Québec,Voici 15 cantines de la région de Québec à visiter pour une bonne poutine!,,,https://www.journaldequebec.com/2019/07/01/voici-15-cantines-de-la-region-de-quebec-a-visiter-pour-une-bonne-poutine,2021-08-05 17:57:04,national
Boischatel,"""premier ministre""",15,Zone911,Le gouvernement a annoncé aujourd'hui l'état d'urgence sanitaire sur tout le territoire québécois,,,https://zone911.com/securite/29078-le-gouvernement-a-annonce-aujourd-hui-l-etat-d-urgence-sanitaire-sur-tout-le-territoire-quebecois,2021-08-05 17:57:04,national
