Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Saint-Jérôme,élection OR campagne,1,Mon Matane,Éphémérides du 8 juillet : le feu rase trois immeubles sur la rue Saint-Pierre en 2005,2021-07-08,28,https://monmatane.com/ephemerides-du-8-juillet-le-feu-rase-trois-immeubles-sur-la-rue-saint-pierre-en-2005/,2021-08-05 09:39:06,mixte
Saint-Jérôme,élection OR campagne,2,La Presse,Saint-Jérôme | Pas d'élection partielle pour remplacer le maire Stéphane Maher,2021-02-05,181,https://www.lapresse.ca/actualites/grand-montreal/2021-02-05/saint-jerome/pas-d-election-partielle-pour-remplacer-le-maire-stephane-maher.php,2021-08-05 09:39:06,mixte
Saint-Jérôme,élection OR campagne,3,TopoLocal,Ce qu'il reste de Vision à Saint-Jérôme,2021-04-27,100,https://www.topolocal.ca/2021/04/27/ce-quil-reste-de-vision-a-saint-jerome/,2021-08-05 09:39:06,mixte
Saint-Jérôme,élection OR campagne,4,Le Journal de Montréal,Saint-Jérôme: adjoint du maire sous enquête,2021-02-17,169,https://www.journaldemontreal.com/2021/02/17/saint-jerome-adjoint-du-maire-sous-enquete,2021-08-05 09:39:06,mixte
Saint-Jérôme,élection OR campagne,5,Journal Le Nord,Mairie de Saint-Jérôme : Confusion autour du rôle de Simon Geragthy,2021-02-16,170,https://www.journallenord.com/mairie-de-saint-jerome-confusion-autour-du-role-de-simon-geragthy/,2021-08-05 09:39:06,mixte
Saint-Jérôme,élection OR campagne,6,Journal Le Nord,Andrew Hattem : « Nathalie Lasalle devrait être nommée mairesse de Saint-Jérôme jusqu'à l'élection »,2021-03-26,132,https://www.journallenord.com/nathalie-lasalle-devrait-etre-nommee-mairesse-de-saint-jerome-jusqua-lelection/,2021-08-05 09:39:07,mixte
Saint-Jérôme,élection OR campagne,7,La Presse,500 000$ pour l'Hôpital de Saint-Jérôme | La Presse,2021-06-23,43,https://www.lapresse.ca/affaires/tetes-d-affiche/2021-06-23/500-000-pour-l-hopital-de-saint-jerome.php,2021-08-05 09:39:07,mixte
Saint-Jérôme,élection OR campagne,8,La Presse,Trudeau nie être déjà en campagne électorale,2021-07-05,31,https://www.lapresse.ca/actualites/politique/2021-07-05/trudeau-nie-etre-deja-en-campagne-electorale.php,2021-08-05 09:39:07,mixte
Saint-Jérôme,élection OR campagne,9,TopoLocal,Avenir Saint-Jérôme présente quatre nouveaux candidats et promet de renouer avec les citoyens,2021-04-15,112,https://www.topolocal.ca/2021/04/15/avenir-saint-jerome-presente-quatre-nouveaux-candidats-et-promet-de-renouer-avec-les-citoyens/,2021-08-05 09:39:07,mixte
Saint-Jérôme,élection OR campagne,10,Le Journal de Montréal,L'ex-maire de Saint-Jérôme dirigeait sans en avoir le droit,2021-02-19,167,https://www.journaldemontreal.com/2021/02/19/saint-jerome-doit-revoir-les-decisions-de-son-maire-dechu,2021-08-05 09:39:08,mixte
Saint-Jérôme,élection OR campagne,11,TopoLocal,Benoit Beaulieu et Gilles Robert quitteront le conseil municipal de Saint-Jérôme à la fin de leur mandat,2021-04-02,125,https://www.topolocal.ca/2021/04/02/benoit-beaulieu-gilles-robert-quitteront-conseil-municipal-saint-jerome-a-la-fin-de-leur-mandat/,2021-08-05 09:39:08,mixte
Saint-Jérôme,élection OR campagne,12,TopoLocal,L'ancien candidat à la mairie Alain Langlois se joint à l'équipe du Mouvement jérômien pour les élections de novembre,2021-05-06,91,https://www.topolocal.ca/2021/05/06/ancien-candidat-mairie-alain-langlois-se-joint-equipe-du-mouvement-jeromien-pour-elections-novembre/,2021-08-05 09:39:08,mixte
Saint-Jérôme,élection OR campagne,13,La Presse,100 000$ pour l'Hôpital de Saint-Jérôme | La Presse,2021-05-16,81,https://www.lapresse.ca/affaires/tetes-d-affiche/2021-05-16/100-000-pour-l-hopital-de-saint-jerome.php,2021-08-05 09:39:08,mixte
Saint-Jérôme,élection OR campagne,14,Le Journal de Montréal,Le sort du maire de Saint-Jérôme sera fixé le 30 novembre,2020-10-29,280,https://www.journaldemontreal.com/2020/10/29/le-sort-du-maire-de-saint-jerome-sera-fixe-le-30novembre,2021-08-05 09:39:08,mixte
Saint-Jérôme,élection OR campagne,15,TopoLocal,"S'il devient maire de Saint-Jérôme, Marc Bourcier promet de diminuer son salaire et de partager le pouvoir avec les 12 élus du conseil",2021-02-05,181,https://www.topolocal.ca/2021/02/05/sil-devient-maire-de-saint-jerome-marc-bourcier-promet-de-diminuer-son-salaire-et-de-partager-le-pouvoir-avec-les-12-elus-du-conseil/,2021-08-05 09:39:09,mixte
Saint-Jérôme,élection OR campagne,16,Journal Le Nord,Sophie St-Gelais crée une onde de choc à Saint-Jérôme,2021-03-26,132,https://www.journallenord.com/sophie-st-gelais-cree-une-onde-de-choc-a-saint-jerome/,2021-08-05 09:39:09,mixte
Saint-Jérôme,élection OR campagne,17,Journal Le Nord,Actualités Janice Bélair-Rolland proclamée mairesse de la Ville de Saint-Jérôme,2021-04-06,121,https://www.journallenord.com/janice-belair-rolland-proclamee-mairesse-de-la-ville-de-saint-jerome/,2021-08-05 09:39:09,mixte
Saint-Jérôme,élection OR campagne,18,ICI.Radio-Canada.ca,76 patients sont morts après avoir contracté la COVID-19 à l'hôpital de Saint-Jérôme | Coronavirus,2020-11-23,255,https://ici.radio-canada.ca/nouvelle/1751862/laurentides-hopital-saint-jerome-76-morts-covid-19,2021-08-05 09:39:09,mixte
Saint-Jérôme,élection OR campagne,19,Journal Le Nord,Saint-Jérôme : Marc-Olivier Neveu se lance à la mairie,2021-03-09,149,https://www.journallenord.com/saint-jerome-marc-olivier-neveu-se-lance-a-la-mairie/,2021-08-05 09:39:09,mixte
Saint-Jérôme,élection OR campagne,20,La Presse,59 000$ pour la santé à Saint-Jérôme | La Presse,2021-06-12,54,https://www.lapresse.ca/affaires/tetes-d-affiche/2021-06-12/59-000-pour-la-sante-a-saint-jerome.php,2021-08-05 09:39:09,mixte
Saint-Jérôme,élection OR campagne,21,TopoLocal,Trois candidats de plus pour Avenir Saint-Jérôme et des projets pour améliorer la circulation,2021-05-12,85,https://www.topolocal.ca/2021/05/12/trois-candidats-de-plus-pour-avenir-saint-jerome-et-des-projets-pour-ameliorer-la-circulation/,2021-08-05 09:39:09,mixte
Saint-Jérôme,élection OR campagne,22,TopoLocal,"La chute de Stéphane Maher, qui a fait quoi à Saint-Jérôme?",2021-01-18,199,https://www.topolocal.ca/2021/01/18/la-chute-de-stephane-maher-qui-a-fait-quoi-a-saint-jerome/,2021-08-05 09:39:10,mixte
Saint-Jérôme,élection OR campagne,23,Le Journal de Québec,Véronyque Tremblay Je mets un X sur l'automne,2021-03-20,138,https://www.journaldequebec.com/2021/03/20/je-mets-un-x-sur-lautomne,2021-08-05 09:39:10,mixte
Saint-Jérôme,élection OR campagne,24,L'Obs,Primaire populaire : l’appel de 178 élus de gauche et écologistes,2021-07-30,6,https://www.nouvelobs.com/tribunes/20210730.OBS47063/presidentielle-2022-178-elus-de-gauche-et-ecologistes-appellent-a-une-primaire-populaire.html,2021-08-05 09:39:10,mixte
Saint-Jérôme,élection OR campagne,25,TopoLocal,"Le procès du maire de Saint-Jérôme est terminé, verdict le 30 novembre",2020-10-25,284,https://www.topolocal.ca/2020/10/25/proces-du-maire-de-saint-jerome-stephane-maher/,2021-08-05 09:39:10,mixte
Saint-Jérôme,député,1,Index Santé,Le gouvernement du Québec financera l'acquisition des équipements de la salle d'imagerie par résonance magnétique,2021-07-14,22,https://www.indexsante.ca/nouvelles/1095/le-gouvernement-du-quebec-financera-l-acquisition-des-equipements-de-la-salle-d-imagerie-par-resonance-magnetique.php,2021-08-05 09:39:49,mixte
Saint-Jérôme,député,2,Journal Le Nord,Commémorer les débuts de Saint-Jérôme,2021-07-06,30,https://www.journallenord.com/commemorer-les-debuts-de-saint-jerome/,2021-08-05 09:39:50,mixte
Saint-Jérôme,député,3,Journal Le Nord,Un appui de 950 000$ pour dynamiser Saint-Jérôme,2021-07-20,16,https://www.journallenord.com/saint-jerome-un-appui-de-950-000-pour-dynamiser-le-centre-ville/,2021-08-05 09:39:50,mixte
Saint-Jérôme,député,4,Journal Le Nord,Politique fédérale: Bilan parlementaire avec Rhéal Fortin,2021-07-06,30,https://www.journallenord.com/politique-federale-bilan-parlementaire-avec-rheal-fortin/,2021-08-05 09:39:50,mixte
Saint-Jérôme,député,5,Mon Matane,Éphémérides du 23 juillet : bénédiction du deuxième hôpital de Matane en 1950,2021-07-23,13,https://monmatane.com/ephemerides-du-23-juillet-benediction-du-deuxieme-hopital-de-matane-en-1950/,2021-08-05 09:39:50,mixte
Saint-Jérôme,député,6,ICI.Radio-Canada.ca,Voyage au Pérou : le député Youri Chassin se justifie | Coronavirus,2021-01-04,213,https://ici.radio-canada.ca/nouvelle/1760079/youri-chassin-voyage-perou-conjoint-coronavirus-pandemie,2021-08-05 09:39:50,mixte
Saint-Jérôme,député,7,actu.fr,"Près de Domfront en Poiraie, le département ouvre une antenne du centre de santé",2021-07-27,9,https://actu.fr/normandie/domfront-en-poiraie_61145/pres-de-domfront-en-poiraie-le-departement-ouvre-une-antenne-du-centre-de-sante_43754093.html/amp,2021-08-05 09:39:50,mixte
Saint-Jérôme,député,8,Le Journal de Québec,COVID-19: François Legault défend le voyage au Pérou de son député Youri Chassin,2021-01-19,198,https://www.journaldequebec.com/2021/01/19/covid-19-francois-legault-defend-le-voyage-au-perou-de-son-depute-youri-chassin,2021-08-05 09:39:51,mixte
Saint-Jérôme,député,9,Journal Le Nord,Hôpital de Saint-Jérôme : Le complexe d'hospitalisation rapide est ouvert,2021-03-02,156,https://www.journallenord.com/hopital-de-saint-jerome-le-complexe-dhospitalisation-rapide-est-ouvert/,2021-08-05 09:39:51,mixte
Saint-Jérôme,député,10,Le journal de Lévis,Un magasin Princess Auto à Lévis,2021-07-27,9,https://www.journaldelevis.com/1079/Affaires.html?id=81201,2021-08-05 09:39:51,mixte
Saint-Jérôme,député,11,ICI.Radio-Canada.ca,Le député libéral Pierre Arcand est en vacances dans le Sud | Coronavirus,2020-12-29,219,https://ici.radio-canada.ca/nouvelle/1759974/coronavirus-arcand-plq-sud-vacances,2021-08-05 09:39:51,mixte
Saint-Jérôme,député,12,Le Journal de Montréal,Le complexe d'hospitalisation rapide de Saint-Jérôme ouvre ses portes,2021-02-28,158,https://www.journaldemontreal.com/2021/02/28/le-complexe-dhospitalisation-rapide-de-saint-jerome-ouvre-ses-portes-1,2021-08-05 09:39:51,mixte
Saint-Jérôme,député,13,La Presse,Voyage controversé | Pierre Arcand perd ses titres de porte-parole,2021-01-04,213,https://www.lapresse.ca/actualites/politique/2021-01-04/voyage-controverse/pierre-arcand-perd-ses-titres-de-porte-parole.php,2021-08-05 09:39:51,mixte
Saint-Jérôme,député,14,Radio-Canada.ca,Gros malaise au PLQ,2021-02-03,183,http://ici.radio-canada.ca/amp/1763602/gros-malaise-plq-dominique-anglade-pierre-arcand,2021-08-05 09:39:51,mixte
Saint-Jérôme,député,15,Journal Le Nord,Politique Le Parti conservateur annonce sa candidate dans Rivière-du-Nord,2021-01-14,203,https://www.journallenord.com/le-parti-conservateur-annonce-sa-candidate-dans-riviere-du-nord/,2021-08-05 09:39:52,mixte
Saint-Jérôme,député,16,Index Santé,L'Hôpital régional de Saint-Jérôme aura son tomographe par émission de positons,2021-06-03,63,https://www.indexsante.ca/nouvelles/1060/hopital-regional-de-saint-jerome-aura-son-tomographe-par-emission-de-positons.php,2021-08-05 09:39:52,mixte
Saint-Jérôme,député,17,Le Devoir,Saint-Jérôme perd son député,,,https://www.ledevoir.com/politique/quebec/469805/saint-jerome-perd-son-depute,2021-08-05 09:39:52,mixte
Saint-Jérôme,député,18,LCI,EN DIRECT - Covid-19 : le nombre de cas quotidiens aux États-Unis au plus haut depuis six mois,2021-08-05,0,https://www.lci.fr/sante/en-direct-en-direct-covid-19-coronavirus-quatrieme-vague-variant-delta-vaccination-emmanuel-macron-annonce-une-troisieme-dose-a-la-rentree-pour-les-plus-ages-et-les-plus-fragiles-2192974.html,2021-08-05 09:39:52,mixte
Saint-Jérôme,député,19,TopoLocal,Les terrasses du centre-ville de Saint-Jérôme ont repris du service vendredi,2021-05-31,66,https://www.topolocal.ca/2021/05/31/les-terrasses-du-centre-ville-de-saint-jerome-ont-repris-du-service-vendredi/,2021-08-05 09:39:52,mixte
Saint-Jérôme,député,20,Le Journal de Québec,Antoine Robitaille Quel traitement pour Youri Chassin?,2021-01-19,198,https://www.journaldequebec.com/2021/01/19/quel-traitement-pour-youri-chassin,2021-08-05 09:39:53,mixte
