Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Bécancour,"""premier ministre""",1,Le Nouvelliste - Groupe Capitales Médias,ABI: les gens heureux n'ont pas d'histoire,2021-07-31,8,https://www.lenouvelliste.ca/affaires/abi-les-gens-heureux-nont-pas-dhistoire-4168aa306617ffe4b066c69c38298615,2021-08-08 17:51:48,national
Bécancour,"""premier ministre""",2,Le Nouvelliste - Groupe Capitales Médias,Le passeport vaccinal envisagé à Trois-Rivières | COVID-19 | Actualités,2021-08-05,3,https://www.lenouvelliste.ca/actualites/covid-19/le-passeport-vaccinal-envisage-a-trois-rivieres-b55302296bb218423ccf0bc56e8df66e,2021-08-08 17:51:49,national
Bécancour,"""premier ministre""",3,Le Journal de Montréal,Entreprises Britishvolt s'intéresse à Bécancour,2021-06-04,65,https://www.journaldemontreal.com/2021/06/04/britishvolt-sinteresse-a-becancour-1,2021-08-08 17:51:49,national
Bécancour,"""premier ministre""",4,Le Nouvelliste - Groupe Capitales Médias,Virentia démarre une usine de luzerne de 47 M$ à Bécancour,2021-03-16,145,https://www.lenouvelliste.ca/affaires/virentia-demarre-une-usine-de-luzerne-de-47-m-a-becancour-42ecdb38aca09dfdfd573aaf0bd291d0,2021-08-08 17:51:49,national
Bécancour,"""premier ministre""",5,Le Nouvelliste - Groupe Capitales Médias,La Mauricie et le Centre-du-Québec données en exemple par le premier ministre,2021-04-01,129,https://www.lenouvelliste.ca/actualites/covid-19/la-mauricie-et-le-centre-du-quebec-donnees-en-exemple-par-le-premier-ministre-caf0d5b0ae9dc142963d171fb05e0ab1,2021-08-08 17:51:49,national
Bécancour,"""premier ministre""",6,Le Nouvelliste - Groupe Capitales Médias,Julie Boulet sera commissaire industrielle à Bécancour | Affaires,2021-02-01,188,https://www.lenouvelliste.ca/affaires/julie-boulet-sera-commissaire-industrielle-a-becancour-26459806ad7be614076bcc8a4ca15552,2021-08-08 17:51:49,national
Bécancour,"""premier ministre""",7,Le Nouvelliste - Groupe Capitales Médias,Nouveau Monde Graphite annonce sa phase 2 à Bécancour,2021-03-11,150,https://www.lenouvelliste.ca/affaires/nouveau-monde-graphite-annonce-sa-phase-2-a-becancour-adb6b6733226e38cd952b600fb31b76c,2021-08-08 17:51:49,national
Bécancour,"""premier ministre""",8,Le Nouvelliste - Groupe Capitales Médias,MRC de Bécancour: le Défi des pompiers 1200 aura lieu à la fin mai,2021-05-03,97,https://www.lenouvelliste.ca/actualites/mrc-de-becancour-le-defi-des-pompiers-1200-aura-lieu-a-la-fin-mai-6f68e2a38eeec781752a741bb51f6404,2021-08-08 17:51:50,national
Bécancour,"""premier ministre""",9,Le Nouvelliste - Groupe Capitales Médias,Nemaska Lithium 2.0 à Bécancour: la Ville obtient une rencontre avec la haute direction,2021-06-29,40,https://www.lenouvelliste.ca/affaires/nemaska-lithium-20-a-becancour-la-ville-obtient-une-rencontre-avec-la-haute-direction-7bec34553b47af53762cb85bfff5c2fd,2021-08-08 17:51:50,national
Bécancour,"""premier ministre""",10,Le Nouvelliste - Groupe Capitales Médias,H2 V Énergies: un projet d'usine d'un milliard $ à Bécancour,2021-05-21,79,https://www.lenouvelliste.ca/affaires/h2-v-energies-un-projet-dusine-dun-milliard--a-becancour-944783d3a275afaa749762757f9dcc74,2021-08-08 17:51:50,national
Bécancour,"""premier ministre""",11,Le Nouvelliste - Groupe Capitales Médias,Michel Angers «déçu et frustré» du départ de Nemaska vers Bécancour,2021-06-01,68,https://www.lenouvelliste.ca/affaires/michel-angers-decu-et-frustre-du-depart-de-nemaska-vers-becancour-37fb61c7d5ce9c7c8628c54a591a439b,2021-08-08 17:51:50,national
Bécancour,"""premier ministre""",12,La Nouvelle Union,Québec accorde près de 12 M $ à Emblème Canneberge,2021-06-15,54,https://www.lanouvelle.net/2021/06/15/quebec-accorde-pres-de-12-m-a-embleme-canneberge/,2021-08-08 17:51:50,national
Bécancour,"""premier ministre""",13,Le Journal de Montréal,La Mauricie–Centre-du-Québec reste en zone rouge,2021-02-16,173,https://www.journaldemontreal.com/2021/02/16/la-mauriciecentre-du-quebec-reste-en-zone-rouge,2021-08-08 17:51:51,national
Bécancour,"""premier ministre""",14,La Nouvelle Union,Retour incertain pour la navette fluviale,2021-05-24,76,https://www.lanouvelle.net/2021/05/24/retour-incertain-pour-la-navette-fluviale/,2021-08-08 17:51:51,national
Bécancour,"""premier ministre""",15,Le Nouvelliste - Groupe Capitales Médias,Nouveau Monde Graphite prépare son arrivée à Bécancour en 2021,2021-01-06,214,https://www.lenouvelliste.ca/affaires/nouveau-monde-graphite-prepare-son-arrivee-a-becancour-en-2021-2e20483ce9a4d4300e1dbfc3dc449cc1,2021-08-08 17:51:51,national
Bécancour,"""premier ministre""",16,Le Nouvelliste - Groupe Capitales Médias,Les travaux avancent pour Nouveau Monde Graphite à Bécancour,2021-06-10,59,https://www.lenouvelliste.ca/affaires/les-travaux-avancent-pour-nouveau-monde-graphite-a-becancour-6da40c0e2477ab7042aeea93f633f14c,2021-08-08 17:51:51,national
Bécancour,"""premier ministre""",17,Le Nouvelliste - Groupe Capitales Médias,Sein-Biose: ouverture d'une clinique privée en périnatalité à Bécancour,2021-05-06,94,https://www.lenouvelliste.ca/actualites/sein-biose-ouverture-dune-clinique-privee-en-perinatalite-a-becancour-b3fe250be03e32d8033c692dd5212801,2021-08-08 17:51:51,national
Bécancour,"""premier ministre""",18,VINGT 55 Média web,"Centre-du-Québec : Plus de 1,5 M$ pour accroître la productivité des entreprises Aldes Canada et Conception E.M. 2010",2021-06-14,55,https://vingt55.ca/centre-du-quebec-plus-de-15-m-pour-accroitre-la-productivite-des-entreprises-aldes-canada-et-conception-e-m-2010/,2021-08-08 17:51:51,national
Bécancour,"""premier ministre""",19,ICI.Radio-Canada.ca,Une conférence virtuelle entre le nouveau patron de Rio Tinto et François Legault | Industries Saguenay-Lac-Saint-Jean,2021-03-22,139,https://ici.radio-canada.ca/nouvelle/1779185/aluminium-fer-titane-gouvernement,2021-08-08 17:51:52,national
Bécancour,"""premier ministre""",20,Le Nouvelliste - Groupe Capitales Médias,L'usine PureSphera de Bécancour honoré par l'Ordre des ingénieurs du Québec,2021-04-12,118,https://www.lenouvelliste.ca/affaires/lusine-puresphera-de-becancour-honore-par-lordre-des-ingenieurs-du-quebec-48646b71bfeb0c89d9866bc62db01905,2021-08-08 17:51:52,national
Bécancour,"""premier ministre""",21,Le Journal de Québec,L'OIT classe sans suite une plainte des Métallos contre Legault,2020-12-01,250,https://www.journaldequebec.com/2020/12/01/loit-classe-sans-suite-une-plainte-des-metallos-contre-legault,2021-08-08 17:51:52,national
Bécancour,"""premier ministre""",22,Le Nouvelliste - Groupe Capitales Médias,Si Québec réglait ses comptes avec Shawinigan | Chroniques,2021-06-26,43,https://www.lenouvelliste.ca/chroniques/si-quebec-reglait-ses-comptes-avec-shawinigan-52b99f702d361e4430830bb1a7bc7980,2021-08-08 17:51:52,national
Bécancour,"""premier ministre""",23,CNW Telbec,Le projet de doublement de l'autoroute 55 progresse rapidement,2021-02-15,174,https://www.newswire.ca/fr/news-releases/le-projet-de-doublement-de-l-autoroute-55-progresse-rapidement-817132951.html,2021-08-08 17:51:53,national
Bécancour,"""premier ministre""",24,Le Nouvelliste - Groupe Capitales Médias,Nemaska: Girard ouvert à rencontrer Angers et Legault se fait attendre,2021-07-02,37,https://www.lenouvelliste.ca/actualites/nemaska-girard-ouvert-a-rencontrer-angers-et-legault-se-fait-attendre-3e66cd2a9d27fa43a379ea2c4d631233,2021-08-08 17:51:53,national
Bécancour,"""premier ministre""",25,L'Express - Drummondville,"François Legault s'arrêtera à Bécancour, mais pas à Drummondville - L'Express",2020-08-20,353,https://www.journalexpress.ca/2020/08/20/francois-legault-sarretera-a-becancour-mais-pas-a-drummondville/,2021-08-08 17:51:53,national
Bécancour,climat,1,Courrier Frontenac,Mobilisation pour contrôler les apports amiantés dans la rivière Bécancour,2021-07-13,26,https://www.courrierfrontenac.qc.ca/2021/07/13/mobilisation-pour-controler-les-apports-amiantes-dans-la-riviere-becancour/,2021-08-08 17:52:27,national
Bécancour,climat,2,Le Nouvelliste - Groupe Capitales Médias,Changements climatiques: près de 110 000 $ aux MRC de Nicolet-Yamaska et de Maskinongé,2021-02-15,174,https://www.lenouvelliste.ca/affaires/changements-climatiques-pres-de-110-000--aux-mrc-de-nicolet-yamaska-et-de-maskinonge-ac3f74ecd86003ec77221967c3860087,2021-08-08 17:52:28,national
Bécancour,climat,3,L’actualité,L'hydrogène sauvera-t-il la planète ?,2021-08-04,4,https://lactualite.com/sante-et-science/lhydrogene-sauvera-t-il-la-planete/,2021-08-08 17:52:28,national
Bécancour,climat,4,Courrier Frontenac,Campagne d'adhésion pour les six ans de l'APLTI,2021-07-30,9,https://www.courrierfrontenac.qc.ca/2021/07/30/campagne-dadhesion-pour-les-six-ans-de-laplti/,2021-08-08 17:52:28,national
