Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Saint-Jérôme,accident,1,Radio-Canada.ca,Un homme se noie dans le fleuve près de l'Anse-Benson à Lévis,2021-08-03,5,https://ici.radio-canada.ca/nouvelle/1813432/noyade-levis-anse-benson-saint-romuald,2021-08-08 08:39:43,local
Saint-Jérôme,accident,2,Le Journal de Montréal,Deux-Montagnes: le conducteur ivre remis en liberté,2021-07-19,20,https://www.journaldemontreal.com/2021/07/19/deux-montagnes-le-conducteur-ivre-remis-en-liberte,2021-08-08 08:39:43,local
Saint-Jérôme,accident,3,Le Journal de Montréal,À deux doigts de la mort à cause d'un coup de chaleur,2021-08-01,7,https://www.journaldemontreal.com/2021/08/01/a-deux-doigts-de-la-mort-a-cause-dun-coup-de-chaleur,2021-08-08 08:39:43,local
Saint-Jérôme,accident,4,TVA Nouvelles,Un travailleur perd la vie après une chute de 5 étages à l'Hôpital de Saint-Jérôme,2021-04-27,103,https://www.tvanouvelles.ca/2021/04/27/un-travailleur-chute-de-4-etages-a-lhopital-de-saint-jerome,2021-08-08 08:39:44,local
Saint-Jérôme,accident,5,TopoLocal,"Un véhicule de la police impliqué dans un accident, coin Labelle et Lajeunesse à Saint-Jérôme",2021-06-12,57,https://www.topolocal.ca/2021/06/12/un-vehicule-de-la-police-implique-dans-un-accident-coin-labelle-et-lajeunesse-a-saint-jerome/,2021-08-08 08:39:44,local
Saint-Jérôme,accident,6,Le Journal de Montréal,Un motocycliste meurt dans un accident à Saint-Jérôme,2020-10-04,308,https://www.journaldemontreal.com/2020/10/04/un-motocycliste-meurt-dans-un-accident-a-saint-jerome-1,2021-08-08 08:39:44,local
Saint-Jérôme,accident,7,TopoLocal,Accident sur la 117 à Lafontaine,2020-12-01,250,https://www.topolocal.ca/2020/12/01/accident-sur-la-117-a-lafontaine/,2021-08-08 08:39:44,local
Saint-Jérôme,accident,8,Mon Joliette,Accident de travail à Saint-Jérôme : Un Joliettain perd la vie après une chute de cinq étages,2021-04-28,102,https://monjoliette.com/accident-de-travail-a-saint-jerome-un-joliettain-perd-la-vie-apres-une-chute-de-cinq-etages/,2021-08-08 08:39:44,local
Saint-Jérôme,accident,9,TopoLocal,"Accident au centre-ville de Saint-Jérôme, blessures légères",2020-12-04,247,https://www.topolocal.ca/2020/12/04/accident-au-centre-ville-saint-jerome-blessures-legeres/,2021-08-08 08:39:45,local
Saint-Jérôme,accident,10,Le Journal de Montréal,Un père de quatre enfants meurt en chutant d'un toit,2021-05-04,96,https://www.journaldemontreal.com/2021/05/04/un-pere-de-quatre-enfants-meurt-en-chutant-dun-toit,2021-08-08 08:39:45,local
Saint-Jérôme,accident,11,TopoLocal,Un piéton de 75 ans meurt dans le stationnement de L'Aubainerie à Saint-Jérôme,2020-09-03,339,https://www.topolocal.ca/2020/09/03/grave-accident-dans-le-stationnement-de-aubainerie-a-saint-jerome/,2021-08-08 08:39:46,local
Saint-Jérôme,accident,12,TVA Nouvelles,Un accident de travail mortel par semaine au Québec,2021-04-28,102,https://www.tvanouvelles.ca/2021/04/28/un-accident-de-travail-mortel-par-semaine-au-quebec-1,2021-08-08 08:39:46,local
