Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Trois-Rivières,"""premier ministre""",1,Le Nouvelliste - Groupe Capitales Médias,Le passeport vaccinal envisagé à Trois-Rivières | COVID-19 | Actualités,2021-08-05,3,https://www.lenouvelliste.ca/actualites/covid-19/le-passeport-vaccinal-envisage-a-trois-rivieres-b55302296bb218423ccf0bc56e8df66e,2021-08-08 14:07:20,national
Trois-Rivières,"""premier ministre""",2,Le Soleil - Groupe Capitales Médias,COVID-19: «de la préoccupation à l'inquiétude» | Le fil des régions | Actualités,2021-08-06,2,https://www.lesoleil.com/actualite/le-fil-groupe-capitales-medias/covid-19-de-la-preoccupation-a-linquietude-c6b56ed3e2f8cd061debdc33ef4f00dd,2021-08-08 14:07:20,national
Trois-Rivières,"""premier ministre""",3,Le Nouvelliste - Groupe Capitales Médias,Maskicom : Branchez-nous interpelle le premier ministre | Actualités,2021-07-19,20,https://www.lenouvelliste.ca/actualites/maskicom--branchez-nous-interpelle-le-premier-ministre-191b65cdebb7451d0393885baefbf69e,2021-08-08 14:07:20,national
Trois-Rivières,"""premier ministre""",4,L'Hebdo Journal,Éric Duhaime en visite en Mauricie,2021-07-21,18,https://www.lhebdojournal.com/eric-duhaime-en-visite-en-mauricie/,2021-08-08 14:07:21,national
Trois-Rivières,"""premier ministre""",5,Radio-Canada.ca,Québec annoncera de nouvelles mesures sanitaires dans les jours à venir | Coronavirus,2021-08-05,3,https://ici.radio-canada.ca/nouvelle/1814293/covid-pandemie-restrictions-hausse-cas-francois-legault,2021-08-08 14:07:21,national
Trois-Rivières,"""premier ministre""",6,iHeartRadio,Rivière Péribonka : Les groupes demandent l'aide du premier ministre,2021-08-03,5,https://www.iheartradio.ca/energie/energie-saguenay/nouvelles/riviere-peribonka-les-groupes-demandent-l-aide-du-premier-ministre-1.15769461,2021-08-08 14:07:22,national
Trois-Rivières,"""premier ministre""",7,La Presse,Hausse des cas | François Legault évoque l'ajout de « nouvelles mesures »,2021-08-04,4,https://www.lapresse.ca/covid-19/2021-08-04/hausse-des-cas/francois-legault-evoque-l-ajout-de-nouvelles-mesures.php,2021-08-08 14:07:22,national
Trois-Rivières,"""premier ministre""",8,Le Devoir,Un appel de la société civile haïtienne,2021-08-06,2,https://www.ledevoir.com/opinion/idees/623121/idees-un-appel-de-la-societe-civile-haitienne,2021-08-08 14:07:22,national
Trois-Rivières,"""premier ministre""",9,TVA Nouvelles,Les développements sur le coronavirus du 4 août 2021,2021-08-04,4,https://www.tvanouvelles.ca/2021/08/04/en-direct--les-derniers-developpements-sur-le-coronavirus,2021-08-08 14:07:22,national
Trois-Rivières,"""premier ministre""",10,Le Soleil - Groupe Capitales Médias,La fabuleuse histoire du «parc» des Laurentides | Actualités,2021-08-08,0,https://www.lesoleil.com/actualite/la-fabuleuse-histoire-du-parc-des-laurentides-de0d97b3427dc30d5a1b465b3fece03b,2021-08-08 14:07:23,national
Trois-Rivières,"""premier ministre""",11,ICI.Radio-Canada.ca,150 000 foyers du Québec de plus branchés à Internet haute vitesse d'ici l'automne 2022,2021-03-22,139,https://ici.radio-canada.ca/nouvelle/1779002/annonce-trudeau-legault-internet-haute-vitesse-trois-rivieres,2021-08-08 14:07:23,national
Trois-Rivières,"""premier ministre""",12,Le Nouvelliste - Groupe Capitales Médias,La Mauricie et le Centre-du-Québec données en exemple par le premier ministre,2021-04-01,129,https://www.lenouvelliste.ca/actualites/covid-19/la-mauricie-et-le-centre-du-quebec-donnees-en-exemple-par-le-premier-ministre-caf0d5b0ae9dc142963d171fb05e0ab1,2021-08-08 14:07:23,national
Trois-Rivières,"""premier ministre""",13,Le Nouvelliste - Groupe Capitales Médias,Coupable d'avoir «lancé des couteaux» en direction du premier ministre Legault,2021-05-04,96,https://www.lenouvelliste.ca/actualites/justice-et-faits-divers/coupable-davoir-lance-des-couteaux-en-direction-du-premier-ministre-legault-0f00230c2d025e9d9edf353271abbe76,2021-08-08 14:07:23,national
Trois-Rivières,"""premier ministre""",14,Le Journal de Montréal,Un candidat à la mairie veut internationaliser Trois-Rivières,2021-06-01,68,https://www.journaldemontreal.com/2021/06/01/un-candidat-a-la-mairie-veut-internationaliser-trois-rivieres,2021-08-08 14:07:23,national
Trois-Rivières,"""premier ministre""",15,Le Journal de Québec,"Reconfinement: traitement-choc pour Québec, Lévis et Gatineau",2021-03-31,130,https://www.journaldequebec.com/2021/03/31/covid-19-legault-tiendra-un-point-de-presse-a-17h,2021-08-08 14:07:24,national
Trois-Rivières,"""premier ministre""",16,Le Nouvelliste - Groupe Capitales Médias,La région reste en zone rouge | Actualités,2021-02-03,186,https://www.lenouvelliste.ca/actualites/la-region-reste-en-zone-rouge-e89fd55a8a5e5ad5fcc38273d68b0a4e,2021-08-08 14:07:24,national
Trois-Rivières,"""premier ministre""",17,Le Nouvelliste - Groupe Capitales Médias,Si Québec réglait ses comptes avec Shawinigan | Chroniques,2021-06-26,43,https://www.lenouvelliste.ca/chroniques/si-quebec-reglait-ses-comptes-avec-shawinigan-52b99f702d361e4430830bb1a7bc7980,2021-08-08 14:07:24,national
Trois-Rivières,"""premier ministre""",18,La Presse,Troisième vague | Le premier ministre du Manitoba crie à l'aide,2021-05-21,79,https://www.lapresse.ca/covid-19/2021-05-21/troisieme-vague/le-premier-ministre-du-manitoba-crie-a-l-aide.php,2021-08-08 14:07:24,national
Trois-Rivières,"""premier ministre""",19,Le Journal de Montréal,Le prince Philip était venu à Trois-Rivières,2021-04-09,121,https://www.journaldemontreal.com/2021/04/09/le-prince-philip-etait-venu-a-trois-rivieres-1,2021-08-08 14:07:24,national
Trois-Rivières,"""premier ministre""",20,Le Soleil - Groupe Capitales Médias,Fitzgibbon déjà près d'un retour? | Politique | Actualités,2021-06-03,66,https://www.lesoleil.com/actualite/politique/fitzgibbon-deja-pres-dun-retour-4bc21a2240e0c449175e897f2c9bfbe3,2021-08-08 14:07:25,national
Trois-Rivières,"""premier ministre""",21,TVA Nouvelles,Le Premier ministre indien n'assistera pas en personne au sommet du G7 en Angleterre,2021-05-11,89,https://www.tvanouvelles.ca/2021/05/11/le-premier-ministre-indien-nassistera-pas-en-personne-au-sommet-du-g7-en-angleterre,2021-08-08 14:07:25,national
Trois-Rivières,"""premier ministre""",22,Le Nouvelliste - Groupe Capitales Médias,Le cri du cœur d'Eliott Beaulieu entendu par le premier ministre,2020-12-20,231,https://www.lenouvelliste.ca/actualites/le-cri-du-cur-deliott-beaulieu-entendu-par-le-premier-ministre-fe62ad9a2d93125644f7c3641957fe7d,2021-08-08 14:07:25,national
Trois-Rivières,"""premier ministre""",23,Le Journal de Québec,Divisons le Québec en trois zones,2021-02-06,183,https://www.journaldequebec.com/2021/02/06/divisons-le-quebec-en-trois-zones,2021-08-08 14:07:25,national
Trois-Rivières,"""premier ministre""",24,Le Soleil - Groupe Capitales Médias,Fin des régions rouges lundi [VIDÉO] | COVID-19 | Actualités,2021-06-01,68,https://www.lesoleil.com/actualite/covid-19/fin-des-regions-rouges-lundi-video-0b3dac2083123c96b2e756a60cbe44a4,2021-08-08 14:07:25,national
Trois-Rivières,"""premier ministre""",25,Le Nouvelliste - Groupe Capitales Médias,Covid-19 : Le Premier ministre luxembourgeois testé positif | Actualités,2021-06-27,42,https://www.lenouvelliste.ca/actualites/covid-19--le-premier-ministre-luxembourgeois-teste-positif-13f7529767347f1b2284e3e0f71d5bcd,2021-08-08 14:07:25,national
Trois-Rivières,climat,1,ICI.Radio-Canada.ca,Pénurie de personnel : des infirmières de l'hôpital de Trois-Rivières sonnent l'alarme,2021-07-13,26,https://ici.radio-canada.ca/nouvelle/1808482/hopital-trois-rivieres-heures-supplementaires-infirmieres,2021-08-08 14:08:03,national
Trois-Rivières,climat,2,Le Journal de Montréal,Un avertissement de smog en vigueur en Mauricie,2021-07-19,20,https://www.journaldemontreal.com/2021/07/19/un-avertissement-de-smog-en-vigueur-en-mauricie-1,2021-08-08 14:08:04,national
Trois-Rivières,climat,3,Le Soleil - Groupe Capitales Médias,Ottawa verse 435 000 $ pour 40 bornes de recharge à Trois-Rivières,2021-07-22,17,https://www.lesoleil.com/auto/ottawa-verse-435-000--pour-40-bornes-de-recharge-a-trois-rivieres-0adc8015494dbb8d0d05f001fd05bbd5,2021-08-08 14:08:04,national
Trois-Rivières,climat,4,Le Nouvelliste - Groupe Capitales Médias,Nous appuyons René Villemure | Opinions,2021-08-01,7,https://www.lenouvelliste.ca/opinions/nous-appuyons-rene-villemure-b1c514306d2fe92737b015956cb732e5,2021-08-08 14:08:04,national
Trois-Rivières,climat,5,Le Peuple Lotbinière,Climat favorable pour la création d'une réserve de biodiversité,2021-07-28,11,https://www.lepeuplelotbiniere.ca/1298/%C3%80_la_une_aujourd_hui.html?id=93572,2021-08-08 14:08:04,national
Trois-Rivières,climat,6,Le Nouvelliste - Groupe Capitales Médias,Centre Roland-Leclerc: d'anciens employés dénoncent le climat de travail,2021-02-11,178,https://www.lenouvelliste.ca/actualites/centre-roland-leclerc-danciens-employes-denoncent-le-climat-de-travail-22fde8c42b7bf583134016698ca90893,2021-08-08 14:08:05,national
Trois-Rivières,climat,7,Le Droit - Groupe Capitales Médias,Action Climat Outaouais se réjouit du rejet du projet Énergie Saguenay de GNL,2021-07-22,17,https://www.ledroit.com/opinions/action-climat-outaouais-se-rejouit-du-rejet-du-projet-energie-saguenay-de-gnl-e2c59fc8726f6ad6871de1e2db336c39,2021-08-08 14:08:05,national
Trois-Rivières,climat,8,ICI.Radio-Canada.ca,L'accès à l'eau potable reste un défi à Iqaluit,2021-08-07,1,https://ici.radio-canada.ca/nouvelle/1815115/iqaluit-eau-potable-janet-brewster,2021-08-08 14:08:05,national
Trois-Rivières,climat,9,Le Monde,"« Cette météo, ce n'est pas la nôtre » : en Russie, un été de catastrophes climatiques",2021-08-04,4,https://www.lemonde.fr/climat/article/2021/08/04/cette-meteo-ce-n-est-pas-la-notre-en-russie-un-ete-de-catastrophes-climatiques_6090462_1652612.html,2021-08-08 14:08:05,national
Trois-Rivières,climat,10,L'Express,"Canicules, incendies, inondations... Le changement climatique, c'est maintenant",2021-08-01,7,https://www.lexpress.fr/actualite/societe/environnement/canicules-incendies-inondations-le-changement-climatique-c-est-maintenant_2155816.html,2021-08-08 14:08:05,national
Trois-Rivières,climat,11,L'Hebdo Journal,Un premier Grand Splash à Trois-Rivières,2021-07-02,37,https://www.lhebdojournal.com/un-premier-grand-splash-a-trois-rivieres/,2021-08-08 14:08:06,national
