Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Alma,élection OR campagne,1,Journal Le Lac St-Jean,Alma veut se doter d'une « marque citoyenne »,2021-07-19,27,https://lelacstjean.com/actualite/alma-veut-se-doter-dune-marque-citoyenne/,2021-08-15 17:07:04,mixte
Alma,élection OR campagne,2,Monlimoilou.com,"La relève 2021-22 chez les Titans de Limoilou : Laura Tremblay, no 11",2021-08-14,1,http://monlimoilou.com/2021/la-releve-2021-22-chez-les-titans-de-limoilou-laura-tremblay-no-11/,2021-08-15 17:07:04,mixte
Alma,élection OR campagne,3,Le Quotidien - Groupe Capitales Médias,Audrée Villeneuve lance sa campagne dans le district Scott à Alma,2021-04-12,125,https://www.lequotidien.com/actualites/audree-villeneuve-lance-sa-campagne-dans-le-district-scott-a-alma-0ff59057f2cc40041c32fa9da59b8b83,2021-08-15 17:07:04,mixte
Alma,élection OR campagne,4,Le Journal de Montréal,Il pleut de l'argent,2021-07-18,28,https://www.journaldemontreal.com/2021/07/18/il-pleut-de-largent,2021-08-15 17:07:04,mixte
Alma,élection OR campagne,5,Le journal de Lévis,Maisons des aînés : inquiétudes en raison de déboisements,2021-07-27,19,https://www.journaldelevis.com/1298/%C3%80_la_une_aujourd_hui.html?id=81199,2021-08-15 17:07:05,mixte
Alma,élection OR campagne,6,Journal Le Lac St-Jean,Non classé Mairie d'Alma: les candidats sillonneront la ville cet été,2021-07-04,42,https://lelacstjean.com/non-classe/mairie-dalma-les-candidats-sillonneront-la-ville-cet-ete/,2021-08-15 17:07:05,mixte
Alma,élection OR campagne,7,Journal Le Lac St-Jean,Élections municipales à Alma : sept conseillers confirment leurs intentions,2021-03-31,137,https://lelacstjean.com/actualite/elections-municipales-a-alma-sept-conseillers-sur-huit-veulent-un-autre-mandat/,2021-08-15 17:07:05,mixte
Alma,élection OR campagne,8,Le Quotidien - Groupe Capitales Médias,Une première candidature officialisée pour la mairie d'Alma,2021-05-26,81,https://www.lequotidien.com/actualites/une-premiere-candidature-officialisee-pour-la-mairie-dalma-1c4b3c4ffd1adf47505e1c242f1ae80e,2021-08-15 17:07:05,mixte
Alma,élection OR campagne,9,ICI.Radio-Canada.ca,Marc Asselin quittera la politique municipale en novembre,2021-05-18,89,https://ici.radio-canada.ca/nouvelle/1793999/marc-asselin-depart-politique-alma,2021-08-15 17:07:05,mixte
Alma,élection OR campagne,10,Le Monde,Quand Rome rencontra les irréductibles Germains,2021-08-15,0,https://www.lemonde.fr/series-d-ete/article/2021/08/15/quand-rome-rencontra-les-irreductibles-germains_6091509_3451060.html,2021-08-15 17:07:05,mixte
Alma,élection OR campagne,11,La Voix du Nord,Vaccination à Roubaix: pourquoi c'est plus compliqué dans les quartiers populaires,2021-08-13,2,https://www.lavoixdunord.fr/1056549/article/2021-08-13/vaccination-roubaix-pourquoi-c-est-plus-complique-dans-les-quartiers-populaires,2021-08-15 17:07:06,mixte
Alma,élection OR campagne,12,Le Quotidien - Groupe Capitales Médias,Éric Duhaime en campagne électorale virtuelle au Saguenay-Lac-Saint-Jean,2021-02-17,179,https://www.lequotidien.com/actualites/eric-duhaime-en-campagne-electorale-virtuelle-au-saguenay-lac-saint-jean-94bc76c1c0a24e490906c98dda1af1b3,2021-08-15 17:07:06,mixte
Alma,élection OR campagne,13,Le Quotidien - Groupe Capitales Médias,Une campagne de sociofinancement pour le Club Rotary d'Alma,2020-12-16,242,https://www.lequotidien.com/actualites/une-campagne-de-sociofinancement-pour-le-club-rotary-dalma-9e551a0773b2d8ae486bb70f2976087e,2021-08-15 17:07:06,mixte
Alma,élection OR campagne,14,TVA Nouvelles,Pré-bal illégal à Alma: deux classes de secondaire 5 en confinement,2021-06-08,68,https://www.tvanouvelles.ca/2021/06/08/pre-bal-illegal-a-alma-deux-classes-de-secondaire-5-en-confinement-1,2021-08-15 17:07:06,mixte
Alma,élection OR campagne,15,Le Quotidien - Groupe Capitales Médias,Olivier Larouche ne sera pas candidat en 2021 à Alma,2021-03-16,152,https://www.lequotidien.com/actualites/olivier-larouche-ne-sera-pas-candidat-en-2021-a-alma-10e8edf638259ddd58c5fddf6ba92f08,2021-08-15 17:07:06,mixte
Alma,élection OR campagne,16,ICI.Radio-Canada.ca,Journée de recrutement pour la campagne de vaccination massive | Coronavirus,2021-04-13,124,https://ici.radio-canada.ca/nouvelle/1784348/employes-embauche-covid-coronavirus-personnel-ciusss-saguenay-lac-saint-jean,2021-08-15 17:07:07,mixte
Alma,élection OR campagne,17,Journal Le Lac St-Jean,Capitation 2021: La campagne est maintenant en cours,2021-05-10,97,https://lelacstjean.com/actualite/capitation-2021-la-campagne-est-maintenant-en-cours/,2021-08-15 17:07:07,mixte
Alma,élection OR campagne,18,Le Quotidien - Groupe Capitales Médias,Le portrait électoral se précise à Alma | Actualités,2021-03-26,142,https://www.lequotidien.com/actualites/le-portrait-electoral-se-precise-a-alma-2534965c3f1eef6487de0d19e0ee8dd7,2021-08-15 17:07:07,mixte
Alma,élection OR campagne,19,Le Quotidien - Groupe Capitales Médias,Alma: un nouveau candidat pour Delisle-Saint-Coeur-de-Marie,2021-05-27,80,https://www.lequotidien.com/actualites/alma-un-nouveau-candidat-pour-delisle-saint-coeur-de-marie-08b590b3e21ac3ba5fe8e76c43ec8662,2021-08-15 17:07:07,mixte
Alma,élection OR campagne,20,Le Journal de Montréal,"La campagne de vaccination, un excellent modèle à suivre",2021-05-19,88,https://www.journaldemontreal.com/2021/05/19/la-campagne-de-vaccination-un-excellent-modele-a-suivre,2021-08-15 17:07:07,mixte
