Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Bécancour,accident,1,TVA Nouvelles,Trois motos impliquées dans un accident de la route,2021-08-15,0,https://www.tvanouvelles.ca/2021/08/15/trois-motos-impliquees-dans-un-accident-de-la-route,2021-08-15 16:22:36,local
Bécancour,accident,2,Le Nouvelliste - Groupe Capitales Médias,Accident de Bécancour: l'identité des victimes connue et demande d'étude au MTQ,2021-03-25,143,https://www.lenouvelliste.ca/actualites/justice-et-faits-divers/accident-de-becancour-lidentite-des-victimes-connue-et-demande-detude-au-mtq-3a7616a3dd8168527d899d81360cbec9,2021-08-15 16:22:36,local
Bécancour,accident,3,Le Nouvelliste - Groupe Capitales Médias,Accident à Bécancour: deux automobilistes perdent la vie,2021-03-23,145,https://www.lenouvelliste.ca/actualites/justice-et-faits-divers/accident-a-becancour-deux-automobilistes-perdent-la-vie-976706d0c4f903fc20d98f1875773284,2021-08-15 16:22:36,local
Bécancour,accident,4,Le Nouvelliste - Groupe Capitales Médias,Accident mortel sur l'autoroute 55 | Justice et faits divers | Actualités,2021-04-25,112,https://www.lenouvelliste.ca/actualites/justice-et-faits-divers/accident-mortel-sur-lautoroute-55-dc05834b9984ceb187aa610e975363d7,2021-08-15 16:22:36,local
Bécancour,accident,5,L'Hebdo Journal,Un 24e podium pour Jocelyn Hébert au Grand Prix de Trois-Rivières,2021-08-14,1,https://www.lhebdojournal.com/un-24e-podium-pour-jocelyn-hebert-au-grand-prix-de-trois-rivieres/,2021-08-15 16:22:37,local
Bécancour,accident,6,Le Nouvelliste - Groupe Capitales Médias,Bécancour: un homme sauvé d'un véhicule en feu,2021-04-06,131,https://www.lenouvelliste.ca/actualites/justice-et-faits-divers/becancour-un-homme-sauve-dun-vehicule-en-feu-f29e12443a4879d914a8b4a1b0900190,2021-08-15 16:22:37,local
Bécancour,accident,7,ICI.Radio-Canada.ca,Collision mortelle : pétition pour améliorer la sécurité sur l'autoroute 30,2021-04-19,118,https://ici.radio-canada.ca/nouvelle/1786066/accident-route-becancour-mtq-elargissement-voie-30-centre-quebec,2021-08-15 16:22:37,local
Bécancour,accident,8,Le Journal de Montréal,Deux morts dans une collision à Bécancour,2020-10-10,309,https://www.journaldemontreal.com/2020/10/10/deux-blesses-graves-dans-une-collision-a-becancour-1,2021-08-15 16:22:37,local
Bécancour,accident,9,Le Nouvelliste - Groupe Capitales Médias,Accident mortel à Bécancour: l'intersection à la sortie de l'autoroute 55 sera réaménagée,2020-10-22,297,https://www.lenouvelliste.ca/actualites/accident-mortel-a-becancour-lintersection-a-la-sortie-de-lautoroute-55-sera-reamenagee-6b9a82e40ef3d37c0b0a8ee7c7126f7c,2021-08-15 16:22:37,local
Bécancour,accident,10,Le Nouvelliste - Groupe Capitales Médias,Le corps d'un homme est repêché dans la rivière Bécancour [VIDÉO],2021-05-01,106,https://www.lenouvelliste.ca/actualites/justice-et-faits-divers/le-corps-dun-homme-est-repeche-dans-la-riviere-becancour-video-6678b3a7bbc00c90cea222303c25cba6,2021-08-15 16:22:37,local
Bécancour,accident,11,Le Nouvelliste - Groupe Capitales Médias,"Jimmy Brière gagne enfin, 54 ans après Roger | Sport local | Sports",2021-08-15,0,https://www.lenouvelliste.ca/sports/sport-local/jimmy-briere-gagne-enfin-54-ans-apres-roger-9c16b0a4b97772b9ab28425533d95493,2021-08-15 16:22:38,local
Bécancour,accident,12,ICI.Radio-Canada.ca,Investissement de 155 M$ pour le réseau routier au Centre-du-Québec,2021-04-14,123,https://ici.radio-canada.ca/nouvelle/1784808/doublement-55-accident-autoroute-30-etudes-becancour,2021-08-15 16:22:38,local
Bécancour,accident,13,La Presse,Centre-du-Québec | Le corps d'un homme repêché à Bécancour,2021-07-02,44,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-07-02/centre-du-quebec/le-corps-d-un-homme-repeche-a-becancour.php,2021-08-15 16:22:38,local
Bécancour,accident,14,TVA Nouvelles,Bécancour: un septuagénaire emporté par les eaux,2021-07-02,44,https://www.tvanouvelles.ca/2021/07/02/becancour-un-septuagenaire-emporte-par-les-eaux,2021-08-15 16:22:38,local
Bécancour,accident,15,La Nouvelle Union,L'alcool en cause dans une embardée?,2021-07-25,21,https://www.lanouvelle.net/2021/07/25/lalcool-en-cause-dans-une-embardee/,2021-08-15 16:22:38,local
Bécancour,accident,16,Le Nouvelliste - Groupe Capitales Médias,Accident sur l'autoroute 30 | Actualités,2020-08-27,353,https://www.lenouvelliste.ca/actualites/accident-sur-lautoroute-30-0dabfa4714f7d670092da5772e58fd98,2021-08-15 16:22:39,local
Bécancour,accident,17,Le Nouvelliste - Groupe Capitales Médias,Accident à Bécancour: l'autoroute 30 maintenant rouverte | Actualités,,,https://www.lenouvelliste.ca/actualites/accident-a-becancour-lautoroute-30-maintenant-rouverte-6316c8bf79535d5c9a08bab4888def90,2021-08-15 16:22:39,local
Bécancour,accident,18,Le Nouvelliste - Groupe Capitales Médias,Carambolage à Bécancour en décembre 2018: distraction mortelle | Justice et faits divers | Actualités,,,https://www.lenouvelliste.ca/actualites/justice-et-faits-divers/carambolage-a-becancour-en-decembre-2018-distraction-mortelle-58aad3ea9f2cf1746c2a7389621eb128,2021-08-15 16:22:39,local
Bécancour,accident,19,Le Courrier Sud,Des troupes mobilisées et solidaires,2021-05-25,82,https://www.lecourriersud.com/des-troupes-mobilisees-et-solidaires/,2021-08-15 16:22:39,local
Bécancour,accident,20,Le Nouvelliste - Groupe Capitales Médias,Accident mortel à Bécancour: la SQ recherche des témoins,,,https://www.lenouvelliste.ca/actualites/accident-mortel-a-becancour-la-sq-recherche-des-temoins-4a22452c38aa3e0cb6eef1c40924380a,2021-08-15 16:22:40,local
Bécancour,accident,21,LaPresse.ca,Accident à Bécancour: l'alcool est en cause,,,https://www.lapresse.ca/actualites/justice-et-faits-divers/faits-divers/201812/21/01-5208812-accident-a-becancour-lalcool-est-en-cause.php,2021-08-15 16:22:40,local
Bécancour,accident,22,Zone911,IMAGES SUR LE VIF - Une poursuite policière qui se termine en accident (Video),2021-04-14,123,https://zone911.com/scenes-policieres/30677-images-sur-le-vif-une-poursuite-policiere-qui-se-termine-en-accident-video,2021-08-15 16:22:40,local
Bécancour,accident,23,Le Journal de Québec,Bécancour: deux morts sur l'autoroute 55 | JDQ,,,https://www.journaldequebec.com/2018/12/13/becancour-accident-majeur-sur-lautoroute-55,2021-08-15 16:22:40,local
Bécancour,accident,24,Le Nouvelliste - Groupe Capitales Médias,Accident sur la 55: l'identité de la victime est dévoilée,2020-09-01,348,https://www.lenouvelliste.ca/actualites/justice-et-faits-divers/accident-sur-la-55-lidentite-de-la-victime-est-devoilee-8d870d53e514a54c5e5c3f8c256adbc2,2021-08-15 16:22:40,local
Bécancour,accident,25,Le Reflet,Accident de chasse à Saint-Mathieu : l'homme est décédé,2020-12-10,248,https://www.lereflet.qc.ca/accident-de-chasse-a-saint-mathieu-lhomme-est-decede/,2021-08-15 16:22:40,local
Bécancour,décès OR mort,1,NecrologieCanada,Moras Marcel 19332021,2021-08-14,1,https://necrocanada.com/deces-2021/moras-marcel-19332021/,2021-08-15 16:23:15,local
Bécancour,décès OR mort,2,NecrologieCanada,Montambeault Therese 19362021,2021-08-13,2,https://necrocanada.com/deces-2021/montambeault-therese-19362021/,2021-08-15 16:23:15,local
Bécancour,décès OR mort,3,NecrologieCanada,Dumont Alain 19592020,2021-07-27,19,https://necrocanada.com/deces-2021/dumont-alain-19592020/,2021-08-15 16:23:15,local
Bécancour,décès OR mort,4,NecrologieCanada,Denise Gingras 16 juillet 2021,2021-07-21,25,https://necrocanada.com/deces-2021/denise-gingras-16-juillet-2021/,2021-08-15 16:23:15,local
Bécancour,décès OR mort,5,NecrologieCanada,Morin Annette 19262021,2021-07-21,25,https://necrocanada.com/deces-2021/morin-annette-19262021/,2021-08-15 16:23:15,local
Bécancour,décès OR mort,6,NecrologieCanada,Richard Renald 19322021,2021-08-11,4,https://necrocanada.com/deces-2021/richard-renald-19322021/,2021-08-15 16:23:16,local
Bécancour,décès OR mort,7,NecrologieCanada,Côte Rene F 19392021,2021-07-19,27,https://necrocanada.com/deces-2021/cote-rene-f-19392021/,2021-08-15 16:23:16,local
Bécancour,décès OR mort,8,NecrologieCanada,Mailhot Jeanne d’Arc 19272021,2021-07-22,24,https://necrocanada.com/deces-2021/mailhot-jeanne-darc-19272021/,2021-08-15 16:23:16,local
Bécancour,décès OR mort,9,La Presse,Un homme périt dans une collision frontale à Bécancour,2021-04-25,112,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-04-25/un-homme-perit-dans-une-collision-frontale-a-becancour.php,2021-08-15 16:23:16,local
Bécancour,décès OR mort,10,La Nouvelle Union,Bécancour : l'homme retrouvé dans la rivière identifié,2021-05-10,97,https://www.lanouvelle.net/2021/05/10/becancour-lhomme-retrouve-dans-la-riviere-identifie/,2021-08-15 16:23:16,local
Bécancour,décès OR mort,11,ICI.Radio-Canada.ca,Un corps retrouvé dans la rivière Bécancour,2021-05-01,106,https://ici.radio-canada.ca/nouvelle/1789557/corps-trouver-becancour-riviere,2021-08-15 16:23:16,local
Bécancour,décès OR mort,12,NecrologieCanada,Leo Aube 20 juillet 2021,2021-07-22,24,https://necrocanada.com/deces-2021/leo-aube-20-juillet-2021/,2021-08-15 16:23:17,local
Bécancour,décès OR mort,13,Le Nouvelliste - Groupe Capitales Médias,Décès du militaire Maxime Miron-Morin: un problème informatique à régler,2021-07-27,19,https://www.lenouvelliste.ca/actualites/justice-et-faits-divers/deces-du-militaire-maxime-miron-morin-un-probleme-informatique-a-regler-5a51996f6ded05802034a473074e8016,2021-08-15 16:23:17,local
Bécancour,décès OR mort,14,Le Nouvelliste - Groupe Capitales Médias,Accident à Bécancour: deux automobilistes perdent la vie,2021-03-23,145,https://www.lenouvelliste.ca/actualites/justice-et-faits-divers/accident-a-becancour-deux-automobilistes-perdent-la-vie-976706d0c4f903fc20d98f1875773284,2021-08-15 16:23:17,local
Bécancour,décès OR mort,15,NecrologieCanada,Therese Comtois Plante 1927 2021,2021-08-10,5,https://necrocanada.com/deces-2021/therese-comtois-plante-1927-2021/,2021-08-15 16:23:17,local
Bécancour,décès OR mort,16,TVA Nouvelles,Bécancour: un septuagénaire emporté par les eaux,2021-07-02,44,https://www.tvanouvelles.ca/2021/07/02/becancour-un-septuagenaire-emporte-par-les-eaux,2021-08-15 16:23:17,local
Bécancour,décès OR mort,17,Le Nouvelliste - Groupe Capitales Médias,Accident de Bécancour: l'identité des victimes connue et demande d'étude au MTQ,2021-03-25,143,https://www.lenouvelliste.ca/actualites/justice-et-faits-divers/accident-de-becancour-lidentite-des-victimes-connue-et-demande-detude-au-mtq-3a7616a3dd8168527d899d81360cbec9,2021-08-15 16:23:17,local
Bécancour,décès OR mort,18,Le Journal de Montréal,Deux morts dans une collision à Bécancour,2020-10-10,309,https://www.journaldemontreal.com/2020/10/10/deux-blesses-graves-dans-une-collision-a-becancour-1,2021-08-15 16:23:18,local
Bécancour,décès OR mort,19,Le Courrier Sud,La décomposition humaine à l'étude à Bécancour,2020-12-01,257,https://www.lecourriersud.com/la-decomposition-humaine-a-letude-a-becancour/,2021-08-15 16:23:18,local
Bécancour,décès OR mort,20,La Presse,Centre-du-Québec | Le corps d'un homme repêché à Bécancour,2021-07-02,44,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-07-02/centre-du-quebec/le-corps-d-un-homme-repeche-a-becancour.php,2021-08-15 16:23:18,local
Bécancour,décès OR mort,21,Le Nouvelliste - Groupe Capitales Médias,Bécancour: un homme sauvé d'un véhicule en feu,2021-04-06,131,https://www.lenouvelliste.ca/actualites/justice-et-faits-divers/becancour-un-homme-sauve-dun-vehicule-en-feu-f29e12443a4879d914a8b4a1b0900190,2021-08-15 16:23:19,local
