Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Coaticook,élection OR campagne,1,Le Progrès de Coaticook,Un groupe de citoyens veille à la santé du lac Lyster à Coaticook,2021-07-24,22,https://www.leprogres.net/2021/07/24/un-groupe-de-citoyens-veille-a-la-sante-du-lac-lyster-a-coaticook/,2021-08-15 17:33:49,mixte
Coaticook,élection OR campagne,2,Le Progrès de Coaticook,Conducteurs de véhicules poids lourds: Coaticook appelle au civisme à l'entrée du centre-ville,2021-07-19,27,https://www.leprogres.net/2021/07/19/conducteurs-de-vehicules-poids-lourds-coaticook-appelle-au-civisme-a-lentree-du-centre-ville/,2021-08-15 17:33:49,mixte
Coaticook,élection OR campagne,3,Le Reflet du Lac,Le GBC 500 s'amorce sous la flotte,2021-08-14,1,https://www.lerefletdulac.com/2021/08/14/le-gbc-500-samorce-sous-la-flotte/,2021-08-15 17:33:49,mixte
Coaticook,élection OR campagne,4,Le Reflet du Lac,Le GBC 500 en voie de devenir un rendez-vous international,2021-08-11,4,https://www.lerefletdulac.com/2021/08/11/le-gbc-500-en-voie-de-devenir-un-rendez-vous-international/,2021-08-15 17:33:50,mixte
Coaticook,élection OR campagne,5,Le Progrès de Coaticook,Campagne de vaccination: l'église Saint-Edmond identifiée comme site à Coaticook,2021-02-24,172,https://www.leprogres.net/2021/02/24/campagne-de-vaccination-leglise-saint-edmond-identifiee-comme-site-a-coaticook/,2021-08-15 17:33:50,mixte
Coaticook,élection OR campagne,6,Le Progrès de Coaticook,Une campagne d'affichage pour mieux identifier les produits de la région de Coaticook,2021-07-08,38,https://www.leprogres.net/2021/07/08/une-campagne-daffichage-pour-mieux-identifier-les-produits-de-la-region-de-coaticook/,2021-08-15 17:33:50,mixte
Coaticook,élection OR campagne,7,Le Progrès de Coaticook,Campagne de vaccination (test 4),2021-06-02,74,https://www.leprogres.net/2021/06/02/campagne-de-vaccination-test-4/,2021-08-15 17:33:50,mixte
Coaticook,élection OR campagne,8,Le Progrès de Coaticook,Coaticook participera à l'événement «L'Estrie met ses culottes»,2021-04-28,109,https://www.leprogres.net/2021/04/28/coaticook-participera-a-levenement-lestrie-met-ses-culottes/,2021-08-15 17:33:50,mixte
Coaticook,élection OR campagne,9,Le Devoir,Série «Histoires de granges»: quel avenir pour les vieilles granges?,2021-07-17,29,https://www.ledevoir.com/societe/618762/histoires-de-granges-quel-avenir-pour-les-vieilles-granges,2021-08-15 17:33:51,mixte
Coaticook,élection OR campagne,10,Le Progrès de Coaticook,Une campagne de sociofinancement vient en aide à un père de famille de Compton,2021-01-18,209,https://www.leprogres.net/2021/01/18/une-campagne-de-sociofinancement-vient-en-aide-a-un-pere-de-famille-de-compton/,2021-08-15 17:33:51,mixte
Coaticook,élection OR campagne,11,Le Progrès de Coaticook,Centraide Estrie franchit le cap des 2 millions $,2021-04-03,134,https://www.leprogres.net/2021/04/03/centraide-estrie-franchit-le-cap-des-2-millions/,2021-08-15 17:33:51,mixte
Coaticook,élection OR campagne,12,Le Progrès de Coaticook,La vaccination des personnes âgées de 65 ans et plus maintenant disponible,2021-03-19,149,https://www.leprogres.net/2021/03/19/la-vaccination-des-personnes-agees-de-65-ans-et-plus-maintenant-disponible/,2021-08-15 17:33:51,mixte
Coaticook,élection OR campagne,13,Le Progrès de Coaticook,Ressources Coaticook: «on fait la différence… parce qu'on s'est adapté»,2021-05-12,95,https://www.leprogres.net/2021/05/12/ressources-coaticook-on-fait-la-difference-parce-quon-sest-adapte/,2021-08-15 17:33:51,mixte
Coaticook,élection OR campagne,14,ICI.Radio-Canada.ca,Une nouvelle attraction ouvre ses portes à Coaticook,2021-07-11,35,https://ici.radio-canada.ca/nouvelle/1808236/experience-eau-aquatique-coaticook-immersif,2021-08-15 17:33:51,mixte
Coaticook,élection OR campagne,15,Le Progrès de Coaticook,On fait la différence… parce qu'on est passionnés,2021-06-16,60,https://www.leprogres.net/2021/06/16/on-fait-la-difference-parce-quon-est-passionnes/,2021-08-15 17:33:52,mixte
Coaticook,élection OR campagne,16,Le Progrès de Coaticook,Vaccination contre la COVID-19: le CAB de Coaticook proposera un accompagnement-transport,2021-03-01,167,https://www.leprogres.net/2021/03/01/vaccination-contre-la-covid-19-le-cab-de-coaticook-proposera-un-accompagnement-transport/,2021-08-15 17:33:52,mixte
Coaticook,élection OR campagne,17,Le Progrès de Coaticook,Quatre organismes de la région de Coaticook reçoivent un coup de pouce de Centraide Estrie,2021-06-17,59,https://www.leprogres.net/2021/06/17/quatre-organismes-de-la-region-de-coaticook-recoivent-un-coup-de-pouce-de-centraide-estrie/,2021-08-15 17:33:52,mixte
Coaticook,élection OR campagne,18,Le Progrès de Coaticook,La campagne «Road trip aux saveurs locales» primée au prix de la «World Travel Food Association»,2021-02-16,180,https://www.leprogres.net/2021/02/16/la-campagne-road-trip-aux-saveurs-locales-primee-au-prix-de-la-world-travel-food-association/,2021-08-15 17:33:52,mixte
Coaticook,élection OR campagne,19,Le Progrès de Coaticook,Coaticook crée un comité d'environnement et de lutte aux changements climatiques,2021-04-23,114,https://www.leprogres.net/2021/04/23/coaticook-cree-un-comite-denvironnement-et-de-lutte-aux-changements-climatiques/,2021-08-15 17:33:53,mixte
Coaticook,élection OR campagne,20,Le Progrès de Coaticook,Les Journées de la jonquille se transportent sur le web à Coaticook,2021-04-21,116,https://www.leprogres.net/2021/04/21/les-journees-de-la-jonquille-se-transportent-sur-le-web-a-coaticook/,2021-08-15 17:33:53,mixte
Coaticook,élection OR campagne,21,Le Progrès de Coaticook,Le Centre d'action bénévole de la MRC de Coaticook a poursuivi les efforts en cette année de pandémie,2021-06-26,50,https://www.leprogres.net/2021/06/26/le-centre-daction-benevole-de-la-mrc-de-coaticook-a-poursuivi-les-efforts-en-cette-annee-de-pandemie/,2021-08-15 17:33:53,mixte
Coaticook,élection OR campagne,22,Le Progrès de Coaticook,Vivre à Waterville: une petite communauté au grand cœur,2021-07-09,37,https://www.leprogres.net/2021/07/09/vivre-a-waterville-une-petite-communaute-au-grand-coeur/,2021-08-15 17:33:53,mixte
Coaticook,élection OR campagne,23,Le Progrès de Coaticook,RénoRégion: la MRC de Coaticook reçoit 50 000 $,2021-06-04,72,https://www.leprogres.net/2021/06/04/renoregion-la-mrc-de-coaticook-recoit-50-000/,2021-08-15 17:33:53,mixte
Coaticook,élection OR campagne,24,EstriePlus.com,Simon Madore prêt pour un autre mandat à la mairie de Coaticook - ACTUALITÉS - Estrie - Estrieplus.com - Le journal Internet,2021-01-19,208,http://estrieplus.com/contenu-simon_madore_pret_pour_un_autre_mandat_a_la_mairie_de_coaticook-1355-49119.html,2021-08-15 17:33:54,mixte
Coaticook,élection OR campagne,25,La Tribune - Groupe Capitales Médias,Une entreprise de minage de cryptomonnaie s'installe à Coaticook,2021-06-30,46,https://www.latribune.ca/actualites/estrie-et-regions/une-entreprise-de-minage-de-cryptomonnaie-sinstalle-a-coaticook-57458f9cd0f7cfda8e05613e070c4782,2021-08-15 17:33:54,mixte
Coaticook,député,1,EstriePlus.com,464800 $ pour soutenir la mission des CJE de Sherbrooke et de Coaticook - ACTUALITÉS - Estrie - Estrieplus.com - Le journal Internet,2021-08-02,13,http://estrieplus.com/contenu-464800_pour_soutenir_mission_des_cje_de_sherbrooke_et_de_coaticook-1355-49937.html,2021-08-15 17:34:29,mixte
Coaticook,député,2,La Voix de l'est - Groupe Capitales Médias,Êtes-vous Estrie ou Cantons-de-l'Est ?,2021-08-07,8,https://www.lavoixdelest.ca/actualites/etes-vous-estrie-ou-cantons-de-lest--2aef5ff38ebf97d0a64b62636cafcaa2,2021-08-15 17:34:29,mixte
Coaticook,député,3,Le Progrès de Coaticook,L'ex-député Jean Rousseau lance un album,2021-05-02,105,https://www.leprogres.net/2021/05/02/lex-depute-jean-rousseau-lance-un-album/,2021-08-15 17:34:30,mixte
