Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Cowansville,élection OR campagne,1,La Voix de l'est - Groupe Capitales Médias,Port du masque: une boulangerie victime d'une campagne de salissage,2021-07-20,26,https://www.lavoixdelest.ca/actualites/port-du-masque-une-boulangerie-victime-dune-campagne-de-salissage-977a991fd1d4fad29c79e73965eb6150,2021-08-15 17:37:04,mixte
Cowansville,élection OR campagne,2,Journal Le Guide - Cowansville,Une station de lavage d'embarcations pour lutter contre les espèces envahissantes,2021-08-05,10,https://www.journalleguide.com/2021/08/05/une-station-de-lavage-dembarcations-pour-lutter-contre-les-especes-envahissantes/,2021-08-15 17:37:05,mixte
Cowansville,élection OR campagne,3,Journal Le Guide - Cowansville,Frédérick Gaudreau passe au Wild du Minnesota,2021-07-28,18,https://www.journalleguide.com/2021/07/28/frederick-gaudreau-passe-au-wild-du-minnesota/,2021-08-15 17:37:05,mixte
Cowansville,élection OR campagne,4,L'Avenir et des Rivières - Farnham,"La mobilité durable, un enjeu de taille dans la MRC de Brome-Missisquoi",2021-07-27,19,https://www.laveniretdesrivieres.com/2021/07/27/la-mobilite-durable-un-enjeu-de-taille-dans-la-mrc-de-brome-missisquoi/,2021-08-15 17:37:05,mixte
Cowansville,élection OR campagne,5,Journal Le Guide - Cowansville,Troisième campagne pour les Dollars Cowansville,2021-06-16,60,https://www.journalleguide.com/2021/06/16/troisieme-campagne-pour-les-dollars-cowansville/,2021-08-15 17:37:05,mixte
Cowansville,élection OR campagne,6,La Terre de chez nous,Un projet d'inclusion sociale qui profite aux agriculteurs | La Terre de Chez Nous,2021-08-06,9,https://www.laterre.ca/actualites/un-projet-dinclusion-sociale-qui-profite-aux-agriculteurs,2021-08-15 17:37:05,mixte
Cowansville,élection OR campagne,7,Journal Le Guide - Cowansville,La 21e édition du Défi têtes rasées Leucan officiellement lancée,2021-07-19,27,https://www.journalleguide.com/2021/07/19/la-21e-edition-du-defi-tetes-rasees-leucan-officiellement-lancee/,2021-08-15 17:37:06,mixte
Cowansville,élection OR campagne,8,La Voix de l'est - Groupe Capitales Médias,Des burgers pour stopper la sclérose en plaques,2021-08-08,7,https://www.lavoixdelest.ca/actualites/des-burgers-pour-stopper-la-sclerose-en-plaques-a968c87e3aadbd1d7316e05092e7901c,2021-08-15 17:37:06,mixte
Cowansville,élection OR campagne,9,Journal Le Guide - Cowansville,La mairesse de Cowansville sollicite un deuxième mandat,2021-06-09,67,https://www.journalleguide.com/2021/06/09/la-mairesse-de-cowansville-sollicite-un-deuxieme-mandat/,2021-08-15 17:37:06,mixte
Cowansville,élection OR campagne,10,Journal Le Guide - Cowansville,Campagne de vaccination (test 4),2021-06-02,74,https://www.journalleguide.com/2021/06/02/campagne-de-vaccination-test-4/,2021-08-15 17:37:06,mixte
