Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Dolbeau-Mistassini,"""premier ministre""",1,Le Quotidien - Groupe Capitales Médias,Le Camping Saint-Louis de Dolbeau-Mistassini est vendu,2021-04-06,131,https://www.lequotidien.com/actualites/le-camping-saint-louis-de-dolbeau-mistassini-est-vendu-ed38f561a3a3a5446f87bf4593172e16,2021-08-15 18:16:29,national
Dolbeau-Mistassini,"""premier ministre""",2,Le Quotidien - Groupe Capitales Médias,Rencontre avec Legault : Cloutier réitère sa demande | Actualités,2021-07-15,31,https://www.lequotidien.com/actualites/rencontre-avec-legault--cloutier-reitere-sa-demande-23d9891026a9c7b28eeab5d9d4c0c8c6,2021-08-15 18:16:29,national
Dolbeau-Mistassini,"""premier ministre""",3,Le Quotidien - Groupe Capitales Médias,Dolbeau-Mistassini adopte sa première politique pour les nouveaux arrivants,2021-04-07,130,https://www.lequotidien.com/actualites/dolbeau-mistassini-adopte-sa-premiere-politique-pour-les-nouveaux-arrivants-a1877053eb7947d94da1402ad3d79d6f,2021-08-15 18:16:29,national
Dolbeau-Mistassini,"""premier ministre""",4,Le Quotidien - Groupe Capitales Médias,Le Festival du Bleuet de Dolbeau-Mistassini cherche des solutions pour l'édition 2021,2021-05-10,97,https://www.lequotidien.com/actualites/le-festival-du-bleuet-de-dolbeau-mistassini-cherche-des-solutions-pour-ledition-2021-6817ce194c9ac067a71e2dce2255d293,2021-08-15 18:16:29,national
Dolbeau-Mistassini,"""premier ministre""",5,Le Quotidien - Groupe Capitales Médias,Dolbeau-Mistassini fêtera le Québec | Actualités,2021-05-28,79,https://www.lequotidien.com/actualites/dolbeau-mistassini-fetera-le-quebec-1841f5451de5c604b1444e89f1605ca6,2021-08-15 18:16:29,national
Dolbeau-Mistassini,"""premier ministre""",6,Le Quotidien - Groupe Capitales Médias,"Dolbeau-Mistassini enregistre un surplus budgétaire de 1,6 M$ pour 2020",2021-05-18,89,https://www.lequotidien.com/actualites/dolbeau-mistassini-enregistre-un-surplus-budgetaire-de-16-m-pour-2020-965e4486bad6891fcccdbf1c099bb859,2021-08-15 18:16:30,national
Dolbeau-Mistassini,"""premier ministre""",7,Le Quotidien - Groupe Capitales Médias,Dolbeau-Mistassini ne veut plus recevoir les Jeux du Québec 2024,2021-03-18,150,https://www.lequotidien.com/actualites/dolbeau-mistassini-ne-veut-plus-recevoir-les-jeux-du-quebec-2024-9fab14b99abcd0b22109da0fc44e1092,2021-08-15 18:16:30,national
Dolbeau-Mistassini,"""premier ministre""",8,ICI.Radio-Canada.ca,Une nouvelle poissonnerie populaire à Dolbeau-Mistassini,2021-04-13,124,https://ici.radio-canada.ca/nouvelle/1784519/poisson-crabe-gaspesien-gaspesie-hermel-bujold,2021-08-15 18:16:30,national
Dolbeau-Mistassini,"""premier ministre""",9,ICI.Radio-Canada.ca,Vaccin contre la COVID-19 : près de 4500 rendez-vous pris en quelques heures | Coronavirus,2021-03-02,166,https://ici.radio-canada.ca/nouvelle/1774546/campagne-vaccination-coronavirus-ciusss,2021-08-15 18:16:30,national
Dolbeau-Mistassini,"""premier ministre""",10,Le Quotidien - Groupe Capitales Médias,La Croix de bravoure pour un policier de Dolbeau-Mistassini,2021-04-22,115,https://www.lequotidien.com/actualites/la-croix-de-bravoure-pour-un-policier-de-dolbeau-mistassini-5b369ba91d1bbcc28ab0997ebfb55da9,2021-08-15 18:16:30,national
Dolbeau-Mistassini,"""premier ministre""",11,Le Quotidien - Groupe Capitales Médias,Saint-David-de-Falardeau et Dolbeau-Mistassini sanctionnées,2021-03-03,165,https://www.lequotidien.com/actualites/saint-david-de-falardeau-et-dolbeau-mistassini-sanctionnees-db15f81fdd619e1b76444e7418627e19,2021-08-15 18:16:31,national
Dolbeau-Mistassini,"""premier ministre""",12,Le Quotidien - Groupe Capitales Médias,Alliance Forêt Boréale: Legault refuse une demande de rencontre,2021-05-31,76,https://www.lequotidien.com/actualites/alliance-foret-boreale-legault-refuse-une-demande-de-rencontre-19c45de00881806fb60e62d443314d40,2021-08-15 18:16:31,national
Dolbeau-Mistassini,"""premier ministre""",13,ICI.Radio-Canada.ca,Une élève de secondaire 4 demande au premier ministre de revoir les horaires | Coronavirus,2021-01-13,214,https://ici.radio-canada.ca/nouvelle/1762987/horaires-secondaire-lettre-pm-eleve,2021-08-15 18:16:31,national
Dolbeau-Mistassini,"""premier ministre""",14,Le Journal de Montréal,Je suis une mère qui soutient ses enfants,2021-05-23,84,https://www.journaldemontreal.com/2021/05/23/je-suis-une-mere-qui-soutient-ses-enfants,2021-08-15 18:16:31,national
Dolbeau-Mistassini,"""premier ministre""",15,Le Quotidien - Groupe Capitales Médias,Opération policière à Dolbeau-Mistassini: l'homme se rend,2020-12-31,227,https://www.lequotidien.com/actualites/operation-policiere-a-dolbeau-mistassini-lhomme-se-rend-2c16c70bb3a1cef71fe9ab948567e0c7,2021-08-15 18:16:31,national
