Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Saguenay,accident,1,Le Journal de Québec,Un jeune homme de 22 ans perd la vie dans un accident à Saguenay,2021-08-10,5,https://www.journaldequebec.com/2021/08/10/un-jeune-homme-de-22-ans-perd-la-vie-dans-un-accident-a-saguenay,2021-08-15 08:03:48,local
Saguenay,accident,2,Le Quotidien - Groupe Capitales Médias,Un jeune homme de 22 ans perd la vie dans un accident à Chicoutimi,2021-08-10,5,https://www.lequotidien.com/actualites/justice-et-faits-divers/un-jeune-homme-de-22-ans-perd-la-vie-dans-un-accident-a-chicoutimi-16bd48def6737286b9356adf4e2aa9bf,2021-08-15 08:03:48,local
Saguenay,accident,3,Le Journal de Québec,Une conductrice perd la vie dans un accident au Lac-Saint-Jean,2021-08-09,6,https://www.journaldequebec.com/2021/08/08/une-conductrice-perd-la-vie-dans-un-accident-au-lac-saint-jean-1,2021-08-15 08:03:49,local
Saguenay,accident,4,La Presse,Saguenay–Lac-Saint-Jean | Un homme dans un état critique après un accident de moto,2021-08-07,8,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-08-07/saguenay-lac-saint-jean/un-homme-dans-un-etat-critique-apres-un-accident-de-moto.php,2021-08-15 08:03:49,local
Saguenay,accident,5,Le Quotidien - Groupe Capitales Médias,Accident à Saint-Ambroise : la femme succombe à ses blessures,2021-07-31,15,https://www.lequotidien.com/actualites/accident-a-saint-ambroise--la-femme-succombe-a-ses-blessures-0301bde7216f8e232465fc893454ed4d,2021-08-15 08:03:49,local
Saguenay,accident,6,TVA Nouvelles,Décès d'une femme au Saguenay: la rage au volant pourrait l'avoir tuée,2021-08-02,13,https://www.tvanouvelles.ca/2021/08/02/deces-dune-femme-au-saguenay-la-rage-au-volant-pourrait-lavoir-tuee,2021-08-15 08:03:49,local
Saguenay,accident,7,TVA Nouvelles,Monts Valin: deux sexagénaires manquent à l'appel,2021-08-10,5,https://www.tvanouvelles.ca/2021/08/10/monts-valin-deux-sexagenaires-manquent-a-lappel-1,2021-08-15 08:03:50,local
Saguenay,accident,8,Le Quotidien - Groupe Capitales Médias,Accident de moto : un homme repose dans un état critique,2021-08-07,8,https://www.lequotidien.com/actualites/accident-de-moto--un-homme-repose-dans-un-etat-critique-df478ab4d7399a8aaff774f8dfac42a3,2021-08-15 08:03:50,local
Saguenay,accident,9,Journal Le Manic,(Mise à jour) Chute-aux-Outardes : une collision fait un mort,2021-07-18,28,https://www.lemanic.ca/2021/07/18/collision-a-chute-aux-outardes-un-homme-lutte-pour-sa-vie/,2021-08-15 08:03:50,local
Saguenay,accident,10,TVA Nouvelles,Accident mortel à Saint-Félicien: l'identité de la victime dévoilée,2021-08-02,13,https://www.tvanouvelles.ca/2021/08/02/un-homme-lutte-pour-sa-vie-apres-une-sortie-de-route-a-saint-felicien-1,2021-08-15 08:03:51,local
Saguenay,accident,11,TVA Nouvelles,Saguenay: il prend la fuite malgré une crevaison,2021-07-23,23,https://www.tvanouvelles.ca/2021/07/23/saguenay-il-prend-la-fuite-malgre-une-crevaison,2021-08-15 08:03:51,local
Saguenay,accident,12,Journal Le Manic,L'identité de la victime de l'accident de travail dévoilée,2021-07-20,26,https://www.lemanic.ca/2021/07/20/lidentite-de-la-victime-de-laccident-de-travail-devoilee/,2021-08-15 08:03:51,local
