Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Saint-Tite,élection OR campagne,1,TVA Nouvelles,Les développements sur le coronavirus du 10 août 2021,2021-08-10,5,https://www.tvanouvelles.ca/2021/08/10/en-direct--les-derniers-developpements-sur-le-coronavirus,2021-08-15 09:47:30,mixte
Saint-Tite,élection OR campagne,2,ICI.Radio-Canada.ca,Saint-Tite-des-Caps mettra en valeur la petite histoire de I Confess d'Alfred Hitchcock,2021-07-15,31,https://ici.radio-canada.ca/nouvelle/1808891/maison-i-confess-saint-tite-des-caps-hitchcock-campagne-publicitaire,2021-08-15 09:47:30,mixte
Saint-Tite,élection OR campagne,3,Le Nouvelliste - Groupe Capitales Médias,"Le Festival western de Saint-Tite aura lieu, mais en formule hybride",2021-06-09,67,https://www.lenouvelliste.ca/actualites/le-festival-western-de-saint-tite-aura-lieu-mais-en-formule-hybride-5ae78d90a4c7171666db6f10b94dc196,2021-08-15 09:47:31,mixte
Saint-Tite,élection OR campagne,4,Le Journal de Montréal,Trois pistes cyclables remarquables,2021-08-07,8,https://www.journaldemontreal.com/2021/08/07/trois-pistes-cyclables-remarquables,2021-08-15 09:47:31,mixte
Saint-Tite,élection OR campagne,5,Le Nouvelliste - Groupe Capitales Médias,Sortie de route à Saint-Tite: un adolescent de 17 ans perd la vie,2021-06-14,62,https://www.lenouvelliste.ca/actualites/justice-et-faits-divers/sortie-de-route-a-saint-tite-un-adolescent-de-17-ans-perd-la-vie-777e21d809aa7fff5daffd7c2610a6c1,2021-08-15 09:47:31,mixte
Saint-Tite,élection OR campagne,6,Le Nouvelliste - Groupe Capitales Médias,Une programmation haute en couleur pour le Festival Western de Saint-Tite,2021-06-21,55,https://www.lenouvelliste.ca/actualites/une-programmation-haute-en-couleur-pour-le-festival-western-de-saint-tite-67a158e55eab3713ed9ffd09dea9b017,2021-08-15 09:47:31,mixte
Saint-Tite,élection OR campagne,7,Le Journal de Québec,50 ans de divertissement: la fabuleuse histoire du p'tit Simard,2021-07-31,15,https://www.journaldequebec.com/2021/07/31/50-ans-de-divertissement,2021-08-15 09:47:31,mixte
Saint-Tite,élection OR campagne,8,Le Nouvelliste - Groupe Capitales Médias,Accident à Saint-Tite: cellule de crise à Paul-Le Jeune,2021-06-15,61,https://www.lenouvelliste.ca/actualites/justice-et-faits-divers/accident-a-saint-tite-cellule-de-crise-a-paul-le-jeune-c5a144c91f699d720de2a7b77d131bf5,2021-08-15 09:47:31,mixte
Saint-Tite,élection OR campagne,9,iHeartRadio,Accélération de la vaccination: du sans rendez-vous s'ajoute en Mauricie,2021-05-21,86,https://www.iheartradio.ca/energie/energie-mauricie/nouvelles/acceleration-de-la-vaccination-du-sans-rendez-vous-s-ajoute-en-mauricie-1.15247226,2021-08-15 09:47:32,mixte
Saint-Tite,élection OR campagne,10,Le Nouvelliste - Groupe Capitales Médias,Un motocycliste perd la vie à Saint-Tite,2021-07-03,43,https://www.lenouvelliste.ca/actualites/justice-et-faits-divers/un-motocycliste-perd-la-vie-a-saint-tite-ec28ba60ed253a57d158d36dd7418526,2021-08-15 09:47:32,mixte
Saint-Tite,élection OR campagne,11,Le Nouvelliste - Groupe Capitales Médias,"Plus de vaccins, de cas et de variants dans la région",2021-03-26,142,https://www.lenouvelliste.ca/actualites/covid-19/plus-de-vaccins-de-cas-et-de-variants-dans-la-region-e876c20d9746cb4bc0c8b9cc0e88305b,2021-08-15 09:47:32,mixte
Saint-Tite,élection OR campagne,12,Le Journal de Montréal,Ferme Pittet de Saint-Tite: des vaches traitées aux petits oignons,2021-02-19,177,https://www.journaldemontreal.com/2021/02/19/ferme-pittet-de-saint-tite-des-vaches-traitees-aux-petits-oignons-1,2021-08-15 09:47:33,mixte
Saint-Tite,élection OR campagne,13,Le Nouvelliste - Groupe Capitales Médias,Le projet d'eau potable à Saint-Tite enfin sur les rails,2020-10-19,300,https://www.lenouvelliste.ca/actualites/le-projet-deau-potable-a-saint-tite-enfin-sur-les-rails-d3679adc6df791a8aa5ba9cd14b1dd4a,2021-08-15 09:47:33,mixte
Saint-Tite,élection OR campagne,14,Le Nouvelliste - Groupe Capitales Médias,Incendie chez Xylo Carbone de Saint-Tite | Justice et faits divers | Actualités,2021-01-04,223,https://www.lenouvelliste.ca/actualites/justice-et-faits-divers/incendie-chez-xylo-carbone-de-saint-tite-765a1765ef948a89f25d6517ef23893d,2021-08-15 09:47:33,mixte
Saint-Tite,élection OR campagne,15,L'Hebdo du Saint-Maurice,Vaccination: d'autres personnalités et experts de la région se joignent à la campagne Comptez sur moi!,2021-04-18,119,https://www.lhebdodustmaurice.com/vaccination-dautres-personnalites-et-experts-de-la-region-se-joignent-a-la-campagne-comptez-sur-moi/,2021-08-15 09:47:34,mixte
Saint-Tite,élection OR campagne,16,Le Nouvelliste - Groupe Capitales Médias,Les festivals en 2021: entre optimisme et pessimisme | Actualités,2021-02-06,190,https://www.lenouvelliste.ca/actualites/les-festivals-en-2021-entre-optimisme-et-pessimisme-bb1bafe47da7fee726bd636abd0466c6,2021-08-15 09:47:34,mixte
Saint-Tite,élection OR campagne,17,Le Nouvelliste - Groupe Capitales Médias,Le steak de la discorde | Actualités,2020-12-02,256,https://www.lenouvelliste.ca/actualites/le-steak-de-la-discorde-8ebd9b0982291c566a65d3dcc1ba8154,2021-08-15 09:47:34,mixte
Saint-Tite,élection OR campagne,18,Le Nouvelliste - Groupe Capitales Médias,Vaccination: au tour des 75 ans et plus de prendre rendez-vous,2021-03-09,159,https://www.lenouvelliste.ca/actualites/vaccination-au-tour-des-75-ans-et-plus-de-prendre-rendez-vous-d6856790c4049bf87eb28252200605e1,2021-08-15 09:47:34,mixte
Saint-Tite,élection OR campagne,19,ICI.Radio-Canada.ca,Star Académie: une expérience enrichissante pour Rosalie Ayotte,2021-04-09,128,https://ici.radio-canada.ca/nouvelle/1783620/teleralite-chanson-apprentissage-television-concours,2021-08-15 09:47:35,mixte
Saint-Tite,élection OR campagne,20,Le Nouvelliste - Groupe Capitales Médias,"Après un vote partagé du conseil, le préau sera construit à Saint-Élie",2021-04-27,110,https://www.lenouvelliste.ca/actualites/apres-un-vote-partage-du-conseil-le-preau-sera-construit-a-saint-elie-c1705ef611624bd46247a2232acea1cf,2021-08-15 09:47:35,mixte
Saint-Tite,élection OR campagne,21,L'Hebdo Journal,Vaccination COVID-19: début de la prise de rendez-vous pour les 85 ans et plus,2021-02-24,172,https://www.lhebdojournal.com/covid-19-debut-de-la-prise-de-rendez-vous-pour-les-85-ans-et-plus/,2021-08-15 09:47:35,mixte
Saint-Tite,élection OR campagne,22,Le Nouvelliste - Groupe Capitales Médias,Vers une pandémie électorale | Opinions,2021-07-03,43,https://www.lenouvelliste.ca/opinions/vers-une-pandemie-electorale-a80875a69f97cd21db593ce73752eff7,2021-08-15 09:47:35,mixte
Saint-Tite,élection OR campagne,23,Le Nouvelliste - Groupe Capitales Médias,La pire route de la Mauricie se trouve à Saint-Boniface,2021-06-07,69,https://www.lenouvelliste.ca/actualites/la-pire-route-de-la-mauricie-se-trouve-a-saint-boniface-85c6a36b28ef146556129fe49158b9bf,2021-08-15 09:47:35,mixte
Saint-Tite,élection OR campagne,24,Le Nouvelliste - Groupe Capitales Médias,Vaccination: le rythme s'accélère dans la région,2021-03-22,146,https://www.lenouvelliste.ca/actualites/covid-19/vaccination-le-rythme-saccelere-dans-la-region-ef14d972f9a972c3a29ef5c99ea59a0f,2021-08-15 09:47:36,mixte
Saint-Tite,élection OR campagne,25,Le Nouvelliste - Groupe Capitales Médias,Grandes-Piles: un projet de carrière rencontre une vive opposition,2021-06-01,75,https://www.lenouvelliste.ca/actualites/grandes-piles-un-projet-de-carriere-rencontre-une-vive-opposition-4622c2c766ee2fc5676c9207de03838a,2021-08-15 09:47:36,mixte
Saint-Tite,député,1,Le Nouvelliste - Groupe Capitales Médias,"Le Festival western de Saint-Tite aura lieu, mais en formule hybride",2021-06-09,67,https://www.lenouvelliste.ca/actualites/le-festival-western-de-saint-tite-aura-lieu-mais-en-formule-hybride-5ae78d90a4c7171666db6f10b94dc196,2021-08-15 09:48:16,mixte
Saint-Tite,député,2,Le Nouvelliste - Groupe Capitales Médias,Photo d'un député nu: le bloquiste Sébastien Lemire présente ses excuses,2021-04-21,116,https://www.lenouvelliste.ca/actualites/photo-dun-depute-nu-le-bloquiste-sebastien-lemire-presente-ses-excuses-b1e4ef58ae8714cacf1ddcf56c61706b,2021-08-15 09:48:16,mixte
Saint-Tite,député,3,Le Nouvelliste - Groupe Capitales Médias,Une programmation haute en couleur pour le Festival Western de Saint-Tite,2021-06-21,55,https://www.lenouvelliste.ca/actualites/une-programmation-haute-en-couleur-pour-le-festival-western-de-saint-tite-67a158e55eab3713ed9ffd09dea9b017,2021-08-15 09:48:17,mixte
Saint-Tite,député,4,L'Hebdo Journal,Plus de 9 M$ accordés à quatre entreprises de la Mauricie,2021-06-07,69,https://www.lhebdojournal.com/plus-de-9-m-accordes-a-quatre-entreprises-de-la-mauricie/,2021-08-15 09:48:17,mixte
Saint-Tite,député,5,Le Nouvelliste - Groupe Capitales Médias,Saint-Tite: une aide financière d'urgence qui dérange,2021-02-17,179,https://www.lenouvelliste.ca/actualites/saint-tite-une-aide-financiere-durgence-qui-derange-6442682c377b63a60cac59eb982034e7,2021-08-15 09:48:17,mixte
Saint-Tite,député,6,Le Soleil - Groupe Capitales Médias,Le député Amos explique sa nudité en ligne: «stress et distraction»,2021-07-08,38,https://www.lesoleil.com/actualite/le-fil-groupe-capitales-medias/le-depute-amos-explique-sa-nudite-en-ligne-stress-et-distraction-dcabf7502de875f1a624beb8cba81564,2021-08-15 09:48:17,mixte
Saint-Tite,député,7,Le Nouvelliste - Groupe Capitales Médias,"2,3 M$ pour trois attractions touristiques de la Mauricie",2021-06-11,65,https://www.lenouvelliste.ca/actualites/23-m-pour-trois-attractions-touristiques-de-la-mauricie-a126d87e5730abc1d84e0649c1197416,2021-08-15 09:48:17,mixte
Saint-Tite,député,8,Le Nouvelliste - Groupe Capitales Médias,Internet haute vitesse en Mauricie: plus de 1600 branchements d'ici 2022,2021-04-09,128,https://www.lenouvelliste.ca/actualites/internet-haute-vitesse-en-mauricie-plus-de-1600-branchements-dici-2022-e159b87ed15cd57caa95700a9a6aac28,2021-08-15 09:48:17,mixte
Saint-Tite,député,9,L'Hebdo du Saint-Maurice,Saint-Tite: un projet de loi pour mieux encadrer le Festival western,,,https://www.lhebdodustmaurice.com/saint-tite-un-projet-de-loi-pour-mieux-encadrer-le-festival-western/,2021-08-15 09:48:18,mixte
Saint-Tite,député,10,Le Nouvelliste - Groupe Capitales Médias,Alexis Deschênes «envisage sérieusement» se présenter à l'investiture du Parti québécois dans Bonaventure,2021-06-07,69,https://www.lenouvelliste.ca/actualites/alexis-deschenes-envisage-serieusement-se-presenter-a-linvestiture-du-parti-quebecois-dans-bonaventure-112ceda16a55da1d56a4be5e73fce373,2021-08-15 09:48:18,mixte
Saint-Tite,député,11,Le Nouvelliste - Groupe Capitales Médias,Saint-Tite: Michel Champagne sera directeur général | Actualités,,,https://www.lenouvelliste.ca/actualites/saint-tite-michel-champagne-sera-directeur-general-706850af32f5e42077d24e34b3fde2a8,2021-08-15 09:48:18,mixte
Saint-Tite,député,12,Le Nouvelliste - Groupe Capitales Médias,Allaire devient adjoint parlementaire de LeBel | Actualités,2021-04-14,123,https://www.lenouvelliste.ca/actualites/allaire-devient-adjoint-parlementaire-de-lebel-1f7871ca3c5bd2911ea84f030962ddf0,2021-08-15 09:48:18,mixte
Saint-Tite,député,13,Le Nouvelliste - Groupe Capitales Médias,Le projet d'eau potable à Saint-Tite enfin sur les rails,2020-10-19,300,https://www.lenouvelliste.ca/actualites/le-projet-deau-potable-a-saint-tite-enfin-sur-les-rails-d3679adc6df791a8aa5ba9cd14b1dd4a,2021-08-15 09:48:18,mixte
Saint-Tite,député,14,Le Nouvelliste - Groupe Capitales Médias,Sonia LeBel souhaite aider les associations sportives de son comté,2021-02-17,179,https://www.lenouvelliste.ca/actualites/sonia-lebel-souhaite-aider-les-associations-sportives-de-son-comte-41c8d89b1f893d412aa4039fd59a1213,2021-08-15 09:48:19,mixte
Saint-Tite,député,15,Le Nouvelliste - Groupe Capitales Médias,"Plus de vaccins, de cas et de variants dans la région",2021-03-26,142,https://www.lenouvelliste.ca/actualites/covid-19/plus-de-vaccins-de-cas-et-de-variants-dans-la-region-e876c20d9746cb4bc0c8b9cc0e88305b,2021-08-15 09:48:19,mixte
Saint-Tite,député,16,Le Nouvelliste - Groupe Capitales Médias,Marie-Louise Tardif lance une initiative pour la récupération de masques jetables,2021-05-12,95,https://www.lenouvelliste.ca/actualites/marie-louise-tardif-lance-une-initiative-pour-la-recuperation-de-masques-jetables-9ed24e487f7460dde9f8bf60ef764e55,2021-08-15 09:48:19,mixte
Saint-Tite,député,17,La Tribune - Groupe Capitales Médias,Claire Samson première députée du PCQ d'Éric Duhaime,2021-06-18,58,https://www.latribune.ca/actualites/le-fil-groupe-capitales-medias/claire-samson-premiere-deputee-du-pcq-deric-duhaime-a2b75a09aba8bda187566b35e4728095,2021-08-15 09:48:19,mixte
Saint-Tite,député,18,Le Nouvelliste - Groupe Capitales Médias,Marie-Louise Tardif veut honorer la mémoire des victimes de la pandémie,2021-05-14,93,https://www.lenouvelliste.ca/actualites/marie-louise-tardif-veut-honorer-la-memoire-des-victimes-de-la-pandemie-ce2d6c9cd7440d713028ef21a8ee8dcb,2021-08-15 09:48:19,mixte
Saint-Tite,député,19,Le Soleil - Groupe Capitales Médias,COVID-19 : l'ex-ministre Benoit Pelletier hospitalisé depuis plusieurs mois,2021-04-22,115,https://www.lesoleil.com/actualite/le-fil-groupe-capitales-medias/covid-19--lex-ministre-benoit-pelletier-hospitalise-depuis-plusieurs-mois-a6a0f28bd3a9886f2571c34b132b11bf,2021-08-15 09:48:19,mixte
Saint-Tite,député,20,Le Nouvelliste - Groupe Capitales Médias,Le steak de la discorde | Actualités,2020-12-02,256,https://www.lenouvelliste.ca/actualites/le-steak-de-la-discorde-8ebd9b0982291c566a65d3dcc1ba8154,2021-08-15 09:48:19,mixte
Saint-Tite,député,21,Le Nouvelliste - Groupe Capitales Médias,Les festivals en 2021: entre optimisme et pessimisme | Actualités,2021-02-06,190,https://www.lenouvelliste.ca/actualites/les-festivals-en-2021-entre-optimisme-et-pessimisme-bb1bafe47da7fee726bd636abd0466c6,2021-08-15 09:48:20,mixte
Saint-Tite,député,22,Le Nouvelliste - Groupe Capitales Médias,Pierre Arcand de retour au cabinet fantôme du PLQ,2021-05-13,94,https://www.lenouvelliste.ca/actualites/pierre-arcand-de-retour-au-cabinet-fantome-du-plq-6d560fb8cc3957ef1adeee627e5f9adb,2021-08-15 09:48:20,mixte
Saint-Tite,député,23,Le Nouvelliste - Groupe Capitales Médias,De nouvelles fonctions pour le ministre Champagne: «On doit assurer une relance économique»,2021-01-12,215,https://www.lenouvelliste.ca/actualites/de-nouvelles-fonctions-pour-le-ministre-champagne-on-doit-assurer-une-relance-economique-f7dcb1dd805635459499fcd8c160ffdc,2021-08-15 09:48:20,mixte
Saint-Tite,député,24,Le Nouvelliste - Groupe Capitales Médias,La Mauricie en zone rouge: déception et incompréhension,2020-10-21,298,https://www.lenouvelliste.ca/actualites/la-mauricie-en-zone-rouge-deception-et-incomprehension-a06175f5517e8cd4ca49587c62475baf,2021-08-15 09:48:20,mixte
Saint-Tite,député,25,Le Nouvelliste - Groupe Capitales Médias,Louise Charbonneau annonce près de 170 000 $ pour les aînés,2021-03-16,152,https://www.lenouvelliste.ca/actualites/louise-charbonneau-annonce-pres-de-170-000--pour-les-aines-f3504a503355c57ede84b4e619262fb9,2021-08-15 09:48:20,mixte
Saint-Tite,"""arme à feu""",1,La Presse,"Fusillades à Montréal | « Assez, c'est assez »",2021-08-04,11,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-08-04/fusillades-a-montreal/assez-c-est-assez.php,2021-08-15 09:48:28,mixte
Saint-Tite,"""arme à feu""",2,La Presse,Fusillades et armes à feu | Les policiers arrêtent trois hommes,2021-07-28,18,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-07-28/fusillades-et-armes-a-feu/les-policiers-arretent-trois-hommes.php,2021-08-15 09:48:28,mixte
Saint-Tite,"""arme à feu""",3,France 3 Régions,Une fusillade en pleine rue à Saint-Étienne-du-Rouvray fait deux blessés graves,2021-08-15,0,https://france3-regions.francetvinfo.fr/normandie/seine-maritime/rouen/une-fusillade-en-pleine-rue-a-saint-etienne-du-rouvray-fait-deux-blesses-graves-2214310.html,2021-08-15 09:48:28,mixte
Saint-Tite,"""arme à feu""",4,TVA Nouvelles,Un homme de 22 ans tué par balle à Montréal,2021-08-09,6,https://www.tvanouvelles.ca/2021/08/09/un-homme-de-22-ans-tue-par-balle-a-montreal,2021-08-15 09:48:28,mixte
Saint-Tite,"""arme à feu""",5,actu.fr,Homme abattu par la police à La Talaudière : tout ce que l'on sait sur cette intervention sous tension,2021-08-11,4,https://actu.fr/auvergne-rhone-alpes/la-talaudiere_42305/homme-abattu-par-la-police-a-la-talaudiere-tout-ce-que-l-on-sait-sur-cette-intervention-sous-tension_44074765.html,2021-08-15 09:48:28,mixte
Saint-Tite,"""arme à feu""",6,Ouest-France éditions locales,Un homme soupçonné d’avoir tiré sur des chats à la carabine car il ne supportait plus leur bruit,2021-08-09,6,https://www.ouest-france.fr/region-occitanie/saint-martin-de-londres-34380/un-homme-soupconne-d-avoir-tire-sur-des-chats-a-la-carabine-car-il-ne-supportait-plus-le-bruit-7377792,2021-08-15 09:48:29,mixte
Saint-Tite,"""arme à feu""",7,Le Journal de Québec,Femme blessée par balle à Québec: un courtier aurait tiré sur son ex,2021-06-19,57,https://www.journaldequebec.com/2021/06/19/coups-de-feu-a-quebec-une-femme-blessee-par-balle,2021-08-15 09:48:29,mixte
Saint-Tite,"""arme à feu""",8,Betanews.fr,La fin de Disparu à jamais expliquée : Fred est-il mort ? Guillaume et Nora finissent-ils ensemble ?,2021-08-13,2,https://www.betanews.fr/disparu-a-jamais-explication-fin-fred-mort-guillaume-nora-ensemble/,2021-08-15 09:48:29,mixte
Saint-Tite,"""arme à feu""",9,ICI.Radio-Canada.ca,Coup de feu à Beauport : un homme accusé d'usage négligent d'une arme à feu,2021-05-17,90,https://ici.radio-canada.ca/nouvelle/1793788/homme-arrestation-coup-feu-beauport-police-accusation,2021-08-15 09:48:29,mixte
Saint-Tite,"""arme à feu""",10,Le Soleil - Groupe Capitales Médias,Un jeune adepte du tir coupable d'usage négligent d'une arme utilisée pour un suicide,2021-01-21,206,https://www.lesoleil.com/actualite/justice-et-faits-divers/un-jeune-adepte-du-tir-coupable-dusage-negligent-dune-arme-utilisee-pour-un-suicide-09b899a8f7775e57b1f9916f69a7fa61,2021-08-15 09:48:29,mixte
Saint-Tite,"""arme à feu""",11,La Presse,Il se blesse avec une arme à feu en intimidant son propriétaire,2021-07-01,45,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-07-01/il-se-blesse-avec-une-arme-a-feu-en-intimidant-son-proprietaire.php,2021-08-15 09:48:30,mixte
Saint-Tite,"""arme à feu""",12,AmoMama France,Loire : la police tire sur un homme car leur taser n’a pas fonctionné,2021-08-10,5,https://amomama.fr/263192-loire-la-police-tire-sur-homme-car-leur.html,2021-08-15 09:48:30,mixte
