Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Sorel-Tracy,élection OR campagne,1,Sorel-Tracy Magazine,Le conseiller municipal Olivier Picard annonce qu'il sera candidat dans Bourgchemin,2021-08-02,13,https://www.soreltracy.com/2021/aout/2a.html,2021-08-15 13:21:38,mixte
Sorel-Tracy,élection OR campagne,2,TVA Nouvelles,Ruth Ellen Brosseau de retour avec le NPD?,2021-08-12,3,https://www.tvanouvelles.ca/2021/08/12/ruth-ellen-brosseau-de-retour-avec-le-npd,2021-08-15 13:21:38,mixte
Sorel-Tracy,élection OR campagne,3,Les 2 Rives,Le conseiller Olivier Picard se représentera...,2021-08-04,11,https://www.les2rives.com/le-conseiller-olivier-picard-se-representera-a-sorel-tracy/,2021-08-15 13:21:38,mixte
Sorel-Tracy,élection OR campagne,4,Sorel-Tracy Magazine,"Rendez-vous avec Gencycle, le 7 août prochain sur le Quai Catherine-Leguardeur",2021-07-16,30,https://www.soreltracy.com/2021/juillet/16j2.html,2021-08-15 13:21:38,mixte
Sorel-Tracy,élection OR campagne,5,Le Journal de Montréal,Trois pistes cyclables remarquables,2021-08-07,8,https://www.journaldemontreal.com/2021/08/07/trois-pistes-cyclables-remarquables,2021-08-15 13:21:39,mixte
Sorel-Tracy,élection OR campagne,6,DansLesCoulisses,Deux anciens de l'organisation du Canadien ont été repêchés dans la LNAH,2021-08-10,5,https://www.danslescoulisses.com/fr/deux-anciens-de-lorganisation-du-canadien-ont-ete-repeches-dans-la-lnah/,2021-08-15 13:21:39,mixte
Sorel-Tracy,élection OR campagne,7,Sorel-Tracy Magazine,Herbe à poux : c'est le temps d'arracher ou de couper les plants pour contrer les allergies saisonnières,2021-07-20,26,https://www.soreltracy.com/2021/juillet/20j3.html,2021-08-15 13:21:39,mixte
Sorel-Tracy,élection OR campagne,8,Sorel-Tracy Magazine,Vaccination contre la COVID-19 : un franc succès pour la roulotte mobile #CISSSMEVACCINE,2021-07-23,23,https://www.soreltracy.com/2021/juillet/23j1.html,2021-08-15 13:21:40,mixte
Sorel-Tracy,élection OR campagne,9,Le Nouvelliste - Groupe Capitales Médias,Aux urnes! Un menu électoral presque complet dans la région,2021-08-14,1,https://www.lenouvelliste.ca/actualites/aux-urnes-un-menu-electoral-presque-complet-dans-la-region-e5e3f390cb1f2fd5659c5d172412f9d9,2021-08-15 13:21:40,mixte
Sorel-Tracy,élection OR campagne,10,L'Éclaireur Progrès,L'Éclaireur Progrès Une saison « normale » espérée par la LNAH,2021-08-07,8,https://www.leclaireurprogres.ca/une-saison-normale-esperee-par-la-lnah/,2021-08-15 13:21:40,mixte
Sorel-Tracy,élection OR campagne,11,Les 2 Rives,Le candidat Jocelyn Daneau dévoile ses orien...,2021-07-06,40,https://www.les2rives.com/le-candidat-jocelyn-daneau-devoile-ses-orientations-et-des-engagements/,2021-08-15 13:21:41,mixte
Sorel-Tracy,élection OR campagne,12,Sorel-Tracy Magazine,Sécurité nautique: Opération alcool zéro (Dry Water),2021-07-29,17,https://www.soreltracy.com/police/2021/juillet/29j.html,2021-08-15 13:21:41,mixte
Sorel-Tracy,élection OR campagne,13,Sorel-Tracy Magazine,Sorel-Tracy entre fleuve et rivière,2021-06-23,53,https://www.soreltracy.com/2021/juin/23j.html,2021-08-15 13:21:41,mixte
Sorel-Tracy,élection OR campagne,14,Les 2 Rives,« La Ville doit revenir à ses fondamentaux ...,2021-03-09,159,https://www.les2rives.com/la-ville-doit-revenir-a-ses-fondamentaux-jocelyn-daneau/,2021-08-15 13:21:41,mixte
